date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-05-15,91.0,91.0,88.0,89.0,2939786150,292404,607,0.0,89.0
2004-05-16,93.0,93.0,89.0,93.0,15634722572,1495191,635,89.0,93.0
2004-05-17,98.0,98.0,98.0,98.0,110778921,9999,9,93.0,98.0
2004-05-18,103.0,103.0,103.0,103.0,105269600,9050,21,98.0,103.0
2004-05-19,108.0,108.0,108.0,108.0,731778534,59918,155,103.0,108.0
2004-05-22,113.0,113.0,111.0,113.0,4651195059,363707,520,108.0,113.0
2004-05-23,119.0,119.0,119.0,119.0,1131197896,84248,80,113.0,119.0
2004-05-24,125.0,125.0,122.0,125.0,2023253591,143625,156,119.0,125.0
2004-05-25,125.0,127.0,123.0,125.0,1217247600,85859,127,125.0,125.0
2004-05-26,122.0,126.0,119.0,123.0,2923928065,209998,243,125.0,123.0
2004-06-05,97.0,177.0,97.0,143.0,1267380100,78330,19,123.0,143.0
2004-06-06,150.0,150.0,150.0,150.0,866529596,51006,45,143.0,150.0
2004-06-07,158.0,158.0,158.0,158.0,2798125864,156872,93,150.0,158.0
2004-06-08,166.0,166.0,166.0,166.0,163214520,8715,9,158.0,166.0
2004-06-09,174.0,174.0,174.0,174.0,176700704,8986,6,166.0,174.0
2004-06-12,183.0,183.0,183.0,183.0,172691508,8364,4,174.0,183.0
2004-06-13,192.0,192.0,174.0,180.0,5854325801,287364,229,183.0,180.0
2004-06-14,171.0,184.0,171.0,179.0,2100890005,104023,127,180.0,179.0
2004-06-15,183.0,188.0,183.0,187.0,418633729,19810,28,179.0,187.0
2004-06-16,196.0,196.0,191.0,191.0,70373946,3172,10,187.0,191.0
2004-06-19,200.0,200.0,192.0,192.0,26236930,1160,3,191.0,192.0
2004-06-20,202.0,202.0,202.0,202.0,582666372,25569,36,192.0,202.0
2004-06-21,212.0,212.0,202.0,211.0,14465076110,605298,90,202.0,211.0
2004-06-22,221.0,221.0,212.0,212.0,23582872,944,5,211.0,212.0
2004-06-23,222.0,222.0,222.0,222.0,539436342,21459,16,212.0,222.0
2004-06-26,234.0,234.0,234.0,234.0,1072863312,40648,33,222.0,234.0
2004-06-27,245.0,245.0,222.0,241.0,1869216049,68609,95,234.0,241.0
2004-06-28,237.0,237.0,229.0,231.0,684284658,26197,54,241.0,231.0
2004-06-29,220.0,221.0,220.0,220.0,498766370,20085,29,231.0,220.0
