date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-07-10,98.0,98.0,98.0,98.0,60960000000,40000000,117949,64.0,98.0
2018-07-11,103.0,103.0,103.0,103.0,641550400,400969,1247,98.0,103.0
2018-07-14,108.0,108.0,108.0,108.0,246634080,146806,465,103.0,108.0
2018-07-15,114.0,114.0,114.0,114.0,918532440,520710,1604,108.0,114.0
2018-07-16,119.0,119.0,119.0,119.0,2984409104,1611452,4797,114.0,119.0
2018-07-17,125.0,131.0,125.0,129.0,89005915620,44278514,78473,119.0,131.0
2018-07-29,143.0,144.0,136.0,138.0,25652785751,12794938,10434,129.0,136.0
2018-07-30,134.0,136.0,131.0,132.0,5399835634,2822007,2277,138.0,131.0
2018-07-31,125.0,137.0,125.0,130.0,24339211301,12861510,10903,132.0,133.0
2018-08-01,133.0,134.0,124.0,127.0,12796083061,6957292,4513,130.0,124.0
2018-08-04,125.0,125.0,120.0,121.0,8547116650,4878487,2948,127.0,121.0
2018-08-05,119.0,127.0,119.0,124.0,6816260293,3767225,2638,121.0,124.0
2018-08-06,124.0,125.0,118.0,119.0,9775350608,5654410,2439,124.0,118.0
2018-08-07,116.0,123.0,115.0,117.0,5683837098,3340394,2011,119.0,117.0
2018-08-08,115.0,123.0,115.0,122.0,7955167735,4495940,2198,117.0,123.0
2018-08-11,128.0,128.0,124.0,127.0,8351984438,4511130,1825,122.0,128.0
2018-08-12,133.0,133.0,125.0,129.0,8065393951,4310971,1938,127.0,129.0
2018-08-13,130.0,130.0,124.0,125.0,3448475869,1893482,1063,129.0,125.0
2018-08-14,123.0,130.0,123.0,127.0,4229596021,2289431,1114,125.0,127.0
2018-08-15,127.0,128.0,123.0,124.0,5324226631,2943787,1158,127.0,124.0
2018-08-18,123.0,130.0,123.0,128.0,8414499225,4542167,1768,124.0,127.0
2018-08-19,128.0,130.0,126.0,128.0,4398240183,2359378,1004,128.0,129.0
2018-08-20,127.0,133.0,127.0,131.0,7871903264,4138801,1539,128.0,132.0
2018-08-21,130.0,132.0,126.0,128.0,4897136989,2624838,1068,131.0,127.0
2018-08-25,128.0,132.0,127.0,130.0,5322179446,2816460,1152,128.0,131.0
2018-08-26,133.0,139.0,132.0,137.0,6644564491,3327265,1172,130.0,138.0
2018-08-27,139.0,139.0,132.0,134.0,5436318257,2790707,1275,137.0,134.0
2018-08-28,133.0,134.0,128.0,131.0,3904659550,2047714,766,134.0,130.0
2018-08-29,131.0,133.0,129.0,132.0,3545758268,1855566,864,131.0,132.0
2018-09-01,132.0,132.0,129.0,130.0,2297323582,1212045,534,132.0,131.0
2018-09-02,131.0,133.0,127.0,130.0,2662983791,1404523,630,130.0,130.0
2018-09-03,131.0,136.0,128.0,133.0,2782164204,1442814,663,130.0,132.0
2018-09-04,134.0,136.0,129.0,133.0,3320711979,1721515,723,133.0,133.0
2018-09-05,133.0,139.0,132.0,138.0,10253724932,5097781,1696,133.0,139.0
2018-09-08,145.0,145.0,143.0,145.0,5985743209,2835731,815,138.0,145.0
2018-09-09,153.0,153.0,147.0,151.0,16249161258,7393842,2041,145.0,153.0
2018-09-10,156.0,158.0,151.0,154.0,10442152438,4675642,1556,151.0,156.0
2018-09-11,156.0,161.0,149.0,158.0,13639515200,5939469,1768,154.0,161.0
2018-09-12,166.0,166.0,159.0,165.0,7395444252,3090262,1003,158.0,162.0
2018-09-15,164.0,171.0,157.0,162.0,10984107780,4667316,1530,165.0,160.0
2018-09-16,160.0,160.0,154.0,155.0,10166796023,4513770,1652,162.0,155.0
2018-09-17,156.0,163.0,156.0,162.0,8507727092,3620188,1239,155.0,162.0
2018-09-18,159.0,163.0,155.0,158.0,5547114515,2418733,958,162.0,160.0
2018-09-22,166.0,166.0,166.0,166.0,3938379133,1636219,560,158.0,166.0
2018-09-23,174.0,174.0,174.0,174.0,3243169489,1283407,334,166.0,174.0
2018-09-24,183.0,183.0,173.0,177.0,12262485993,4763547,1334,174.0,176.0
2018-09-25,180.0,186.0,175.0,183.0,13049310408,4903628,1427,177.0,186.0
