date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-30,10000.0,10000.0,10000.0,10000.0,216008190000,21600819,3288,10000.0,10000.0
2022-05-31,10000.0,10000.0,10000.0,10000.0,683991810000,68399181,7765,10000.0,10000.0
2022-06-29,10000.0,10069.0,10000.0,10029.0,95359526639,9508636,1412,10000.0,10060.0
2022-07-02,10280.0,10790.0,10263.0,10331.0,126607919706,12254839,1434,10029.0,10314.0
2022-07-03,10272.0,10272.0,10161.0,10235.0,65927848708,6441669,912,10331.0,10251.0
2022-07-04,10171.0,10218.0,10150.0,10180.0,48518049156,4766054,717,10235.0,10191.0
2022-07-05,10200.0,10220.0,10200.0,10201.0,13427208136,1316201,313,10180.0,10200.0
2022-07-06,10200.0,10205.0,10200.0,10200.0,19699068330,1931259,347,10201.0,10200.0
2022-07-09,10200.0,10210.0,10200.0,10200.0,18745475134,1837767,346,10200.0,10200.0
2022-07-11,10200.0,10260.0,10111.0,10205.0,25322335536,2481402,290,10200.0,10250.0
2022-07-12,10250.0,10259.0,10250.0,10250.0,8977263766,875802,174,10205.0,10258.0
2022-07-13,10201.0,10289.0,10111.0,10185.0,8079253107,793284,219,10250.0,10185.0
2022-07-16,10200.0,10220.0,10200.0,10201.0,20046963147,1965236,270,10185.0,10207.0
2022-07-17,10215.0,10229.0,10185.0,10198.0,8268530467,810830,188,10201.0,10200.0
2022-07-19,10197.0,10200.0,10185.0,10190.0,12001907959,1177802,205,10198.0,10185.0
2022-07-20,10191.0,10191.0,10179.0,10185.0,8394847670,824214,154,10190.0,10189.0
2022-07-23,10210.0,10245.0,10210.0,10222.0,6053058513,592131,165,10185.0,10236.0
2022-07-24,10241.0,10245.0,10225.0,10236.0,9271644498,905814,163,10222.0,10245.0
2022-07-25,10250.0,10250.0,10211.0,10221.0,5029488413,492050,139,10236.0,10216.0
2022-07-26,10218.0,10235.0,10218.0,10228.0,1641023152,160452,93,10221.0,10229.0
2022-07-27,10238.0,10259.0,10231.0,10239.0,2745844493,268162,86,10228.0,10233.0
2022-07-30,10250.0,10300.0,10245.0,10268.0,3574939875,348169,129,10239.0,10280.0
2022-07-31,10280.0,10300.0,10265.0,10279.0,4582914510,445868,99,10268.0,10274.0
2022-08-01,10285.0,10299.0,10235.0,10290.0,14019230871,1362422,118,10279.0,10245.0
2022-08-02,10283.0,10290.0,10245.0,10260.0,4177907199,407221,114,10290.0,10290.0
2022-08-03,10280.0,10280.0,10240.0,10259.0,18360082449,1789739,208,10260.0,10261.0
2022-08-06,10260.0,10260.0,10200.0,10210.0,9953023111,974871,199,10259.0,10229.0
2022-08-09,10220.0,10268.0,10220.0,10245.0,4591369964,448176,85,10210.0,10250.0
2022-08-10,10225.0,10245.0,10100.0,10155.0,9992588761,984008,176,10245.0,10179.0
2022-08-13,10205.0,10217.0,10017.0,10107.0,20095977117,1988329,329,10155.0,10050.0
2022-08-14,10015.0,10015.0,10000.0,10004.0,9725717870,972193,217,10107.0,10004.0
2022-08-15,10005.0,10005.0,9742.0,9963.0,18083120980,1814992,294,10004.0,9760.0
2022-08-16,9759.0,9759.0,9660.0,9678.0,6687989836,691070,222,9963.0,9672.0
2022-08-17,9650.0,9661.0,9464.0,9593.0,9939507877,1036110,233,9678.0,9464.0
2022-08-20,9400.0,9400.0,9240.0,9271.0,5528711362,596371,212,9593.0,9255.0
2022-08-21,9181.0,9460.0,9120.0,9250.0,7152258244,773217,135,9271.0,9390.0
2022-08-22,9271.0,9667.0,9271.0,9493.0,1944792745,204869,98,9250.0,9600.0
2022-08-23,9520.0,9527.0,9380.0,9428.0,3534261871,374881,102,9493.0,9390.0
2022-08-24,9369.0,9440.0,9340.0,9362.0,1335009533,142606,45,9428.0,9350.0
2022-08-27,9371.0,9799.0,9371.0,9602.0,3162381327,329344,81,9362.0,9560.0
2022-08-28,9531.0,9531.0,9470.0,9484.0,1197033609,126220,50,9602.0,9484.0
2022-08-29,9472.0,9480.0,9460.0,9469.0,1568352889,165623,51,9484.0,9464.0
2022-08-30,9468.0,9480.0,9430.0,9444.0,1385807851,146740,50,9469.0,9456.0
2022-08-31,9456.0,9489.0,9450.0,9464.0,1825662970,192905,68,9444.0,9463.0
2022-09-03,9502.0,9650.0,9502.0,9538.0,2446730533,256517,82,9464.0,9530.0
2022-09-04,9530.0,9589.0,9497.0,9548.0,2554152763,267499,92,9538.0,9551.0
2022-09-05,9460.0,9547.0,9440.0,9463.0,2174387155,229782,69,9548.0,9450.0
2022-09-06,9445.0,9558.0,9400.0,9429.0,2736118008,290166,69,9463.0,9414.0
2022-09-07,9586.0,9586.0,9340.0,9362.0,2514430488,268565,44,9429.0,9401.0
2022-09-10,9521.0,9650.0,9521.0,9609.0,7059149646,734628,130,9362.0,9640.0
2022-09-11,9699.0,9699.0,9590.0,9638.0,1621055337,168191,54,9609.0,9674.0
2022-09-12,9730.0,9960.0,9730.0,9887.0,5451684787,551407,172,9638.0,9927.0
2022-09-13,9940.0,10220.0,9940.0,10090.0,8150887734,807782,198,9887.0,10185.0
2022-09-14,10155.0,10162.0,10003.0,10094.0,8717726615,863656,195,10090.0,10020.0
2022-09-18,9974.0,10093.0,9974.0,10014.0,4533143530,452674,116,10094.0,10016.0
2022-09-19,9950.0,9950.0,9823.0,9861.0,1100576835,111604,65,10014.0,9826.0
2022-09-20,10069.0,10069.0,9851.0,9876.0,953666168,96568,49,9861.0,9851.0
2022-09-21,9900.0,9900.0,9800.0,9843.0,1137577098,115577,50,9876.0,9870.0
2022-09-24,9880.0,9958.0,9880.0,9908.0,3392941129,342433,78,9843.0,9901.0
2022-09-26,10045.0,10045.0,9851.0,9984.0,12420254503,1244043,97,9908.0,9999.0
2022-09-28,9968.0,9968.0,9850.0,9924.0,2534245534,255375,78,9984.0,9873.0
2022-10-01,10050.0,10555.0,10050.0,10413.0,20649296156,1983011,410,9924.0,10546.0
2022-10-02,10445.0,10559.0,10400.0,10478.0,12680500348,1210206,227,10413.0,10487.0
2022-10-03,10495.0,10620.0,10495.0,10566.0,7383284575,698788,181,10478.0,10570.0
2022-10-04,10590.0,10590.0,10495.0,10508.0,6246237347,594448,134,10566.0,10495.0
2022-10-08,10453.0,10453.0,10299.0,10321.0,13469615846,1305083,121,10508.0,10300.0
2022-10-09,10439.0,10439.0,9931.0,10247.0,11717931375,1143528,175,10321.0,10300.0
2022-10-10,10333.0,10334.0,10006.0,10294.0,7149881124,694592,127,10247.0,10292.0
2022-10-11,10311.0,10430.0,10311.0,10358.0,2241235029,216368,47,10294.0,10396.0
2022-10-12,10385.0,10385.0,10360.0,10375.0,1504738097,145036,53,10358.0,10380.0
2022-10-15,10355.0,10406.0,10320.0,10357.0,3316577691,320224,76,10375.0,10357.0
2022-10-16,10357.0,10490.0,10357.0,10426.0,4213052678,404108,85,10357.0,10460.0
2022-10-17,10441.0,10474.0,10391.0,10420.0,3938271819,377945,53,10426.0,10407.0
2022-10-18,10341.0,10404.0,10294.0,10313.0,1693994661,164257,76,10420.0,10325.0
2022-10-19,10290.0,10304.0,10260.0,10279.0,19272070233,1874899,148,10313.0,10261.0
2022-10-22,10271.0,10350.0,10271.0,10320.0,2192751978,212468,68,10279.0,10320.0
2022-10-23,10365.0,10365.0,10286.0,10297.0,1410752475,137000,42,10320.0,10330.0
2022-10-24,10300.0,10300.0,10245.0,10269.0,2330491077,226948,96,10297.0,10280.0
2022-10-25,10269.0,10290.0,10255.0,10273.0,3181089682,309662,68,10269.0,10260.0
2022-10-26,10300.0,10369.0,10271.0,10322.0,2130551598,206405,70,10273.0,10340.0
2022-10-29,10321.0,10437.0,10321.0,10415.0,2407749284,231170,85,10322.0,10430.0
2022-10-30,10377.0,10447.0,10377.0,10402.0,989958444,95173,57,10415.0,10430.0
2022-10-31,10499.0,10598.0,10420.0,10551.0,4674492660,443049,108,10402.0,10592.0
