date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-11-19,189.0,189.0,189.0,189.0,9437711400,4839852,841,97.0,189.0
2012-11-20,198.0,198.0,198.0,198.0,360423478,176074,52,189.0,198.0
2012-11-21,208.0,208.0,208.0,208.0,3354589,1561,6,198.0,208.0
2012-11-26,218.0,218.0,218.0,218.0,229344960,101660,41,208.0,218.0
2012-11-27,229.0,229.0,229.0,229.0,38127168,16101,30,218.0,229.0
2012-11-28,241.0,241.0,241.0,241.0,373573706,150271,74,229.0,241.0
2012-12-01,252.0,252.0,252.0,252.0,206260470,79027,62,241.0,252.0
2012-12-02,265.0,265.0,265.0,265.0,207878320,75868,88,252.0,265.0
2012-12-03,278.0,278.0,278.0,278.0,476028420,165460,126,265.0,278.0
2012-12-04,292.0,292.0,292.0,292.0,1234751160,408858,218,278.0,292.0
2012-12-05,307.0,307.0,307.0,307.0,3312480507,1044617,897,292.0,307.0
2012-12-08,322.0,322.0,322.0,322.0,642829900,193100,117,307.0,322.0
2012-12-09,338.0,338.0,338.0,338.0,460497705,131759,76,322.0,338.0
2012-12-10,355.0,355.0,355.0,355.0,1329663945,362405,120,338.0,355.0
2012-12-11,373.0,373.0,373.0,373.0,5695228224,1478512,763,355.0,373.0
2012-12-12,372.0,386.0,354.0,370.0,26949021036,7051520,5092,373.0,355.0
2012-12-15,354.0,363.0,351.0,353.0,6961476225,1908256,1130,370.0,352.0
2012-12-16,351.0,371.0,342.0,369.0,7271843646,1908604,703,353.0,371.0
2012-12-17,387.0,387.0,378.0,386.0,12159342321,3043517,1145,369.0,387.0
2012-12-18,401.0,401.0,377.0,389.0,5260915347,1308949,604,386.0,377.0
2012-12-19,372.0,401.0,372.0,387.0,5276219080,1320173,539,389.0,385.0
2012-12-22,390.0,390.0,374.0,380.0,1950512875,495947,253,387.0,377.0
2012-12-23,378.0,394.0,373.0,384.0,4176538823,1051578,462,380.0,377.0
2012-12-24,385.0,393.0,379.0,384.0,3614548311,910994,738,384.0,382.0
2012-12-25,387.0,387.0,365.0,372.0,2835200297,736825,438,384.0,365.0
2012-12-26,358.0,377.0,354.0,358.0,3888918773,1052087,518,372.0,355.0
2012-12-29,363.0,363.0,341.0,343.0,2472057698,696692,423,358.0,341.0
2012-12-30,331.0,345.0,327.0,333.0,1680616918,488813,248,343.0,340.0
2012-12-31,346.0,349.0,346.0,348.0,364339595,101165,48,333.0,349.0
2013-01-01,366.0,366.0,360.0,365.0,4119662928,1091396,439,348.0,366.0
2013-01-02,372.0,372.0,351.0,360.0,856855854,229962,138,365.0,365.0
2013-01-06,365.0,365.0,342.0,343.0,1502626139,423737,202,360.0,342.0
2013-01-07,334.0,353.0,334.0,347.0,627619430,174851,104,343.0,348.0
2013-01-08,349.0,358.0,344.0,349.0,691807442,191616,101,347.0,353.0
2013-01-09,356.0,367.0,348.0,363.0,1666674983,444375,202,349.0,365.0
2013-01-13,367.0,375.0,358.0,371.0,1298758697,339027,147,363.0,365.0
2013-01-14,372.0,372.0,352.0,356.0,1069807225,290334,164,371.0,352.0
2013-01-15,354.0,358.0,345.0,350.0,487499471,134873,79,356.0,345.0
2013-01-16,353.0,353.0,345.0,348.0,626981810,174457,90,350.0,346.0
2013-01-19,348.0,348.0,331.0,335.0,803699138,231824,116,348.0,332.0
2013-01-20,334.0,342.0,334.0,337.0,806644654,231380,174,335.0,337.0
2013-01-21,336.0,336.0,320.0,323.0,1020921681,305552,144,337.0,320.0
2013-01-22,309.0,321.0,307.0,308.0,550507416,172793,115,323.0,307.0
2013-01-23,309.0,324.0,309.0,323.0,437491968,131127,52,308.0,324.0
2013-01-26,338.0,338.0,319.0,330.0,802482693,235433,86,323.0,328.0
2013-01-27,314.0,328.0,314.0,323.0,1325515868,397264,130,330.0,324.0
2013-01-28,325.0,334.0,316.0,327.0,297872990,88200,59,323.0,334.0
2013-01-30,319.0,327.0,317.0,321.0,621232120,186942,82,327.0,321.0
2013-02-02,328.0,338.0,328.0,337.0,1100417505,315520,112,321.0,338.0
2013-02-03,343.0,343.0,321.0,328.0,1010305795,297986,130,337.0,337.0
2013-02-04,329.0,329.0,313.0,315.0,293262688,89982,64,328.0,314.0
2013-02-05,319.0,327.0,315.0,321.0,279032441,84017,38,315.0,327.0
2013-02-06,319.0,331.0,319.0,328.0,571925626,168786,71,321.0,329.0
2013-02-09,336.0,341.0,318.0,333.0,283633086,82412,46,328.0,334.0
2013-02-11,324.0,335.0,321.0,328.0,316604969,93313,42,333.0,329.0
2013-02-12,329.0,333.0,320.0,325.0,704800670,209530,93,328.0,322.0
2013-02-13,312.0,322.0,312.0,319.0,609058904,184867,93,325.0,319.0
2013-02-16,319.0,329.0,313.0,320.0,197511406,59795,50,319.0,319.0
2013-02-17,319.0,321.0,314.0,316.0,609463414,186465,81,320.0,318.0
2013-02-18,310.0,319.0,310.0,316.0,91319925,27965,30,316.0,316.0
2013-02-19,319.0,332.0,319.0,330.0,1882625034,551548,203,316.0,327.0
2013-02-20,314.0,326.0,314.0,316.0,1583979766,485493,300,330.0,314.0
2013-02-23,325.0,325.0,305.0,307.0,322688209,101777,71,316.0,305.0
2013-02-24,317.0,317.0,291.0,294.0,761092214,250886,130,307.0,291.0
2013-02-25,282.0,294.0,279.0,281.0,696023239,239329,109,294.0,288.0
2013-02-26,295.0,295.0,295.0,295.0,477376239,156363,64,281.0,295.0
2013-02-27,300.0,300.0,282.0,291.0,674668469,224415,106,295.0,282.0
2013-03-02,279.0,281.0,276.0,277.0,526337084,183979,95,291.0,276.0
2013-03-03,268.0,285.0,268.0,278.0,328242266,114052,50,277.0,285.0
2013-03-04,270.0,281.0,269.0,277.0,162426252,56813,49,278.0,280.0
2013-03-05,285.0,285.0,268.0,271.0,39209700,14010,12,277.0,271.0
2013-03-06,280.0,280.0,257.0,261.0,333955313,124027,61,271.0,262.0
2013-03-09,269.0,269.0,250.0,253.0,173438124,66424,55,261.0,253.0
2013-03-10,240.0,261.0,240.0,254.0,327591076,124605,47,253.0,248.0
2013-03-11,259.0,259.0,244.0,249.0,285005524,110826,42,254.0,244.0
2013-03-12,243.0,252.0,241.0,245.0,266423811,105336,45,249.0,249.0
2013-03-13,255.0,257.0,255.0,257.0,386379941,145620,85,245.0,257.0
2013-03-16,261.0,269.0,246.0,260.0,495884089,184420,69,257.0,250.0
2013-03-17,261.0,261.0,248.0,249.0,59104651,22974,26,260.0,250.0
2013-03-18,248.0,261.0,248.0,256.0,104717681,39564,31,249.0,261.0
2013-03-25,261.0,269.0,261.0,266.0,42407175,15425,12,256.0,269.0
2013-03-26,269.0,279.0,269.0,279.0,746890583,259062,107,266.0,279.0
2013-03-27,293.0,293.0,274.0,281.0,623894490,214859,96,279.0,274.0
2013-03-30,281.0,281.0,267.0,271.0,150662430,53860,30,281.0,278.0
2013-03-31,262.0,280.0,262.0,276.0,83791740,29370,30,271.0,274.0
2013-04-03,272.0,277.0,270.0,271.0,80388061,28659,27,276.0,271.0
2013-04-06,275.0,279.0,259.0,271.0,92656190,33044,27,271.0,263.0
2013-04-07,266.0,275.0,263.0,264.0,84448387,30934,31,271.0,263.0
2013-04-08,256.0,263.0,253.0,257.0,249221020,93724,60,264.0,254.0
2013-04-09,261.0,269.0,261.0,263.0,70068370,25770,25,257.0,265.0
2013-04-10,276.0,276.0,261.0,270.0,453443656,162153,75,263.0,267.0
2013-05-04,322.0,377.0,322.0,355.0,2333078353,773359,332,270.0,368.0
2013-05-05,372.0,372.0,338.0,342.0,1518556239,523800,189,355.0,338.0
