date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-09-21,89.0,89.0,89.0,89.0,49997000000,19998800,25195,35.0,89.0
2016-09-24,93.0,93.0,93.0,93.0,31830750,12126,37,89.0,93.0
2016-09-25,98.0,98.0,98.0,98.0,57247632,20772,58,93.0,98.0
2016-09-26,102.0,102.0,102.0,102.0,48072981,16617,46,98.0,102.0
2016-09-27,108.0,108.0,108.0,108.0,161677732,53236,124,102.0,108.0
2016-09-28,113.0,113.0,113.0,113.0,316995592,99434,251,108.0,113.0
2016-10-01,119.0,119.0,119.0,119.0,658003465,196595,450,113.0,119.0
2016-10-02,124.0,124.0,124.0,124.0,551107648,156832,387,119.0,124.0
2016-10-03,131.0,131.0,131.0,131.0,1259077834,341306,793,124.0,131.0
2016-10-04,137.0,137.0,136.0,137.0,45968752542,11869414,19963,131.0,137.0
2016-10-05,135.0,136.0,130.0,132.0,19897223582,5356292,7835,137.0,130.0
2016-10-08,127.0,131.0,126.0,128.0,15992796221,4411958,4606,132.0,127.0
2016-10-09,126.0,132.0,126.0,130.0,5163167002,1407185,1444,128.0,130.0
2016-10-10,129.0,134.0,128.0,131.0,5081644929,1369023,988,130.0,131.0
2016-10-15,129.0,132.0,126.0,129.0,4037171558,1111541,840,131.0,127.0
2016-10-16,126.0,127.0,123.0,125.0,3510617986,996640,800,129.0,123.0
2016-10-17,124.0,127.0,121.0,123.0,2994659325,859780,790,125.0,122.0
2016-10-18,122.0,124.0,119.0,120.0,3866090154,1137264,734,123.0,119.0
2016-10-19,118.0,126.0,118.0,125.0,7433108600,2109617,1172,120.0,126.0
2016-10-22,124.0,129.0,120.0,126.0,4105304332,1158207,601,125.0,123.0
2016-10-23,122.0,127.0,119.0,122.0,5342957438,1556255,662,126.0,120.0
2016-10-24,121.0,124.0,121.0,122.0,2234923271,649024,407,122.0,122.0
2016-10-25,124.0,124.0,121.0,123.0,1822939824,526213,355,122.0,123.0
2016-10-26,124.0,129.0,123.0,128.0,6483044890,1797136,867,123.0,129.0
2016-10-29,130.0,134.0,129.0,134.0,12798693852,3390039,1234,128.0,132.0
2016-10-30,132.0,135.0,130.0,132.0,5248721133,1402779,649,134.0,131.0
2016-10-31,132.0,136.0,132.0,134.0,4126447868,1090360,499,132.0,133.0
2016-11-01,133.0,133.0,127.0,130.0,1360270413,370505,262,134.0,128.0
2016-11-02,127.0,131.0,126.0,127.0,1398556699,390461,212,130.0,126.0
2016-11-05,127.0,128.0,124.0,126.0,1085530050,305529,186,127.0,126.0
2016-11-06,124.0,131.0,124.0,129.0,2389215544,656605,322,126.0,129.0
2016-11-07,129.0,133.0,129.0,131.0,892177112,240229,201,129.0,132.0
2016-11-08,131.0,133.0,126.0,128.0,1462526687,405265,223,131.0,128.0
2016-11-09,121.0,124.0,121.0,122.0,3524493135,1026855,402,128.0,123.0
2016-11-12,126.0,126.0,120.0,122.0,1606978267,465048,195,122.0,123.0
2016-11-13,124.0,124.0,120.0,121.0,2399485874,700844,290,122.0,121.0
2016-11-14,124.0,127.0,123.0,127.0,3609511091,1008196,394,121.0,127.0
2016-11-15,129.0,133.0,127.0,132.0,9286297913,2484531,900,127.0,133.0
2016-11-16,137.0,139.0,134.0,138.0,8380999040,2143197,712,132.0,139.0
2016-11-19,145.0,145.0,145.0,145.0,1738110860,423310,124,138.0,145.0
2016-11-21,147.0,150.0,142.0,145.0,15790935075,3850501,1302,145.0,144.0
