date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-19,567.0,567.0,567.0,567.0,5443440,1480,2,567.0,567.0
2001-05-21,567.0,584.0,567.0,584.0,29843446,8045,15,567.0,584.0
2001-05-23,570.0,570.0,570.0,570.0,7392000,2000,1,584.0,570.0
2001-05-26,570.0,574.0,570.0,574.0,126124513,33963,28,570.0,574.0
2001-05-27,579.0,586.0,579.0,586.0,46134152,12232,8,574.0,586.0
2001-05-28,601.0,615.0,594.0,615.0,49968200,12732,11,586.0,615.0
2001-05-29,615.0,646.0,615.0,646.0,32915000,8000,2,615.0,646.0
2001-05-30,646.0,646.0,617.0,617.0,22714800,5600,3,646.0,617.0
2001-06-02,617.0,617.0,617.0,617.0,16012000,4000,8,617.0,617.0
2001-06-03,617.0,617.0,615.0,617.0,37983000,9500,7,617.0,617.0
2001-06-06,610.0,610.0,601.0,601.0,21575000,5500,2,617.0,601.0
2001-06-12,572.0,572.0,572.0,572.0,16675500,4500,3,601.0,572.0
2001-06-13,570.0,570.0,570.0,570.0,11455296,3096,3,572.0,570.0
2001-06-16,570.0,572.0,570.0,570.0,28717846,7760,8,570.0,570.0
2001-06-17,563.0,563.0,563.0,563.0,3651000,1000,2,570.0,563.0
2001-06-18,563.0,563.0,563.0,563.0,12778500,3500,7,563.0,563.0
2001-06-19,563.0,563.0,555.0,555.0,18144000,5000,3,563.0,555.0
2001-06-20,555.0,555.0,555.0,555.0,19800000,5500,5,555.0,555.0
2001-06-23,555.0,555.0,555.0,555.0,15478224,4300,4,555.0,555.0
2001-06-24,549.0,549.0,549.0,549.0,5340000,1500,2,555.0,549.0
2001-06-25,555.0,555.0,555.0,555.0,24113052,6700,11,549.0,555.0
2001-06-26,555.0,555.0,555.0,555.0,8637600,2400,2,555.0,555.0
2001-06-27,549.0,553.0,548.0,553.0,21403736,6004,11,555.0,553.0
2001-06-30,553.0,553.0,536.0,536.0,12820652,3605,11,553.0,536.0
2001-07-01,536.0,536.0,536.0,536.0,27784000,8000,7,536.0,536.0
2001-07-02,539.0,544.0,539.0,544.0,63390000,18000,10,536.0,544.0
2001-07-03,546.0,546.0,544.0,544.0,20115860,5693,5,544.0,544.0
2001-07-04,551.0,551.0,544.0,546.0,37613976,10596,7,544.0,546.0
2001-07-07,546.0,546.0,546.0,546.0,21933000,6200,4,546.0,546.0
2001-07-08,537.0,537.0,537.0,537.0,6961000,2000,2,546.0,537.0
2001-07-10,542.0,542.0,542.0,542.0,9368297,2664,6,537.0,542.0
2001-07-11,555.0,555.0,553.0,555.0,26226844,7296,7,542.0,555.0
2001-07-14,555.0,555.0,555.0,555.0,6105600,1696,1,555.0,555.0
2001-08-25,525.0,525.0,525.0,525.0,3400000,1000,1,555.0,525.0
2001-09-22,498.0,523.0,498.0,523.0,43129930,13170,12,525.0,523.0
2001-09-23,522.0,522.0,522.0,522.0,13789699,4081,2,523.0,522.0
2001-09-24,520.0,520.0,520.0,520.0,3337290,990,1,522.0,520.0
2001-09-25,510.0,510.0,510.0,510.0,3300000,1000,1,520.0,510.0
2001-10-03,484.0,498.0,484.0,498.0,18270303,5825,6,510.0,498.0
2001-10-14,473.0,473.0,473.0,473.0,3067000,1000,1,498.0,473.0
2001-10-21,463.0,466.0,463.0,466.0,9043500,3000,4,473.0,466.0
2001-10-23,466.0,473.0,465.0,465.0,50993745,16832,20,466.0,465.0
2001-10-24,468.0,489.0,468.0,489.0,5408660,1740,3,465.0,489.0
2001-10-27,510.0,513.0,498.0,513.0,32456793,9871,22,489.0,513.0
2001-10-28,539.0,539.0,539.0,539.0,6978000,2000,2,513.0,539.0
2001-10-30,529.0,529.0,529.0,529.0,342500,100,1,539.0,529.0
2001-11-03,527.0,527.0,527.0,527.0,341800,100,1,529.0,527.0
2001-11-05,510.0,510.0,510.0,510.0,13200000,4000,1,527.0,510.0
2001-11-06,510.0,510.0,510.0,510.0,16533000,5010,8,510.0,510.0
2001-11-07,510.0,510.0,510.0,510.0,4603500,1395,3,510.0,510.0
2001-11-11,510.0,510.0,510.0,510.0,14123760,4279,11,510.0,510.0
2001-11-24,504.0,534.0,504.0,510.0,1126022974,326118,15,510.0,510.0
2001-11-25,510.0,510.0,510.0,510.0,8236800,2496,2,510.0,510.0
2001-11-27,510.0,510.0,510.0,510.0,3960500,1200,3,510.0,510.0
2001-11-28,510.0,510.0,510.0,510.0,5939000,1800,2,510.0,510.0
2001-12-01,510.0,510.0,510.0,510.0,6269349,1900,5,510.0,510.0
2001-12-02,510.0,510.0,508.0,510.0,19638394,5953,6,510.0,510.0
2001-12-03,510.0,518.0,510.0,518.0,23280000,7000,4,510.0,518.0
2001-12-31,494.0,494.0,494.0,494.0,4070400,1272,1,518.0,494.0
2002-01-01,494.0,494.0,494.0,494.0,20741094,6483,9,494.0,494.0
2002-01-02,470.0,494.0,468.0,494.0,11239480,3595,4,494.0,494.0
2002-01-05,494.0,494.0,494.0,494.0,3532800,1104,1,494.0,494.0
2002-01-06,479.0,494.0,479.0,492.0,195057304,61562,10,494.0,492.0
2002-01-07,472.0,487.0,472.0,472.0,114936288,37054,17,492.0,472.0
2002-01-08,472.0,472.0,470.0,470.0,84722566,27774,17,472.0,470.0
2002-01-12,470.0,470.0,470.0,470.0,23128224,7588,2,470.0,470.0
2002-01-13,468.0,468.0,468.0,468.0,128590983,42331,6,470.0,468.0
2002-01-15,454.0,461.0,454.0,454.0,35725400,12100,14,468.0,454.0
2002-01-16,454.0,454.0,454.0,454.0,2567708,871,2,454.0,454.0
2002-01-19,461.0,477.0,461.0,477.0,18106672,6031,6,454.0,477.0
2002-01-20,501.0,501.0,501.0,501.0,18607023,5727,6,477.0,501.0
2002-01-21,503.0,508.0,503.0,508.0,8418200,2572,4,501.0,508.0
2002-01-22,510.0,510.0,510.0,510.0,26403000,8000,3,508.0,510.0
2002-01-26,517.0,517.0,517.0,517.0,1232800,368,2,510.0,517.0
2002-01-27,542.0,542.0,542.0,542.0,44820648,12744,3,517.0,542.0
2002-01-28,570.0,570.0,570.0,570.0,11076000,3000,4,542.0,570.0
2002-01-29,598.0,598.0,570.0,570.0,167567513,43466,19,570.0,570.0
2002-01-30,579.0,579.0,577.0,577.0,1244120,332,2,570.0,577.0
2002-02-02,574.0,574.0,574.0,574.0,9300000,2500,2,577.0,574.0
2002-02-03,570.0,570.0,570.0,570.0,11906540,3218,4,574.0,570.0
