date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-30,1616.0,1616.0,1616.0,1616.0,110171500,57985,2,851.0,1616.0
2013-12-11,1616.0,1616.0,1616.0,1616.0,34866900,18351,2,1616.0,1616.0
2013-12-22,1574.0,1616.0,1574.0,1576.0,35669900,19254,3,1616.0,1574.0
2014-01-04,1574.0,1574.0,1574.0,1574.0,40300400,21784,4,1576.0,1574.0
2014-01-07,1574.0,1616.0,1574.0,1574.0,15597850,8431,3,1574.0,1574.0
2014-01-13,1531.0,1531.0,1531.0,1531.0,27855000,15475,1,1574.0,1531.0
2014-01-21,1191.0,1191.0,1191.0,1191.0,7000000,5000,2,1531.0,1191.0
2014-02-01,898.0,898.0,851.0,852.0,5480600,5475,2,1191.0,851.0
2014-02-02,893.0,893.0,893.0,893.0,8563800,8156,1,852.0,893.0
2014-02-03,936.0,937.0,936.0,936.0,233201045,211905,5,893.0,937.0
2014-02-05,1148.0,1148.0,1148.0,1148.0,2867400,2124,1,936.0,1148.0
2014-02-08,1021.0,1259.0,1021.0,1067.0,6451600,5143,2,1148.0,1259.0
2014-02-10,1021.0,1021.0,1021.0,1021.0,282000000,235000,2,1067.0,1021.0
2014-02-17,1021.0,1063.0,957.0,990.0,161462750,138749,8,1021.0,1063.0
2014-02-18,1106.0,1106.0,936.0,963.0,157127175,138779,10,990.0,936.0
2014-02-19,1191.0,1191.0,936.0,965.0,113188625,99683,7,963.0,936.0
2014-02-23,903.0,903.0,893.0,901.0,13725865,12965,9,965.0,903.0
2014-02-24,1021.0,1021.0,935.0,984.0,40961035,35390,4,901.0,935.0
2014-02-26,885.0,885.0,885.0,885.0,19411600,18665,2,984.0,885.0
2014-03-02,885.0,885.0,885.0,885.0,15600000,15000,1,885.0,885.0
2014-03-04,936.0,936.0,936.0,936.0,64421500,58565,3,885.0,936.0
2014-03-09,936.0,944.0,893.0,936.0,11017320250,10016264,259,936.0,936.0
2014-03-10,936.0,936.0,868.0,936.0,1107167500,1006782,51,936.0,936.0
2014-03-11,936.0,936.0,868.0,933.0,98809080,90100,5,936.0,868.0
2014-03-12,868.0,868.0,868.0,868.0,9999060,9803,1,933.0,868.0
2014-03-16,931.0,936.0,931.0,932.0,16433000,15000,2,868.0,936.0
2014-03-18,936.0,936.0,936.0,936.0,3573900,3249,1,932.0,936.0
2014-03-19,936.0,936.0,868.0,902.0,21200000,20000,3,936.0,868.0
2014-03-25,936.0,936.0,936.0,936.0,109233300,99303,6,902.0,936.0
2014-03-30,876.0,876.0,876.0,876.0,2719200,2640,1,936.0,876.0
2014-03-31,927.0,936.0,927.0,934.0,13729700,12500,3,876.0,935.0
2014-04-08,936.0,936.0,936.0,936.0,561628100,510571,8,934.0,936.0
2014-04-09,936.0,936.0,936.0,936.0,66000000,60000,4,936.0,936.0
2014-04-13,885.0,886.0,870.0,879.0,93794246,90770,9,936.0,870.0
2014-04-14,870.0,870.0,870.0,870.0,17405322,17014,2,879.0,870.0
2014-04-15,869.0,869.0,859.0,861.0,81712250,80725,3,870.0,859.0
2014-04-16,859.0,868.0,851.0,858.0,227342704,225229,9,861.0,868.0
2014-04-19,902.0,902.0,860.0,863.0,112299000,110700,8,858.0,860.0
2014-04-20,860.0,860.0,860.0,860.0,970560,960,1,863.0,860.0
2014-04-21,860.0,860.0,842.0,846.0,6352650,6385,2,860.0,842.0
2014-04-23,860.0,860.0,860.0,860.0,93557940,92540,7,846.0,860.0
2014-04-26,851.0,851.0,845.0,848.0,32177167,32273,3,860.0,845.0
2014-04-27,859.0,902.0,851.0,865.0,210673080,207096,15,848.0,862.0
2014-04-28,863.0,863.0,859.0,862.0,19830910,19574,2,865.0,859.0
2014-04-29,851.0,893.0,850.0,851.0,30092000,30100,3,862.0,893.0
2014-04-30,893.0,893.0,893.0,893.0,5250000,5000,1,851.0,893.0
2014-05-03,885.0,885.0,850.0,857.0,54541105,54093,5,893.0,850.0
2014-05-04,851.0,893.0,851.0,891.0,41800250,39905,2,857.0,893.0
2014-05-05,859.0,859.0,859.0,859.0,10100000,10000,1,891.0,859.0
2014-05-06,851.0,859.0,851.0,854.0,56558450,56345,3,859.0,851.0
2014-05-10,829.0,829.0,829.0,829.0,8283600,8496,1,854.0,829.0
2014-05-12,829.0,850.0,829.0,836.0,40795884,41484,4,829.0,850.0
2014-05-14,829.0,848.0,766.0,801.0,168060780,178340,13,836.0,766.0
2014-05-17,749.0,766.0,749.0,753.0,34220800,38660,2,801.0,766.0
2014-05-18,766.0,766.0,766.0,766.0,8883000,9870,1,753.0,766.0
2014-05-19,783.0,783.0,783.0,783.0,5627640,6117,1,766.0,783.0
2014-05-20,783.0,787.0,766.0,777.0,71469943,78277,9,783.0,766.0
2014-05-21,807.0,807.0,807.0,807.0,2410460,2540,1,777.0,807.0
