date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-03-18,233.0,233.0,233.0,233.0,62000000,62000,1,233.0,233.0
2012-07-07,257.0,329.0,257.0,272.0,2813148161,2414882,1088,233.0,274.0
2012-07-08,280.0,280.0,258.0,270.0,1102982624,952616,644,272.0,259.0
2012-07-15,271.0,286.0,261.0,270.0,23345703,22501,8,270.0,286.0
2012-07-16,284.0,284.0,266.0,269.0,11375080,11001,10,270.0,266.0
2012-07-17,261.0,281.0,261.0,262.0,21687283,21570,7,269.0,266.0
2012-07-18,261.0,261.0,260.0,260.0,109194000,109144,29,262.0,260.0
2012-07-21,261.0,261.0,260.0,261.0,22897000,22878,8,260.0,260.0
2012-07-22,266.0,266.0,256.0,259.0,32175641,32360,18,261.0,256.0
2012-07-23,260.0,260.0,260.0,260.0,5000000,5000,4,259.0,260.0
2012-07-24,260.0,260.0,253.0,253.0,15760990,16217,9,260.0,260.0
2012-07-25,260.0,260.0,245.0,248.0,4253220,4463,4,253.0,245.0
2012-07-28,255.0,255.0,242.0,250.0,86750220,90463,28,248.0,255.0
2012-07-29,255.0,255.0,237.0,244.0,40782880,43552,15,250.0,240.0
2012-07-30,255.0,255.0,232.0,245.0,13937375,14801,5,244.0,254.0
2012-07-31,255.0,255.0,254.0,255.0,30769111,31473,5,245.0,254.0
2012-08-04,247.0,247.0,247.0,247.0,54093000,57000,6,255.0,247.0
2012-08-11,247.0,247.0,247.0,247.0,285000,300,1,247.0,247.0
2012-08-21,237.0,237.0,237.0,237.0,182000,200,2,247.0,237.0
2012-08-22,237.0,247.0,237.0,244.0,4679600,5000,3,237.0,247.0
2012-08-25,237.0,237.0,232.0,235.0,18064600,20050,6,244.0,232.0
2012-09-02,223.0,232.0,223.0,232.0,8932464,10050,6,235.0,232.0
2012-09-03,234.0,234.0,223.0,223.0,17175000,20050,3,232.0,223.0
2012-09-04,222.0,222.0,222.0,222.0,24962748,29299,9,223.0,222.0
2012-09-05,224.0,224.0,224.0,224.0,74820,87,1,222.0,224.0
2012-09-08,216.0,216.0,215.0,215.0,13330100,16150,4,224.0,215.0
2012-09-09,205.0,205.0,204.0,204.0,7144500,9100,4,215.0,204.0
2012-09-10,195.0,195.0,195.0,195.0,4482000,6000,1,204.0,195.0
2012-09-11,204.0,204.0,187.0,193.0,4739092,6376,4,195.0,204.0
2012-09-15,203.0,203.0,203.0,203.0,7800780,10001,6,193.0,203.0
2012-09-16,213.0,213.0,213.0,213.0,8190000,10000,1,203.0,213.0
2012-09-17,224.0,224.0,224.0,224.0,11575884,13476,3,213.0,224.0
