date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-12-02,989.0,989.0,981.0,984.0,25339319116,555000,653,0.0,984.0
2003-12-03,1033.0,1033.0,986.0,986.0,47926817,1000,4,984.0,986.0
2003-12-06,1035.0,1035.0,1035.0,1035.0,4803300000,100000,242,986.0,1035.0
2003-12-07,1087.0,1087.0,1035.0,1035.0,50431599,1000,2,1035.0,1035.0
2003-12-08,1087.0,1087.0,1087.0,1087.0,2471266000,49000,103,1035.0,1087.0
2003-12-09,1141.0,1141.0,1141.0,1141.0,1587855675,29985,73,1087.0,1141.0
2003-12-10,1084.0,1194.0,1084.0,1100.0,3868505567,75802,313,1141.0,1100.0
2003-12-13,1084.0,1088.0,1077.0,1083.0,3167551312,63040,107,1100.0,1083.0
2003-12-14,1083.0,1137.0,1056.0,1107.0,1810011088,35236,54,1083.0,1107.0
2003-12-15,1107.0,1107.0,1105.0,1107.0,1216781776,23690,29,1107.0,1107.0
2003-12-16,1107.0,1107.0,1107.0,1107.0,179560872,3496,10,1107.0,1107.0
2003-12-17,1099.0,1099.0,1067.0,1078.0,1071724970,21462,31,1107.0,1078.0
2003-12-21,1085.0,1085.0,1081.0,1081.0,504006640,10010,9,1078.0,1081.0
2003-12-23,1077.0,1077.0,1075.0,1077.0,1503544388,30089,44,1081.0,1077.0
2003-12-24,1056.0,1071.0,1056.0,1071.0,326205900,6657,12,1077.0,1071.0
2003-12-27,1076.0,1076.0,1073.0,1073.0,499978000,10010,12,1071.0,1073.0
2003-12-28,1076.0,1076.0,1067.0,1073.0,1001910745,20112,28,1073.0,1073.0
2003-12-29,1045.0,1064.0,1045.0,1064.0,703815050,14332,12,1073.0,1064.0
2003-12-30,1011.0,1056.0,1011.0,1053.0,631243616,13010,16,1064.0,1053.0
2003-12-31,1049.0,1055.0,1001.0,1047.0,1469336938,30228,35,1053.0,1047.0
2004-01-03,1047.0,1055.0,1047.0,1050.0,914551692,18754,19,1047.0,1050.0
2004-01-04,1056.0,1060.0,1053.0,1053.0,571793810,11670,23,1050.0,1053.0
2004-01-05,1069.0,1077.0,1054.0,1054.0,56404365,1130,7,1053.0,1054.0
2004-01-06,1099.0,1105.0,1093.0,1093.0,999330508,19586,16,1054.0,1093.0
2004-01-07,1105.0,1105.0,1095.0,1095.0,221043375,4309,15,1093.0,1095.0
2004-01-10,1105.0,1121.0,1105.0,1109.0,775447433,14975,15,1095.0,1109.0
2004-01-11,1109.0,1109.0,1109.0,1109.0,113102104,2198,6,1109.0,1109.0
2004-01-12,1109.0,1110.0,1108.0,1109.0,572762121,11131,14,1109.0,1109.0
2004-01-13,1103.0,1107.0,1077.0,1107.0,227451063,4465,12,1109.0,1107.0
2004-01-14,1103.0,1106.0,1103.0,1106.0,256829262,5010,6,1107.0,1106.0
2004-01-17,1105.0,1106.0,1105.0,1106.0,308310838,6010,9,1106.0,1106.0
2004-01-18,1106.0,1108.0,1099.0,1106.0,540609700,10535,13,1106.0,1106.0
2004-01-19,1078.0,1104.0,1077.0,1104.0,75512604,1510,4,1106.0,1104.0
2004-01-20,1078.0,1101.0,1077.0,1101.0,113013300,2260,6,1104.0,1101.0
2004-01-21,1078.0,1101.0,1078.0,1101.0,51016330,1010,3,1101.0,1101.0
2004-01-24,1099.0,1100.0,1099.0,1100.0,306509910,6010,8,1101.0,1100.0
2004-01-25,1080.0,1099.0,1077.0,1099.0,663006410,13015,10,1100.0,1099.0
2004-01-26,1099.0,1099.0,1099.0,1099.0,31106720,610,5,1099.0,1099.0
2004-01-27,1099.0,1099.0,1099.0,1099.0,40793600,800,1,1099.0,1099.0
2004-01-28,1099.0,1099.0,1099.0,1099.0,392544335,7697,11,1099.0,1099.0
2004-01-31,1103.0,1108.0,1101.0,1101.0,269043440,5240,7,1099.0,1101.0
2004-02-01,1078.0,1099.0,1078.0,1099.0,100511790,2010,2,1101.0,1099.0
2004-02-03,1097.0,1098.0,1097.0,1098.0,62496999,1228,6,1099.0,1098.0
2004-02-04,1097.0,1098.0,1097.0,1098.0,33590160,660,2,1098.0,1098.0
2004-02-07,1097.0,1098.0,1097.0,1098.0,390704642,7677,16,1098.0,1098.0
2004-02-08,1098.0,1098.0,1098.0,1098.0,84058761,1650,8,1098.0,1098.0
2004-02-09,1098.0,1099.0,1070.0,1097.0,56271348,1117,6,1098.0,1097.0
2004-02-15,1077.0,1094.0,1077.0,1094.0,186207660,3724,3,1097.0,1094.0
2004-02-16,1077.0,1089.0,1077.0,1089.0,368755180,7375,5,1094.0,1089.0
2004-02-17,1089.0,1089.0,1077.0,1085.0,339204424,6783,8,1089.0,1085.0
2004-02-18,1077.0,1089.0,1077.0,1086.0,257786845,5110,7,1085.0,1086.0
2004-02-21,1088.0,1089.0,1086.0,1086.0,154970410,3068,5,1086.0,1086.0
2004-02-22,1088.0,1089.0,1086.0,1086.0,93145614,1844,8,1086.0,1086.0
2004-02-23,1086.0,1086.0,1080.0,1086.0,561307640,11135,12,1086.0,1086.0
2004-02-24,1098.0,1099.0,1090.0,1090.0,366335040,7188,6,1086.0,1090.0
2004-02-25,1099.0,1099.0,1091.0,1091.0,135401175,2655,5,1090.0,1091.0
2004-03-03,1092.0,1092.0,1092.0,1092.0,25326000,500,1,1091.0,1092.0
2004-03-06,1080.0,1089.0,1080.0,1089.0,203414130,4060,12,1092.0,1089.0
2004-03-07,1089.0,1089.0,1089.0,1089.0,2426620,48,2,1089.0,1089.0
2004-03-08,1099.0,1099.0,1089.0,1094.0,551311490,10810,9,1089.0,1094.0
2004-03-09,1094.0,1099.0,1094.0,1096.0,627609464,12310,8,1094.0,1096.0
2004-03-10,1099.0,1110.0,1094.0,1096.0,186176705,3659,8,1096.0,1096.0
2004-03-13,1097.0,1099.0,1094.0,1097.0,1095754110,21534,13,1096.0,1097.0
2004-03-14,1097.0,1097.0,1097.0,1097.0,254928830,5010,4,1097.0,1097.0
2004-03-15,1097.0,1097.0,1097.0,1097.0,2123687288,41736,16,1097.0,1097.0
2004-03-16,1099.0,1110.0,1099.0,1099.0,1095264171,21476,10,1097.0,1099.0
2004-03-17,1099.0,1099.0,1099.0,1099.0,5303920,104,2,1099.0,1099.0
2004-03-29,1099.0,1099.0,1099.0,1099.0,53898694,1057,6,1099.0,1099.0
2004-03-30,1099.0,1099.0,1099.0,1099.0,17387600,341,4,1099.0,1099.0
2004-04-03,1099.0,1099.0,1099.0,1099.0,10206883650,200135,3,1099.0,1099.0
2004-04-04,1088.0,1099.0,1088.0,1099.0,174102830,3418,9,1099.0,1099.0
2004-04-05,1098.0,1098.0,1077.0,1098.0,68069107,1345,5,1099.0,1098.0
2004-04-12,1098.0,1098.0,1098.0,1098.0,22312396,438,3,1098.0,1098.0
2004-04-17,1097.0,1098.0,1097.0,1098.0,255220535,5010,14,1098.0,1098.0
2004-04-18,1098.0,1098.0,1098.0,1098.0,866400,17,2,1098.0,1098.0
2004-04-26,1098.0,1098.0,1098.0,1098.0,139015669,2729,8,1098.0,1098.0
2004-04-27,1098.0,1098.0,1098.0,1098.0,789864500,15500,2,1098.0,1098.0
2004-05-01,1097.0,1097.0,1097.0,1097.0,1018509200,20010,3,1098.0,1097.0
2004-05-04,1077.0,1097.0,1077.0,1097.0,30509010,610,5,1097.0,1097.0
2004-05-15,1075.0,1097.0,1075.0,1097.0,15475310,310,3,1097.0,1097.0
2004-05-17,1052.0,1096.0,1052.0,1096.0,15148700,310,3,1097.0,1096.0
2004-05-23,1041.0,1096.0,1041.0,1096.0,7419341,153,2,1096.0,1096.0
2004-05-25,1041.0,1096.0,1041.0,1096.0,7755850,160,2,1096.0,1096.0
2004-05-26,1041.0,1092.0,1041.0,1092.0,97112770,2010,2,1096.0,1092.0
2004-05-30,1037.0,1067.0,1037.0,1067.0,670852216,13934,13,1092.0,1067.0
2004-05-31,1041.0,1066.0,1041.0,1066.0,48796760,1010,2,1067.0,1066.0
2004-06-01,1013.0,1066.0,1013.0,1066.0,12247050,260,2,1066.0,1066.0
2004-06-02,1041.0,1065.0,1041.0,1065.0,14498487,300,4,1066.0,1065.0
2004-06-06,1040.0,1056.0,1024.0,1054.0,783267786,16160,21,1065.0,1054.0
2004-06-07,1045.0,1054.0,1045.0,1054.0,11692710,241,3,1054.0,1054.0
2004-06-12,1056.0,1098.0,1056.0,1061.0,815170780,16457,10,1054.0,1061.0
2004-06-13,1043.0,1098.0,1043.0,1062.0,182272818,3683,13,1061.0,1062.0
2004-07-18,991.0,991.0,991.0,991.0,32200000,700,1,1062.0,991.0
2004-07-20,1006.0,1006.0,992.0,992.0,23810110,510,2,991.0,992.0
2004-07-24,1024.0,1024.0,992.0,992.0,18985300,400,2,992.0,992.0
2004-07-25,1031.0,1031.0,992.0,992.0,7637880,160,2,992.0,992.0
2004-07-27,1034.0,1034.0,993.0,993.0,24460700,510,3,992.0,993.0
2004-07-28,1042.0,1042.0,993.0,993.0,10372600,215,2,993.0,993.0
2004-07-31,1034.0,1034.0,993.0,993.0,12461000,260,2,993.0,993.0
2004-08-01,993.0,993.0,993.0,993.0,467925000,10150,2,993.0,993.0
2004-08-03,993.0,993.0,993.0,993.0,154892990,3360,3,993.0,993.0
2004-08-04,1009.0,1034.0,995.0,995.0,59736530,1260,4,993.0,995.0
2004-08-08,994.0,995.0,994.0,995.0,92952200,2015,3,995.0,995.0
2004-08-09,991.0,995.0,991.0,995.0,5383500,117,2,995.0,995.0
2004-08-11,990.0,1034.0,990.0,997.0,569491184,12259,15,995.0,997.0
2004-08-18,991.0,1013.0,991.0,998.0,93852001,2004,8,997.0,998.0
2004-08-31,996.0,998.0,996.0,998.0,12023720,260,6,998.0,998.0
2004-09-28,506.0,506.0,506.0,506.0,25732500,1095,6,998.0,506.0
2004-09-29,506.0,506.0,496.0,506.0,27827450,1195,8,506.0,506.0
2004-10-02,506.0,509.0,506.0,506.0,16026754,680,7,506.0,506.0
2004-10-03,504.0,506.0,504.0,506.0,22791861,974,6,506.0,506.0
2004-10-04,506.0,506.0,506.0,506.0,1221542,52,2,506.0,506.0
2004-10-11,504.0,506.0,504.0,506.0,60911080,2603,4,506.0,506.0
2004-10-20,503.0,506.0,503.0,506.0,7239870,310,3,506.0,506.0
2004-10-25,504.0,506.0,504.0,506.0,22526440,963,4,506.0,506.0
2004-10-30,506.0,506.0,506.0,506.0,4930840,210,2,506.0,506.0
2004-10-31,500.0,506.0,500.0,506.0,32945945,1420,7,506.0,506.0
2004-11-01,502.0,506.0,502.0,506.0,11884750,510,3,506.0,506.0
2004-11-02,502.0,506.0,502.0,506.0,46066210,1977,6,506.0,506.0
2004-11-03,502.0,506.0,502.0,506.0,23371560,1003,3,506.0,506.0
2004-11-07,502.0,506.0,502.0,506.0,2564650,110,2,506.0,506.0
2004-11-10,505.0,506.0,505.0,506.0,4595782,196,2,506.0,506.0
2004-11-13,505.0,506.0,505.0,506.0,23691464,1010,6,506.0,506.0
2004-11-15,506.0,506.0,505.0,506.0,167423508,7136,9,506.0,506.0
2004-11-29,505.0,506.0,505.0,506.0,23685043,1010,5,506.0,506.0
2004-12-12,496.0,496.0,485.0,490.0,34580000,1520,3,506.0,490.0
2004-12-15,482.0,490.0,482.0,490.0,451390,20,3,490.0,490.0
2004-12-21,481.0,481.0,481.0,481.0,1722563500,77245,8,490.0,481.0
2004-12-22,474.0,481.0,474.0,481.0,2246990,102,2,481.0,481.0
2004-12-26,457.0,479.0,457.0,479.0,105426790,4976,6,481.0,479.0
2004-12-28,455.0,478.0,455.0,478.0,12121242,574,2,479.0,478.0
2004-12-29,454.0,476.0,454.0,476.0,121329304,5753,13,478.0,476.0
2005-01-01,455.0,485.0,455.0,476.0,18563680,849,6,476.0,476.0
2005-01-02,496.0,496.0,476.0,476.0,7260910,320,3,476.0,476.0
2005-01-03,500.0,500.0,476.0,476.0,8060360,355,4,476.0,476.0
2005-01-05,496.0,496.0,477.0,477.0,50131260,2180,3,476.0,477.0
2005-01-08,496.0,496.0,477.0,477.0,7811300,340,2,477.0,477.0
2005-01-09,492.0,496.0,477.0,477.0,27004440,1181,4,477.0,477.0
2005-01-10,478.0,478.0,477.0,477.0,36953483,1668,7,477.0,477.0
2005-01-11,496.0,496.0,477.0,477.0,4821460,210,2,477.0,477.0
2005-01-12,490.0,490.0,477.0,477.0,7046480,310,3,477.0,477.0
2005-01-15,490.0,490.0,477.0,477.0,13299020,585,5,477.0,477.0
2005-01-16,490.0,490.0,477.0,477.0,7046550,310,2,477.0,477.0
