date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-10-14,1745.0,1745.0,1745.0,1745.0,2346993600,1955828,163,1745.0,1745.0
2003-10-15,1834.0,1834.0,1834.0,1834.0,2180528280,1730578,208,1745.0,1834.0
2003-10-18,1925.0,1925.0,1925.0,1925.0,264600000,200000,27,1834.0,1925.0
2003-10-19,2020.0,2023.0,2020.0,2020.0,1677630000,1207000,25,1925.0,2020.0
2003-10-20,2122.0,2122.0,2020.0,2107.0,1653246314,1141583,337,2020.0,2107.0
2003-10-21,2122.0,2207.0,2003.0,2049.0,920564017,653939,186,2107.0,2049.0
2003-10-22,2049.0,2150.0,2049.0,2124.0,338361382,231686,57,2049.0,2124.0
2003-10-25,2211.0,2230.0,2211.0,2220.0,38905250,25510,11,2124.0,2220.0
2003-10-26,2330.0,2330.0,2330.0,2330.0,1104728424,690024,217,2220.0,2330.0
2003-10-27,2447.0,2447.0,2213.0,2443.0,2792794580,1767187,494,2330.0,2443.0
2003-10-28,2562.0,2564.0,2447.0,2518.0,515021288,297659,117,2443.0,2518.0
2003-10-29,2642.0,2642.0,2521.0,2612.0,67829247,37788,29,2518.0,2612.0
2003-11-01,2739.0,2739.0,2739.0,2739.0,1090257000,579000,252,2612.0,2739.0
2003-11-02,2878.0,2878.0,2765.0,2876.0,1175797772,594858,171,2739.0,2876.0
2003-11-03,3019.0,3019.0,3019.0,3019.0,701179994,338081,116,2876.0,3019.0
2003-11-04,3168.0,3168.0,3168.0,3168.0,1210403292,555996,175,3019.0,3168.0
2003-11-05,3326.0,3326.0,3201.0,3322.0,1204077825,527438,212,3168.0,3322.0
2003-11-08,3486.0,3486.0,3486.0,3486.0,1133319980,473005,179,3322.0,3486.0
2003-11-09,3660.0,3660.0,3660.0,3660.0,1011271440,402096,199,3486.0,3660.0
2003-11-10,3842.0,3842.0,3842.0,3842.0,1178020800,446220,195,3660.0,3842.0
2003-11-11,3850.0,3850.0,3649.0,3761.0,583110530,225548,131,3842.0,3761.0
2003-11-12,3638.0,3638.0,3573.0,3599.0,165957462,67098,50,3761.0,3599.0
2003-11-15,3419.0,3419.0,3419.0,3419.0,67299300,28638,9,3599.0,3419.0
2003-11-17,3250.0,3250.0,3250.0,3250.0,186631907,83579,63,3419.0,3250.0
2003-11-18,3088.0,3144.0,3088.0,3144.0,28598584,13477,6,3250.0,3144.0
2003-11-19,2988.0,2988.0,2988.0,2988.0,192088945,93565,37,3144.0,2988.0
