date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-01,195.0,195.0,195.0,195.0,4000000,1000,1,49.0,195.0
2014-02-02,195.0,195.0,160.0,181.0,5173500,1390,3,195.0,160.0
2014-02-03,170.0,170.0,170.0,170.0,3500000,1000,1,181.0,170.0
2014-02-05,146.0,146.0,146.0,146.0,3000000,1000,1,170.0,146.0
2014-02-08,122.0,122.0,122.0,122.0,3262500,1305,1,146.0,122.0
2014-02-12,97.0,97.0,97.0,97.0,80000000,40000,2,122.0,97.0
2014-02-17,97.0,97.0,97.0,97.0,20000000,10000,1,97.0,97.0
2014-02-18,97.0,97.0,97.0,97.0,48000000,24000,2,97.0,97.0
2014-02-19,95.0,95.0,95.0,95.0,70590000,36200,1,97.0,95.0
2014-02-24,95.0,95.0,95.0,95.0,5850000,3000,3,95.0,95.0
2014-02-26,90.0,90.0,73.0,81.0,105000000,63000,2,95.0,73.0
2014-03-02,92.0,92.0,92.0,92.0,5320000,2800,1,81.0,92.0
2014-03-04,73.0,73.0,63.0,68.0,117000000,84000,7,92.0,63.0
2014-03-08,63.0,63.0,63.0,63.0,130000000,100000,1,68.0,63.0
2014-03-09,58.0,58.0,53.0,56.0,46000000,40000,3,63.0,53.0
2014-03-10,49.0,49.0,49.0,49.0,33181000,33000,3,56.0,49.0
2014-04-07,73.0,73.0,73.0,73.0,30020000,20000,1,49.0,73.0
2014-04-08,73.0,73.0,73.0,73.0,4521000,3000,1,73.0,73.0
2014-04-13,73.0,73.0,73.0,73.0,16489000,11000,1,73.0,73.0
2014-04-14,54.0,54.0,51.0,53.0,62704000,57000,4,73.0,51.0
2014-04-15,58.0,58.0,58.0,58.0,8400000,7000,1,53.0,58.0
2014-04-19,80.0,80.0,80.0,80.0,990000,600,1,58.0,80.0
2014-05-07,58.0,73.0,58.0,67.0,121799000,89000,3,80.0,73.0
2014-05-10,83.0,83.0,83.0,83.0,170000,100,1,67.0,83.0
2014-05-17,73.0,73.0,73.0,73.0,16500000,11000,1,83.0,73.0
2014-05-18,68.0,68.0,68.0,68.0,1358000,970,1,73.0,68.0
2014-05-19,68.0,68.0,68.0,68.0,26600000,19000,1,68.0,68.0
2014-05-24,83.0,83.0,83.0,83.0,51000,30,1,68.0,83.0
2014-06-03,61.0,61.0,61.0,61.0,2500000,2000,1,83.0,61.0
2014-06-14,61.0,61.0,61.0,61.0,15008000,12000,3,61.0,61.0
2014-06-18,68.0,68.0,68.0,68.0,11200000,8000,1,61.0,68.0
2014-06-23,73.0,73.0,73.0,73.0,32253000,21502,2,68.0,73.0
2014-06-28,73.0,73.0,73.0,73.0,14661000,9774,2,73.0,73.0
2014-07-05,97.0,97.0,97.0,97.0,2067610,1039,2,73.0,97.0
2014-07-06,97.0,97.0,97.0,97.0,19900000,10000,1,97.0,97.0
2014-07-07,86.0,86.0,84.0,85.0,3500000,2000,2,97.0,84.0
2014-07-09,96.0,96.0,96.0,96.0,1426280,724,1,85.0,96.0
2014-07-13,73.0,73.0,73.0,73.0,1500000,1000,1,96.0,73.0
2014-07-26,96.0,96.0,96.0,96.0,1969000,1000,1,73.0,96.0
2014-08-11,95.0,95.0,95.0,95.0,13140190,6736,2,96.0,95.0
2014-08-17,97.0,117.0,95.0,103.0,113443910,53340,8,95.0,117.0
2014-08-18,121.0,121.0,121.0,121.0,18670000,7500,2,103.0,121.0
2014-08-19,146.0,146.0,122.0,135.0,155199000,55898,3,121.0,122.0
2014-08-24,96.0,146.0,96.0,122.0,38609260,15383,3,135.0,135.0
2014-09-01,108.0,108.0,108.0,108.0,1111000,500,1,122.0,108.0
2014-09-06,108.0,108.0,105.0,107.0,24743274,11242,4,108.0,108.0
2014-09-10,108.0,108.0,105.0,105.0,5339200,2480,2,107.0,105.0
2014-09-13,122.0,122.0,122.0,122.0,12500000,5000,1,105.0,122.0
2014-09-22,126.0,126.0,126.0,126.0,10935600,4206,1,122.0,126.0
2014-10-07,165.0,165.0,165.0,165.0,4127600,1214,1,126.0,165.0
2014-10-14,126.0,126.0,126.0,126.0,2601000,1000,1,165.0,126.0
2014-10-28,136.0,146.0,136.0,146.0,189416400,63164,3,126.0,146.0
2014-11-01,146.0,146.0,146.0,146.0,30000,10,1,146.0,146.0
2014-11-12,146.0,146.0,107.0,114.0,14521800,6200,3,146.0,107.0
2014-11-26,107.0,122.0,107.0,111.0,46777500,20511,3,114.0,107.0
2014-12-16,93.0,93.0,93.0,93.0,2122960,1115,1,111.0,93.0
2014-12-30,75.0,75.0,75.0,75.0,19378640,12566,3,93.0,75.0
2015-01-07,62.0,62.0,62.0,62.0,64100,50,1,75.0,62.0
2015-01-11,64.0,64.0,64.0,64.0,5394840,4087,2,62.0,64.0
2015-01-20,102.0,102.0,102.0,102.0,12411000,5910,2,64.0,102.0
2015-01-24,109.0,109.0,109.0,109.0,13419000,5964,1,102.0,109.0
2015-01-27,131.0,131.0,131.0,131.0,135000,50,1,109.0,131.0
2015-01-28,146.0,146.0,131.0,142.0,6840000,2350,2,131.0,131.0
2015-01-31,131.0,146.0,131.0,143.0,46182000,15660,3,142.0,146.0
2015-02-01,146.0,146.0,146.0,146.0,9987000,3329,4,143.0,146.0
2015-04-14,73.0,73.0,73.0,73.0,487500,325,1,146.0,73.0
2015-04-19,78.0,78.0,78.0,78.0,7233600,4521,1,73.0,78.0
2015-04-22,73.0,73.0,73.0,73.0,21140,14,1,78.0,73.0
2016-02-16,73.0,73.0,72.0,73.0,15023400,10000,3,73.0,73.0
2016-03-08,73.0,73.0,73.0,73.0,3978650,2650,2,73.0,73.0
2016-04-03,73.0,73.0,73.0,73.0,19037183,12683,1,73.0,73.0
2016-05-01,97.0,97.0,97.0,97.0,109698860,54868,4,73.0,97.0
