date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-03,123.0,123.0,123.0,123.0,3500000000,1000000,1,35.0,123.0
2013-11-17,123.0,123.0,123.0,123.0,147840000,42240,1,123.0,123.0
2013-12-11,106.0,106.0,106.0,106.0,330000000,110000,1,123.0,106.0
2014-01-01,127.0,127.0,127.0,127.0,396000000,110000,1,106.0,127.0
2014-01-13,144.0,144.0,144.0,144.0,41000000,10000,1,127.0,144.0
2014-01-15,162.0,162.0,162.0,162.0,92000000,20000,2,144.0,162.0
2014-01-21,162.0,162.0,162.0,162.0,115920000,25200,2,162.0,162.0
2014-01-29,123.0,162.0,123.0,149.0,642952000,152272,2,162.0,162.0
2014-02-01,162.0,162.0,162.0,162.0,4600000,1000,1,149.0,162.0
2014-02-04,163.0,163.0,162.0,163.0,1708410160,370196,3,162.0,162.0
2014-03-02,166.0,166.0,166.0,166.0,70500000,15000,1,163.0,166.0
2014-04-05,166.0,166.0,166.0,166.0,363440000,77000,1,166.0,166.0
2014-04-14,166.0,166.0,166.0,166.0,9197171616,1947728,1,166.0,166.0
2014-06-07,208.0,208.0,208.0,208.0,1866855000,373371,1,166.0,208.0
2014-06-08,208.0,208.0,204.0,205.0,177710000,36000,4,208.0,204.0
2014-07-01,221.0,221.0,221.0,221.0,186235000,35000,2,205.0,221.0
2014-07-06,229.0,229.0,229.0,229.0,2874960000,522720,1,221.0,229.0
2014-07-22,196.0,196.0,196.0,196.0,45491556,9636,1,229.0,196.0
2014-08-05,197.0,197.0,196.0,196.0,18898000,4000,3,196.0,196.0
2014-08-06,196.0,196.0,196.0,196.0,18884000,4000,1,196.0,196.0
2014-08-23,208.0,208.0,208.0,208.0,566500000,113300,1,196.0,208.0
2014-09-16,208.0,208.0,208.0,208.0,3296360000,659272,1,208.0,208.0
2014-10-08,208.0,208.0,208.0,208.0,100000000,20000,1,208.0,208.0
2014-11-10,220.0,220.0,220.0,220.0,53000000,10000,1,208.0,220.0
2014-12-30,229.0,229.0,229.0,229.0,55000000,10000,1,220.0,229.0
2015-01-24,222.0,222.0,222.0,222.0,53500000,10000,1,229.0,222.0
2015-01-27,204.0,204.0,204.0,204.0,207132800,42272,1,222.0,204.0
2015-02-14,208.0,208.0,208.0,208.0,250000000,50000,2,204.0,208.0
2015-03-10,166.0,208.0,166.0,187.0,450000000,100000,2,208.0,208.0
2015-03-14,160.0,160.0,160.0,160.0,18803400,4884,1,187.0,160.0
2015-06-09,155.0,155.0,155.0,155.0,675048000,225016,4,160.0,155.0
2015-06-10,155.0,155.0,155.0,155.0,5753852220,1916094,3,155.0,155.0
2015-06-13,206.0,206.0,206.0,206.0,217256000,54314,1,155.0,206.0
2015-08-26,217.0,217.0,217.0,217.0,1050000000,250000,1,206.0,217.0
2015-09-05,217.0,217.0,217.0,217.0,1428000,340,2,217.0,217.0
2015-10-04,206.0,206.0,206.0,206.0,280000000,70000,1,217.0,206.0
2015-11-24,186.0,186.0,186.0,186.0,731808000,203280,1,206.0,186.0
2016-01-02,186.0,186.0,186.0,186.0,7200000,2000,1,186.0,186.0
2016-01-17,186.0,186.0,186.0,186.0,79200000,22000,1,186.0,186.0
2016-01-30,232.0,232.0,232.0,232.0,5880600000,1306800,1,186.0,232.0
2016-03-01,227.0,227.0,206.0,206.0,1200880000,300200,3,232.0,227.0
2016-04-03,212.0,212.0,212.0,212.0,63386000,15460,1,206.0,212.0
2016-05-04,222.0,222.0,222.0,222.0,21500000,5000,1,212.0,222.0
2016-05-10,222.0,222.0,222.0,222.0,430000,100,1,222.0,222.0
2016-05-11,212.0,213.0,212.0,212.0,107036460,26036,2,222.0,213.0
2016-06-11,210.0,210.0,210.0,210.0,175000000,50000,1,212.0,210.0
2016-06-12,210.0,210.0,210.0,210.0,7000000,2000,1,210.0,210.0
