date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-08-02,18.0,22.0,15.0,18.0,7865655009,4936804,902,11.0,20.0
2011-08-03,18.0,18.0,18.0,18.0,10214248,6109,5,18.0,18.0
2011-08-06,19.0,19.0,19.0,19.0,70200000,40000,6,18.0,19.0
2011-08-07,20.0,20.0,20.0,20.0,6966417238,3782013,836,19.0,20.0
2011-08-08,20.0,21.0,20.0,20.0,2351234038,1263661,397,20.0,20.0
2011-08-09,20.0,20.0,19.0,20.0,1935705237,1082040,267,20.0,20.0
2011-08-10,20.0,20.0,19.0,19.0,1040270562,589415,128,20.0,19.0
2011-08-13,20.0,20.0,19.0,20.0,2512058649,1362259,411,19.0,20.0
2011-08-14,20.0,20.0,19.0,20.0,775758198,437050,122,20.0,19.0
2011-08-15,19.0,20.0,19.0,19.0,578479820,331449,92,20.0,19.0
2011-08-16,19.0,20.0,19.0,20.0,1649965579,930689,233,19.0,20.0
2011-08-17,20.0,20.0,19.0,20.0,589830793,331266,65,20.0,20.0
2011-08-20,19.0,19.0,19.0,19.0,350043929,204479,60,20.0,19.0
2011-08-21,18.0,20.0,18.0,19.0,663114513,375829,94,19.0,19.0
2011-08-23,20.0,20.0,20.0,20.0,727932421,401591,119,19.0,20.0
2011-08-24,20.0,20.0,20.0,20.0,1339679415,729589,242,20.0,20.0
2011-08-27,20.0,20.0,19.0,20.0,957933493,530586,127,20.0,20.0
2011-08-28,19.0,20.0,19.0,20.0,1001877272,565301,126,20.0,20.0
2011-08-29,19.0,19.0,19.0,19.0,376322506,219948,68,20.0,19.0
2011-08-30,19.0,19.0,19.0,19.0,497028714,288455,67,19.0,19.0
2011-09-03,20.0,20.0,19.0,19.0,392010000,225000,39,19.0,19.0
2011-09-04,19.0,20.0,19.0,19.0,1018749817,579500,150,19.0,19.0
2011-09-05,19.0,19.0,19.0,19.0,601800710,348130,70,19.0,19.0
2011-09-06,19.0,20.0,19.0,20.0,1439602995,804459,240,19.0,20.0
2011-09-07,20.0,20.0,19.0,20.0,1657856871,929468,228,20.0,20.0
2011-09-10,20.0,20.0,19.0,20.0,102115108,57389,23,20.0,20.0
2011-09-11,20.0,20.0,19.0,20.0,1037048983,581981,125,20.0,20.0
2011-09-12,20.0,20.0,19.0,20.0,368849937,207169,76,20.0,20.0
2011-09-13,19.0,20.0,19.0,20.0,354525347,197901,66,20.0,20.0
2011-09-14,20.0,20.0,20.0,20.0,314963200,173000,53,20.0,20.0
2011-09-17,20.0,21.0,20.0,21.0,824283157,435940,122,20.0,20.0
2011-09-18,22.0,22.0,20.0,20.0,601589302,328958,70,21.0,20.0
2011-09-19,20.0,20.0,19.0,20.0,381324612,206942,158,20.0,20.0
2011-09-21,20.0,20.0,19.0,20.0,68779364,38567,8,20.0,20.0
2011-09-25,19.0,19.0,19.0,19.0,44730500,25655,14,20.0,19.0
2011-09-26,20.0,20.0,19.0,19.0,244605258,143208,67,19.0,19.0
2011-09-27,19.0,19.0,19.0,19.0,300468589,175100,52,19.0,19.0
2011-09-28,19.0,19.0,19.0,19.0,92706121,54020,25,19.0,19.0
2011-10-01,19.0,19.0,18.0,18.0,560722925,335115,177,19.0,18.0
2011-10-02,18.0,18.0,18.0,18.0,78723070,47552,15,18.0,18.0
2011-10-03,19.0,19.0,18.0,18.0,150823000,91000,16,18.0,18.0
2011-10-04,18.0,19.0,17.0,18.0,213842644,133012,60,18.0,18.0
2011-10-05,18.0,18.0,18.0,18.0,49016160,30226,9,18.0,18.0
2011-10-08,18.0,18.0,18.0,18.0,214706954,133100,32,18.0,18.0
2011-10-09,18.0,18.0,17.0,17.0,316153890,201617,50,18.0,17.0
2011-10-10,18.0,18.0,17.0,17.0,22335600,14402,6,17.0,17.0
2011-10-11,17.0,17.0,17.0,17.0,90421744,57648,22,17.0,17.0
2011-10-12,17.0,17.0,17.0,17.0,24915900,16000,8,17.0,17.0
2011-10-15,17.0,17.0,16.0,17.0,135549206,90364,26,17.0,16.0
