date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-12-03,198.0,198.0,183.0,186.0,10720668833,879950,558,0.0,186.0
2003-12-06,195.0,195.0,193.0,193.0,768286290,60060,39,186.0,193.0
2003-12-07,203.0,203.0,201.0,201.0,798251740,60010,20,193.0,201.0
2003-12-08,211.0,211.0,206.0,206.0,553415240,40010,28,201.0,206.0
2003-12-09,211.0,217.0,203.0,213.0,4288007643,306820,311,206.0,213.0
2003-12-10,212.0,212.0,203.0,210.0,506864501,37318,64,213.0,210.0
2003-12-13,209.0,221.0,209.0,214.0,687874306,48790,76,210.0,214.0
2003-12-14,224.0,224.0,117.0,220.0,2412984093,257681,443,214.0,220.0
2003-12-15,218.0,220.0,217.0,219.0,623721945,43674,72,220.0,219.0
2003-12-16,219.0,221.0,219.0,219.0,203772468,14184,30,219.0,219.0
2003-12-17,219.0,227.0,219.0,220.0,383825563,26493,52,219.0,220.0
2003-12-21,220.0,223.0,220.0,220.0,341325073,23450,46,220.0,220.0
2003-12-22,222.0,222.0,221.0,221.0,713478654,49174,56,220.0,221.0
2003-12-23,222.0,223.0,221.0,221.0,87449918911,6010294,24,221.0,221.0
2003-12-24,223.0,223.0,222.0,222.0,254629107,17425,25,221.0,222.0
2003-12-27,224.0,225.0,222.0,222.0,447338881,30562,53,222.0,222.0
2003-12-28,223.0,223.0,221.0,222.0,352449362,24329,33,222.0,222.0
2003-12-29,221.0,221.0,217.0,221.0,226783481,15792,29,222.0,221.0
2003-12-30,218.0,221.0,216.0,221.0,108468291,7616,23,221.0,221.0
2003-12-31,215.0,220.0,214.0,220.0,243434750,17297,43,221.0,220.0
2004-01-03,214.0,219.0,213.0,219.0,88588594,6335,22,220.0,219.0
2004-01-04,213.0,213.0,212.0,212.0,1088522303,78288,47,219.0,212.0
2004-01-05,212.0,213.0,212.0,212.0,248831641,17895,29,212.0,212.0
2004-01-06,212.0,217.0,212.0,213.0,331901516,23608,28,212.0,213.0
2004-01-07,218.0,221.0,217.0,220.0,1055663675,73077,51,213.0,220.0
2004-01-10,221.0,229.0,220.0,221.0,732609784,50502,48,220.0,221.0
2004-01-11,221.0,221.0,218.0,221.0,201418526,13980,27,221.0,221.0
2004-01-12,221.0,221.0,218.0,220.0,359718638,25078,35,221.0,220.0
2004-01-13,220.0,221.0,220.0,221.0,552369350,38123,32,220.0,221.0
2004-01-14,221.0,221.0,221.0,221.0,551280409,38023,44,221.0,221.0
2004-01-17,221.0,221.0,221.0,221.0,335078490,23134,35,221.0,221.0
2004-01-18,221.0,221.0,220.0,221.0,128338940,8876,25,221.0,221.0
2004-01-19,218.0,221.0,217.0,221.0,101113318,7046,21,221.0,221.0
2004-01-20,217.0,220.0,212.0,220.0,102711820,7344,22,221.0,220.0
2004-01-21,217.0,221.0,217.0,220.0,95002864,6591,16,220.0,220.0
2004-01-24,221.0,221.0,220.0,220.0,199079473,13787,30,220.0,220.0
2004-01-25,221.0,221.0,218.0,220.0,149254189,10310,29,220.0,220.0
2004-01-26,220.0,220.0,220.0,220.0,86888856,6028,13,220.0,220.0
2004-01-27,220.0,221.0,218.0,220.0,229479120,15869,29,220.0,220.0
2004-01-28,220.0,221.0,219.0,220.0,181597587,12555,23,220.0,220.0
2004-01-31,221.0,221.0,219.0,220.0,111210646,7713,19,220.0,220.0
2004-02-01,220.0,221.0,218.0,220.0,129812882,8983,29,220.0,220.0
2004-02-03,220.0,221.0,220.0,221.0,917185988,63262,28,220.0,221.0
2004-02-04,221.0,221.0,221.0,221.0,125055706,8625,14,221.0,221.0
2004-02-07,221.0,222.0,220.0,221.0,142362913,9820,24,221.0,221.0
2004-02-08,221.0,221.0,218.0,221.0,56595077,3909,16,221.0,221.0
2004-02-09,221.0,221.0,221.0,221.0,82947318,5732,11,221.0,221.0
2004-02-14,220.0,221.0,218.0,221.0,179718861,12542,19,221.0,221.0
2004-02-15,218.0,220.0,214.0,220.0,81118901,5740,16,221.0,220.0
2004-02-16,214.0,220.0,211.0,220.0,44849162,3224,7,220.0,220.0
2004-02-17,211.0,218.0,211.0,218.0,281633272,20209,27,220.0,218.0
2004-02-18,214.0,217.0,212.0,217.0,134918643,9647,19,218.0,217.0
2004-02-21,217.0,217.0,214.0,217.0,187780134,13354,17,217.0,217.0
2004-02-22,213.0,217.0,213.0,217.0,93401678,6679,14,217.0,217.0
2004-02-23,214.0,216.0,214.0,216.0,113576275,8115,15,217.0,216.0
2004-02-24,214.0,216.0,214.0,216.0,204096217,14580,18,216.0,216.0
2004-02-25,215.0,215.0,212.0,215.0,127283656,9123,19,216.0,215.0
2004-02-28,214.0,215.0,212.0,215.0,450029679,32167,29,215.0,215.0
2004-02-29,215.0,215.0,212.0,215.0,106696325,7630,15,215.0,215.0
2004-03-03,212.0,214.0,212.0,214.0,18970840,1361,4,215.0,214.0
2004-03-06,212.0,214.0,212.0,214.0,197123173,14196,22,214.0,214.0
2004-03-07,212.0,214.0,212.0,214.0,249795222,17884,32,214.0,214.0
2004-03-08,214.0,214.0,208.0,213.0,277174174,19978,24,214.0,213.0
2004-03-09,211.0,214.0,211.0,213.0,165654872,11866,16,213.0,213.0
2004-03-10,212.0,213.0,212.0,213.0,96533354,6949,21,213.0,213.0
2004-03-15,214.0,214.0,214.0,214.0,36105806,2579,8,213.0,214.0
2004-03-16,214.0,214.0,214.0,214.0,590828028,42202,37,214.0,214.0
2004-03-17,214.0,214.0,214.0,214.0,519284617,37092,38,214.0,214.0
2004-03-27,214.0,214.0,214.0,214.0,231740447,16553,9,214.0,214.0
2004-03-28,214.0,214.0,214.0,214.0,216698871,15480,12,214.0,214.0
2004-03-29,214.0,214.0,213.0,213.0,2244228027,160757,39,214.0,213.0
2004-03-30,214.0,219.0,214.0,214.0,1578517414,112745,34,213.0,214.0
2004-04-03,219.0,220.0,214.0,214.0,65782840,4669,9,214.0,214.0
2004-04-04,214.0,214.0,213.0,214.0,129597442,9265,12,214.0,214.0
2004-04-05,213.0,213.0,211.0,213.0,325731656,23444,18,214.0,213.0
2004-04-06,208.0,213.0,206.0,213.0,191459530,14078,19,213.0,213.0
2004-04-07,210.0,212.0,208.0,212.0,153278134,11142,22,213.0,212.0
2004-04-10,212.0,212.0,208.0,212.0,50669876,3719,14,212.0,212.0
2004-04-12,206.0,211.0,206.0,211.0,178972558,13202,29,212.0,211.0
