date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-01-27,7340.0,8070.0,7150.0,7880.0,49335476310,6257558,4544,1000.0,8070.0
2024-01-28,8100.0,8350.0,8000.0,8190.0,68075971330,8315782,4898,7880.0,8180.0
2024-01-29,8230.0,8230.0,8010.0,8140.0,23441742760,2880799,2782,8190.0,8200.0
2024-01-30,8000.0,8010.0,7800.0,7920.0,11649574730,1470284,2969,8140.0,7840.0
2024-01-31,7740.0,7870.0,7400.0,7770.0,15368603770,1978651,1640,7920.0,7820.0
2024-02-03,7580.0,7810.0,7580.0,7760.0,7676619920,988927,1757,7770.0,7810.0
2024-02-04,7520.0,7820.0,7520.0,7690.0,8032962040,1045039,1420,7760.0,7660.0
2024-02-05,7540.0,7720.0,7540.0,7620.0,5656087710,741848,1368,7690.0,7650.0
2024-02-06,7530.0,7680.0,7530.0,7630.0,7982638760,1046706,1335,7620.0,7630.0
2024-02-07,7520.0,7630.0,7500.0,7590.0,14038769200,1848493,2127,7630.0,7610.0
2024-02-10,7600.0,7700.0,7540.0,7630.0,4751848120,622955,1300,7590.0,7660.0
2024-02-12,7560.0,7700.0,7560.0,7650.0,16942197150,2214330,1483,7630.0,7660.0
2024-02-13,7580.0,7660.0,7560.0,7600.0,8958238800,1177967,1167,7650.0,7610.0
2024-02-14,7570.0,7590.0,7550.0,7560.0,10451936760,1382259,1713,7600.0,7550.0
2024-02-17,7540.0,7540.0,7450.0,7490.0,6593585880,879796,1112,7560.0,7500.0
2024-02-18,7450.0,7690.0,7420.0,7520.0,11358575600,1510516,1469,7490.0,7540.0
2024-02-19,7420.0,7710.0,7420.0,7640.0,4843338860,634300,1150,7520.0,7700.0
2024-02-20,7510.0,7720.0,7500.0,7620.0,7672733620,1006522,998,7640.0,7620.0
2024-02-21,7600.0,7700.0,7600.0,7660.0,6051528590,789700,1081,7620.0,7650.0
2024-02-24,7600.0,7630.0,7500.0,7580.0,5839367580,770201,1029,7660.0,7620.0
2024-02-26,7460.0,7640.0,7460.0,7570.0,8167306710,1078563,926,7580.0,7580.0
2024-02-27,7470.0,7660.0,7460.0,7550.0,4049182020,536541,845,7570.0,7610.0
2024-02-28,7510.0,7630.0,7510.0,7600.0,5235858270,689280,941,7550.0,7600.0
2024-03-02,7530.0,7660.0,7460.0,7570.0,5260917270,694771,924,7600.0,7620.0
2024-03-03,7520.0,7800.0,7520.0,7720.0,30786475410,3988568,1737,7570.0,7690.0
2024-03-04,7580.0,7750.0,7580.0,7680.0,9852601930,1282760,999,7720.0,7700.0
2024-03-05,7570.0,7860.0,7520.0,7720.0,7080623420,917582,1159,7680.0,7700.0
2024-03-06,7590.0,7750.0,7590.0,7700.0,7710822380,1001824,893,7720.0,7670.0
2024-03-09,7600.0,7700.0,7570.0,7610.0,3902892950,513042,840,7700.0,7600.0
2024-03-10,7540.0,7580.0,7500.0,7530.0,8401917340,1115204,820,7610.0,7540.0
2024-03-11,7500.0,7590.0,7460.0,7530.0,5051832920,671054,932,7530.0,7540.0
2024-03-12,7490.0,7580.0,7490.0,7520.0,78853262840,10484317,1176,7530.0,7510.0
2024-03-13,7500.0,7530.0,7470.0,7510.0,11836840620,1576102,896,7520.0,7520.0
2024-03-16,7500.0,7520.0,7400.0,7430.0,12726772140,1712370,1153,7510.0,7410.0
2024-03-17,7300.0,7510.0,7300.0,7440.0,19256024490,2589303,1881,7430.0,7460.0
2024-03-18,7410.0,7670.0,7310.0,7420.0,30570193820,4117903,2796,7440.0,7630.0
2024-07-06,9740.0,9740.0,9740.0,9740.0,681800000000,70000000,407,7420.0,9740.0
2024-07-07,9740.0,9900.0,9740.0,9810.0,923764467100,94126549,970,9740.0,9900.0
2024-07-08,9810.0,9900.0,9700.0,9740.0,259126773760,26600000,288,9810.0,9900.0
2024-07-09,9800.0,9900.0,9800.0,9840.0,69199970200,7032059,55,9740.0,9900.0
