date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-09-19,14.0,14.0,14.0,14.0,102559264500,9767549,826,1.0,14.0
2011-09-20,15.0,15.0,15.0,15.0,4939530750,448030,177,14.0,15.0
2011-09-21,15.0,16.0,15.0,16.0,55094150819,4779902,3817,15.0,16.0
2011-09-25,16.0,16.0,15.0,16.0,30066422253,2596660,2362,16.0,15.0
2011-09-26,16.0,16.0,15.0,15.0,8464894505,752679,837,16.0,15.0
2011-09-27,15.0,16.0,15.0,15.0,6016099643,530198,422,15.0,15.0
2011-09-28,15.0,15.0,15.0,15.0,5896913340,532289,439,15.0,15.0
2011-10-01,15.0,15.0,15.0,15.0,2512192733,231975,190,15.0,15.0
2011-10-02,14.0,15.0,14.0,15.0,6248802286,575524,324,15.0,15.0
2011-10-03,15.0,15.0,15.0,15.0,3979067577,363482,246,15.0,15.0
2011-10-04,15.0,15.0,14.0,15.0,2626814834,243374,115,15.0,15.0
2011-10-05,15.0,15.0,14.0,15.0,2026847485,189185,147,15.0,15.0
2011-10-08,15.0,15.0,15.0,15.0,2816509290,260632,208,15.0,15.0
2011-10-09,15.0,15.0,15.0,15.0,2835456381,262164,157,15.0,15.0
2011-10-10,15.0,15.0,15.0,15.0,4037243209,371088,279,15.0,15.0
2011-10-11,15.0,15.0,15.0,15.0,1826378353,167876,104,15.0,15.0
2011-10-12,15.0,15.0,15.0,15.0,1507396427,140434,85,15.0,15.0
2011-10-15,15.0,15.0,14.0,14.0,5788766381,544960,269,15.0,14.0
2011-10-16,14.0,14.0,14.0,14.0,12974456813,1229590,404,14.0,14.0
2011-10-17,14.0,14.0,14.0,14.0,2715697997,257343,98,14.0,14.0
2011-10-18,14.0,14.0,14.0,14.0,2542250006,240820,103,14.0,14.0
2011-10-19,14.0,15.0,14.0,14.0,4553043434,431279,152,14.0,15.0
2011-10-22,14.0,14.0,14.0,14.0,2160949499,204663,81,14.0,14.0
2011-10-23,14.0,14.0,14.0,14.0,1016978132,96342,46,14.0,14.0
2011-10-24,14.0,14.0,14.0,14.0,4459069290,422446,119,14.0,14.0
2011-10-25,14.0,14.0,14.0,14.0,1057795825,100217,50,14.0,14.0
2011-10-26,14.0,14.0,14.0,14.0,993660223,94115,60,14.0,14.0
2011-10-29,14.0,15.0,14.0,14.0,2465805485,233560,53,14.0,14.0
2011-10-30,14.0,14.0,14.0,14.0,4190598049,397008,112,14.0,14.0
2011-10-31,14.0,14.0,14.0,14.0,952481336,90163,50,14.0,14.0
2011-11-01,14.0,14.0,14.0,14.0,838915295,79480,41,14.0,14.0
2011-11-02,14.0,14.0,14.0,14.0,707486075,66965,52,14.0,14.0
2011-11-05,14.0,14.0,14.0,14.0,2654927620,251496,93,14.0,14.0
2011-11-06,14.0,14.0,14.0,14.0,3064760355,290361,139,14.0,14.0
2011-11-21,14.0,14.0,14.0,14.0,2068632392,196041,103,14.0,14.0
2011-11-22,14.0,14.0,14.0,14.0,5320467295,507194,136,14.0,14.0
2011-11-23,14.0,14.0,14.0,14.0,40079453445,3827690,149,14.0,14.0
2011-11-26,14.0,14.0,14.0,14.0,674841098,67770,47,14.0,14.0
2011-11-27,13.0,13.0,13.0,13.0,955561,101,2,14.0,13.0
2011-11-28,12.0,12.0,12.0,12.0,28321188,3151,2,13.0,12.0
2011-11-29,12.0,12.0,12.0,12.0,1457727475,168615,145,12.0,12.0
2011-11-30,12.0,12.0,11.0,11.0,653304422,78518,100,12.0,11.0
2011-12-03,11.0,12.0,11.0,11.0,482555563,58570,60,11.0,11.0
2011-12-04,12.0,12.0,11.0,12.0,709319932,83398,72,11.0,12.0
2011-12-07,12.0,12.0,12.0,12.0,1527737524,172061,114,12.0,12.0
2011-12-24,14.0,14.0,12.0,12.0,590057442,81713,53,12.0,12.0
2011-12-25,12.0,12.0,12.0,12.0,983022230,142981,57,12.0,12.0
2011-12-26,11.0,12.0,11.0,11.0,121337649,18131,18,12.0,11.0
2011-12-27,11.0,12.0,11.0,11.0,1556853346,233191,48,11.0,12.0
2011-12-28,12.0,12.0,11.0,12.0,403907406,59598,31,11.0,11.0
2011-12-31,12.0,12.0,11.0,11.0,211809757,31347,18,12.0,11.0
2012-01-01,12.0,12.0,11.0,12.0,148817582,21864,12,11.0,11.0
2012-01-02,12.0,12.0,11.0,11.0,176334270,26977,21,12.0,11.0
2012-01-03,12.0,12.0,12.0,12.0,1208569835,176411,41,11.0,12.0
2012-01-04,12.0,12.0,12.0,12.0,723778230,105473,26,12.0,12.0
2012-01-07,11.0,11.0,11.0,11.0,86705056,13175,13,12.0,11.0
2012-01-08,11.0,11.0,11.0,11.0,362286845,56566,19,11.0,11.0
2012-01-09,11.0,11.0,11.0,11.0,136730084,21338,17,11.0,11.0
2012-01-10,11.0,11.0,10.0,11.0,402766461,65066,61,11.0,11.0
2012-01-11,11.0,11.0,10.0,10.0,156613216,26116,30,11.0,10.0
2012-01-15,10.0,10.0,10.0,10.0,894769735,149182,61,10.0,10.0
2012-01-16,10.0,10.0,10.0,10.0,347830537,57085,29,10.0,10.0
2012-01-17,10.0,11.0,10.0,10.0,472774608,77053,37,10.0,10.0
