date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-01-01,3294.0,3294.0,3294.0,3294.0,19599222999456,5949976624,1422806,1000.0,3294.0
2025-01-04,3392.0,3392.0,3392.0,3392.0,115253962816,33978173,4441,3294.0,3392.0
2025-01-05,3493.0,3493.0,3493.0,3493.0,118613875842,33957594,5588,3392.0,3493.0
2025-01-06,3597.0,3597.0,3597.0,3597.0,122330916147,34009151,4391,3493.0,3597.0
2025-01-07,3704.0,3704.0,3704.0,3704.0,219823603000,59347625,6265,3597.0,3704.0
2025-01-08,3815.0,3815.0,3815.0,3815.0,625065916755,163844277,34075,3704.0,3815.0
2025-01-11,3929.0,3929.0,3850.0,3927.0,5207461853633,1325948600,234730,3815.0,3929.0
2025-01-12,3842.0,4044.0,3810.0,3935.0,8114102729931,2062218359,404813,3927.0,3995.0
2025-01-13,4010.0,4053.0,4000.0,4042.0,2950065289276,729786096,122111,3935.0,4053.0
2025-01-15,4120.0,4149.0,3921.0,3993.0,3440974928613,861844724,124608,4042.0,3931.0
2025-01-18,3890.0,3966.0,3874.0,3876.0,1981882388391,511372966,58796,3993.0,3874.0
2025-01-19,3789.0,3875.0,3760.0,3790.0,1630283409028,430156926,67376,3876.0,3765.0
2025-01-20,3768.0,3852.0,3677.0,3703.0,1133739386120,306170001,34487,3790.0,3677.0
2025-01-21,3660.0,3754.0,3592.0,3631.0,1299406331920,357906372,54735,3703.0,3675.0
2025-01-22,3697.0,3739.0,3676.0,3733.0,480642920725,128739700,16191,3631.0,3739.0
2025-01-27,3600.0,3636.0,3512.0,3590.0,848067393775,236217750,27747,3733.0,3612.0
2025-01-29,3601.0,3670.0,3601.0,3612.0,450990243513,124864137,22485,3590.0,3620.0
2025-02-01,3656.0,3656.0,3509.0,3563.0,888883637569,249511187,27205,3612.0,3549.0
2025-02-02,3565.0,3601.0,3506.0,3525.0,814237800203,230963366,24729,3563.0,3591.0
2025-02-03,3595.0,3608.0,3530.0,3559.0,326977382272,91875504,13094,3525.0,3549.0
2025-02-04,3559.0,3649.0,3559.0,3601.0,353363715241,98123740,12000,3559.0,3584.0
2025-02-05,3601.0,3601.0,3503.0,3519.0,561948379951,159699844,20344,3601.0,3505.0
2025-02-09,3431.0,3589.0,3416.0,3507.0,1386302297369,395334969,32653,3519.0,3545.0
2025-02-11,3544.0,3544.0,3414.0,3485.0,753419965496,216164508,17460,3507.0,3429.0
2025-02-15,3449.0,3449.0,3381.0,3385.0,483054884850,142706604,9408,3485.0,3381.0
2025-02-16,3293.0,3437.0,3293.0,3354.0,473147330191,141078478,19848,3385.0,3400.0
2025-02-17,3435.0,3440.0,3357.0,3372.0,259406079664,76936813,9656,3354.0,3357.0
2025-02-18,3362.0,3403.0,3355.0,3363.0,278684183594,82858642,9822,3372.0,3362.0
2025-02-19,3362.0,3388.0,3333.0,3359.0,428003701782,127402362,11487,3363.0,3335.0
2025-02-22,3340.0,3360.0,3296.0,3316.0,828207519099,249795015,13828,3359.0,3328.0
2025-02-23,3302.0,3399.0,3302.0,3373.0,200603796067,59481817,8232,3316.0,3382.0
2025-02-24,3391.0,3474.0,3382.0,3461.0,279026857475,80630893,8265,3373.0,3474.0
2025-02-25,3559.0,3559.0,3369.0,3447.0,461235028734,133802529,18548,3461.0,3382.0
2025-02-26,3414.0,3414.0,3368.0,3377.0,384838705306,113951179,20352,3447.0,3377.0
2025-03-01,3361.0,3383.0,3312.0,3368.0,269778161220,80112258,8849,3377.0,3377.0
2025-03-02,3360.0,3400.0,3350.0,3370.0,215949666367,64079797,7293,3368.0,3356.0
2025-03-03,3285.0,3307.0,3270.0,3298.0,404306657326,122583960,7309,3370.0,3302.0
2025-03-04,3306.0,3345.0,3251.0,3291.0,239601730800,72808439,6530,3298.0,3290.0
2025-03-05,3280.0,3320.0,3254.0,3279.0,158669337599,48387853,5386,3291.0,3315.0
2025-03-08,3300.0,3300.0,3181.0,3198.0,352071393848,110091711,8441,3279.0,3181.0
2025-03-09,3111.0,3150.0,3103.0,3106.0,335862336457,108122680,7662,3198.0,3110.0
2025-03-10,3110.0,3176.0,3104.0,3130.0,136710633776,43681861,5882,3106.0,3130.0
2025-03-11,3104.0,3185.0,3052.0,3125.0,162608931005,52028502,4304,3130.0,3132.0
2025-03-12,3076.0,3218.0,3076.0,3199.0,128506605725,40167931,4349,3125.0,3218.0
2025-03-15,3275.0,3294.0,3227.0,3269.0,88830888454,27024749,3375,3199.0,3294.0
2025-03-16,3300.0,3350.0,3204.0,3272.0,161769865486,49442369,4750,3269.0,3269.0
2025-03-17,3270.0,3275.0,3175.0,3243.0,159904116579,49312046,5310,3272.0,3175.0
2025-03-18,3146.0,3244.0,3146.0,3149.0,174434550367,55395527,3459,3243.0,3243.0
2025-03-25,3125.0,3235.0,3125.0,3169.0,63175389157,19846570,2812,3149.0,3183.0
2025-03-26,3219.0,3219.0,3089.0,3115.0,119013560619,38211101,4833,3169.0,3091.0
2025-03-29,3145.0,3145.0,3022.0,3038.0,240114053943,79035925,6397,3115.0,3098.0
2025-03-30,3086.0,3127.0,3022.0,3084.0,98794625448,32004879,3806,3038.0,3125.0
2025-04-05,3125.0,3170.0,3092.0,3125.0,120794097833,38656650,3733,3084.0,3097.0
2025-04-06,3098.0,3163.0,3053.0,3120.0,127572652513,40891935,3897,3125.0,3095.0
2025-04-07,3068.0,3120.0,3051.0,3085.0,99575361646,32301994,3528,3120.0,3068.0
2025-04-08,3164.0,3177.0,3131.0,3174.0,123685157455,38965663,2424,3085.0,3177.0
2025-04-09,3190.0,3223.0,3110.0,3210.0,238101457119,74165564,4209,3174.0,3216.0
2025-04-12,3269.0,3305.0,3220.0,3292.0,321995528837,97804491,4300,3210.0,3296.0
2025-04-13,3390.0,3390.0,3350.0,3390.0,412633222752,121737100,4459,3292.0,3390.0
2025-04-14,3489.0,3489.0,3380.0,3439.0,483205551410,140503961,9214,3390.0,3440.0
2025-04-15,3432.0,3500.0,3351.0,3439.0,449533015241,130700347,7599,3439.0,3358.0
2025-04-16,3385.0,3410.0,3385.0,3395.0,312942385308,92190161,6799,3439.0,3395.0
2025-04-23,3400.0,3403.0,3298.0,3369.0,388358592768,115266629,6481,3245.0,3329.0
2025-04-26,3350.0,3355.0,3268.0,3274.0,312682609026,95510093,7688,3369.0,3268.0
2025-04-27,3176.0,3220.0,3176.0,3177.0,248283132593,78161007,4060,3274.0,3176.0
2025-04-28,3177.0,3269.0,3111.0,3152.0,172256558770,54648739,4750,3177.0,3162.0
2025-04-29,3162.0,3218.0,3134.0,3169.0,150637442188,47540146,3774,3152.0,3173.0
2025-04-30,3199.0,3264.0,3175.0,3242.0,212420483784,65529696,6045,3169.0,3264.0
2025-05-03,3151.0,3200.0,3145.0,3146.0,240293673267,76375846,3955,3242.0,3147.0
2025-05-04,3106.0,3210.0,3106.0,3155.0,102873551245,32607518,3156,3146.0,3146.0
2025-05-05,3153.0,3202.0,3106.0,3155.0,166617410648,52813935,4163,3155.0,3134.0
2025-05-06,3150.0,3180.0,3131.0,3147.0,126253203999,40117914,3507,3155.0,3155.0
2025-05-07,3180.0,3210.0,3140.0,3159.0,168524708690,53354376,4446,3147.0,3140.0
2025-05-10,3101.0,3139.0,3065.0,3071.0,146502202982,47707869,3556,3159.0,3065.0
2025-05-11,3071.0,3071.0,2991.0,3022.0,89299029219,29626057,3044,3071.0,3023.0
2025-05-12,3112.0,3112.0,3090.0,3110.0,124290512673,39959848,2813,3022.0,3112.0
2025-05-13,3119.0,3130.0,3056.0,3073.0,117198139366,38137221,4417,3110.0,3067.0
2025-05-14,3072.0,3073.0,3017.0,3050.0,118086079201,38718931,3396,3073.0,3060.0
2025-05-17,2973.0,3095.0,2973.0,3052.0,134038370756,43924417,2931,3050.0,3070.0
2025-05-18,3079.0,3098.0,3043.0,3062.0,67068278525,21859283,2606,3052.0,3057.0
