date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-08-05,1775.0,1775.0,1775.0,1775.0,529200000000,84000000,5415548,282.0,1775.0
2020-08-09,1864.0,1864.0,1864.0,1777.0,891146340,134716,8740,1775.0,1864.0
2020-08-10,1865.0,1865.0,1865.0,1816.0,23529260780,3554269,13133,1777.0,1865.0
2020-08-11,1907.0,1907.0,1907.0,1818.0,972236736,143652,9425,1816.0,1907.0
2020-08-12,1909.0,1909.0,1909.0,1819.0,691916682,102143,6694,1818.0,1909.0
2020-08-15,1910.0,1910.0,1910.0,1820.0,842776520,124340,8111,1819.0,1910.0
2020-08-16,1912.0,1912.0,1912.0,1822.0,759658752,111978,7301,1820.0,1912.0
2020-08-17,1913.0,1913.0,1913.0,1824.0,1209867690,178210,11632,1822.0,1913.0
2020-08-18,1915.0,1915.0,1915.0,1826.0,1243627224,182994,11921,1824.0,1915.0
2020-08-19,1917.0,1917.0,1917.0,1828.0,845534860,124252,8072,1826.0,1917.0
2020-08-22,1919.0,1919.0,1919.0,1829.0,844487670,124007,7632,1828.0,1919.0
2020-09-01,3658.0,3841.0,3658.0,3658.0,95824338416,7349617,72293,1829.0,3841.0
2020-09-02,3841.0,3841.0,3841.0,3680.0,12582485544,961082,56784,3658.0,3841.0
2020-09-05,3864.0,3864.0,3864.0,3716.0,10253004463,778453,49588,3680.0,3864.0
2020-09-06,3902.0,3902.0,3902.0,3753.0,10572359226,794974,39972,3716.0,3902.0
2020-09-07,3940.0,3940.0,3940.0,3834.0,23009559408,1713168,56426,3753.0,3940.0
2020-09-08,4025.0,4025.0,4025.0,3896.0,17797186120,1297171,57512,3834.0,4025.0
2020-09-09,4091.0,4091.0,4091.0,3937.0,11838107400,848975,47277,3896.0,4091.0
2020-09-20,4134.0,4134.0,4134.0,3989.0,13886876848,985444,63237,3937.0,4134.0
2020-09-21,4189.0,4189.0,4189.0,4045.0,14818997751,1037963,53921,3989.0,4189.0
