date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-02-04,520.0,520.0,218.0,221.0,213768804780,56748303,3193,59.0,218.0
2013-02-05,232.0,232.0,232.0,232.0,1763621510,445922,109,221.0,232.0
2013-02-06,244.0,244.0,244.0,244.0,76172592,18346,25,232.0,244.0
2013-02-09,256.0,256.0,256.0,256.0,265951308,61012,55,244.0,256.0
2013-02-11,269.0,269.0,269.0,269.0,307671936,67236,57,256.0,269.0
2013-02-12,282.0,282.0,282.0,282.0,293284200,61050,56,269.0,282.0
2013-02-13,296.0,296.0,296.0,296.0,637334620,126355,110,282.0,296.0
2013-02-16,311.0,311.0,311.0,311.0,826922736,156141,119,296.0,311.0
2013-02-17,326.0,326.0,326.0,326.0,1159660320,208572,156,311.0,326.0
2013-02-18,343.0,343.0,343.0,343.0,1808589048,309796,195,326.0,343.0
2013-02-19,360.0,360.0,360.0,360.0,13468569435,2197515,1255,343.0,360.0
2013-02-20,378.0,378.0,378.0,378.0,6511692330,1011918,581,360.0,378.0
2013-02-23,396.0,396.0,396.0,396.0,709731312,105052,81,378.0,396.0
2013-02-24,416.0,416.0,416.0,416.0,16175565221,2280497,1020,396.0,416.0
2013-02-25,432.0,437.0,417.0,433.0,271310437603,36730841,17115,416.0,437.0
2013-02-26,427.0,455.0,414.0,441.0,73967175211,9838660,5920,433.0,455.0
2013-02-27,463.0,463.0,463.0,463.0,2781161694,352358,115,441.0,463.0
2013-03-02,486.0,486.0,486.0,486.0,193509737,23351,27,463.0,486.0
2013-03-03,511.0,511.0,494.0,510.0,80691421985,9278800,3077,486.0,511.0
2013-03-04,501.0,525.0,485.0,491.0,123215241158,14737511,6262,510.0,493.0
2013-03-05,481.0,515.0,466.0,494.0,66056252878,7846155,4026,491.0,511.0
2013-03-06,519.0,519.0,505.0,518.0,49694521932,5625616,1888,494.0,519.0
2013-03-09,528.0,528.0,493.0,508.0,34031791476,3929157,1934,518.0,493.0
2013-03-10,493.0,525.0,484.0,506.0,47138939922,5468425,2661,508.0,496.0
2013-03-11,504.0,516.0,486.0,500.0,27763075321,3258547,1347,506.0,488.0
2013-03-12,487.0,508.0,477.0,497.0,21894586919,2584573,1269,500.0,496.0
2013-03-13,507.0,522.0,496.0,511.0,53528017319,6150741,2536,497.0,496.0
2013-03-16,505.0,509.0,485.0,488.0,16121376864,1939474,953,511.0,485.0
2013-03-17,464.0,473.0,464.0,470.0,22919770976,2860711,1068,488.0,469.0
2013-03-18,473.0,494.0,467.0,475.0,33777188198,4173167,1773,470.0,494.0
2013-09-07,910.0,910.0,866.0,892.0,142322679471,9360604,2079,475.0,880.0
2013-09-08,898.0,937.0,892.0,932.0,65513966349,4124628,920,892.0,937.0
2013-09-09,979.0,979.0,979.0,979.0,9182806732,550594,59,932.0,979.0
2013-09-10,1028.0,1028.0,1028.0,1028.0,184951182,10562,12,979.0,1028.0
2013-09-11,1079.0,1079.0,1079.0,1079.0,1064549400,57900,22,1028.0,1079.0
2013-09-14,1133.0,1133.0,1092.0,1128.0,167500662548,8714639,2143,1079.0,1133.0
2013-09-15,1149.0,1184.0,1148.0,1178.0,118473962611,5903538,1741,1128.0,1184.0
2013-09-16,1180.0,1237.0,1173.0,1218.0,37258079394,1794690,732,1178.0,1237.0
2013-09-17,1279.0,1279.0,1279.0,1279.0,10502058420,481790,141,1218.0,1279.0
2013-09-18,1343.0,1343.0,1343.0,1343.0,3332347200,145600,24,1279.0,1343.0
2013-09-21,1410.0,1410.0,1338.0,1390.0,141419521440,5970797,2391,1343.0,1343.0
2013-09-22,1324.0,1373.0,1320.0,1326.0,85950304425,3805223,1232,1390.0,1322.0
2013-09-23,1329.0,1392.0,1326.0,1388.0,59717607248,2524272,785,1326.0,1383.0
2013-09-24,1406.0,1408.0,1322.0,1355.0,48697234141,2108975,790,1388.0,1332.0
2013-09-25,1350.0,1385.0,1288.0,1337.0,54411842555,2389141,648,1355.0,1347.0
2013-09-28,1379.0,1394.0,1353.0,1364.0,38912947766,1673682,590,1337.0,1362.0
2013-09-29,1364.0,1433.0,1350.0,1410.0,73990069401,3079595,1065,1364.0,1420.0
2013-09-30,1447.0,1480.0,1433.0,1472.0,16841291610,671421,256,1410.0,1480.0
2013-10-01,1545.0,1546.0,1485.0,1544.0,56919893503,2162752,499,1472.0,1546.0
2013-10-02,1622.0,1622.0,1622.0,1622.0,3960914220,143340,79,1544.0,1622.0
2013-10-05,1703.0,1703.0,1703.0,1703.0,4985156466,171819,56,1622.0,1703.0
2013-10-06,1788.0,1788.0,1731.0,1783.0,258484341089,8507748,2851,1703.0,1788.0
2013-10-07,1761.0,1872.0,1761.0,1831.0,110606501767,3545540,1851,1783.0,1872.0
2013-10-08,1922.0,1922.0,1819.0,1907.0,136562374479,4201790,935,1831.0,1922.0
2013-10-09,2003.0,2003.0,2003.0,2003.0,42547955540,1246790,140,1907.0,2003.0
2013-10-12,2103.0,2103.0,2102.0,2103.0,111250109759,3104781,817,2003.0,2103.0
2013-10-13,2208.0,2208.0,2208.0,2208.0,49031121306,1303222,294,2103.0,2208.0
