date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-10,0.0,0.0,0.0,0.0,18057280,11680,18,0.0,0.0
2001-04-11,0.0,0.0,0.0,0.0,10330698,6618,11,0.0,0.0
2001-04-25,0.0,0.0,0.0,0.0,1400000,1000,1,0.0,0.0
2001-05-02,0.0,0.0,0.0,0.0,2800000,2000,1,0.0,0.0
2001-05-05,0.0,0.0,0.0,0.0,116200,83,1,0.0,0.0
2001-05-26,0.0,0.0,0.0,0.0,11039098,7807,11,0.0,0.0
2001-06-23,0.0,0.0,0.0,0.0,118524,83,1,0.0,0.0
2001-07-08,0.0,0.0,0.0,0.0,248024,172,1,0.0,0.0
2001-09-12,0.0,0.0,0.0,0.0,5529888,3798,7,0.0,0.0
2001-10-13,0.0,0.0,0.0,0.0,252840,172,1,0.0,0.0
2001-12-03,0.0,0.0,0.0,0.0,8494200,5720,4,0.0,0.0
2002-02-18,0.0,0.0,0.0,0.0,4801420,3068,7,0.0,0.0
2002-05-21,0.0,0.0,0.0,0.0,2627500,1500,3,0.0,0.0
2002-05-28,0.0,0.0,0.0,0.0,10051728,4728,6,0.0,0.0
2002-07-08,0.0,0.0,0.0,0.0,4306882,2006,3,0.0,0.0
2002-08-10,0.0,0.0,0.0,0.0,1100500,500,1,0.0,0.0
2002-08-28,0.0,0.0,0.0,0.0,378572,172,1,0.0,0.0
2002-09-18,0.0,0.0,0.0,0.0,397492,172,1,0.0,0.0
2002-09-22,0.0,0.0,0.0,0.0,6991732,2882,3,0.0,0.0
2002-11-03,0.0,0.0,0.0,0.0,3367134,1322,3,0.0,0.0
2003-01-25,0.0,0.0,0.0,0.0,7021100,2355,2,0.0,0.0
2003-06-23,0.0,0.0,0.0,0.0,4657350,1527,2,0.0,0.0
2003-06-29,0.0,0.0,0.0,0.0,1573800,516,3,0.0,0.0
2003-06-30,0.0,0.0,0.0,0.0,550744,172,1,0.0,0.0
2003-07-02,0.0,0.0,0.0,0.0,578264,172,1,0.0,0.0
2003-08-11,0.0,0.0,0.0,0.0,13218425420,3255787,2,0.0,0.0
2003-08-20,0.0,0.0,0.0,0.0,16643950,4715,3,0.0,0.0
2003-09-08,0.0,0.0,0.0,0.0,1860236,502,3,0.0,0.0
2003-09-14,0.0,0.0,0.0,0.0,3287046,887,4,0.0,0.0
2003-09-17,0.0,0.0,0.0,0.0,405900,110,2,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,672762,182,2,0.0,0.0
2003-11-09,0.0,0.0,0.0,0.0,7418000,2000,1,0.0,0.0
2003-11-17,0.0,0.0,0.0,0.0,10634514,2731,9,0.0,0.0
2003-11-19,0.0,0.0,0.0,0.0,742116,182,2,0.0,0.0
2003-12-10,0.0,0.0,0.0,0.0,4429946,1083,2,0.0,0.0
2003-12-16,0.0,0.0,0.0,0.0,5879240,1427,2,0.0,0.0
2004-01-28,0.0,0.0,0.0,0.0,400278,93,2,0.0,0.0
2004-01-31,0.0,0.0,0.0,0.0,87278448,20166,4,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,45440000,10000,1,0.0,0.0
2004-02-03,0.0,0.0,0.0,0.0,534352000,112000,13,0.0,0.0
2004-07-07,0.0,0.0,0.0,0.0,8557440,1781,4,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,398732,83,1,0.0,0.0
2004-08-03,0.0,0.0,0.0,0.0,873630,182,2,0.0,0.0
2004-11-16,0.0,0.0,0.0,0.0,29812221,6207,1,0.0,0.0
2004-11-30,0.0,0.0,0.0,0.0,55745322,11054,4,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,57186000,10800,2,0.0,0.0
2004-12-06,0.0,0.0,0.0,0.0,1164790,210,2,0.0,0.0
2004-12-11,0.0,0.0,0.0,0.0,55685430,10010,2,0.0,0.0
2004-12-12,0.0,0.0,0.0,0.0,637430,110,2,0.0,0.0
2004-12-20,0.0,0.0,0.0,0.0,2965550,510,5,0.0,0.0
2005-01-05,0.0,0.0,0.0,0.0,1047030,180,2,0.0,0.0
2005-01-10,0.0,0.0,0.0,0.0,586261216,100456,21,0.0,0.0
2005-01-12,0.0,0.0,0.0,0.0,1099990,180,2,0.0,0.0
2005-01-15,0.0,0.0,0.0,0.0,1468820,240,2,0.0,0.0
2005-01-16,0.0,0.0,0.0,0.0,136317494,22210,6,0.0,0.0
2005-01-17,0.0,0.0,0.0,0.0,93048594,24262,223,0.0,0.0
2005-01-19,0.0,0.0,0.0,0.0,1356300,210,2,0.0,0.0
2005-01-25,0.0,0.0,0.0,0.0,1551700,240,2,0.0,0.0
2005-02-02,0.0,0.0,0.0,0.0,11085040,1710,2,0.0,0.0
2005-02-15,0.0,0.0,0.0,0.0,140660,22,2,0.0,0.0
2005-02-27,0.0,0.0,0.0,0.0,8956765,1371,12,0.0,0.0
