date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-07-02,13000.0,13290.0,12610.0,13050.0,18890701570,1448098,282,1000.0,13100.0
2023-07-03,12670.0,12790.0,12660.0,12670.0,9337289990,736923,95,13050.0,12660.0
2023-07-04,12290.0,12290.0,12290.0,12290.0,7203808080,586152,60,12670.0,12290.0
2023-07-05,11950.0,12020.0,11930.0,11940.0,27973855810,2342185,263,12290.0,11980.0
2023-07-08,11940.0,12290.0,11650.0,12200.0,22391869650,1835933,243,11940.0,12200.0
2023-07-09,12200.0,12200.0,11920.0,12110.0,2386240710,197007,49,12200.0,11970.0
2023-07-10,11780.0,11900.0,11750.0,11810.0,7250263150,613981,109,12110.0,11900.0
2023-07-11,11470.0,11800.0,11460.0,11510.0,5456608230,474259,75,11810.0,11490.0
2023-07-12,11180.0,11600.0,11170.0,11180.0,16362424050,1463094,67,11510.0,11600.0
2023-07-15,11350.0,11510.0,11220.0,11500.0,3517785190,305902,52,11180.0,11510.0
2023-07-16,11520.0,11520.0,11210.0,11330.0,6240720200,550943,63,11500.0,11350.0
2023-08-07,11000.0,11290.0,11000.0,11020.0,8539732430,775281,86,11330.0,11000.0
2023-08-08,10690.0,10780.0,10690.0,10700.0,11122301100,1039793,96,11020.0,10690.0
2023-08-09,10400.0,11020.0,10380.0,10700.0,9614882860,898754,65,10700.0,11020.0
2023-08-12,10730.0,11020.0,10700.0,10780.0,7893537660,732431,51,10700.0,10770.0
2023-08-13,10510.0,11020.0,10510.0,10660.0,8957568540,840225,47,10780.0,10800.0
2023-08-14,10550.0,10790.0,10360.0,10490.0,10880417180,1037261,89,10660.0,10450.0
2023-08-15,10210.0,10250.0,10180.0,10200.0,5927674620,581413,67,10490.0,10180.0
2023-08-16,9970.0,10030.0,9900.0,9960.0,6539197160,656668,72,10200.0,9900.0
2023-08-19,9700.0,10000.0,9700.0,9780.0,7640279080,781612,65,9960.0,9740.0
2023-08-20,9670.0,9900.0,9670.0,9750.0,4082554450,418591,50,9780.0,9830.0
2023-08-21,9900.0,9990.0,9540.0,9730.0,6628893140,681594,70,9750.0,9580.0
2023-08-22,9470.0,9600.0,9440.0,9460.0,8712130950,920814,85,9730.0,9450.0
2023-08-23,9220.0,9700.0,9210.0,9220.0,8852199370,959862,52,9460.0,9700.0
2023-08-26,9220.0,9490.0,9220.0,9480.0,2160387420,227909,43,9220.0,9490.0
2023-08-27,9250.0,9690.0,9250.0,9430.0,8160236300,864966,38,9480.0,9420.0
2023-08-28,9290.0,9710.0,9290.0,9520.0,6459942120,678514,43,9430.0,9710.0
2023-08-29,9800.0,9800.0,9800.0,9800.0,75457618600,7699757,105,9520.0,9800.0
2023-08-30,10090.0,10090.0,10090.0,10090.0,1075967330,106637,19,9800.0,10090.0
2023-09-02,10390.0,10390.0,10390.0,10390.0,1035186870,99633,9,10090.0,10390.0
2023-09-03,10700.0,10700.0,10700.0,10700.0,239562300,22389,14,10390.0,10700.0
2023-09-04,11020.0,11020.0,11020.0,11020.0,479259800,43490,15,10700.0,11020.0
2023-09-05,11350.0,11350.0,11350.0,11350.0,232947400,20524,12,11020.0,11350.0
2023-09-09,11690.0,11690.0,11010.0,11170.0,14385727230,1287383,110,11350.0,11010.0
2023-09-10,11000.0,11500.0,11000.0,11410.0,4290551080,376093,43,11170.0,11300.0
2023-09-11,11160.0,11550.0,11160.0,11400.0,4909443090,430548,83,11410.0,11550.0
2023-09-12,11120.0,11740.0,11120.0,11560.0,4655096160,402561,98,11400.0,11740.0
2023-09-13,11750.0,11900.0,11750.0,11890.0,830422100,69859,21,11560.0,11900.0
2023-09-17,11700.0,11990.0,11700.0,11860.0,2311224910,194870,22,11890.0,11990.0
2023-09-18,12170.0,12180.0,11630.0,11880.0,1419333980,119475,24,11860.0,11640.0
2023-09-19,11570.0,11750.0,11560.0,11640.0,2844383690,244415,34,11880.0,11600.0
2023-09-20,11420.0,11640.0,11310.0,11440.0,5110604610,446898,54,11640.0,11320.0
2023-09-23,11300.0,11780.0,11210.0,11580.0,6922147860,597795,111,11440.0,11780.0
2024-02-18,13000.0,13000.0,13000.0,13000.0,728000000,56000,2,11580.0,13000.0
2024-03-03,12500.0,12500.0,12500.0,12500.0,125000000,10000,1,13000.0,12500.0
2024-03-18,11800.0,11800.0,11750.0,11760.0,270629250,23011,2,12500.0,11750.0
2024-03-25,11060.0,11060.0,11060.0,11060.0,729329580,65943,3,11760.0,11060.0
2024-03-26,10400.0,10400.0,10400.0,10400.0,2274365600,218689,12,11060.0,10400.0
2024-03-27,10900.0,10900.0,9800.0,9840.0,9611196500,976981,34,10400.0,9800.0
2024-03-30,9830.0,9830.0,9250.0,9360.0,10375099750,1108558,73,9840.0,9250.0
2024-04-02,9600.0,9600.0,8800.0,8840.0,13080294100,1479231,92,9360.0,8800.0
2024-04-03,8350.0,8550.0,8310.0,8370.0,509826594150,60940813,432,8840.0,8500.0
