date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-30,632.0,632.0,632.0,632.0,1000000000,400000,2,253.0,632.0
2013-12-03,639.0,639.0,505.0,632.0,972559000,389000,20,632.0,582.0
2013-12-09,638.0,638.0,638.0,638.0,25250000,10000,1,632.0,638.0
2013-12-11,556.0,581.0,556.0,574.0,43190000,19000,6,638.0,569.0
2013-12-22,607.0,632.0,581.0,601.0,74890000,31500,5,574.0,584.0
2013-12-30,632.0,632.0,632.0,632.0,67500000,27000,2,601.0,632.0
2014-01-01,632.0,632.0,589.0,630.0,174339000,69990,8,632.0,632.0
2014-01-04,632.0,632.0,632.0,632.0,9070000,3628,1,630.0,632.0
2014-01-07,645.0,645.0,632.0,640.0,78550000,31000,4,632.0,645.0
2014-01-12,632.0,632.0,632.0,632.0,7500000,3000,1,640.0,632.0
2014-01-13,632.0,682.0,632.0,636.0,275663400,109582,23,632.0,632.0
2014-01-14,609.0,609.0,609.0,609.0,145483062032,60416554,1,636.0,609.0
2014-01-15,644.0,644.0,644.0,644.0,17850000,7000,1,609.0,644.0
2014-01-21,632.0,646.0,632.0,634.0,417593500,166500,17,644.0,632.0
2014-01-26,607.0,646.0,607.0,631.0,45900510,18382,5,634.0,639.0
2014-01-29,631.0,632.0,631.0,631.0,27360200,10960,2,631.0,632.0
2014-02-01,657.0,657.0,556.0,605.0,64650000,27000,6,631.0,556.0
2014-02-02,660.0,660.0,601.0,655.0,287498600,111000,5,605.0,601.0
2014-02-03,631.0,667.0,581.0,651.0,355759440,138197,9,655.0,619.0
2014-02-05,592.0,670.0,505.0,604.0,531993000,222800,13,651.0,581.0
2014-02-08,556.0,670.0,556.0,657.0,93600000,36000,5,604.0,670.0
2014-02-12,670.0,670.0,505.0,656.0,410700000,158350,13,657.0,670.0
2014-02-17,670.0,670.0,505.0,665.0,426050000,162000,10,656.0,670.0
2014-02-18,675.0,758.0,556.0,719.0,251600000,88500,12,665.0,758.0
2014-02-19,505.0,735.0,505.0,704.0,401050000,144000,8,719.0,556.0
2014-02-23,511.0,746.0,505.0,718.0,451580000,159000,12,704.0,505.0
2014-02-26,505.0,505.0,505.0,505.0,12000000,6000,2,718.0,505.0
2014-03-02,746.0,746.0,455.0,592.0,644954230,275503,18,505.0,458.0
2014-03-04,457.0,632.0,457.0,562.0,118915273,53500,9,592.0,457.0
2014-03-05,458.0,458.0,457.0,458.0,9959500,5500,2,562.0,457.0
2014-03-09,632.0,632.0,455.0,491.0,96402000,49600,12,458.0,498.0
2014-03-10,460.0,460.0,460.0,460.0,23660000,13000,4,491.0,460.0
2014-03-12,457.0,457.0,457.0,457.0,126700,70,1,460.0,457.0
2014-03-15,458.0,458.0,457.0,458.0,21459850,11850,5,457.0,458.0
2014-03-17,457.0,505.0,455.0,456.0,368290000,204000,14,458.0,456.0
2014-03-18,457.0,457.0,404.0,422.0,25059000,15000,4,456.0,405.0
2014-03-26,468.0,468.0,455.0,465.0,23900000,13000,2,422.0,455.0
2014-03-30,430.0,455.0,407.0,436.0,20730000,12000,4,465.0,455.0
2014-04-07,455.0,455.0,455.0,455.0,90000000,50000,1,436.0,455.0
2014-04-08,417.0,417.0,408.0,411.0,22785000,14000,3,455.0,408.0
2014-04-09,410.0,410.0,410.0,410.0,1623000,1000,1,411.0,410.0
2014-04-12,556.0,556.0,410.0,490.0,25805200,13300,6,410.0,410.0
2014-04-13,556.0,556.0,404.0,411.0,196747800,121050,11,490.0,430.0
2014-04-14,556.0,556.0,404.0,448.0,21928125,12375,3,411.0,429.0
2014-04-15,405.0,556.0,379.0,411.0,34178000,21000,8,448.0,556.0
2014-04-19,379.0,404.0,379.0,388.0,9375000,6100,3,411.0,404.0
2014-04-20,581.0,581.0,392.0,424.0,82219900,49010,12,388.0,452.0
2014-04-21,581.0,581.0,581.0,581.0,9200000,4000,2,424.0,581.0
2014-04-26,442.0,594.0,442.0,483.0,49157500,25690,9,581.0,442.0
2014-04-27,442.0,594.0,442.0,447.0,124493750,70425,8,483.0,442.0
2014-04-28,442.0,601.0,442.0,474.0,18760000,10000,4,447.0,442.0
2014-04-29,442.0,442.0,440.0,442.0,5511250,3155,4,474.0,442.0
2014-04-30,601.0,601.0,442.0,595.0,9791250,4155,3,442.0,442.0
2014-05-03,607.0,607.0,417.0,461.0,18250000,10000,3,595.0,417.0
2014-05-04,430.0,442.0,382.0,399.0,10422620,6600,5,461.0,442.0
2014-05-05,442.0,442.0,404.0,406.0,3375000,2100,3,399.0,404.0
2014-05-06,404.0,404.0,404.0,404.0,12680000,7925,2,406.0,404.0
2014-05-07,379.0,392.0,379.0,384.0,43485400,28650,11,404.0,392.0
2014-05-10,392.0,399.0,392.0,394.0,4512600,2892,3,384.0,399.0
2014-05-12,379.0,404.0,379.0,384.0,36684954,24146,8,394.0,380.0
2014-05-14,380.0,394.0,379.0,383.0,23142000,15275,5,384.0,394.0
2014-05-17,404.0,404.0,384.0,400.0,105413600,66620,8,383.0,385.0
2014-05-18,385.0,427.0,385.0,409.0,37408350,23095,5,400.0,412.0
2014-05-19,412.0,412.0,397.0,409.0,31274440,19300,5,409.0,412.0
2014-05-20,404.0,404.0,397.0,399.0,596849200,377760,21,409.0,397.0
2014-05-21,404.0,404.0,397.0,397.0,63308348,40270,5,399.0,397.0
2014-05-24,397.0,397.0,397.0,397.0,33001000,21000,2,397.0,397.0
2014-05-25,397.0,397.0,397.0,397.0,119326000,76000,5,397.0,397.0
2014-05-26,397.0,404.0,392.0,397.0,118994212,75710,21,397.0,404.0
2014-05-28,397.0,404.0,394.0,400.0,20972980,13258,4,397.0,404.0
2014-05-31,394.0,404.0,394.0,404.0,42987200,26892,4,400.0,404.0
2014-06-01,404.0,417.0,404.0,408.0,23565000,14600,6,404.0,417.0
2014-06-02,404.0,417.0,379.0,395.0,15941000,10200,6,408.0,417.0
2014-06-03,404.0,404.0,404.0,404.0,4800000,3000,1,395.0,404.0
2014-06-07,404.0,417.0,404.0,408.0,31815910,19698,10,404.0,404.0
2014-06-08,412.0,430.0,404.0,426.0,88163000,52350,9,408.0,425.0
2014-06-09,404.0,437.0,404.0,429.0,140104432,82508,9,426.0,430.0
2014-06-10,404.0,405.0,404.0,404.0,24007000,15000,5,429.0,405.0
2014-06-11,379.0,405.0,379.0,380.0,161932300,107800,43,404.0,405.0
2014-06-14,417.0,417.0,404.0,406.0,77540000,48300,9,380.0,404.0
2014-06-15,379.0,430.0,379.0,380.0,4587094500,3054273,8,406.0,430.0
2014-06-16,430.0,430.0,430.0,430.0,26010000,15300,1,380.0,430.0
2014-06-17,430.0,430.0,430.0,430.0,39100000,23000,6,430.0,430.0
2014-06-23,417.0,417.0,407.0,416.0,46563000,28300,5,430.0,407.0
2014-06-24,407.0,417.0,405.0,409.0,15368000,9500,4,416.0,417.0
2014-06-28,404.0,404.0,404.0,404.0,48000000,30000,4,409.0,404.0
