date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-01-22,2143.0,2143.0,1266.0,2143.0,3025370000,596360,1226,0.0,2143.0
2005-01-23,2250.0,2250.0,2250.0,2250.0,2881725000,499000,110,2143.0,2250.0
2005-01-24,2362.0,2362.0,2362.0,2362.0,2970870000,490000,390,2250.0,2362.0
2005-01-25,2480.0,2480.0,2480.0,2480.0,3176634000,499000,226,2362.0,2480.0
2005-01-26,2604.0,2604.0,2367.0,2557.0,2268490410,345609,659,2480.0,2557.0
2005-01-30,2429.0,2429.0,2429.0,2429.0,123828252,19857,57,2557.0,2429.0
2005-01-31,2308.0,2308.0,2308.0,2308.0,6250875,1055,2,2429.0,2308.0
2005-02-01,2193.0,2193.0,2193.0,2193.0,74055124,13156,10,2308.0,2193.0
2005-02-02,2084.0,2259.0,2084.0,2115.0,1259348147,231924,316,2193.0,2115.0
2005-02-05,2220.0,2220.0,2131.0,2142.0,90606816,16480,22,2115.0,2142.0
2005-02-06,2131.0,2131.0,2035.0,2041.0,158109317,30171,23,2142.0,2041.0
2005-02-07,1939.0,1983.0,1939.0,1940.0,463914532,93156,85,2041.0,1940.0
2005-02-08,1962.0,2026.0,1875.0,1944.0,116621275,23375,40,1940.0,1944.0
2005-02-12,2117.0,2126.0,1991.0,2038.0,127275242,24322,39,1944.0,2038.0
2005-02-13,2038.0,2038.0,1937.0,1993.0,220939574,43184,25,2038.0,1993.0
2005-02-14,1894.0,1934.0,1894.0,1915.0,70733670,14389,20,1993.0,1915.0
2005-02-15,1821.0,1821.0,1819.0,1819.0,74261700,15900,5,1915.0,1819.0
2005-02-16,1729.0,1798.0,1729.0,1746.0,47331761,10561,18,1819.0,1746.0
2005-02-21,1753.0,1753.0,1748.0,1748.0,24924870,5550,12,1746.0,1748.0
2005-02-22,1747.0,1753.0,1678.0,1712.0,96797415,22029,28,1748.0,1712.0
2005-02-23,1679.0,1792.0,1679.0,1774.0,58258400,12793,29,1712.0,1774.0
2005-02-26,1831.0,1831.0,1831.0,1831.0,45120000,9600,9,1774.0,1831.0
2005-02-27,1923.0,1923.0,1834.0,1834.0,1527580,310,2,1831.0,1834.0
2005-02-28,1926.0,1926.0,1837.0,1837.0,1530060,310,2,1834.0,1837.0
2005-03-01,1929.0,1929.0,1929.0,1929.0,41741881,8431,21,1837.0,1929.0
2005-03-02,2025.0,2025.0,1929.0,2008.0,423239542,82094,109,1929.0,2008.0
2005-03-05,2028.0,2107.0,2026.0,2093.0,147782377,27509,42,2008.0,2093.0
2005-03-06,2106.0,2107.0,2065.0,2092.0,71889064,13387,18,2093.0,2092.0
2005-03-07,1988.0,2052.0,1988.0,2004.0,82360514,16014,19,2092.0,2004.0
2005-03-08,1967.0,2004.0,1950.0,1983.0,98266850,19301,27,2004.0,1983.0
2005-03-09,2040.0,2040.0,1984.0,1984.0,5675109,1110,5,1983.0,1984.0
2005-03-12,1983.0,2040.0,1983.0,2004.0,23983855,4628,11,1984.0,2004.0
2005-03-13,2004.0,2038.0,2004.0,2027.0,88659844,17042,22,2004.0,2027.0
2005-03-14,2040.0,2128.0,2040.0,2090.0,135491368,25257,37,2027.0,2090.0
2005-03-15,2193.0,2194.0,2193.0,2194.0,179889926,31942,39,2090.0,2194.0
2005-03-16,2182.0,2587.0,2147.0,2281.0,35717841561,5416677,116,2194.0,2281.0
2005-03-26,2392.0,2394.0,2338.0,2393.0,138122545,22485,18,2281.0,2393.0
2005-03-27,2474.0,2512.0,2429.0,2498.0,120824875,18839,43,2393.0,2498.0
2005-03-28,2591.0,2623.0,2502.0,2612.0,112550954,16785,26,2498.0,2612.0
2005-03-29,2743.0,2743.0,2622.0,2693.0,1690143690,244482,125,2612.0,2693.0
2005-03-30,2828.0,2828.0,2825.0,2827.0,1264548582,174232,76,2693.0,2827.0
2005-04-03,2968.0,2968.0,2828.0,2897.0,344284481,46291,41,2827.0,2897.0
2005-04-04,2797.0,2802.0,2753.0,2773.0,414639879,58249,37,2897.0,2773.0
2005-04-05,2653.0,2774.0,2635.0,2731.0,932407127,132976,116,2773.0,2731.0
2005-04-06,2725.0,2725.0,2658.0,2698.0,339069929,48966,52,2731.0,2698.0
2005-04-12,2725.0,2832.0,2725.0,2782.0,107634218,15073,16,2698.0,2782.0
2005-04-13,2902.0,2921.0,2902.0,2915.0,77115445,10305,5,2782.0,2915.0
2005-04-16,3061.0,3061.0,3061.0,3061.0,2002364307,254851,104,2915.0,3061.0
2005-04-17,3070.0,3117.0,3068.0,3083.0,301250699,38064,44,3061.0,3083.0
2005-04-18,3066.0,3083.0,2929.0,2941.0,311055697,41197,49,3083.0,2941.0
