date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-14,5.0,5.0,5.0,5.0,2205000,1000,2,5.0,5.0
2001-04-30,5.0,5.0,5.0,5.0,2315000,1000,1,5.0,5.0
2001-05-05,6.0,6.0,6.0,6.0,4800000,2000,3,5.0,6.0
2001-05-06,6.0,6.0,6.0,6.0,1215000,500,1,6.0,6.0
2001-05-07,6.0,6.0,6.0,6.0,744620,310,1,6.0,6.0
2001-05-19,6.0,6.0,6.0,6.0,6305000,2500,5,6.0,6.0
2001-06-03,6.0,6.0,6.0,6.0,10592000,4000,3,6.0,6.0
2001-06-20,6.0,6.0,6.0,6.0,7964700,2865,3,6.0,6.0
2001-06-23,7.0,7.0,7.0,7.0,15482376,5304,7,6.0,7.0
2001-06-25,7.0,7.0,7.0,7.0,75068000,24500,29,7.0,7.0
2001-06-26,7.0,7.0,7.0,7.0,12100695,3940,4,7.0,7.0
2001-06-27,7.0,7.0,7.0,7.0,8152248,2652,1,7.0,7.0
2001-07-01,7.0,7.0,7.0,7.0,97058479,30077,19,7.0,7.0
2001-07-02,7.0,8.0,7.0,7.0,156239901,47343,26,7.0,7.0
2001-07-03,7.0,7.0,7.0,7.0,2339575,725,1,7.0,7.0
2001-07-04,7.0,7.0,7.0,7.0,20775426,6438,6,7.0,7.0
2001-07-07,7.0,8.0,7.0,8.0,11455500,3500,4,7.0,8.0
2001-07-08,8.0,8.0,8.0,8.0,57493240,16592,24,8.0,8.0
2001-08-07,7.0,8.0,7.0,8.0,98708550,28945,18,8.0,8.0
2001-08-08,7.0,8.0,7.0,8.0,55975386,17063,5,8.0,8.0
2001-08-11,8.0,8.0,8.0,8.0,10071440,3016,6,8.0,8.0
2001-08-12,8.0,8.0,8.0,8.0,37189470,11152,18,8.0,8.0
2001-08-25,8.0,8.0,8.0,8.0,8823204,2652,1,8.0,8.0
2001-08-27,7.0,7.0,7.0,7.0,35680000,11150,8,8.0,7.0
2001-08-28,7.0,7.0,7.0,7.0,61646055,19275,4,7.0,7.0
2001-08-29,7.0,7.0,7.0,7.0,29323785,9215,4,7.0,7.0
2001-09-01,7.0,7.0,7.0,7.0,74537610,24077,11,7.0,7.0
2001-09-02,7.0,7.0,7.0,7.0,20593320,6785,7,7.0,7.0
2001-09-03,7.0,7.0,7.0,7.0,40128000,13376,6,7.0,7.0
2001-09-04,7.0,7.0,7.0,7.0,117898100,38890,12,7.0,7.0
2001-09-05,7.0,7.0,7.0,7.0,18897206,6081,2,7.0,7.0
2001-09-08,7.0,8.0,7.0,8.0,37383730,11746,7,7.0,8.0
2001-09-09,8.0,8.0,8.0,8.0,59040000,18000,2,8.0,8.0
2001-09-10,8.0,8.0,8.0,8.0,55431467,16569,12,8.0,8.0
2001-09-11,8.0,8.0,8.0,8.0,2565954869,782750,8,8.0,8.0
2001-09-15,8.0,8.0,8.0,8.0,35951164,10000,2,8.0,8.0
2001-09-17,8.0,8.0,8.0,8.0,10121154,2962,2,8.0,8.0
2001-09-19,8.0,8.0,8.0,8.0,525756,154,1,8.0,8.0
2001-09-22,8.0,8.0,8.0,8.0,3411000,1000,2,8.0,8.0
2001-09-29,8.0,8.0,8.0,8.0,100059134,29368,10,8.0,8.0
2001-10-06,8.0,8.0,8.0,8.0,48607228,14319,9,8.0,8.0
2001-10-10,7.0,7.0,7.0,7.0,16265000,5000,2,8.0,7.0
2001-10-14,7.0,7.0,7.0,7.0,4710000,1500,1,7.0,7.0
2001-10-16,7.0,7.0,7.0,7.0,4666500,1500,1,7.0,7.0
2001-10-20,7.0,7.0,7.0,7.0,15315300,4862,3,7.0,7.0
2001-10-22,7.0,7.0,7.0,7.0,1585000,500,3,7.0,7.0
2001-10-23,7.0,7.0,7.0,7.0,5088700,1600,8,7.0,7.0
2001-10-24,7.0,7.0,7.0,7.0,36344000,11576,7,7.0,7.0
2001-10-30,7.0,7.0,7.0,7.0,84989180,28055,8,7.0,7.0
2001-10-31,7.0,7.0,7.0,7.0,41168550,13671,5,7.0,7.0
2001-11-03,7.0,7.0,7.0,7.0,13804300,4526,1,7.0,7.0
2001-11-05,7.0,7.0,7.0,7.0,9606000,3000,2,7.0,7.0
2001-11-06,7.0,7.0,7.0,7.0,17703828,5514,5,7.0,7.0
2001-11-07,8.0,8.0,7.0,8.0,17975200,5360,5,7.0,8.0
2001-11-10,8.0,8.0,8.0,8.0,125646500,35899,8,8.0,8.0
2001-11-11,8.0,8.0,8.0,8.0,18793500,5350,7,8.0,8.0
2001-11-12,8.0,8.0,8.0,8.0,58671701,15957,4,8.0,8.0
2001-11-13,9.0,9.0,9.0,9.0,9122616,2403,3,8.0,9.0
2001-11-17,9.0,9.0,9.0,9.0,8486910,2295,1,9.0,9.0
2001-11-21,8.0,8.0,8.0,8.0,5004360,1424,3,9.0,8.0
2001-11-25,8.0,8.0,8.0,8.0,3339000,1000,2,8.0,8.0
2001-11-26,7.0,7.0,7.0,7.0,3201000,1000,2,8.0,7.0
2001-11-27,7.0,8.0,7.0,8.0,114647672,35503,14,7.0,8.0
2001-11-28,8.0,8.0,8.0,8.0,11165280,3323,2,8.0,8.0
2001-12-01,8.0,8.0,8.0,8.0,6719244,1951,3,8.0,8.0
2001-12-02,8.0,8.0,8.0,8.0,10313228,3049,5,8.0,8.0
2001-12-03,8.0,8.0,8.0,8.0,34178000,10200,4,8.0,8.0
2001-12-08,8.0,8.0,8.0,8.0,2977250,863,2,8.0,8.0
2001-12-10,8.0,8.0,8.0,8.0,41400,12,1,8.0,8.0
2001-12-11,8.0,8.0,8.0,8.0,3553500,1030,1,8.0,8.0
2001-12-12,8.0,8.0,8.0,8.0,23791500,7150,3,8.0,8.0
2001-12-15,8.0,8.0,8.0,8.0,9372000,2840,2,8.0,8.0
2001-12-18,8.0,8.0,8.0,8.0,10571783,3067,3,8.0,8.0
2001-12-19,8.0,8.0,8.0,8.0,29750400,8640,4,8.0,8.0
2001-12-22,8.0,8.0,8.0,8.0,43115855,12533,9,8.0,8.0
2001-12-23,8.0,9.0,8.0,9.0,122833232,34097,14,8.0,9.0
2001-12-24,9.0,9.0,9.0,9.0,91649050,24334,5,9.0,9.0
2001-12-25,9.0,9.0,9.0,9.0,22183630,5834,5,9.0,9.0
2001-12-26,9.0,9.0,9.0,9.0,33223572,8685,3,9.0,9.0
2001-12-29,9.0,9.0,9.0,9.0,22371840,5760,1,9.0,9.0
2001-12-30,9.0,9.0,9.0,9.0,6845729,1763,3,9.0,9.0
2002-01-02,9.0,9.0,9.0,9.0,3970048,1024,2,9.0,9.0
2002-01-06,9.0,9.0,9.0,9.0,120125,31,1,9.0,9.0
2002-01-21,9.0,9.0,9.0,9.0,1023300,270,1,9.0,9.0
2002-02-02,9.0,9.0,9.0,9.0,5979200,1600,1,9.0,9.0
2002-02-10,9.0,9.0,8.0,8.0,924350,250,2,9.0,8.0
2002-02-16,8.0,8.0,8.0,8.0,30412850,8567,4,8.0,8.0
2002-02-17,8.0,8.0,8.0,8.0,3513000,1000,2,8.0,8.0
2002-02-19,8.0,8.0,8.0,8.0,31127000,9155,6,8.0,8.0
2002-02-20,8.0,8.0,8.0,8.0,9900000,3000,1,8.0,8.0
2002-02-26,7.0,7.0,7.0,7.0,29461250,9065,5,8.0,7.0
2002-02-27,7.0,7.0,7.0,7.0,22756500,7002,2,7.0,7.0
2002-03-02,8.0,8.0,8.0,8.0,1980000,600,1,7.0,8.0
2002-03-04,8.0,8.0,8.0,8.0,19513930,5903,6,8.0,8.0
2002-03-10,8.0,8.0,8.0,8.0,2475750,750,2,8.0,8.0
2002-03-11,7.0,7.0,7.0,7.0,19699720,6060,3,8.0,7.0
2002-03-12,7.0,7.0,7.0,7.0,125918712,40586,10,7.0,7.0
2002-03-13,7.0,7.0,7.0,7.0,3150000,1000,1,7.0,7.0
2002-03-16,8.0,8.0,8.0,8.0,7233600,2200,1,7.0,8.0
2002-03-17,8.0,8.0,8.0,8.0,7950600,2323,4,8.0,8.0
2002-03-18,8.0,8.0,8.0,8.0,238039070,67239,19,8.0,8.0
2002-03-19,8.0,8.0,8.0,8.0,21132510,5862,9,8.0,8.0
2002-04-03,8.0,8.0,8.0,8.0,3983525,1105,1,8.0,8.0
2002-04-21,8.0,8.0,8.0,8.0,6390000,1775,3,8.0,8.0
2002-04-22,8.0,8.0,8.0,8.0,36300715,10074,5,8.0,8.0
