date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-03-04,1505.0,1505.0,1505.0,1505.0,676597910500,33999895,1619279,76.0,1505.0
2020-03-07,1580.0,1580.0,1580.0,1507.0,1642723110,78618,3801,1505.0,1580.0
2020-03-09,1582.0,1582.0,1582.0,1564.0,39572726803,1890989,4310,1507.0,1582.0
2020-03-10,1642.0,1642.0,1642.0,1567.0,2046356455,94237,4560,1564.0,1642.0
2020-03-11,1645.0,1645.0,1645.0,1571.0,2819534088,129598,6294,1567.0,1645.0
2020-03-14,1649.0,1649.0,1649.0,1579.0,5800635450,265950,7394,1571.0,1649.0
2020-03-15,1658.0,1658.0,1658.0,1583.0,2532027468,115449,4319,1579.0,1658.0
2020-03-16,1662.0,1662.0,1662.0,1589.0,3686628864,167696,7150,1583.0,1662.0
2020-03-17,1668.0,1668.0,1668.0,1593.0,3070869139,139199,6684,1589.0,1668.0
2020-03-18,1673.0,1673.0,1673.0,1599.0,3618986250,163570,7874,1593.0,1673.0
2020-03-24,1679.0,1679.0,1679.0,1604.0,3548630041,159841,7670,1599.0,1679.0
2020-03-25,1684.0,1684.0,1684.0,1611.0,4466538450,200518,9609,1604.0,1684.0
2020-03-28,1692.0,1692.0,1692.0,1620.0,5929325090,265057,12596,1611.0,1692.0
2020-03-29,1701.0,1701.0,1701.0,1630.0,6667544448,296388,13954,1620.0,1701.0
2020-03-30,1712.0,1712.0,1712.0,1639.0,5936136360,262220,12474,1630.0,1712.0
2020-04-04,1721.0,1721.0,1721.0,1651.0,7187733000,315750,15074,1639.0,1721.0
2020-04-05,1733.0,1733.0,1733.0,1664.0,8628109659,376461,16635,1651.0,1733.0
2020-04-06,1747.0,1747.0,1747.0,1684.0,12979564440,561740,26862,1664.0,1747.0
2020-04-07,1768.0,1768.0,1768.0,1706.0,14164593807,605661,28339,1684.0,1768.0
2020-04-08,1792.0,1792.0,1792.0,1733.0,16836150804,710566,32497,1706.0,1792.0
2020-04-11,1819.0,1819.0,1819.0,1745.0,7527676156,312884,14611,1733.0,1819.0
2020-04-12,1832.0,1832.0,1832.0,1756.0,6422063085,265035,12212,1745.0,1832.0
2020-04-13,1843.0,1843.0,1843.0,1777.0,12802326102,525159,21455,1756.0,1843.0
2020-04-14,1866.0,1866.0,1866.0,1834.0,34817047434,1411254,57518,1777.0,1866.0
2020-04-15,1926.0,1926.0,1926.0,1862.0,16753920056,657842,31414,1834.0,1926.0
2020-04-18,1955.0,1955.0,1955.0,1876.0,7923198516,306483,14016,1862.0,1955.0
2020-04-19,1970.0,1970.0,1970.0,1893.0,9558623872,366976,13117,1876.0,1970.0
2020-04-20,1987.0,1987.0,1987.0,1909.0,9324958728,354804,13877,1893.0,1987.0
2020-04-21,2005.0,2005.0,2005.0,1921.0,6457952032,243586,11684,1909.0,2005.0
2020-04-22,2017.0,2017.0,2017.0,1935.0,7965827570,298670,10346,1921.0,2017.0
2020-04-25,2032.0,2032.0,2032.0,1947.0,6394749005,238015,10531,1935.0,2032.0
2020-04-26,2044.0,2044.0,2044.0,1963.0,8899416130,329230,13105,1947.0,2044.0
2020-04-27,2061.0,2061.0,2061.0,1982.0,10342746075,379425,15686,1963.0,2061.0
2020-04-28,2081.0,2081.0,2081.0,2005.0,12199679842,443254,16041,1982.0,2081.0
2020-04-29,2105.0,2105.0,2105.0,2020.0,8334467040,299424,14238,2005.0,2105.0
2020-05-02,2121.0,2121.0,2121.0,2038.0,9449848016,336917,8089,2020.0,2121.0
2020-05-03,2140.0,2140.0,2140.0,2053.0,7589069500,268165,7780,2038.0,2140.0
2020-05-04,2155.0,2155.0,2155.0,2068.0,7900005492,277164,9082,2053.0,2155.0
2020-05-05,2171.0,2171.0,2171.0,2081.0,7038490536,245124,10662,2068.0,2171.0
2020-05-06,2185.0,2185.0,2185.0,2093.0,5890111992,203796,9750,2081.0,2185.0
2020-05-09,2197.0,2197.0,2197.0,2112.0,9507494561,327179,10077,2093.0,2197.0
2020-05-10,2217.0,2217.0,2217.0,2126.0,6971716008,237764,9717,2112.0,2217.0
2020-05-11,2232.0,2232.0,2232.0,2140.0,7230437125,244975,9217,2126.0,2232.0
2020-05-12,2247.0,2247.0,2247.0,2157.0,8522162492,286787,10222,2140.0,2247.0
2020-05-13,2265.0,2265.0,2265.0,2170.0,6566496768,219234,10447,2157.0,2265.0
2020-05-16,2279.0,2279.0,2279.0,2189.0,9010912054,299038,10614,2170.0,2279.0
2020-05-17,2298.0,2298.0,2298.0,2200.0,5342761640,175795,8292,2189.0,2298.0
2020-05-18,2310.0,2310.0,2310.0,2218.0,8976167515,293867,8327,2200.0,2310.0
2020-05-19,2329.0,2329.0,2329.0,2234.0,7615055252,247226,11820,2218.0,2329.0
2020-05-20,2346.0,2346.0,2346.0,2255.0,9999557308,322348,15213,2234.0,2346.0
2020-05-23,2367.0,2367.0,2367.0,2268.0,6054523344,193392,9282,2255.0,2367.0
2020-05-26,2381.0,2381.0,2381.0,2292.0,11114854656,352987,13620,2268.0,2381.0
2020-05-27,2406.0,2406.0,2406.0,2303.0,5251763720,165046,7921,2292.0,2406.0
2020-05-30,2418.0,2418.0,2418.0,2309.0,2856192248,89323,4264,2303.0,2418.0
2020-05-31,2424.0,2424.0,2424.0,2319.0,4463971175,139225,4283,2309.0,2424.0
2020-06-01,2435.0,2435.0,2435.0,2333.0,6243965682,193918,4299,2319.0,2435.0
2020-06-02,2449.0,2449.0,2449.0,2339.0,2927738877,90393,4373,2333.0,2449.0
2020-06-06,2456.0,2456.0,2456.0,2348.0,3983036964,122638,4088,2339.0,2456.0
2020-06-07,2465.0,2465.0,2465.0,2355.0,3199788150,98150,3524,2348.0,2465.0
2020-06-08,2473.0,2473.0,2473.0,2366.0,5111664000,156320,4136,2355.0,2473.0
2020-06-09,2485.0,2485.0,2485.0,2376.0,4534075420,137990,3785,2366.0,2485.0
2020-06-10,2495.0,2495.0,2495.0,2386.0,4178993360,126640,4511,2376.0,2495.0
2020-06-13,2505.0,2505.0,2505.0,2394.0,3678632504,111043,5341,2386.0,2505.0
2020-06-14,2514.0,2514.0,2514.0,2404.0,4422881492,133043,4496,2394.0,2514.0
2020-06-15,2524.0,2524.0,2524.0,2412.0,3499673422,104834,4730,2404.0,2524.0
2020-06-16,2533.0,2533.0,2533.0,2421.0,4144658271,123747,4726,2412.0,2533.0
2020-06-20,2542.0,2542.0,2542.0,2430.0,3805295328,113172,5369,2421.0,2542.0
2020-06-21,2552.0,2552.0,2552.0,2450.0,8504786095,252031,4854,2430.0,2552.0
2020-06-22,2572.0,2572.0,2572.0,2460.0,4641109395,136435,4671,2450.0,2572.0
2020-06-23,2583.0,2583.0,2583.0,2475.0,6514138055,190667,5509,2460.0,2583.0
2020-06-24,2599.0,2599.0,2599.0,2484.0,3638591022,105853,4252,2475.0,2599.0
2020-06-27,2608.0,2608.0,2608.0,2500.0,6681458556,193716,3274,2484.0,2608.0
2020-06-28,2625.0,2625.0,2625.0,2515.0,6404550360,184516,3309,2500.0,2625.0
2020-06-29,2640.0,2640.0,2640.0,2523.0,3511694880,100564,4519,2515.0,2640.0
2020-06-30,2649.0,2649.0,2649.0,2540.0,7056530688,201408,7278,2523.0,2649.0
2020-07-01,2667.0,2667.0,2667.0,2565.0,10600714368,300576,5867,2540.0,2667.0
2020-07-04,2693.0,2693.0,2693.0,2577.0,4783149398,134294,4380,2565.0,2693.0
2020-07-05,2705.0,2705.0,2705.0,2583.0,2705751096,75624,3622,2577.0,2705.0
2020-07-06,2712.0,2712.0,2712.0,2594.0,4440865671,123801,3831,2583.0,2712.0
2020-07-07,2724.0,2724.0,2724.0,2601.0,2936395899,81519,3943,2594.0,2724.0
2020-07-08,2731.0,2731.0,2731.0,2624.0,9410170678,260518,3878,2601.0,2731.0
2020-07-11,2755.0,2755.0,2755.0,2630.0,2155535320,59153,2883,2624.0,2755.0
2020-07-12,2761.0,2761.0,2761.0,2636.0,2573324150,70475,3297,2630.0,2761.0
2020-07-13,2768.0,2768.0,2768.0,2643.0,2840726628,77607,3634,2636.0,2768.0
2020-07-14,2775.0,2775.0,2775.0,2664.0,8507119878,231789,4564,2643.0,2775.0
2020-07-28,5329.0,5595.0,5329.0,4636.0,70977664287,3400318,17490,2664.0,5595.0
2020-07-29,4868.0,4868.0,4868.0,4640.0,1247884598,68366,2830,4636.0,4868.0
2020-08-01,4871.0,4871.0,4871.0,4644.0,931368880,50992,2472,4640.0,4871.0
2020-08-02,4876.0,4876.0,4876.0,4648.0,956407077,52317,2044,4644.0,4876.0
2020-08-03,4880.0,4880.0,4880.0,4651.0,748717564,40918,1809,4648.0,4880.0
2020-08-04,4883.0,4883.0,4883.0,4658.0,1649529590,90089,2469,4651.0,4883.0
2020-08-05,4891.0,4891.0,4891.0,4663.0,953462949,51991,2261,4658.0,4891.0
2020-08-09,4896.0,4896.0,4896.0,4668.0,1181924484,64389,2123,4663.0,4896.0
2020-08-10,4901.0,4901.0,4901.0,4671.0,692573999,37687,1823,4668.0,4901.0
2020-08-11,4904.0,4904.0,4904.0,4674.0,654354176,35584,1602,4671.0,4904.0
2020-08-12,4908.0,4908.0,4908.0,4688.0,3257731441,177041,1538,4674.0,4908.0
2020-08-15,4923.0,4923.0,4923.0,4695.0,1425803250,77250,1339,4688.0,4923.0
2020-08-16,4929.0,4929.0,4929.0,4698.0,644853387,34889,1127,4695.0,4929.0
2020-08-17,4932.0,4932.0,4932.0,4702.0,1025399830,55445,1636,4698.0,4932.0
2020-08-18,4937.0,4937.0,4937.0,4709.0,1469815776,79398,3369,4702.0,4937.0
2020-08-19,4944.0,4944.0,4944.0,4717.0,1869186540,100830,1740,4709.0,4944.0
2020-08-22,4953.0,4953.0,4953.0,4729.0,2549334025,137275,1610,4717.0,4953.0
2020-08-23,4965.0,4965.0,4965.0,4736.0,1526549232,82002,2412,4729.0,4965.0
2020-08-24,4972.0,4972.0,4972.0,4741.0,1207003749,64743,1906,4736.0,4972.0
2020-08-25,4978.0,4978.0,4978.0,4745.0,998225376,53484,2049,4741.0,4978.0
2020-08-26,4983.0,4983.0,4983.0,4763.0,3781143390,202395,5381,4745.0,4983.0
2020-08-31,5000.0,5000.0,5000.0,4772.0,2001343256,106744,3979,4763.0,5000.0
2020-09-01,5010.0,5010.0,5010.0,4778.0,1370309395,72947,3520,4772.0,5010.0
2020-09-02,5016.0,5016.0,5016.0,4791.0,3018261421,160469,2149,4778.0,5016.0
2020-09-05,5031.0,5031.0,5031.0,4809.0,3910563982,207314,5005,4791.0,5031.0
2020-09-06,5050.0,5050.0,5050.0,4821.0,2596547352,137144,4443,4809.0,5050.0
2020-09-07,5062.0,5062.0,5062.0,4849.0,6102412765,321535,5178,4821.0,5062.0
2020-09-08,5091.0,5091.0,5091.0,4957.0,23791136103,1246327,7181,4849.0,5091.0
2020-09-09,5205.0,5205.0,5205.0,4974.0,3710596596,190131,4887,4957.0,5205.0
2020-09-12,5223.0,5223.0,5223.0,4994.0,4111847942,209981,3274,4974.0,5223.0
2020-09-13,5243.0,5243.0,5243.0,5003.0,1932243792,98288,2788,4994.0,5243.0
2020-09-14,5252.0,5252.0,5252.0,5012.0,2000634684,101586,3430,5003.0,5252.0
2020-09-15,5263.0,5263.0,5263.0,5020.0,1715993380,86965,3877,5012.0,5263.0
2020-09-16,5271.0,5271.0,5271.0,5047.0,5620901364,284401,7158,5020.0,5271.0
2020-09-19,5299.0,5299.0,5299.0,5072.0,5225845035,263015,9295,5047.0,5299.0
2020-09-20,5325.0,5325.0,5325.0,5109.0,7686236749,384947,9173,5072.0,5325.0
2020-09-21,5364.0,5364.0,5364.0,5119.0,2133802752,106096,2434,5109.0,5364.0
2020-09-22,5375.0,5375.0,5375.0,5134.0,3149656840,156295,2665,5119.0,5375.0
