date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-28,201.0,201.0,201.0,201.0,42848481,2080,10,201.0,201.0
2001-04-03,201.0,201.0,201.0,201.0,10300000,500,2,201.0,201.0
2001-04-09,201.0,201.0,201.0,201.0,12154090,590,3,201.0,201.0
2001-04-10,201.0,201.0,201.0,201.0,12419154070,602930,4,201.0,201.0
2001-04-11,196.0,196.0,196.0,196.0,48204000,2400,4,201.0,196.0
2001-04-14,195.0,196.0,195.0,196.0,52983605,2640,9,196.0,196.0
2001-04-16,194.0,194.0,194.0,194.0,24972535,1255,4,196.0,194.0
2001-04-17,194.0,194.0,194.0,194.0,10913571,549,1,194.0,194.0
2001-04-18,194.0,194.0,192.0,192.0,162550360,8236,20,194.0,192.0
2001-04-21,190.0,190.0,190.0,190.0,107248375,5500,11,192.0,190.0
2001-04-22,188.0,188.0,188.0,188.0,57915000,3000,7,190.0,188.0
2001-04-23,188.0,188.0,186.0,186.0,89453068,4677,15,188.0,186.0
2001-04-24,187.0,188.0,187.0,188.0,356424246,18533,25,186.0,188.0
2001-04-25,190.0,190.0,190.0,190.0,28147892,1444,3,188.0,190.0
2001-04-28,192.0,192.0,192.0,192.0,49217500,2500,4,190.0,192.0
2001-04-30,194.0,194.0,194.0,194.0,164392644,8268,22,192.0,194.0
2001-05-01,196.0,196.0,196.0,196.0,96580910,4810,7,194.0,196.0
2001-05-02,194.0,195.0,194.0,194.0,131219576,6577,23,196.0,194.0
2001-05-05,192.0,192.0,192.0,192.0,2009502,102,1,194.0,192.0
2001-05-06,192.0,192.0,190.0,191.0,70810343,3610,17,192.0,191.0
2001-05-07,189.0,189.0,189.0,189.0,53555040,2760,9,191.0,189.0
2001-05-08,187.0,189.0,187.0,189.0,233815670,12152,26,189.0,189.0
2001-05-09,190.0,190.0,189.0,189.0,128132869,6596,12,189.0,189.0
2001-05-12,189.0,189.0,189.0,189.0,165066256,8510,18,189.0,189.0
2001-05-13,189.0,189.0,187.0,189.0,264985222,13732,25,189.0,189.0
2001-05-15,189.0,189.0,189.0,189.0,44635480,2304,6,189.0,189.0
2001-05-16,188.0,189.0,187.0,187.0,109536394,5681,20,189.0,187.0
2001-05-19,187.0,187.0,187.0,187.0,130005598,6768,12,187.0,187.0
2001-05-20,187.0,187.0,187.0,187.0,31713460,1651,8,187.0,187.0
2001-05-21,186.0,187.0,186.0,186.0,75988082,3985,8,187.0,186.0
2001-05-23,184.0,185.0,184.0,184.0,56464000,2989,7,186.0,184.0
2001-05-26,182.0,185.0,182.0,185.0,177764385,9439,38,184.0,185.0
2001-05-27,185.0,185.0,185.0,185.0,127085550,6709,7,185.0,185.0
2001-05-28,184.0,184.0,184.0,184.0,11896450,631,4,185.0,184.0
2001-05-29,182.0,184.0,182.0,184.0,130788174,6969,10,184.0,184.0
2001-05-30,182.0,184.0,182.0,184.0,37441950,2000,7,184.0,184.0
2001-06-02,182.0,182.0,182.0,182.0,28552860,1530,6,184.0,182.0
