date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-08-30,901.0,1021.0,887.0,929.0,6523245274,4218382,554,601.0,889.0
2011-09-03,883.0,883.0,883.0,883.0,82264000,56000,9,929.0,883.0
2011-09-04,839.0,839.0,839.0,839.0,45180144,32364,6,883.0,839.0
2011-09-05,797.0,841.0,797.0,807.0,3214666682,2394476,406,839.0,815.0
2011-09-06,847.0,847.0,847.0,847.0,465300000,330000,42,807.0,847.0
2011-09-07,889.0,889.0,828.0,887.0,3314014437,2245604,436,847.0,889.0
2011-09-10,859.0,919.0,859.0,905.0,274260115,181931,47,887.0,901.0
2011-09-11,872.0,872.0,860.0,869.0,353010000,244000,64,905.0,865.0
2011-09-12,865.0,869.0,826.0,831.0,832358513,601507,104,869.0,869.0
2011-09-13,805.0,841.0,802.0,839.0,305921125,219047,50,831.0,841.0
2011-09-14,841.0,841.0,829.0,839.0,153010000,109500,31,839.0,841.0
2011-09-17,823.0,823.0,808.0,813.0,56334660,41628,10,839.0,814.0
2011-09-18,813.0,813.0,801.0,806.0,206083421,153641,35,813.0,801.0
2011-09-19,781.0,793.0,765.0,773.0,463118748,360113,75,806.0,776.0
2011-09-20,793.0,793.0,769.0,770.0,86299500,67350,13,773.0,769.0
2011-09-21,755.0,755.0,740.0,751.0,229512972,183637,49,770.0,751.0
2011-09-25,752.0,752.0,714.0,718.0,412980440,345660,79,751.0,718.0
2011-09-26,750.0,750.0,733.0,741.0,25176200,20400,6,718.0,733.0
2011-09-27,722.0,739.0,705.0,717.0,57300505,48036,13,741.0,723.0
2011-09-28,744.0,744.0,722.0,742.0,75321900,61000,13,717.0,722.0
2011-10-01,721.0,744.0,721.0,723.0,206153752,171276,39,742.0,723.0
2011-10-02,724.0,745.0,715.0,722.0,161633300,134429,38,723.0,721.0
2011-10-03,727.0,744.0,709.0,725.0,29136540,24160,12,722.0,709.0
2011-10-04,736.0,736.0,736.0,736.0,3675000,3000,1,725.0,736.0
2011-10-05,700.0,703.0,699.0,700.0,1013790390,869990,158,736.0,703.0
2011-10-08,703.0,735.0,702.0,732.0,596144300,489025,98,700.0,735.0
2011-10-09,735.0,768.0,735.0,761.0,737440204,582548,123,732.0,768.0
2011-10-10,776.0,798.0,757.0,777.0,419278592,324262,74,761.0,757.0
2011-10-11,787.0,787.0,738.0,744.0,111072380,89750,18,777.0,759.0
2011-10-12,761.0,761.0,728.0,732.0,146945055,120545,24,744.0,730.0
2011-10-15,707.0,707.0,699.0,702.0,294673879,252000,57,732.0,703.0
2011-10-16,676.0,697.0,674.0,684.0,121694500,106818,36,702.0,676.0
