date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-09-07,195.0,195.0,195.0,195.0,16487280000,12123000,8112,143.0,195.0
2015-09-08,204.0,204.0,204.0,204.0,1455387612,1019179,245,195.0,204.0
2015-09-09,215.0,215.0,215.0,215.0,808344744,539256,191,204.0,215.0
2015-09-12,225.0,225.0,225.0,225.0,2686905793,1708141,507,215.0,225.0
2015-09-13,236.0,236.0,236.0,236.0,3605514887,2183837,1751,225.0,236.0
2015-09-14,248.0,248.0,248.0,248.0,4980931411,2874167,1519,236.0,248.0
2015-09-15,255.0,260.0,255.0,259.0,36262488473,20020308,12483,248.0,260.0
2015-09-16,262.0,265.0,246.0,256.0,10430716277,5828372,3654,259.0,256.0
2015-09-19,257.0,259.0,244.0,250.0,4619729306,2648490,1129,256.0,244.0
2015-09-20,241.0,243.0,237.0,238.0,3170069517,1906940,487,250.0,237.0
2015-09-21,227.0,233.0,226.0,227.0,2965951898,1874864,440,238.0,233.0
2015-09-22,231.0,238.0,226.0,236.0,4121178296,2501885,508,227.0,238.0
2015-09-23,240.0,248.0,236.0,244.0,2884895763,1690836,357,236.0,239.0
2015-09-26,238.0,238.0,232.0,232.0,2588446749,1594846,291,244.0,232.0
2015-09-27,229.0,237.0,223.0,226.0,1279740410,809976,207,232.0,224.0
2015-09-28,223.0,235.0,216.0,227.0,2708883409,1711897,351,226.0,223.0
2015-09-29,228.0,228.0,221.0,224.0,728655241,466797,152,227.0,223.0
2015-09-30,229.0,229.0,222.0,225.0,520382765,331431,131,224.0,224.0
2015-10-03,225.0,225.0,214.0,215.0,1890495340,1256697,251,225.0,214.0
2015-10-04,208.0,222.0,208.0,219.0,689838379,451908,154,215.0,221.0
2015-10-05,222.0,222.0,212.0,216.0,764012537,506985,138,219.0,216.0
2015-10-06,208.0,221.0,208.0,214.0,1710019850,1145419,210,216.0,212.0
2015-10-07,209.0,215.0,208.0,211.0,1081371618,735789,156,214.0,208.0
2015-10-10,213.0,213.0,203.0,206.0,676238428,470278,145,211.0,206.0
2015-10-11,206.0,209.0,202.0,204.0,919536981,645768,146,206.0,207.0
2015-10-12,204.0,213.0,204.0,210.0,382011581,260825,113,204.0,207.0
2015-10-13,208.0,216.0,208.0,213.0,1208428936,814452,142,210.0,215.0
2015-10-14,215.0,218.0,203.0,207.0,2410709010,1668110,279,213.0,208.0
2015-10-17,210.0,215.0,203.0,210.0,1633944715,1113596,236,207.0,213.0
2015-10-18,213.0,216.0,205.0,210.0,772845788,526037,115,210.0,208.0
2015-10-19,205.0,212.0,202.0,205.0,629583997,438846,108,210.0,205.0
2015-10-20,209.0,209.0,203.0,204.0,650416267,456313,95,205.0,203.0
2015-10-21,204.0,206.0,201.0,202.0,687016884,487241,122,204.0,202.0
2015-10-25,201.0,201.0,195.0,197.0,902568026,654351,152,202.0,196.0
2015-10-26,200.0,200.0,196.0,199.0,224308227,161748,52,197.0,199.0
2015-10-27,200.0,203.0,196.0,197.0,622677188,451556,96,199.0,196.0
2015-10-28,200.0,200.0,196.0,197.0,493589670,357843,71,197.0,197.0
2015-10-31,197.0,205.0,196.0,200.0,894987865,640266,101,197.0,203.0
2015-11-01,201.0,206.0,199.0,202.0,730577487,517623,87,200.0,200.0
2015-11-02,201.0,205.0,198.0,200.0,692243319,494764,47,202.0,198.0
2015-11-03,203.0,204.0,190.0,195.0,1250836509,916592,166,200.0,196.0
2015-11-04,196.0,198.0,195.0,196.0,1034819655,754775,97,195.0,195.0
2015-11-07,199.0,201.0,195.0,197.0,1051566862,765376,128,196.0,196.0
2015-11-08,198.0,199.0,196.0,197.0,341027437,247722,56,197.0,197.0
2015-11-09,196.0,203.0,196.0,201.0,1409596102,1004838,196,197.0,200.0
2015-11-10,205.0,205.0,203.0,204.0,1048179334,735918,159,201.0,203.0
2015-11-11,199.0,209.0,199.0,206.0,2658107024,1850140,325,204.0,204.0
2015-11-17,214.0,220.0,212.0,217.0,1929606666,1371163,211,206.0,217.0
2015-11-18,217.0,227.0,215.0,226.0,2508715153,1705419,253,217.0,227.0
2015-11-21,238.0,238.0,238.0,238.0,197528552,127933,21,226.0,238.0
2015-11-22,245.0,249.0,233.0,242.0,6383892717,4063105,517,238.0,240.0
2015-11-23,239.0,239.0,230.0,232.0,1477312775,980251,162,242.0,237.0
2015-11-24,231.0,243.0,231.0,243.0,1878518511,1191397,150,232.0,243.0
2015-11-25,246.0,255.0,246.0,254.0,5325560682,3224807,397,243.0,255.0
2015-11-28,267.0,267.0,254.0,266.0,6484645807,3756151,357,254.0,261.0
2015-11-29,254.0,279.0,253.0,273.0,4395684376,2481042,384,266.0,270.0
2015-11-30,270.0,276.0,259.0,265.0,2660251660,1544183,225,273.0,260.0
2015-12-01,259.0,274.0,255.0,268.0,1058738912,609136,148,265.0,272.0
2015-12-05,272.0,281.0,262.0,269.0,3221005166,1840535,272,268.0,262.0
2015-12-06,268.0,268.0,256.0,257.0,2876232335,1722790,211,269.0,256.0
2015-12-07,249.0,260.0,245.0,251.0,1389958811,853586,132,257.0,246.0
2015-12-08,252.0,252.0,242.0,248.0,386607700,239728,58,251.0,251.0
2015-12-09,240.0,254.0,240.0,249.0,802791463,496695,73,248.0,250.0
2015-12-13,248.0,256.0,246.0,249.0,1111790652,687990,89,249.0,249.0
2015-12-14,248.0,254.0,237.0,241.0,2208867316,1409678,173,249.0,243.0
2015-12-15,247.0,253.0,245.0,252.0,1181263946,722439,90,241.0,253.0
2015-12-16,260.0,262.0,245.0,253.0,2069569713,1261125,119,252.0,254.0
2015-12-19,251.0,256.0,242.0,246.0,1966683486,1231198,131,253.0,243.0
2015-12-20,249.0,249.0,236.0,238.0,541729566,350551,83,246.0,236.0
2015-12-21,244.0,245.0,234.0,238.0,1264160958,816579,106,238.0,238.0
2015-12-22,238.0,244.0,235.0,238.0,570942360,369150,57,238.0,237.0
2015-12-23,243.0,250.0,236.0,248.0,3048547617,1894993,205,238.0,250.0
2015-12-26,248.0,260.0,245.0,257.0,4590883696,2746673,264,248.0,257.0
2015-12-27,259.0,270.0,259.0,269.0,6402031218,3664232,371,257.0,267.0
2015-12-28,270.0,270.0,256.0,264.0,2908011131,1695209,240,269.0,260.0
2015-12-30,254.0,275.0,254.0,267.0,1358999886,784396,146,264.0,262.0
2016-01-02,257.0,272.0,257.0,267.0,1706372072,984405,160,267.0,263.0
2016-01-03,262.0,268.0,258.0,260.0,1504134844,889624,163,267.0,259.0
2016-01-04,263.0,265.0,257.0,260.0,1485119964,877811,160,260.0,258.0
2016-01-05,255.0,272.0,255.0,267.0,2239947145,1291322,180,260.0,271.0
2016-01-06,266.0,277.0,256.0,267.0,2988307118,1723602,259,267.0,257.0
2016-01-09,264.0,280.0,260.0,279.0,13191048916,7283919,514,267.0,280.0
2016-01-10,289.0,293.0,282.0,291.0,12888554662,6810937,643,279.0,289.0
2016-01-11,292.0,293.0,279.0,285.0,6836023010,3696385,449,291.0,279.0
2016-01-12,279.0,289.0,272.0,280.0,3588861265,1974201,309,285.0,280.0
2016-01-13,283.0,285.0,271.0,277.0,2976846207,1653713,311,280.0,272.0
2016-01-16,277.0,284.0,270.0,279.0,4771984549,2632877,336,277.0,281.0
2016-01-17,288.0,288.0,272.0,279.0,2180779568,1201973,330,279.0,277.0
2016-01-18,283.0,283.0,267.0,274.0,1240496665,697354,236,279.0,276.0
2016-01-19,281.0,287.0,281.0,286.0,5174752513,2780995,230,274.0,287.0
2016-01-20,288.0,301.0,287.0,299.0,5963964893,3070828,290,286.0,300.0
2016-01-23,310.0,311.0,299.0,307.0,5746887263,2884891,320,299.0,300.0
2016-01-24,308.0,312.0,292.0,302.0,5594373047,2856315,337,307.0,294.0
2016-01-25,299.0,299.0,287.0,288.0,5760268503,3075880,374,302.0,287.0
2016-01-26,283.0,303.0,283.0,297.0,10794229129,5586094,625,288.0,298.0
2016-01-27,302.0,302.0,283.0,288.0,2244034437,1198041,221,297.0,289.0
2016-01-30,285.0,295.0,277.0,287.0,3138006090,1685383,236,288.0,286.0
2016-01-31,289.0,291.0,278.0,281.0,1598889891,877168,172,287.0,278.0
2016-02-01,285.0,289.0,279.0,284.0,2018151001,1094765,201,281.0,283.0
2016-02-02,291.0,291.0,279.0,285.0,2178357832,1177701,210,284.0,279.0
2016-02-03,280.0,282.0,274.0,277.0,2032883465,1128101,200,285.0,274.0
2016-02-06,283.0,291.0,276.0,289.0,4243655153,2261084,329,277.0,291.0
2016-02-07,292.0,303.0,285.0,300.0,11065632431,5681006,597,289.0,303.0
2016-02-08,314.0,315.0,302.0,315.0,14461853887,7075642,474,300.0,315.0
2016-02-09,330.0,330.0,323.0,330.0,24693936726,11507240,719,315.0,330.0
2016-02-10,342.0,347.0,332.0,346.0,13967871354,6218764,450,330.0,347.0
2016-02-13,363.0,363.0,362.0,363.0,13022291214,5522757,319,346.0,363.0
2016-02-14,381.0,381.0,378.0,381.0,21874797900,8838324,544,363.0,381.0
2016-02-15,400.0,400.0,400.0,400.0,14460920052,5566174,201,381.0,400.0
2016-02-16,420.0,420.0,394.0,413.0,56499334539,21044933,1837,400.0,420.0
2016-02-17,424.0,434.0,408.0,431.0,28406071896,10136521,853,413.0,434.0
2016-02-20,449.0,449.0,423.0,439.0,20914653149,7335009,995,431.0,431.0
2016-02-21,426.0,431.0,417.0,418.0,9626859008,3543697,420,439.0,417.0
2016-02-22,430.0,430.0,397.0,403.0,17859679199,6825460,871,418.0,403.0
2016-02-23,397.0,397.0,383.0,385.0,5600301951,2237625,276,403.0,383.0
2016-02-24,366.0,394.0,366.0,374.0,21268842111,8745835,1048,385.0,388.0
2016-02-27,393.0,393.0,393.0,393.0,2153264025,843425,84,374.0,393.0
2016-02-28,412.0,412.0,383.0,404.0,11422075814,4355579,763,393.0,408.0
2016-02-29,403.0,421.0,383.0,402.0,16073726346,6151838,965,404.0,392.0
2016-03-01,404.0,404.0,385.0,390.0,4213626156,1661117,422,402.0,389.0
2016-03-02,397.0,403.0,382.0,392.0,7690511274,3019004,523,390.0,391.0
2016-03-05,390.0,400.0,376.0,390.0,5732053804,2263751,455,392.0,381.0
2016-03-06,385.0,395.0,370.0,375.0,9697461505,3980501,703,390.0,371.0
2016-03-07,369.0,386.0,362.0,376.0,6072351550,2482237,517,375.0,380.0
2016-03-08,383.0,395.0,376.0,388.0,7008416952,2781261,610,376.0,392.0
2016-03-09,394.0,405.0,392.0,400.0,6335060730,2438734,591,388.0,400.0
2016-03-12,385.0,408.0,383.0,394.0,7475305054,2917867,607,400.0,388.0
2016-03-14,389.0,394.0,375.0,380.0,7753074659,3141400,711,394.0,376.0
2016-03-15,385.0,391.0,366.0,371.0,4821033985,1999379,430,380.0,368.0
2016-03-16,381.0,385.0,359.0,372.0,6445952583,2666667,563,371.0,384.0
2016-03-26,390.0,390.0,385.0,390.0,3617182190,1426287,190,372.0,390.0
2016-03-27,399.0,399.0,374.0,386.0,3164034571,1261459,323,390.0,382.0
2016-03-28,381.0,384.0,369.0,373.0,2465510977,1018283,208,386.0,375.0
2016-03-29,375.0,383.0,368.0,374.0,3570011686,1468500,296,373.0,380.0
2016-03-30,380.0,393.0,380.0,392.0,6017876170,2363174,345,374.0,393.0
2016-04-02,406.0,406.0,390.0,398.0,3369221907,1302755,344,392.0,392.0
2016-04-03,400.0,400.0,378.0,383.0,5445936994,2188286,388,398.0,388.0
2016-04-04,386.0,400.0,385.0,393.0,5699326874,2231899,520,383.0,386.0
2016-04-05,396.0,406.0,388.0,399.0,5044135129,1944615,609,393.0,393.0
2016-04-06,399.0,403.0,388.0,395.0,4120170773,1604989,325,399.0,389.0
2016-04-09,385.0,392.0,379.0,384.0,4137722971,1658641,384,395.0,383.0
2016-04-10,382.0,392.0,379.0,385.0,4550074541,1821046,378,384.0,380.0
2016-04-11,382.0,400.0,382.0,389.0,4574740885,1808140,422,385.0,388.0
2016-04-12,392.0,396.0,371.0,383.0,3269791416,1313879,283,389.0,376.0
2016-04-13,372.0,384.0,370.0,374.0,2342662086,963837,221,383.0,373.0
2016-04-16,372.0,372.0,356.0,360.0,3158170664,1349965,242,374.0,356.0
2016-04-17,343.0,369.0,343.0,358.0,4042531489,1739145,309,360.0,369.0
2016-04-18,369.0,376.0,369.0,375.0,2728523156,1118674,186,358.0,376.0
2016-04-19,389.0,389.0,363.0,383.0,2826928910,1135434,322,375.0,388.0
2016-04-20,390.0,390.0,369.0,379.0,1288576084,523863,142,383.0,371.0
2016-04-23,377.0,384.0,369.0,375.0,1578700345,647641,179,379.0,376.0
2016-04-24,376.0,381.0,370.0,376.0,1122431365,460042,133,375.0,374.0
2016-04-25,372.0,383.0,370.0,376.0,3779267074,1546888,234,376.0,375.0
2016-04-26,371.0,378.0,366.0,371.0,2325401456,965361,215,376.0,368.0
2016-04-27,368.0,376.0,368.0,370.0,2641421763,1097593,285,371.0,368.0
2016-04-30,368.0,372.0,359.0,366.0,2519093481,1060569,247,370.0,369.0
2016-05-01,366.0,374.0,362.0,367.0,2793350021,1170212,281,366.0,366.0
2016-05-02,365.0,369.0,354.0,360.0,5324192365,2273104,401,367.0,360.0
2016-05-03,362.0,378.0,361.0,378.0,14592177226,5945035,509,360.0,378.0
2016-05-04,391.0,396.0,378.0,387.0,13119256948,5221317,778,378.0,382.0
2016-05-07,384.0,384.0,368.0,370.0,14893142414,6201317,955,387.0,368.0
2016-05-08,368.0,388.0,362.0,382.0,12239890822,4927444,889,370.0,388.0
2016-05-09,392.0,400.0,384.0,393.0,9516232305,3725193,735,382.0,385.0
2016-05-10,392.0,392.0,374.0,376.0,3898926773,1595365,395,393.0,376.0
2016-05-11,384.0,384.0,364.0,370.0,2440541995,1014207,246,376.0,373.0
2016-05-14,377.0,379.0,366.0,373.0,2501020909,1032939,228,370.0,367.0
2016-05-15,364.0,377.0,359.0,365.0,4127339965,1739488,356,373.0,365.0
2016-05-16,362.0,373.0,361.0,365.0,2604007837,1096852,198,365.0,366.0
2016-05-17,365.0,371.0,360.0,363.0,3600272651,1527844,357,365.0,360.0
2016-05-18,363.0,374.0,360.0,369.0,2389702337,997235,206,363.0,372.0
2016-05-21,372.0,376.0,367.0,369.0,1082419135,451413,139,369.0,367.0
2016-05-23,367.0,375.0,362.0,367.0,2547922048,1069162,233,369.0,366.0
2016-05-24,362.0,368.0,360.0,362.0,2733862119,1160846,289,367.0,362.0
2016-05-25,366.0,369.0,359.0,362.0,1304395345,554220,177,362.0,362.0
2016-05-28,359.0,364.0,354.0,358.0,2736075976,1176290,283,362.0,356.0
2016-05-29,358.0,360.0,351.0,356.0,3319299595,1437075,298,358.0,353.0
2016-05-30,362.0,367.0,353.0,358.0,2318272732,996623,292,356.0,354.0
2016-05-31,357.0,357.0,348.0,352.0,1005095747,439762,220,358.0,349.0
2016-06-01,353.0,354.0,344.0,350.0,1980422607,870882,218,352.0,349.0
2016-06-05,346.0,356.0,344.0,352.0,2567293136,1124195,246,350.0,348.0
2016-06-06,354.0,354.0,347.0,352.0,1705796620,746051,180,352.0,353.0
2016-06-07,349.0,352.0,342.0,348.0,1245951773,551139,169,352.0,347.0
2016-06-08,348.0,357.0,340.0,345.0,2155906108,961196,249,348.0,340.0
2016-06-11,336.0,336.0,328.0,329.0,1334911438,623647,209,345.0,328.0
2016-06-12,317.0,328.0,313.0,315.0,2771339940,1353224,322,329.0,314.0
2016-06-13,317.0,331.0,317.0,331.0,3462665926,1612021,244,315.0,331.0
2016-06-14,337.0,337.0,315.0,322.0,1111115638,530539,169,331.0,326.0
2016-06-15,317.0,332.0,307.0,314.0,3278690411,1608765,343,322.0,314.0
2016-06-18,323.0,323.0,310.0,316.0,1038949244,505693,158,314.0,313.0
2016-06-19,309.0,311.0,301.0,303.0,3373176248,1716096,293,316.0,301.0
2016-06-20,300.0,311.0,298.0,304.0,2016093662,1022575,210,303.0,311.0
2016-06-21,314.0,319.0,304.0,317.0,1799486893,874422,154,304.0,319.0
2016-06-22,329.0,329.0,318.0,322.0,2389504231,1140796,227,317.0,323.0
2016-06-25,323.0,323.0,307.0,311.0,2222943731,1101520,201,322.0,308.0
2016-06-26,308.0,311.0,299.0,304.0,2693133177,1362254,226,311.0,309.0
2016-06-28,316.0,316.0,302.0,308.0,1763115013,882492,193,304.0,306.0
2016-06-29,308.0,308.0,300.0,302.0,1958326162,997909,202,308.0,301.0
