date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-07,124.0,124.0,124.0,124.0,39990704,5000,10,124.0,124.0
2001-04-08,124.0,124.0,124.0,124.0,5960000,745,1,124.0,124.0
2001-04-10,127.0,127.0,127.0,127.0,8200000,1000,2,124.0,127.0
2001-04-11,127.0,127.0,127.0,127.0,2091000,255,1,127.0,127.0
2001-04-14,127.0,127.0,125.0,125.0,16427520,2040,3,127.0,125.0
2001-04-15,124.0,125.0,124.0,125.0,24040981,3000,3,125.0,125.0
2001-04-17,124.0,124.0,124.0,124.0,2400000,300,1,125.0,124.0
2001-04-28,124.0,124.0,124.0,124.0,5107200,640,1,124.0,124.0
2001-04-30,123.0,123.0,123.0,123.0,5323960,668,1,124.0,123.0
2001-05-09,123.0,123.0,123.0,123.0,47755910,6000,9,123.0,123.0
2001-05-13,120.0,120.0,117.0,117.0,30646000,4000,2,123.0,117.0
2001-05-15,111.0,117.0,111.0,117.0,105631056,14332,12,117.0,117.0
2001-05-16,117.0,117.0,117.0,117.0,19965550,2640,4,117.0,117.0
2001-06-19,105.0,105.0,105.0,105.0,13292045,1955,390,117.0,105.0
2001-10-16,101.0,101.0,101.0,101.0,13000000,2000,1,105.0,101.0
2001-10-17,101.0,102.0,101.0,102.0,104875000,15925,18,101.0,102.0
2001-10-20,102.0,102.0,102.0,102.0,33871500,5140,10,102.0,102.0
2001-10-21,102.0,102.0,102.0,102.0,12625800,1913,5,102.0,102.0
2001-10-22,102.0,102.0,102.0,102.0,30834200,4672,7,102.0,102.0
2001-10-28,102.0,102.0,102.0,102.0,17805235,2698,4,102.0,102.0
2001-11-04,102.0,102.0,102.0,102.0,9900000,1500,2,102.0,102.0
2001-12-02,102.0,102.0,102.0,102.0,9984487,1513,3,102.0,102.0
2001-12-04,102.0,102.0,102.0,102.0,8678340,1315,2,102.0,102.0
2001-12-19,102.0,102.0,102.0,102.0,100287000,15195,294,102.0,102.0
2001-12-23,102.0,102.0,102.0,102.0,8711357,1320,3,102.0,102.0
2001-12-24,102.0,102.0,102.0,102.0,264000,40,1,102.0,102.0
2002-01-02,97.0,97.0,97.0,97.0,18302130,2919,4,102.0,97.0
2002-01-05,97.0,97.0,97.0,97.0,17988630,2869,2,97.0,97.0
2002-01-19,97.0,97.0,97.0,97.0,53338435,8510,11,97.0,97.0
2002-01-23,97.0,97.0,97.0,97.0,36684609,5851,14,97.0,97.0
2002-01-27,97.0,97.0,97.0,97.0,4006530,639,1,97.0,97.0
2002-01-28,97.0,97.0,97.0,97.0,7912740,1262,4,97.0,97.0
2002-01-30,97.0,97.0,97.0,97.0,4627260,738,1,97.0,97.0
2002-02-05,97.0,97.0,97.0,97.0,6267000,1000,1,97.0,97.0
2002-02-10,97.0,97.0,97.0,97.0,7833750,1250,2,97.0,97.0
2002-02-13,97.0,97.0,97.0,97.0,407188,65,2,97.0,97.0
2002-02-18,96.0,97.0,96.0,97.0,81310703,13000,16,97.0,97.0
2002-02-19,97.0,101.0,97.0,101.0,1227682210,188875,2,97.0,101.0
2002-02-20,101.0,101.0,101.0,101.0,39000000,6000,3,101.0,101.0
2002-02-26,101.0,101.0,101.0,101.0,97500,15,1,101.0,101.0
2002-03-13,96.0,96.0,96.0,96.0,6175000,1000,1,101.0,96.0
2002-04-06,93.0,93.0,93.0,93.0,42000000,7000,7,96.0,93.0
2002-04-10,93.0,93.0,93.0,93.0,2017956,337,1,93.0,93.0
2002-04-20,90.0,90.0,90.0,90.0,5800000,1000,2,93.0,90.0
2002-04-29,92.0,92.0,92.0,92.0,50838062,8510,14,90.0,92.0
2002-04-30,93.0,93.0,93.0,93.0,2990000,500,1,92.0,93.0
2002-05-01,93.0,93.0,93.0,93.0,12777552,2136,3,93.0,93.0
2002-05-05,93.0,93.0,93.0,93.0,11180358,1869,6,93.0,93.0
2002-05-06,93.0,93.0,93.0,93.0,12001000,2000,2,93.0,93.0
2002-05-26,88.0,93.0,88.0,93.0,26398500,4500,3,93.0,93.0
2002-06-03,93.0,93.0,93.0,93.0,11999000,2000,2,93.0,93.0
2002-06-10,93.0,93.0,93.0,93.0,36816000,6136,6,93.0,93.0
2002-06-11,93.0,93.0,93.0,93.0,28734000,4789,9,93.0,93.0
2002-06-17,93.0,93.0,93.0,93.0,25690281,4281,12,93.0,93.0
2002-06-22,93.0,93.0,93.0,93.0,3799899,633,1,93.0,93.0
2002-06-23,93.0,93.0,93.0,93.0,1405220,234,5,93.0,93.0
2003-06-22,53.0,53.0,53.0,53.0,3053200,898,2,93.0,53.0
2003-06-30,52.0,52.0,52.0,52.0,2062132,613,3,53.0,52.0
2003-07-23,49.0,49.0,49.0,49.0,3196000,1000,1,52.0,49.0
2003-07-27,47.0,47.0,47.0,47.0,3037000,1000,1,49.0,47.0
2003-08-03,45.0,45.0,45.0,45.0,2885000,1000,1,47.0,45.0
2003-08-09,45.0,45.0,45.0,45.0,8300145,2877,2,45.0,45.0
2003-08-10,42.0,45.0,42.0,45.0,19177020,6776,8,45.0,45.0
2003-08-11,43.0,44.0,43.0,44.0,5276330,1877,2,45.0,44.0
2003-08-23,44.0,44.0,44.0,44.0,21346545,7445,87,44.0,44.0
2003-08-24,44.0,44.0,44.0,44.0,1978919,690,2,44.0,44.0
2003-08-26,44.0,44.0,44.0,44.0,3758637,1311,3,44.0,44.0
2003-08-27,44.0,44.0,44.0,44.0,69294244628,24169604,5,44.0,44.0
2003-08-31,44.0,44.0,44.0,44.0,44881980,15693,3,44.0,44.0
2003-09-03,44.0,44.0,44.0,44.0,9908002,3455,3,44.0,44.0
2004-01-17,42.0,42.0,42.0,42.0,2724000,1000,1,44.0,42.0
2004-01-18,42.0,42.0,42.0,42.0,65834879692,24168458,3,42.0,42.0
2004-02-18,40.0,41.0,40.0,41.0,34835410,13460,7,42.0,41.0
2004-02-23,41.0,41.0,41.0,41.0,67025,25,5,41.0,41.0
2004-02-29,39.0,41.0,39.0,41.0,4430513,1739,2,41.0,41.0
2004-03-03,39.0,41.0,39.0,41.0,10214630,4010,6,41.0,41.0
2004-03-10,40.0,41.0,40.0,41.0,7130890,2735,5,41.0,41.0
2004-04-05,41.0,42.0,41.0,42.0,75824146,27855,6,41.0,42.0
2004-04-06,42.0,42.0,42.0,42.0,13736395,5041,3,42.0,42.0
2004-04-07,42.0,42.0,42.0,42.0,9443536,3508,4,42.0,42.0
2004-04-18,42.0,42.0,42.0,42.0,3289354,1221,2,42.0,42.0
2004-05-01,42.0,42.0,42.0,42.0,5085435,1887,2,42.0,42.0
2004-05-10,42.0,42.0,42.0,42.0,2720920,1010,2,42.0,42.0
2004-05-15,42.0,42.0,42.0,42.0,3576235,1327,3,42.0,42.0
2004-05-17,42.0,42.0,42.0,42.0,6567685,2437,5,42.0,42.0
2004-05-18,42.0,42.0,42.0,42.0,3465740,1286,3,42.0,42.0
2004-05-22,42.0,42.0,42.0,42.0,506630,188,4,42.0,42.0
2004-05-29,42.0,42.0,42.0,42.0,5872420,2175,4,42.0,42.0
2004-06-02,42.0,42.0,42.0,42.0,12817663,4738,6,42.0,42.0
2004-06-08,42.0,42.0,42.0,42.0,13531930,5010,3,42.0,42.0
2004-06-09,42.0,42.0,42.0,42.0,34888923,12898,6,42.0,42.0
2004-06-19,43.0,43.0,42.0,42.0,43682670,16070,12,42.0,42.0
2004-06-21,43.0,43.0,42.0,42.0,9291780,3379,3,42.0,42.0
2004-06-22,44.0,44.0,42.0,42.0,44668270,16010,5,42.0,42.0
2004-06-23,42.0,42.0,42.0,42.0,16515791,6070,3,42.0,42.0
2004-06-26,44.0,44.0,44.0,44.0,163162610,57010,7,42.0,44.0
2004-06-27,46.0,46.0,45.0,45.0,23880560,7950,2,44.0,45.0
2004-07-05,47.0,47.0,45.0,45.0,30269050,10010,2,45.0,45.0
2004-07-06,47.0,47.0,47.0,47.0,610003050,200001,75,45.0,47.0
2004-07-07,50.0,50.0,50.0,50.0,183794800,57400,26,47.0,50.0
2004-07-10,52.0,52.0,52.0,52.0,192978800,57400,28,50.0,52.0
2004-07-11,55.0,55.0,55.0,55.0,603234640,170888,64,52.0,55.0
2004-07-12,57.0,57.0,57.0,57.0,212724400,57400,27,55.0,57.0
2004-07-13,60.0,60.0,60.0,60.0,246689400,63400,31,57.0,60.0
2004-07-14,63.0,63.0,63.0,63.0,535670135,131131,43,60.0,63.0
2004-07-17,63.0,63.0,60.0,61.0,279929378,71526,36,63.0,61.0
2004-07-18,58.0,58.0,58.0,58.0,206832400,55630,25,61.0,58.0
2004-07-19,57.0,57.0,55.0,56.0,128476056,36073,25,58.0,56.0
2004-07-20,56.0,56.0,53.0,55.0,68023839,19440,12,56.0,55.0
2004-07-24,55.0,56.0,55.0,55.0,136559450,38210,16,55.0,55.0
2004-07-25,56.0,57.0,56.0,56.0,36221128,9866,10,55.0,56.0
2004-07-26,58.0,58.0,56.0,56.0,27262320,7236,7,56.0,56.0
2004-07-27,58.0,59.0,56.0,56.0,17464060,4609,4,56.0,56.0
2004-07-28,59.0,59.0,59.0,59.0,222006400,58300,10,56.0,59.0
2004-07-31,62.0,62.0,59.0,59.0,43595908,11230,9,59.0,59.0
2004-08-01,59.0,59.0,59.0,59.0,29028200,7610,5,59.0,59.0
2004-08-02,59.0,59.0,59.0,59.0,35157183,9215,5,59.0,59.0
2004-08-03,59.0,59.0,56.0,59.0,5755183,1576,4,59.0,59.0
2004-08-04,56.0,59.0,56.0,59.0,10449792,2883,4,59.0,59.0
2004-08-07,56.0,56.0,56.0,56.0,220797330,61095,13,59.0,56.0
2004-08-08,56.0,59.0,56.0,56.0,164032263,45348,11,56.0,56.0
2004-08-11,59.0,59.0,57.0,57.0,68262514,17991,13,56.0,57.0
2004-08-14,59.0,59.0,57.0,57.0,38006920,10010,7,57.0,57.0
2004-08-15,59.0,59.0,58.0,58.0,68171644,17959,11,57.0,58.0
2004-08-16,57.0,58.0,55.0,58.0,15392014,4224,4,58.0,58.0
2004-09-14,56.0,58.0,56.0,58.0,1522290,418,2,58.0,58.0
2004-09-25,55.0,55.0,55.0,55.0,3471956,983,1,58.0,55.0
2004-10-02,55.0,55.0,55.0,55.0,17665310,5010,2,55.0,55.0
2004-10-04,54.0,55.0,54.0,55.0,9888500,2810,2,55.0,55.0
2004-10-06,54.0,54.0,54.0,54.0,51436859,14768,13,55.0,54.0
2004-10-12,54.0,54.0,54.0,54.0,3393360,975,2,54.0,54.0
2004-10-16,53.0,54.0,53.0,54.0,3435130,1010,2,54.0,54.0
2004-10-23,52.0,54.0,52.0,54.0,10215930,3060,2,54.0,54.0
2004-10-25,52.0,54.0,52.0,54.0,14911050,4480,2,54.0,54.0
2004-11-02,51.0,54.0,51.0,54.0,532130,160,4,54.0,54.0
2004-11-03,51.0,54.0,51.0,54.0,3507912,1058,2,54.0,54.0
2004-11-09,51.0,54.0,51.0,54.0,200330,60,2,54.0,54.0
2004-11-10,51.0,54.0,51.0,54.0,16612760,5020,6,54.0,54.0
2004-11-13,51.0,54.0,51.0,54.0,3506506,1064,4,54.0,54.0
2004-11-15,51.0,52.0,51.0,52.0,84794120,25773,9,54.0,52.0
2004-11-16,50.0,52.0,50.0,52.0,6073976,1887,2,52.0,52.0
2004-11-17,50.0,52.0,50.0,52.0,5931801,1810,3,52.0,52.0
2004-11-20,51.0,52.0,51.0,52.0,33250089,10049,9,52.0,52.0
2004-11-22,51.0,54.0,51.0,52.0,32300093,9685,6,52.0,52.0
2004-11-23,55.0,55.0,52.0,52.0,20122715,5709,3,52.0,52.0
2004-11-24,55.0,55.0,52.0,52.0,4553362,1286,2,52.0,52.0
2004-11-29,55.0,55.0,52.0,52.0,17758910,5010,4,52.0,52.0
2004-11-30,55.0,55.0,53.0,53.0,68742470,19310,3,52.0,53.0
2004-12-01,56.0,56.0,53.0,53.0,1391595,385,2,53.0,53.0
2004-12-04,56.0,56.0,54.0,54.0,18129610,5010,2,53.0,54.0
2004-12-05,56.0,56.0,54.0,54.0,21355458,5877,5,54.0,54.0
2004-12-06,57.0,57.0,57.0,57.0,424987353,116403,28,54.0,57.0
2004-12-15,65.0,73.0,57.0,59.0,86235964,22767,7,57.0,59.0
2004-12-21,62.0,62.0,59.0,59.0,7989930,2010,2,59.0,59.0
2004-12-22,62.0,62.0,59.0,59.0,6222026,1563,5,59.0,59.0
2004-12-25,62.0,62.0,59.0,59.0,2031490,510,2,59.0,59.0
2004-12-27,62.0,62.0,62.0,62.0,3420412555,858010,157,59.0,62.0
2004-12-28,65.0,65.0,62.0,62.0,2132360,510,2,62.0,62.0
2004-12-29,65.0,65.0,65.0,65.0,263655000,63000,16,62.0,65.0
2005-01-01,68.0,68.0,68.0,68.0,254852000,58000,20,65.0,68.0
2005-01-02,71.0,71.0,65.0,70.0,4250826934,934380,195,68.0,70.0
2005-01-03,70.0,70.0,67.0,68.0,309615985,70445,18,70.0,68.0
2005-01-04,65.0,68.0,65.0,68.0,19917344,4769,4,68.0,68.0
2005-01-05,67.0,68.0,65.0,66.0,822987107,191758,71,68.0,66.0
2005-01-08,66.0,66.0,66.0,66.0,192851214,44910,19,66.0,66.0
2005-01-09,63.0,65.0,63.0,63.0,250564693,61117,20,66.0,63.0
2005-01-10,66.0,67.0,62.0,64.0,150790465,36215,20,63.0,64.0
2005-01-11,61.0,63.0,61.0,63.0,49315960,12510,4,64.0,63.0
2005-01-12,62.0,62.0,62.0,62.0,248148485,62089,13,63.0,62.0
2005-01-15,61.0,63.0,61.0,62.0,185790450,46085,10,62.0,62.0
2005-01-16,60.0,60.0,60.0,60.0,251693040,64788,16,62.0,60.0
2005-01-17,60.0,60.0,59.0,60.0,106895824,27732,10,60.0,60.0
2005-01-18,62.0,62.0,62.0,62.0,209166660,52085,12,60.0,62.0
2005-01-19,63.0,65.0,63.0,63.0,201447725,48977,12,62.0,63.0
2005-01-22,65.0,66.0,64.0,64.0,97232620,23010,11,63.0,64.0
2005-01-23,66.0,66.0,65.0,65.0,142102455,33458,14,64.0,65.0
2005-01-24,67.0,67.0,67.0,67.0,282247242,65596,27,65.0,67.0
2005-01-25,67.0,67.0,66.0,67.0,51602710,12010,4,67.0,67.0
2005-01-26,67.0,67.0,65.0,67.0,20946457,4851,8,67.0,67.0
2005-01-30,63.0,65.0,63.0,65.0,123041950,30010,7,67.0,65.0
2005-01-31,66.0,66.0,65.0,65.0,99322410,23385,5,65.0,65.0
2005-02-01,65.0,65.0,62.0,63.0,219563526,53910,18,65.0,63.0
2005-02-02,64.0,64.0,62.0,63.0,85223000,20794,9,63.0,63.0
2005-02-05,63.0,63.0,63.0,63.0,24571280,6010,4,63.0,63.0
2005-02-06,62.0,62.0,61.0,62.0,163362624,41304,11,63.0,62.0
2005-02-07,59.0,61.0,59.0,61.0,76639340,20010,3,62.0,61.0
2005-02-08,59.0,61.0,58.0,61.0,5598570,1482,3,61.0,61.0
2005-02-09,58.0,60.0,58.0,60.0,33636705,9010,5,61.0,60.0
2005-02-12,57.0,61.0,57.0,60.0,33427600,8760,7,60.0,60.0
2005-02-13,60.0,60.0,60.0,60.0,2010500,520,2,60.0,60.0
2005-02-15,57.0,60.0,57.0,60.0,1883820,510,2,60.0,60.0
2005-02-26,57.0,59.0,57.0,58.0,148542378,40215,17,60.0,58.0
2005-02-28,55.0,57.0,55.0,57.0,39635188,11124,5,58.0,57.0
2005-03-01,55.0,57.0,55.0,57.0,55062810,15610,5,57.0,57.0
2005-03-06,54.0,57.0,54.0,56.0,73911340,21245,9,57.0,56.0
2005-03-14,53.0,56.0,53.0,56.0,1742910,510,2,56.0,56.0
2005-03-16,53.0,56.0,53.0,56.0,1776010,520,2,56.0,56.0
