date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-02-25,1815.0,1815.0,1815.0,1815.0,773211788300,29853737,6152,70.0,1815.0
2013-02-26,1857.0,1906.0,1837.0,1888.0,325703105232,12086464,14094,1815.0,1906.0
2013-02-27,1980.0,1983.0,1962.0,1981.0,58955994725,2085093,2097,1888.0,1983.0
2013-03-02,2080.0,2080.0,2080.0,2080.0,11841147864,398853,295,1981.0,2080.0
2013-03-03,2184.0,2184.0,2103.0,2175.0,295067697025,9508368,9980,2080.0,2165.0
2013-03-04,2137.0,2172.0,2066.0,2077.0,104757931630,3534011,3015,2175.0,2066.0
2013-03-05,1973.0,2043.0,1973.0,1980.0,131993403047,4672478,4138,2077.0,1973.0
2013-03-06,1994.0,2053.0,1927.0,1988.0,51920418575,1830066,2143,1980.0,1941.0
2013-03-09,1917.0,1952.0,1889.0,1891.0,43961819052,1628850,1385,1988.0,1889.0
2013-03-10,1847.0,1986.0,1823.0,1908.0,37657472044,1383066,1448,1891.0,1892.0
2013-03-11,1892.0,1955.0,1829.0,1894.0,29345282395,1085580,1025,1908.0,1840.0
2013-03-12,1836.0,1989.0,1836.0,1945.0,39412908763,1419671,1504,1894.0,1989.0
2013-03-13,1997.0,2043.0,1997.0,2037.0,50136918781,1724852,1011,1945.0,2018.0
2013-03-16,2015.0,2015.0,1935.0,1955.0,22348383316,801070,736,2037.0,1935.0
2013-03-17,1861.0,1940.0,1861.0,1911.0,11175806909,409869,585,1955.0,1917.0
2013-03-18,1935.0,2006.0,1878.0,1965.0,25534795429,910839,1128,1911.0,2006.0
2013-03-25,2063.0,2063.0,2032.0,2063.0,13634311866,463213,198,1965.0,2063.0
2013-03-26,2166.0,2166.0,2074.0,2132.0,61798227171,2031669,1725,2063.0,2088.0
2013-03-27,2088.0,2088.0,2025.0,2042.0,26205610440,899407,1212,2132.0,2025.0
2013-03-30,2018.0,2018.0,1962.0,1983.0,19391443982,685234,724,2042.0,2009.0
