date,open,high,low,adjClose,value,volume,count,yesterday,close
2008-06-29,11.0,11.0,11.0,11.0,1098456472600,189389047,5685,0.0,11.0
2008-06-30,11.0,11.0,11.0,11.0,116854335022,19643005,2021,11.0,11.0
2008-07-01,11.0,11.0,11.0,11.0,131567175195,22646072,805,11.0,11.0
2008-07-02,11.0,11.0,11.0,11.0,21308419168,3591428,551,11.0,11.0
2008-07-05,11.0,11.0,11.0,11.0,44425058143,7310389,1066,11.0,11.0
2008-07-06,11.0,11.0,11.0,11.0,28823954077,4607603,539,11.0,11.0
2008-07-07,12.0,12.0,11.0,12.0,112428300452,17571371,1293,11.0,12.0
2008-07-08,12.0,12.0,12.0,12.0,51821832634,7920559,1085,12.0,12.0
2008-07-09,12.0,12.0,12.0,12.0,6542188415,1030343,191,12.0,12.0
2008-07-12,11.0,11.0,11.0,11.0,10154071372,1629454,233,12.0,11.0
2008-07-13,11.0,12.0,11.0,12.0,15220625480,2387382,482,11.0,12.0
2008-07-14,12.0,12.0,12.0,12.0,11739243205,1794383,392,12.0,12.0
2008-07-15,12.0,12.0,12.0,12.0,15626439438,2319151,304,12.0,12.0
2008-07-20,6.0,12.0,6.0,12.0,185681778380,39182025,3,12.0,12.0
2008-07-27,11.0,12.0,11.0,12.0,3988611380,687690,2,12.0,12.0
2008-09-15,13.0,16.0,12.0,13.0,77182667475,10909243,2710,12.0,13.0
2008-09-16,13.0,13.0,13.0,13.0,60655536681,8356577,2161,13.0,13.0
2008-09-17,14.0,14.0,13.0,14.0,38608669347,5185186,1388,13.0,14.0
2008-09-20,14.0,14.0,13.0,13.0,13493179836,1857382,575,14.0,13.0
2008-09-21,13.0,13.0,13.0,13.0,28601922347,4027472,1019,13.0,13.0
2008-09-23,13.0,13.0,13.0,13.0,18998822401,2598000,748,13.0,13.0
2008-09-24,13.0,14.0,13.0,13.0,15668401034,2136544,655,13.0,13.0
2008-09-27,13.0,13.0,13.0,13.0,4902911084,687840,223,13.0,13.0
2008-09-28,13.0,13.0,13.0,13.0,21669371621,3065766,801,13.0,13.0
2008-09-29,13.0,13.0,13.0,13.0,6126642160,863343,311,13.0,13.0
2008-09-30,13.0,13.0,13.0,13.0,8406995590,1196114,368,13.0,13.0
2008-10-04,13.0,13.0,12.0,13.0,3864824553,563693,171,13.0,13.0
2008-10-05,12.0,13.0,12.0,13.0,432059408856,68547222,8,13.0,13.0
2008-10-06,12.0,13.0,12.0,13.0,371094989601,58874381,16,13.0,13.0
2008-10-07,12.0,12.0,12.0,12.0,11223359608,1658788,207,13.0,12.0
2008-10-08,12.0,12.0,12.0,12.0,20934616,3189,4,12.0,12.0
2008-10-11,12.0,12.0,12.0,12.0,2660440,405,3,12.0,12.0
2008-10-12,12.0,12.0,12.0,12.0,57115374,8701,3,12.0,12.0
2008-10-13,12.0,12.0,12.0,12.0,52768530,8040,5,12.0,12.0
2008-10-14,12.0,12.0,12.0,12.0,62564118,9534,7,12.0,12.0
2008-10-15,12.0,12.0,12.0,12.0,6877948,1048,5,12.0,12.0
2008-10-18,12.0,12.0,12.0,12.0,3741790,570,2,12.0,12.0
2008-10-19,12.0,12.0,12.0,12.0,2035930,310,2,12.0,12.0
2008-10-21,12.0,12.0,12.0,12.0,133240,20,2,12.0,12.0
2008-10-22,12.0,12.0,12.0,12.0,67702959,10319,3,12.0,12.0
2008-10-26,12.0,12.0,12.0,12.0,20889930,3282,1,12.0,12.0
2008-10-27,11.0,11.0,11.0,11.0,15388100,2492,2,12.0,11.0
2008-10-28,11.0,11.0,11.0,11.0,148234530,24747,3,11.0,11.0
2008-10-29,11.0,11.0,11.0,11.0,159570060,27460,3,11.0,11.0
2008-11-01,10.0,11.0,10.0,11.0,49663700,8810,3,11.0,11.0
2008-11-03,10.0,10.0,10.0,10.0,1127200,200,1,11.0,10.0
2008-11-05,10.0,10.0,10.0,10.0,55199860027,10069398,1726,10.0,10.0
2008-11-08,10.0,10.0,10.0,10.0,6908149829,1299257,304,10.0,10.0
2008-11-09,9.0,10.0,9.0,10.0,5822334997,1121189,157,10.0,10.0
2008-11-10,9.0,10.0,9.0,10.0,57877560,11375,3,10.0,10.0
2008-11-11,12.0,12.0,10.0,10.0,519862233333,82478541,2,10.0,10.0
2008-11-16,9.0,10.0,9.0,10.0,3954169,777,2,10.0,10.0
2008-11-17,9.0,10.0,9.0,10.0,1542931,303,2,10.0,10.0
2008-11-19,9.0,10.0,9.0,10.0,510270,100,2,10.0,10.0
2008-11-22,9.0,10.0,9.0,10.0,581488,114,2,10.0,10.0
2008-11-25,9.0,9.0,9.0,9.0,254350,50,1,10.0,9.0
2008-11-29,9.0,9.0,9.0,9.0,246750,50,1,9.0,9.0
2008-11-30,9.0,9.0,9.0,9.0,2202020,460,2,9.0,9.0
2008-12-01,8.0,8.0,8.0,8.0,357588,77,1,9.0,8.0
2008-12-02,8.0,8.0,8.0,8.0,4727135,1049,4,8.0,8.0
2008-12-03,8.0,11.0,8.0,8.0,3905240103925,624339035,6,8.0,8.0
2008-12-06,8.0,8.0,8.0,8.0,218500,50,1,8.0,8.0
2008-12-07,8.0,8.0,8.0,8.0,8478000,2000,1,8.0,8.0
2008-12-10,8.0,8.0,8.0,8.0,41120,10,1,8.0,8.0
2008-12-13,7.0,7.0,7.0,8.0,35853132,8988,3,8.0,7.0
2008-12-14,7.0,7.0,7.0,7.0,50519984,12668,2,8.0,7.0
2008-12-15,7.0,7.0,7.0,7.0,7738000,2000,1,7.0,7.0
2008-12-16,7.0,7.0,7.0,7.0,24203097,6449,7,7.0,7.0
2008-12-20,7.0,7.0,7.0,7.0,98991508,27188,6,7.0,7.0
2008-12-21,6.0,6.0,6.0,6.0,35320,10,1,7.0,6.0
2008-12-22,6.0,6.0,6.0,6.0,24674400,7200,3,6.0,6.0
2008-12-23,6.0,6.0,6.0,6.0,171350,50,1,6.0,6.0
2008-12-24,6.0,6.0,6.0,6.0,19577600,5888,4,6.0,6.0
2008-12-27,6.0,6.0,6.0,6.0,45680160,14160,4,6.0,6.0
2008-12-28,6.0,6.0,6.0,6.0,16811230,5371,4,6.0,6.0
2008-12-29,6.0,6.0,6.0,6.0,20081582231,6602795,860,6.0,6.0
2008-12-30,5.0,6.0,5.0,6.0,2144142271,706341,102,6.0,6.0
2008-12-31,6.0,6.0,5.0,6.0,2498695652,833707,195,6.0,5.0
2009-01-03,6.0,6.0,6.0,6.0,2529129192,817996,160,6.0,6.0
2009-01-04,6.0,6.0,6.0,6.0,2695139463,857029,143,6.0,6.0
2009-01-05,6.0,6.0,6.0,6.0,919721882,287953,51,6.0,6.0
2009-01-10,6.0,6.0,6.0,6.0,846798000,263800,48,6.0,6.0
2009-01-11,6.0,6.0,6.0,6.0,8688150,2694,2,6.0,6.0
2009-01-12,6.0,6.0,6.0,6.0,21575250,6690,5,6.0,6.0
2009-01-13,6.0,6.0,6.0,6.0,19927275,6179,3,6.0,6.0
2009-01-14,6.0,6.0,6.0,6.0,9873952875,3062075,351,6.0,6.0
2009-01-17,6.0,6.0,6.0,6.0,5381398215,1620415,150,6.0,6.0
2009-01-18,6.0,6.0,6.0,6.0,265521402,77706,11,6.0,6.0
2009-01-19,6.0,6.0,6.0,6.0,5697630000,1665000,66,6.0,6.0
2009-01-20,6.0,6.0,6.0,6.0,5867118172,1664903,35,6.0,6.0
2009-01-21,7.0,7.0,7.0,7.0,6041932987,1664903,37,6.0,7.0
2009-01-24,7.0,7.0,6.0,7.0,66082353679,17844964,1018,7.0,6.0
2009-01-25,7.0,7.0,7.0,7.0,22808589255,6332525,539,7.0,7.0
2009-01-26,6.0,7.0,6.0,7.0,2138967796,602196,109,7.0,7.0
2009-01-27,7.0,7.0,7.0,7.0,3872162873,1052549,145,7.0,7.0
2009-01-28,7.0,7.0,7.0,7.0,8448235686,2251062,92,7.0,7.0
2009-01-31,7.0,7.0,7.0,7.0,6946661125,1797325,103,7.0,7.0
2009-02-01,7.0,7.0,7.0,7.0,6613749080,1661746,120,7.0,7.0
2009-02-02,7.0,7.0,7.0,7.0,25085134055,6131798,711,7.0,7.0
2009-02-03,7.0,8.0,7.0,7.0,4500887297,1100858,304,7.0,7.0
2009-03-10,8.0,9.0,8.0,9.0,16846269403,3599332,627,7.0,9.0
2009-03-11,9.0,9.0,9.0,9.0,5017028110,1042917,146,9.0,9.0
2009-03-14,9.0,9.0,9.0,9.0,4072801424,830506,48,9.0,9.0
2009-03-16,9.0,9.0,9.0,9.0,858950568,172584,33,9.0,9.0
2009-03-17,9.0,9.0,9.0,9.0,4990368689,999473,52,9.0,9.0
2009-03-18,9.0,9.0,9.0,9.0,2785997383,548101,134,9.0,9.0
2009-03-25,9.0,9.0,9.0,9.0,2053200000,400000,49,9.0,9.0
2009-03-28,9.0,9.0,9.0,9.0,4603368000,890400,69,9.0,9.0
2009-03-29,10.0,10.0,10.0,9.0,4146397767,789339,36,9.0,10.0
2009-03-30,10.0,10.0,10.0,10.0,4545167616,853072,40,9.0,10.0
2009-03-31,10.0,10.0,10.0,10.0,5428921347,1003683,88,10.0,10.0
2009-04-04,10.0,10.0,10.0,10.0,163359648,29664,7,10.0,10.0
2009-04-05,10.0,10.0,10.0,10.0,347196120,63012,9,10.0,10.0
2009-04-06,10.0,10.0,10.0,10.0,9192094072,1666442,76,10.0,10.0
2009-04-07,10.0,10.0,10.0,10.0,9448292659,1663139,40,10.0,10.0
2009-04-08,11.0,11.0,11.0,11.0,9736064000,1664000,69,10.0,11.0
2009-04-11,11.0,11.0,11.0,11.0,14001085596,2323446,137,11.0,11.0
