date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-06-07,761.0,890.0,602.0,724.0,22455132964,5020502,1019,162.0,631.0
2011-06-08,749.0,749.0,749.0,749.0,53497488,13288,5,724.0,749.0
2011-06-11,711.0,711.0,711.0,711.0,11704500,3060,2,749.0,711.0
2011-06-12,676.0,676.0,676.0,676.0,181700,50,1,711.0,676.0
2011-06-14,642.0,642.0,642.0,642.0,172650,50,1,676.0,642.0
2011-06-15,610.0,610.0,610.0,610.0,3258197050,993050,213,642.0,610.0
2011-06-18,580.0,580.0,580.0,580.0,3117000,1000,1,610.0,580.0
2011-06-20,551.0,551.0,551.0,551.0,2962000,1000,1,580.0,551.0
2011-06-21,523.0,523.0,523.0,523.0,17362380,6170,6,551.0,523.0
2011-06-22,497.0,523.0,497.0,497.0,9491265460,3548836,758,523.0,497.0
2011-06-25,497.0,511.0,472.0,486.0,228095044,87317,26,497.0,473.0
2011-06-26,462.0,462.0,462.0,462.0,480959478,193779,43,486.0,462.0
2011-06-27,438.0,438.0,438.0,438.0,587523996,249162,55,462.0,438.0
2011-06-28,417.0,417.0,417.0,417.0,103182363,46043,10,438.0,417.0
2011-06-29,398.0,437.0,398.0,432.0,208307620,89634,30,417.0,437.0
2011-07-02,454.0,454.0,454.0,454.0,488000,200,2,432.0,454.0
2011-07-03,476.0,476.0,431.0,449.0,136457000,56500,10,454.0,431.0
2011-07-04,427.0,427.0,427.0,427.0,1820740055,793329,151,449.0,427.0
2011-07-05,406.0,409.0,406.0,409.0,114832100,52225,18,427.0,409.0
2011-07-06,409.0,429.0,409.0,424.0,192266502,84387,23,409.0,414.0
2011-07-09,430.0,430.0,403.0,411.0,1193672800,540000,86,424.0,403.0
2011-07-10,391.0,391.0,391.0,391.0,1325350204,630804,131,411.0,391.0
2011-07-11,410.0,410.0,371.0,386.0,7813780,3760,5,391.0,371.0
2011-07-12,367.0,368.0,367.0,367.0,502365997,254356,57,386.0,367.0
2011-07-13,385.0,385.0,372.0,372.0,204789600,102393,25,367.0,372.0
