date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-12-31,1292.0,1331.0,1268.0,1304.0,1270094019499,786472472,10691,808.0,1331.0
2024-01-01,1343.0,1343.0,1343.0,1343.0,134299662632,80757464,1759,1304.0,1343.0
2024-01-02,1383.0,1383.0,1304.0,1354.0,2965114628443,1769126146,32780,1343.0,1333.0
2024-01-03,1325.0,1331.0,1313.0,1314.0,1352444107370,831030224,14843,1354.0,1314.0
2024-01-06,1293.0,1308.0,1275.0,1279.0,826758320210,522090030,10112,1314.0,1275.0
2024-01-07,1271.0,1316.0,1263.0,1295.0,352225157699,219776142,5738,1279.0,1276.0
2024-01-08,1292.0,1309.0,1259.0,1278.0,356450461961,225306918,5524,1295.0,1271.0
2024-01-09,1269.0,1292.0,1262.0,1270.0,248598116003,158181520,3832,1278.0,1275.0
2024-01-10,1274.0,1284.0,1258.0,1267.0,315221790942,201070451,4923,1270.0,1267.0
2024-01-13,1258.0,1286.0,1251.0,1263.0,407481628929,260538204,4642,1267.0,1258.0
2024-01-14,1272.0,1300.0,1258.0,1298.0,472081173865,293722045,3465,1263.0,1300.0
2024-01-15,1337.0,1337.0,1309.0,1335.0,1161048574080,702295791,9356,1298.0,1334.0
2024-01-16,1302.0,1375.0,1296.0,1360.0,742929731292,441068737,7381,1335.0,1374.0
2024-01-17,1372.0,1384.0,1331.0,1356.0,274339683989,163351782,3562,1360.0,1336.0
2024-01-20,1333.0,1348.0,1316.0,1317.0,462276800892,283429087,4295,1356.0,1325.0
2024-01-21,1304.0,1325.0,1279.0,1299.0,201067612616,125076971,2948,1317.0,1303.0
2024-01-22,1292.0,1325.0,1277.0,1310.0,206978617681,127585642,2114,1299.0,1313.0
2024-01-23,1313.0,1325.0,1281.0,1304.0,223423993220,138366632,2552,1310.0,1318.0
2024-01-24,1300.0,1343.0,1300.0,1334.0,320086022925,193893860,3591,1304.0,1330.0
2024-01-27,1321.0,1348.0,1316.0,1334.0,98916132239,59864038,1445,1334.0,1342.0
2024-01-28,1333.0,1374.0,1325.0,1365.0,213504256168,126329005,1963,1334.0,1374.0
2024-01-29,1389.0,1405.0,1369.0,1405.0,686484393513,394780245,3593,1365.0,1405.0
2024-01-30,1447.0,1447.0,1405.0,1442.0,698693307437,391354132,5653,1405.0,1447.0
2024-01-31,1485.0,1485.0,1443.0,1479.0,976447430115,533144730,7863,1442.0,1459.0
2024-02-03,1454.0,1477.0,1435.0,1444.0,365323334590,204268840,4128,1479.0,1435.0
2024-02-04,1418.0,1451.0,1406.0,1425.0,184893078278,104805890,2510,1444.0,1409.0
2024-02-05,1406.0,1430.0,1397.0,1414.0,115551893003,66005573,1851,1425.0,1422.0
2024-02-06,1430.0,1448.0,1415.0,1433.0,96790355309,54568886,1425,1414.0,1422.0
2024-02-07,1443.0,1443.0,1390.0,1404.0,137621914552,79198747,2656,1433.0,1413.0
2024-02-10,1399.0,1439.0,1399.0,1410.0,64114572498,36710786,1104,1404.0,1409.0
2024-02-12,1398.0,1409.0,1368.0,1372.0,145149503710,85409558,2075,1410.0,1368.0
2024-02-13,1365.0,1365.0,1333.0,1343.0,137849744245,82879198,1958,1372.0,1355.0
2024-02-14,1341.0,1364.0,1338.0,1348.0,141270806770,84627920,2327,1343.0,1355.0
2024-02-17,1365.0,1365.0,1308.0,1313.0,189248350402,116482088,2209,1348.0,1309.0
2024-02-18,1296.0,1333.0,1292.0,1304.0,79194468992,49040443,1384,1313.0,1300.0
2024-02-19,1300.0,1313.0,1288.0,1300.0,99456194210,61763418,2124,1304.0,1304.0
2024-02-20,1308.0,1308.0,1284.0,1293.0,37571941694,23464628,713,1300.0,1293.0
2024-02-21,1315.0,1345.0,1308.0,1325.0,68739322250,41888002,1166,1293.0,1329.0
2024-02-24,1330.0,1339.0,1309.0,1326.0,86078993982,52411341,1197,1325.0,1327.0
2024-02-26,1313.0,1333.0,1287.0,1305.0,145853803026,90257578,1595,1326.0,1304.0
2024-02-27,1291.0,1313.0,1291.0,1302.0,77986854522,48390547,987,1305.0,1300.0
2024-02-28,1298.0,1324.0,1293.0,1314.0,64712956142,39784658,933,1302.0,1317.0
2024-03-02,1323.0,1353.0,1298.0,1347.0,101203393071,60659058,1020,1314.0,1353.0
2024-03-03,1353.0,1388.0,1346.0,1380.0,213222135780,124848576,1953,1347.0,1357.0
2024-03-04,1360.0,1365.0,1338.0,1339.0,183594639533,110727533,1350,1380.0,1338.0
2024-03-05,1319.0,1356.0,1300.0,1315.0,199502981164,122558381,2382,1339.0,1317.0
2024-03-06,1309.0,1316.0,1288.0,1296.0,95403336853,59485122,1512,1315.0,1292.0
2024-03-09,1321.0,1321.0,1282.0,1293.0,83206165602,51980778,1346,1296.0,1292.0
2024-03-10,1309.0,1309.0,1264.0,1283.0,82280656517,51824775,1467,1293.0,1278.0
2024-03-11,1284.0,1292.0,1252.0,1271.0,222358269709,141242092,2193,1283.0,1267.0
2024-03-12,1262.0,1282.0,1249.0,1266.0,163402618173,104252629,1653,1271.0,1255.0
2024-03-13,1255.0,1284.0,1228.0,1246.0,165173245717,107069447,2406,1266.0,1229.0
2024-03-16,1251.0,1265.0,1220.0,1235.0,104377614478,68248719,1501,1246.0,1251.0
2024-03-17,1258.0,1271.0,1241.0,1270.0,74873682918,47615619,668,1235.0,1271.0
2024-03-18,1276.0,1300.0,1276.0,1287.0,92023564765,57783975,1204,1270.0,1296.0
2024-03-24,1307.0,1325.0,1293.0,1315.0,47466341042,29161629,510,1287.0,1325.0
2024-03-25,1354.0,1354.0,1309.0,1342.0,112954945022,67958208,1307,1315.0,1320.0
2024-03-26,1338.0,1339.0,1313.0,1326.0,53496966781,32583266,849,1342.0,1321.0
2024-03-27,1317.0,1361.0,1317.0,1351.0,124072277061,74216336,1383,1326.0,1359.0
2024-03-30,1357.0,1372.0,1350.0,1363.0,167156192785,99053626,1806,1351.0,1352.0
2024-04-02,1323.0,1364.0,1323.0,1335.0,216390271883,130872981,1825,1363.0,1336.0
2024-04-03,1329.0,1350.0,1300.0,1324.0,97514190966,59479063,2228,1335.0,1301.0
2024-04-06,1324.0,1324.0,1284.0,1289.0,198106715774,124106985,1884,1324.0,1284.0
2024-04-07,1284.0,1303.0,1262.0,1287.0,67841686315,42581524,927,1289.0,1292.0
2024-04-08,1292.0,1309.0,1271.0,1283.0,88880531520,55928909,1170,1287.0,1275.0
2024-04-09,1271.0,1284.0,1260.0,1268.0,66177453056,42138176,950,1283.0,1279.0
2024-04-13,1245.0,1281.0,1230.0,1238.0,129334520818,84369597,1558,1268.0,1230.0
2024-04-14,1226.0,1226.0,1226.0,1226.0,135118611474,89010943,715,1238.0,1226.0
2024-04-15,1226.0,1238.0,1226.0,1238.0,144277127635,94130941,818,1226.0,1238.0
2024-04-16,1226.0,1250.0,1226.0,1228.0,142149829330,93503253,1255,1238.0,1229.0
2024-04-17,1216.0,1240.0,1216.0,1233.0,117599093378,77055793,859,1228.0,1228.0
2024-04-20,1267.0,1269.0,1252.0,1269.0,91091539575,57996171,782,1233.0,1269.0
