date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-12-31,1600.0,1648.0,1570.0,1615.0,1270094019499,786472472,10691,1000.0,1648.0
2024-01-01,1663.0,1663.0,1663.0,1663.0,134299662632,80757464,1759,1615.0,1663.0
2024-01-02,1712.0,1712.0,1614.0,1676.0,2965114628443,1769126146,32780,1663.0,1650.0
2024-01-03,1640.0,1648.0,1626.0,1627.0,1352444107370,831030224,14843,1676.0,1627.0
2024-01-06,1601.0,1619.0,1579.0,1584.0,826758320210,522090030,10112,1627.0,1579.0
2024-01-07,1574.0,1629.0,1564.0,1603.0,352225157699,219776142,5738,1584.0,1580.0
2024-01-08,1600.0,1620.0,1559.0,1582.0,356450461961,225306918,5524,1603.0,1574.0
2024-01-09,1571.0,1600.0,1562.0,1572.0,248598116003,158181520,3832,1582.0,1579.0
2024-01-10,1577.0,1590.0,1557.0,1568.0,315221790942,201070451,4923,1572.0,1569.0
2024-01-13,1558.0,1592.0,1549.0,1564.0,407481628929,260538204,4642,1568.0,1558.0
2024-01-14,1575.0,1610.0,1557.0,1607.0,472081173865,293722045,3465,1564.0,1610.0
2024-01-15,1655.0,1655.0,1621.0,1653.0,1161048574080,702295791,9356,1607.0,1652.0
2024-01-16,1612.0,1702.0,1605.0,1684.0,742929731292,441068737,7381,1653.0,1701.0
2024-01-17,1699.0,1713.0,1648.0,1679.0,274339683989,163351782,3562,1684.0,1654.0
2024-01-20,1650.0,1669.0,1629.0,1631.0,462276800892,283429087,4295,1679.0,1640.0
2024-01-21,1615.0,1641.0,1583.0,1608.0,201067612616,125076971,2948,1631.0,1613.0
2024-01-22,1600.0,1640.0,1581.0,1622.0,206978617681,127585642,2114,1608.0,1625.0
2024-01-23,1625.0,1640.0,1586.0,1615.0,223423993220,138366632,2552,1622.0,1632.0
2024-01-24,1610.0,1663.0,1610.0,1651.0,320086022925,193893860,3591,1615.0,1647.0
2024-01-27,1635.0,1669.0,1629.0,1652.0,98916132239,59864038,1445,1651.0,1661.0
2024-01-28,1650.0,1701.0,1640.0,1690.0,213504256168,126329005,1963,1652.0,1701.0
2024-01-29,1720.0,1740.0,1695.0,1739.0,686484393513,394780245,3593,1690.0,1740.0
2024-01-30,1791.0,1791.0,1740.0,1785.0,698693307437,391354132,5653,1739.0,1791.0
2024-01-31,1838.0,1838.0,1787.0,1831.0,976447430115,533144730,7863,1785.0,1806.0
2024-02-03,1800.0,1828.0,1777.0,1788.0,365323334590,204268840,4128,1831.0,1777.0
2024-02-04,1755.0,1797.0,1741.0,1764.0,184893078278,104805890,2510,1788.0,1745.0
2024-02-05,1741.0,1770.0,1730.0,1751.0,115551893003,66005573,1851,1764.0,1760.0
2024-02-06,1770.0,1793.0,1752.0,1774.0,96790355309,54568886,1425,1751.0,1760.0
2024-02-07,1786.0,1786.0,1721.0,1738.0,137621914552,79198747,2656,1774.0,1749.0
2024-02-10,1732.0,1781.0,1732.0,1746.0,64114572498,36710786,1104,1738.0,1745.0
2024-02-12,1731.0,1745.0,1694.0,1699.0,145149503710,85409558,2075,1746.0,1694.0
2024-02-13,1690.0,1690.0,1650.0,1663.0,137849744245,82879198,1958,1699.0,1677.0
2024-02-14,1660.0,1689.0,1656.0,1669.0,141270806770,84627920,2327,1663.0,1677.0
2024-02-17,1690.0,1690.0,1619.0,1625.0,189248350402,116482088,2209,1669.0,1620.0
2024-02-18,1604.0,1650.0,1599.0,1615.0,79194468992,49040443,1384,1625.0,1610.0
2024-02-19,1610.0,1626.0,1594.0,1610.0,99456194210,61763418,2124,1615.0,1615.0
2024-02-20,1619.0,1619.0,1590.0,1601.0,37571941694,23464628,713,1610.0,1601.0
2024-02-21,1628.0,1665.0,1619.0,1641.0,68739322250,41888002,1166,1601.0,1645.0
2024-02-24,1647.0,1658.0,1620.0,1642.0,86078993982,52411341,1197,1641.0,1643.0
2024-02-26,1626.0,1650.0,1593.0,1616.0,145853803026,90257578,1595,1642.0,1614.0
