date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-03-07,2527.0,2527.0,2527.0,2527.0,9024334095000,2060350250,1603699,577.0,2527.0
2020-03-09,2654.0,2654.0,2654.0,2555.0,11519828145,2504855,2536,2527.0,2654.0
2020-03-10,2683.0,2683.0,2683.0,2602.0,19675748846,4232254,2574,2555.0,2683.0
2020-03-11,2732.0,2732.0,2732.0,2647.0,18387345005,3883283,4551,2602.0,2732.0
2020-03-14,2779.0,2779.0,2779.0,2754.0,42532662928,8831533,7821,2647.0,2779.0
2020-03-15,2891.0,2891.0,2891.0,2891.0,287885773393,57450763,5873,2754.0,2891.0
2020-03-16,3036.0,3036.0,3036.0,2968.0,30344853507,5767887,5461,2891.0,3036.0
2020-03-17,3116.0,3116.0,3116.0,3028.0,23965491600,4438054,4262,2968.0,3116.0
2020-03-18,3179.0,3179.0,3179.0,3100.0,28414254520,5156852,4907,3028.0,3179.0
2020-03-24,3254.0,3254.0,3254.0,3166.0,22996671360,4077424,3875,3100.0,3254.0
2020-03-25,3324.0,3324.0,3324.0,3243.0,27045521280,4695403,4374,3166.0,3324.0
2020-03-28,3405.0,3405.0,3405.0,3333.0,31453799349,5330249,5028,3243.0,3405.0
2020-03-29,3499.0,3499.0,3499.0,3443.0,38584049520,6362805,5934,3333.0,3499.0
2020-03-30,3615.0,3615.0,3615.0,3557.0,39753091490,6345266,6102,3443.0,3615.0
2020-04-04,3734.0,3734.0,3734.0,3687.0,45343414480,7006090,6617,3557.0,3734.0
2020-04-05,3871.0,3871.0,3871.0,3792.0,36955203792,5509124,5240,3687.0,3871.0
2020-04-06,3981.0,4180.0,3981.0,4165.0,164500707870,22787680,16610,3792.0,4180.0
2020-04-07,4373.0,4373.0,4373.0,4373.0,157508740961,20782259,21117,4165.0,4373.0
2020-04-08,4591.0,4591.0,4591.0,4591.0,173868470656,21851008,25112,4373.0,4591.0
2020-04-11,4820.0,4820.0,4820.0,4820.0,91959052598,11007787,10651,4591.0,4820.0
2020-04-12,5061.0,5061.0,5061.0,5005.0,64428801402,7345662,7201,4820.0,5061.0
2020-04-13,5255.0,5255.0,4755.0,5117.0,2560101797382,288680114,166526,5005.0,5009.0
2020-04-14,4861.0,4867.0,4861.0,4861.0,247028155975,29320847,18401,5117.0,4861.0
2020-04-15,4861.0,5089.0,4618.0,4845.0,2228930056171,265477778,179369,4861.0,4945.0
2020-04-18,5086.0,5086.0,5086.0,5086.0,404011636350,45832290,22288,4845.0,5086.0
2020-04-19,5340.0,5340.0,4833.0,5178.0,2082596990202,232092903,118577,5086.0,5032.0
2020-04-20,5043.0,5436.0,5022.0,5432.0,666190707187,70762474,35077,5178.0,5436.0
