date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-11-02,44.0,44.0,44.0,44.0,6668972000,6668972,755,44.0,44.0
2005-11-05,46.0,46.0,44.0,45.0,2024402028,1961855,511,44.0,45.0
2005-11-06,46.0,48.0,45.0,46.0,2293592280,2196166,547,45.0,46.0
2005-11-07,46.0,47.0,46.0,46.0,1110047409,1057001,353,46.0,46.0
2005-11-08,46.0,46.0,45.0,46.0,600423033,577387,199,46.0,46.0
2005-11-09,46.0,46.0,45.0,46.0,580994576,562709,177,46.0,46.0
2005-11-12,46.0,46.0,45.0,46.0,349468320,335184,124,46.0,46.0
2005-11-13,46.0,46.0,45.0,46.0,345192593,334596,108,46.0,46.0
2005-11-14,46.0,46.0,45.0,46.0,269524744,262832,97,46.0,46.0
2005-11-15,45.0,45.0,45.0,45.0,339754173,333769,115,46.0,45.0
2005-11-16,45.0,45.0,45.0,45.0,146710306,144644,49,45.0,45.0
2005-11-19,45.0,45.0,45.0,45.0,110404000,109130,48,45.0,45.0
2005-11-20,45.0,45.0,44.0,45.0,79585204,78888,33,45.0,45.0
2005-11-21,44.0,45.0,44.0,45.0,86263736,85659,31,45.0,45.0
2005-11-22,44.0,45.0,44.0,45.0,183863782,182767,66,45.0,45.0
2005-11-23,45.0,46.0,44.0,45.0,436682248,427386,124,45.0,45.0
2005-11-26,46.0,47.0,46.0,46.0,825654221,771002,171,45.0,46.0
2005-11-27,48.0,48.0,45.0,47.0,863681011,793351,236,46.0,47.0
2005-11-29,49.0,49.0,46.0,47.0,641580631,581176,185,47.0,47.0
2005-11-30,50.0,50.0,48.0,48.0,1270710196,1131532,237,47.0,48.0
2005-12-03,51.0,51.0,47.0,51.0,14393312417,13227588,1731,48.0,51.0
2005-12-04,53.0,53.0,53.0,53.0,2561410280,2116868,410,51.0,53.0
2005-12-05,56.0,56.0,53.0,54.0,1219900236,974673,344,53.0,54.0
2005-12-06,57.0,57.0,57.0,57.0,2755086540,2135726,622,54.0,57.0
2005-12-10,60.0,60.0,57.0,60.0,3766274334,2782187,721,57.0,60.0
2005-12-11,63.0,63.0,62.0,63.0,4177822080,2942180,674,60.0,63.0
2005-12-12,66.0,66.0,62.0,65.0,8924707322,6041487,1372,63.0,65.0
2005-12-13,65.0,67.0,64.0,66.0,3303916808,2216799,742,65.0,66.0
