date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-05-27,2834.0,2834.0,2453.0,2593.0,5077098886920,300011040,1696117,153.0,2453.0
2023-05-28,2721.0,2721.0,2721.0,2721.0,17965465440,1011569,1829,2593.0,2721.0
2023-05-29,2856.0,2856.0,2856.0,2856.0,236659982640,12696351,2988,2721.0,2856.0
2023-05-30,2998.0,2998.0,2998.0,2998.0,249407908000,12744400,3013,2856.0,2998.0
2023-05-31,3147.0,3147.0,3147.0,3147.0,267819006000,13038900,4383,2998.0,3147.0
2023-06-03,3302.0,3302.0,3302.0,3302.0,283645194500,13162190,6569,3147.0,3302.0
2023-06-06,3463.0,3463.0,3463.0,3463.0,307747522200,13617147,9758,3302.0,3463.0
2023-06-07,3631.0,3631.0,3631.0,3631.0,377723134500,15937685,30913,3463.0,3631.0
2023-06-10,3807.0,3807.0,3807.0,3807.0,588895175750,23697995,48389,3631.0,3807.0
2023-06-11,3991.0,3991.0,3991.0,3991.0,155730703300,5978146,18237,3807.0,3991.0
2023-06-17,4190.0,4190.0,4190.0,4190.0,491509639700,17971102,25204,3991.0,4190.0
2023-06-18,4397.0,4397.0,4298.0,4390.0,5484999169600,191288680,276154,4190.0,4397.0
2023-06-19,4344.0,4344.0,4175.0,4229.0,759062237350,27507413,28267,4390.0,4175.0
2023-06-20,4022.0,4022.0,4022.0,4022.0,183144727500,6976942,3431,4229.0,4022.0
2023-06-21,3823.0,4045.0,3823.0,3892.0,2612333553450,102945768,321109,4022.0,4029.0
2023-06-24,4068.0,4083.0,3915.0,4014.0,1551320836800,59181045,176254,3892.0,3976.0
2023-06-25,3968.0,3984.0,3815.0,3823.0,1666013357100,66776569,108167,4014.0,3815.0
2023-06-26,3777.0,3945.0,3777.0,3861.0,658263203500,26146995,66028,3823.0,3838.0
2023-06-27,3853.0,3876.0,3669.0,3715.0,680421278900,28045363,40242,3861.0,3669.0
2023-06-28,3669.0,3754.0,3532.0,3639.0,630477442200,26569980,32183,3715.0,3738.0
2023-07-01,3784.0,3815.0,3708.0,3807.0,587384249700,23640231,23495,3639.0,3815.0
2023-07-02,3769.0,3899.0,3754.0,3823.0,540920091400,21679995,22338,3807.0,3830.0
2023-07-03,3800.0,3830.0,3646.0,3692.0,496923347850,20620034,32148,3823.0,3700.0
2023-07-04,3692.0,3777.0,3677.0,3708.0,254690906100,10526059,22552,3692.0,3700.0
2023-07-05,3731.0,3800.0,3669.0,3723.0,287952764700,11838433,14897,3708.0,3738.0
2023-07-08,3769.0,3784.0,3654.0,3685.0,225150806400,9354454,14077,3723.0,3662.0
2023-07-09,3669.0,3731.0,3639.0,3677.0,253883492400,10574096,12109,3685.0,3662.0
2023-07-10,3669.0,3746.0,3662.0,3692.0,164828437650,6844316,7315,3677.0,3685.0
2023-07-11,3677.0,3738.0,3547.0,3631.0,301308337950,12704646,7518,3692.0,3669.0
2023-07-12,3570.0,3807.0,3570.0,3731.0,436793011400,17928426,14346,3631.0,3746.0
2023-07-15,3784.0,3800.0,3677.0,3723.0,218197373650,8979934,8583,3731.0,3677.0
2023-07-16,3677.0,3761.0,3539.0,3593.0,273881736550,11689001,9351,3723.0,3539.0
2023-07-17,3455.0,3547.0,3417.0,3424.0,449964109400,20138765,11317,3593.0,3516.0
2023-07-18,3447.0,3593.0,3447.0,3570.0,273180460750,11723937,7921,3424.0,3593.0
2023-07-24,3743.0,3743.0,3436.0,3735.0,33301508500,1403193,835,3570.0,3743.0
2023-07-25,3853.0,3916.0,3759.0,3908.0,603611068350,24296908,9962,3735.0,3916.0
2023-07-26,3932.0,3987.0,3837.0,3892.0,184091962850,7435808,6417,3908.0,3877.0
2023-07-29,3837.0,3955.0,3837.0,3908.0,177887279650,7156197,5441,3892.0,3900.0
2023-07-30,3908.0,3924.0,3719.0,3766.0,173438830900,7239881,5699,3908.0,3727.0
2023-07-31,3727.0,3806.0,3704.0,3759.0,65232484850,2729776,5096,3766.0,3774.0
2023-08-01,3790.0,3939.0,3790.0,3932.0,228538745350,9139545,6580,3759.0,3939.0
2023-08-05,4089.0,4128.0,3994.0,4089.0,277832317100,10680803,8343,3932.0,4120.0
