date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-02-12,2913328.0,2913328.0,2913328.0,2913328.0,19999996720000,6865000,298,2913328.0,2913328.0
2023-02-13,2914765.0,2973060.0,2914765.0,2914826.0,25070418762,8601,6,2913328.0,2973060.0
2023-02-14,2916202.0,2916202.0,2916202.0,2916202.0,8748606,3,1,2914826.0,2916202.0
2023-02-15,2917638.0,2917638.0,2917012.0,2917012.0,498820722552,171004,8,2916202.0,2917012.0
2023-02-19,2923385.0,2923385.0,2923385.0,2923385.0,5846770,2,1,2917012.0,2923385.0
2023-02-20,2924822.0,2924822.0,2924822.0,2924822.0,1055860742,361,2,2923385.0,2924822.0
2023-02-26,2992110.0,2992110.0,2992110.0,2992110.0,5984220,2,1,2924822.0,2992110.0
2023-03-01,2937752.0,2937752.0,2937752.0,2937752.0,17626512,6,1,2992110.0,2937752.0
2023-03-05,3002369.0,3002369.0,3002369.0,3002369.0,3002369000,1000,1,2937752.0,3002369.0
2023-03-13,2954993.0,3014092.0,2954993.0,3008719.0,3309591300,1100,2,3002369.0,3014092.0
2023-03-27,2975107.0,2975107.0,2975107.0,2975107.0,2975107,1,1,3008719.0,2975107.0
2023-03-28,2976543.0,2976543.0,2976543.0,2976543.0,8929629,3,1,2975107.0,2976543.0
2023-03-29,2977980.0,2977980.0,2977980.0,2977980.0,5955960,2,1,2976543.0,2977980.0
2023-04-10,2995220.0,2995220.0,2995220.0,2995220.0,128794460,43,1,2977980.0,2995220.0
2023-04-11,3056590.0,3056590.0,3056590.0,3056590.0,6113180,2,1,2995220.0,3056590.0
2023-04-15,3002404.0,3002404.0,3002404.0,3002404.0,6004808,2,1,3056590.0,3002404.0
2023-05-23,3101800.0,3101800.0,3101800.0,3101800.0,310180000000,100000,9,3002404.0,3101800.0
2023-05-30,3128397.0,3128397.0,3128397.0,3128397.0,6256794,2,1,3101800.0,3128397.0
2023-06-27,3169429.0,3169429.0,3169429.0,3169429.0,53880293,17,1,3128397.0,3169429.0
2023-07-01,3113031.0,3113031.0,3113031.0,3113031.0,52921527,17,1,3169429.0,3113031.0
2023-07-04,3117341.0,3117341.0,3117341.0,3117341.0,6234682,2,1,3113031.0,3117341.0
2023-07-16,3134581.0,3134581.0,3134581.0,3134581.0,15672905,5,2,3117341.0,3134581.0
2023-07-23,3144638.0,3144638.0,3144638.0,3144638.0,12578552,4,1,3134581.0,3144638.0
2023-08-23,3296315.0,3296315.0,3296315.0,3296315.0,234038365000,71000,5,3144638.0,3296315.0
2023-08-27,3296315.0,3296315.0,3296315.0,3296315.0,56574654345,17163,1,3296315.0,3296315.0
2023-08-29,3197797.0,3197797.0,3197797.0,3197797.0,54883789911,17163,1,3296315.0,3197797.0
2023-08-30,3199233.0,3199233.0,3199233.0,3199233.0,3199233,1,1,3197797.0,3199233.0
2023-09-23,3233714.0,3233714.0,3233714.0,3233714.0,80842850,25,1,3199233.0,3233714.0
2023-09-30,3243771.0,3243771.0,3243771.0,3243771.0,16218855,5,1,3233714.0,3243771.0
2024-02-12,3506482.0,3506482.0,3506482.0,3506482.0,10519446,3,1,3243771.0,3506482.0
2024-03-16,3490000.0,3490000.0,3490000.0,3490000.0,10470000,3,1,3506482.0,3490000.0
2024-03-30,3505252.0,3505252.0,3505252.0,3505252.0,35052520,10,1,3490000.0,3505252.0
2024-04-06,3515310.0,3515310.0,3515310.0,3515310.0,251784078750,71625,3,3505252.0,3515310.0
2024-04-29,3619321.0,3619321.0,3619321.0,3619321.0,21715926,6,1,3515310.0,3619321.0
2024-07-27,3749745.0,3749745.0,3749745.0,3749745.0,11249235,3,1,3619321.0,3749745.0
2024-08-18,3707828.0,3707828.0,3707828.0,3707828.0,11123484,3,1,3749745.0,3707828.0
2024-09-15,3823017.0,3823017.0,3748056.0,3822995.0,123501865163,32305,11,3707828.0,3823000.0
2024-09-17,3784765.0,3784765.0,3727600.0,3728252.0,5097060704820,1367145,57,3822995.0,3727600.0
2024-09-18,3827000.0,3827000.0,3753000.0,3791602.0,1453700200000,383400,38,3728252.0,3753000.0
2024-09-25,3762423.0,3837000.0,3762423.0,3799968.0,2890449711269,760651,74,3791602.0,3763000.0
2024-09-28,3837000.0,3837000.0,3837000.0,3837000.0,65854431000,17163,1,3799968.0,3837000.0
2024-09-29,3768171.0,3768171.0,3768171.0,3768171.0,60173922699,15969,51,3837000.0,3768171.0
2024-09-30,3769608.0,3812000.0,3769608.0,3811995.0,32718353608,8583,2,3768171.0,3812000.0
2024-10-01,3771044.0,3771044.0,3771044.0,3771044.0,6576700736,1744,1,3811995.0,3771044.0
2024-10-07,3779665.0,3812000.0,3779665.0,3791147.0,183233734385,48332,4,3771044.0,3812000.0
2024-10-08,3781102.0,3781102.0,3781102.0,3781102.0,166727692690,44095,2,3791147.0,3781102.0
2024-10-14,3822300.0,3834200.0,3822300.0,3830690.0,236889872000,61840,3,3781102.0,3834200.0
2024-10-16,3840500.0,3840500.0,3840500.0,3840500.0,26691475000,6950,1,3830690.0,3840500.0
2024-10-20,3860000.0,3874307.0,3860000.0,3860830.0,159761136800,41380,5,3840500.0,3874307.0
2024-10-21,3860000.0,3860000.0,3860000.0,3860000.0,33126520000,8582,1,3860830.0,3860000.0
2024-10-23,3850700.0,3862700.0,3850700.0,3856689.0,36630828600,9498,2,3860000.0,3862700.0
2024-10-27,3863500.0,3884565.0,3863500.0,3871787.0,76564599930,19775,4,3856689.0,3884565.0
2024-10-29,3881900.0,3881900.0,3881900.0,3881900.0,15022953000,3870,1,3871787.0,3881900.0
2024-11-02,3882500.0,3882500.0,3882500.0,3882500.0,6157645000,1586,1,3881900.0,3882500.0
2024-11-06,3895300.0,3895300.0,3895300.0,3895300.0,6177945800,1586,1,3882500.0,3895300.0
2024-11-10,3905081.0,3905081.0,3905081.0,3905081.0,47048415888,12048,2,3895300.0,3905081.0
2024-11-11,3919000.0,3919000.0,3919000.0,3919000.0,979750000000,250000,10,3905081.0,3919000.0
2024-11-12,3908012.0,3908012.0,3908012.0,3908012.0,20399822640,5220,1,3919000.0,3908012.0
2024-11-13,3909478.0,3909478.0,3909478.0,3909478.0,6431091310,1645,1,3908012.0,3909478.0
2024-11-19,3918270.0,3918270.0,3918270.0,3918270.0,24857504880,6344,2,3909478.0,3918270.0
2024-11-23,3919999.0,3919999.0,3919999.0,3919999.0,62175104139,15861,1,3918270.0,3919999.0
2024-11-24,3919999.0,3919999.0,3919999.0,3919999.0,56875265491,14509,3,3919999.0,3919999.0
2024-11-25,3919999.0,3919999.0,3919999.0,3919999.0,6036798460,1540,1,3919999.0,3919999.0
2024-11-26,3972000.0,3972000.0,3972000.0,3972000.0,1190479896000,299718,53,3919999.0,3972000.0
2024-12-08,3946115.0,3998000.0,3946115.0,3995575.0,1467027171745,367163,15,3972000.0,3998000.0
2024-12-09,3926000.0,3926000.0,3926000.0,3926000.0,35334000,9,1,3995575.0,3926000.0
2025-01-08,3991544.0,3991544.0,3991544.0,3991544.0,68506869672,17163,1,3926000.0,3991544.0
2025-01-11,3995940.0,4004000.0,3995940.0,4000776.0,171665298220,42908,4,3991544.0,4004000.0
2025-01-12,4003999.0,4003999.0,4003999.0,4003999.0,3955951012,988,1,4000776.0,4003999.0
2025-01-20,4050000.0,4050000.0,4050000.0,4050000.0,34757100000,8582,1,4003999.0,4050000.0
2025-02-05,4150000.0,4200000.0,4150000.0,4194260.0,507983658000,121114,3,4050000.0,4200000.0
2025-02-09,4200000.0,4200000.0,4200000.0,4200000.0,37800000,9,1,4194260.0,4200000.0
