date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-08-24,6740.0,6758.0,6716.0,6737.0,4670814152,99045,20,1429.0,6758.0
2022-08-27,6786.0,6814.0,6743.0,6753.0,6571856780,139014,28,6737.0,6743.0
2022-08-28,6716.0,6776.0,6693.0,6724.0,16006463800,340031,25,6753.0,6693.0
2022-08-29,6714.0,6747.0,6700.0,6727.0,14137307410,300246,28,6724.0,6729.0
2022-08-30,6721.0,6736.0,6686.0,6734.0,2739014170,58104,5,6727.0,6701.0
2022-08-31,6686.0,6700.0,6686.0,6699.0,1506262500,32125,7,6734.0,6700.0
2022-09-03,6700.0,6700.0,6614.0,6654.0,3848414000,82625,16,6699.0,6657.0
2022-09-04,6671.0,6679.0,6671.0,6671.0,1317950100,28220,10,6654.0,6679.0
2022-09-05,6657.0,6700.0,6657.0,6679.0,7350297150,157241,18,6671.0,6671.0
2022-09-06,6614.0,6629.0,6614.0,6617.0,560013300,12091,4,6679.0,6629.0
2022-09-07,6643.0,6657.0,6607.0,6609.0,20271051620,438163,15,6617.0,6607.0
2022-09-10,6514.0,6544.0,6514.0,6541.0,5275424400,115209,9,6609.0,6544.0
2022-09-11,6529.0,6614.0,6500.0,6521.0,1929227000,42258,6,6541.0,6500.0
2022-09-12,6514.0,6521.0,6479.0,6511.0,2146864550,47099,8,6521.0,6479.0
2022-09-13,6500.0,6564.0,6500.0,6510.0,285919850,6274,5,6511.0,6514.0
2022-09-14,6511.0,6559.0,6486.0,6559.0,80740176000,1758810,40,6510.0,6486.0
2022-09-18,6529.0,6529.0,6414.0,6434.0,2446229900,54314,6,6559.0,6414.0
2022-09-19,6407.0,6414.0,6400.0,6410.0,1268550000,28273,8,6434.0,6400.0
2022-09-20,6357.0,6359.0,6357.0,6357.0,4426380500,99469,11,6410.0,6357.0
2022-09-21,6343.0,6343.0,6314.0,6329.0,1169080400,26390,6,6357.0,6314.0
2022-09-24,6314.0,6357.0,6214.0,6273.0,30868100,703,7,6329.0,6214.0
2022-09-26,6186.0,6214.0,6186.0,6190.0,608166000,14036,4,6273.0,6214.0
2022-09-28,6271.0,6316.0,6271.0,6313.0,378500000,8565,5,6190.0,6316.0
2022-10-01,6313.0,6313.0,6143.0,6156.0,442314780,10264,5,6313.0,6143.0
2022-10-02,6129.0,6129.0,6114.0,6114.0,1629312500,38065,8,6156.0,6114.0
2022-10-03,6143.0,6143.0,6114.0,6141.0,8677137400,201850,7,6114.0,6114.0
2022-10-04,6114.0,6143.0,6100.0,6106.0,173063800,4049,6,6141.0,6143.0
2022-10-08,6143.0,6284.0,6143.0,6143.0,4503632850,104733,6,6106.0,6143.0
2022-10-09,6114.0,6114.0,6086.0,6109.0,63973000,1496,4,6143.0,6086.0
2022-10-10,6086.0,6086.0,6086.0,6086.0,488622000,11470,3,6109.0,6086.0
2022-10-11,6129.0,6229.0,6129.0,6144.0,550776200,12805,7,6086.0,6143.0
2022-10-12,6206.0,6206.0,6206.0,6206.0,1985989920,45718,7,6144.0,6206.0
