date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-09-04,2866.0,2866.0,2866.0,2866.0,116000000000,11600000,613,287.0,2866.0
2019-09-16,3038.0,3038.0,3038.0,3038.0,3254995000,307075,13,2866.0,3038.0
2019-09-17,3129.0,3129.0,3129.0,3129.0,612860094,56133,7,3038.0,3129.0
2019-09-18,3129.0,3129.0,2954.0,3096.0,39506280229,3656959,552,3129.0,3061.0
2019-09-21,3120.0,3129.0,2947.0,3049.0,20861514609,1961214,403,3096.0,3129.0
2019-09-22,3129.0,3129.0,3067.0,3127.0,9086618773,832720,149,3049.0,3129.0
2019-09-23,3129.0,3317.0,3129.0,3273.0,176630018,15466,11,3127.0,3317.0
2019-09-24,3416.0,3416.0,3319.0,3416.0,24387598470,2046207,177,3273.0,3416.0
2019-09-25,3518.0,3518.0,3471.0,3518.0,8855426430,721431,84,3416.0,3518.0
2019-09-28,3624.0,3624.0,3624.0,3624.0,26676730,2110,4,3518.0,3624.0
2019-09-29,3732.0,3732.0,3694.0,3730.0,21898349253,1682395,284,3624.0,3732.0
2019-09-30,3842.0,3842.0,3842.0,3842.0,48275006,3601,5,3730.0,3842.0
2019-10-01,3957.0,3957.0,3957.0,3957.0,5168734832,374329,24,3842.0,3957.0
2019-10-02,4070.0,4076.0,3969.0,4070.0,5409408417,380983,80,3957.0,4076.0
2019-10-05,4191.0,4191.0,4191.0,4191.0,3753907680,256695,34,4070.0,4191.0
2019-10-06,4317.0,4317.0,4313.0,4317.0,28504151724,1892506,206,4191.0,4317.0
2019-10-07,4446.0,4446.0,4446.0,4446.0,11495133,741,3,4317.0,4446.0
2019-10-08,4579.0,4579.0,4313.0,4533.0,34322445339,2170156,397,4446.0,4579.0
2019-10-09,4445.0,4669.0,4445.0,4653.0,5821886685,358571,151,4533.0,4669.0
2019-10-12,4792.0,4793.0,4732.0,4791.0,15308966206,915728,277,4653.0,4793.0
2019-10-13,4917.0,4917.0,4648.0,4676.0,17236682739,1056509,309,4791.0,4648.0
2019-10-14,4536.0,4536.0,4536.0,4536.0,345671492,21842,30,4676.0,4536.0
2019-10-15,4400.0,4400.0,4400.0,4400.0,144032464,9382,5,4536.0,4400.0
2019-10-16,4268.0,4268.0,4268.0,4268.0,286939056,19268,9,4400.0,4268.0
2019-10-20,4055.0,4055.0,4055.0,4055.0,71801100,5075,2,4268.0,4055.0
2019-10-21,3933.0,4097.0,3933.0,3938.0,21095959057,1535215,194,4055.0,4004.0
2019-10-22,4056.0,4056.0,3820.0,3936.0,5134309577,373887,106,3938.0,3843.0
2019-10-23,4013.0,4053.0,3841.0,3956.0,7718953606,559215,192,3936.0,3984.0
2019-10-26,4055.0,4070.0,3841.0,3952.0,6603568294,478951,100,3956.0,4055.0
2019-10-28,4070.0,4070.0,3833.0,3887.0,13608814350,1003456,309,3952.0,3833.0
2019-10-30,3969.0,4003.0,3777.0,3925.0,17670118878,1290284,522,3887.0,3928.0
2019-11-02,3927.0,3969.0,3808.0,3861.0,4377790955,324962,153,3925.0,3897.0
2019-11-03,3901.0,3918.0,3783.0,3871.0,2989624025,221378,92,3861.0,3841.0
2019-11-04,3812.0,3875.0,3755.0,3773.0,2671046879,202870,92,3871.0,3755.0
2019-11-05,3749.0,3869.0,3726.0,3818.0,1536996298,115378,46,3773.0,3783.0
2019-11-09,3726.0,3875.0,3718.0,3779.0,1057574827,80196,43,3818.0,3755.0
2019-11-10,3755.0,3835.0,3666.0,3710.0,5185913265,400637,146,3779.0,3753.0
2019-11-11,3820.0,3821.0,3684.0,3816.0,22032386389,1654966,470,3710.0,3821.0
2019-11-12,3912.0,3930.0,3841.0,3929.0,12864946917,938406,295,3816.0,3930.0
2019-11-13,4047.0,4047.0,3811.0,3946.0,3347784077,243147,175,3929.0,3811.0
2019-11-16,3898.0,3925.0,3828.0,3830.0,3411569585,255256,113,3946.0,3828.0
2019-11-17,3716.0,3716.0,3716.0,3716.0,179656005,13857,20,3830.0,3716.0
2019-11-18,3605.0,3697.0,3605.0,3607.0,3457327556,274732,133,3716.0,3605.0
2019-11-19,3640.0,3715.0,3555.0,3651.0,8361539409,656306,132,3607.0,3583.0
2019-11-20,3761.0,3761.0,3720.0,3752.0,6219447331,475064,270,3651.0,3727.0
2019-11-23,3865.0,3865.0,3698.0,3776.0,7051973145,535278,276,3752.0,3754.0
2019-11-24,3783.0,3800.0,3697.0,3741.0,10023821456,767981,359,3776.0,3776.0
2019-11-25,3778.0,3853.0,3777.0,3835.0,9940033953,742881,300,3741.0,3853.0
2019-11-26,3950.0,3950.0,3821.0,3856.0,6232442674,463290,268,3835.0,3826.0
2019-11-27,3926.0,3926.0,3755.0,3855.0,5600548014,416344,262,3856.0,3856.0
2019-11-30,3971.0,3971.0,3949.0,3970.0,14154132723,1021722,311,3855.0,3971.0
2019-12-01,4089.0,4089.0,4012.0,4064.0,10360199068,730674,329,3970.0,4088.0
2019-12-02,4185.0,4186.0,3942.0,4164.0,15734761004,1082916,491,4064.0,4186.0
2019-12-03,4289.0,4289.0,4105.0,4271.0,13764010171,923701,380,4164.0,4285.0
2019-12-04,4397.0,4397.0,4217.0,4307.0,9057845824,602799,374,4271.0,4236.0
2019-12-07,4371.0,4384.0,4178.0,4197.0,13743194746,938573,492,4307.0,4237.0
2019-12-08,4200.0,4298.0,4084.0,4168.0,8880915922,610670,404,4197.0,4147.0
2019-12-09,4070.0,4293.0,4070.0,4279.0,18693924066,1252125,441,4168.0,4293.0
2019-12-10,4407.0,4407.0,4242.0,4338.0,8950682414,591378,372,4279.0,4242.0
2019-12-11,4208.0,4385.0,4208.0,4249.0,6677461387,450383,270,4338.0,4209.0
2019-12-14,4342.0,4376.0,4212.0,4364.0,18542817886,1217879,377,4249.0,4376.0
2019-12-15,4495.0,4495.0,4279.0,4369.0,8252021159,541363,423,4364.0,4351.0
2019-12-16,4385.0,4500.0,4247.0,4405.0,21712361761,1412855,445,4369.0,4500.0
2019-12-17,4528.0,4528.0,4414.0,4495.0,8009577592,510688,360,4405.0,4428.0
2019-12-18,4613.0,4613.0,4361.0,4393.0,7677284113,500823,368,4495.0,4464.0
2019-12-21,4522.0,4522.0,4301.0,4410.0,7475327391,485811,208,4393.0,4428.0
2019-12-22,4542.0,4542.0,4299.0,4378.0,7222085319,472757,300,4410.0,4385.0
2019-12-23,4414.0,4414.0,4247.0,4291.0,8874869887,592748,332,4378.0,4323.0
2019-12-24,4187.0,4385.0,4184.0,4287.0,5787867220,386906,256,4291.0,4299.0
2019-12-25,4245.0,4416.0,4159.0,4414.0,72706413629,4720528,524,4287.0,4416.0
2019-12-28,4547.0,4547.0,4547.0,4547.0,29451960192,1856528,239,4414.0,4547.0
2019-12-29,4683.0,4683.0,4557.0,4669.0,60518772216,3714891,1203,4547.0,4683.0
2019-12-30,4859.0,4902.0,4758.0,4892.0,41127450057,2409392,1092,4669.0,4902.0
2019-12-31,5039.0,5039.0,4777.0,4983.0,34685492585,1995186,992,4892.0,5039.0
2020-01-01,5132.0,5132.0,5044.0,5131.0,14312045607,799377,313,4983.0,5132.0
2020-01-04,4977.0,4977.0,4977.0,4977.0,952805721,54863,64,5131.0,4977.0
2020-01-05,4828.0,4958.0,4828.0,4832.0,26068724303,1546289,636,4977.0,4828.0
2020-01-07,4687.0,4739.0,4687.0,4687.0,10043510562,614096,186,4832.0,4687.0
2020-01-08,4594.0,4594.0,4594.0,4594.0,147537740,9205,16,4687.0,4594.0
2020-01-11,4685.0,4685.0,4685.0,4685.0,951028552,58174,34,4594.0,4685.0
2020-01-12,4826.0,4826.0,4686.0,4805.0,51281145408,3058639,867,4685.0,4826.0
2020-01-13,4928.0,4928.0,4662.0,4791.0,26286663297,1572442,841,4805.0,4772.0
2020-01-14,4835.0,4835.0,4648.0,4692.0,23776039942,1452198,656,4791.0,4715.0
2020-01-15,4692.0,4833.0,4558.0,4794.0,18877437030,1128516,517,4692.0,4823.0
2020-01-18,4938.0,4938.0,4875.0,4936.0,29969581937,1740257,692,4794.0,4938.0
2020-01-19,5073.0,5084.0,4815.0,5029.0,12911190670,735830,529,4936.0,5084.0
2020-01-20,5180.0,5180.0,5180.0,5180.0,2348926272,129976,94,5029.0,5180.0
2020-01-21,5335.0,5335.0,5335.0,5335.0,10584851100,568650,139,5180.0,5335.0
2020-01-22,5495.0,5495.0,5270.0,5454.0,35493662751,1865024,1044,5335.0,5495.0
2020-01-25,5726.0,5727.0,5532.0,5713.0,13876685706,696110,297,5454.0,5727.0
2020-01-26,5885.0,5885.0,5575.0,5805.0,34716395702,1713943,1004,5713.0,5578.0
2020-01-27,5632.0,5726.0,5631.0,5638.0,23942852856,1217175,736,5805.0,5631.0
2020-01-28,5589.0,5807.0,5469.0,5768.0,120705309033,5997619,1209,5638.0,5807.0
2020-02-01,5941.0,5941.0,5941.0,5941.0,5455561865,263185,84,5768.0,5941.0
2020-02-02,6119.0,6119.0,5763.0,5958.0,91095889520,4382169,1864,5941.0,5763.0
2020-02-03,5789.0,5994.0,5779.0,5831.0,53611854713,2634966,1661,5958.0,5933.0
