date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-01-27,700.0,835.0,700.0,788.0,44081008,55964,35,1800.0,805.0
2009-01-28,775.0,775.0,770.0,774.0,14932920,19296,4,788.0,770.0
2009-01-31,774.0,799.0,774.0,774.0,15519950,20050,4,774.0,799.0
2009-02-01,820.0,840.0,790.0,814.0,30030580,36877,13,774.0,800.0
2009-02-02,820.0,860.0,820.0,836.0,547700,655,2,814.0,860.0
2009-02-03,884.0,884.0,884.0,884.0,88400,100,1,836.0,884.0
2009-02-07,884.0,884.0,884.0,884.0,1768000,2000,1,884.0,884.0
2009-02-09,831.0,831.0,831.0,831.0,83100,100,1,884.0,831.0
2009-02-17,840.0,850.0,840.0,844.0,11820000,14000,3,831.0,850.0
2009-02-18,802.0,802.0,800.0,801.0,12020000,15000,2,844.0,800.0
2009-02-21,801.0,801.0,800.0,801.0,1505800,1881,2,801.0,800.0
2009-02-25,801.0,801.0,801.0,801.0,5632632,7032,1,801.0,801.0
2009-03-01,753.0,753.0,753.0,753.0,2635500,3500,2,801.0,753.0
2009-03-02,708.0,708.0,708.0,708.0,1441488,2036,2,753.0,708.0
2009-03-03,708.0,750.0,708.0,729.0,6321186,8670,3,708.0,750.0
2009-03-04,708.0,708.0,708.0,708.0,42480,60,1,729.0,708.0
2009-03-07,700.0,700.0,700.0,700.0,7000000,10000,3,708.0,700.0
2009-03-09,658.0,658.0,658.0,658.0,51324,78,1,700.0,658.0
2009-03-16,658.0,658.0,620.0,624.0,11238000,18000,6,658.0,620.0
2009-03-17,660.0,660.0,630.0,650.0,5652000,8700,3,624.0,630.0
2009-03-18,650.0,650.0,611.0,625.0,14446764,23124,9,650.0,611.0
2025-05-19,2710.0,2710.0,2629.0,2663.0,49472681666,18580454,537,625.0,2629.0
2025-05-20,2584.0,2626.0,2584.0,2586.0,53105068668,20535434,540,2663.0,2584.0
2025-05-21,2509.0,2509.0,2509.0,2509.0,676855439,269771,18,2586.0,2509.0
2025-05-24,2530.0,2584.0,2451.0,2559.0,61768044212,24142163,940,2509.0,2560.0
2025-05-25,2628.0,2628.0,2483.0,2499.0,23713568111,9490784,286,2559.0,2483.0
2025-05-26,2482.0,2560.0,2435.0,2484.0,19898171127,8010738,322,2499.0,2510.0
2025-05-27,2436.0,2555.0,2421.0,2475.0,16807032696,6791644,310,2484.0,2433.0
2025-05-28,2413.0,2500.0,2413.0,2454.0,16755080665,6827781,201,2475.0,2440.0
2025-05-31,2411.0,2526.0,2410.0,2475.0,17167950069,6935960,347,2454.0,2461.0
2025-06-01,2423.0,2549.0,2423.0,2501.0,30928895340,12365142,368,2475.0,2549.0
2025-06-02,2575.0,2575.0,2460.0,2512.0,26240553730,10446448,267,2501.0,2474.0
2025-06-03,2438.0,2500.0,2437.0,2437.0,25525182140,10473592,179,2512.0,2437.0
2025-06-07,2364.0,2364.0,2364.0,2364.0,423735180,179245,25,2437.0,2364.0
2025-06-08,2294.0,2325.0,2294.0,2294.0,19508144393,8503918,262,2364.0,2294.0
2025-06-09,2230.0,2362.0,2230.0,2360.0,66089948281,28003410,634,2294.0,2362.0
2025-06-10,2365.0,2430.0,2340.0,2427.0,76344847695,31453134,323,2360.0,2430.0
2025-06-11,2370.0,2499.0,2358.0,2465.0,104638070317,42444138,958,2427.0,2499.0
