date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-29,1855.0,1855.0,1855.0,1855.0,6749542288500,169799806,5049512,47.0,1855.0
2020-08-01,1947.0,1947.0,1947.0,1947.0,216848567910,5196467,2866,1855.0,1947.0
2020-08-02,2044.0,2044.0,2044.0,2044.0,56060327440,1279624,2989,1947.0,2044.0
2020-08-03,2146.0,2146.0,2146.0,2146.0,110853606000,2409861,3188,2044.0,2146.0
2020-08-04,2254.0,2254.0,2254.0,2254.0,166596987900,3449213,3546,2146.0,2254.0
2020-08-05,2366.0,2366.0,2366.0,2366.0,194559209130,3836703,3858,2254.0,2366.0
2020-08-09,2484.0,2484.0,2484.0,2484.0,85193636440,1600181,6570,2366.0,2484.0
2020-08-10,2608.0,2608.0,2608.0,2608.0,89487626800,1600852,3520,2484.0,2608.0
2020-08-11,2738.0,2738.0,2738.0,2738.0,81697477730,1392017,3475,2608.0,2738.0
2020-08-12,2875.0,2875.0,2875.0,2875.0,96215809560,1561438,2174,2738.0,2875.0
2020-08-15,3019.0,3019.0,3019.0,3019.0,141045935300,2179999,5834,2875.0,3019.0
2020-08-16,3169.0,3169.0,3169.0,3169.0,134627002570,1981849,5808,3019.0,3169.0
2020-08-17,3328.0,3328.0,3328.0,3328.0,111341503280,1561154,15562,3169.0,3328.0
2020-08-18,3494.0,3494.0,3328.0,3492.0,2236513171900,29880270,71741,3328.0,3494.0
2020-08-19,3663.0,3667.0,3318.0,3635.0,1891125213410,24272223,141373,3492.0,3667.0
2020-08-22,3817.0,3817.0,3817.0,3817.0,861606353000,10533085,60999,3635.0,3817.0
2020-09-01,3820.0,4007.0,3629.0,3787.0,1182440486430,14633226,80992,3817.0,3629.0
2020-09-02,3598.0,3726.0,3598.0,3602.0,1758070161210,22874101,153494,3787.0,3609.0
2020-09-05,3599.0,3728.0,3422.0,3491.0,1224639573610,16438539,188076,3602.0,3608.0
2020-09-06,3648.0,3648.0,3317.0,3450.0,780425108270,10601255,110192,3491.0,3317.0
2020-09-07,3278.0,3279.0,3278.0,3278.0,343910082450,4917209,47310,3450.0,3278.0
2020-09-08,3313.0,3313.0,3114.0,3196.0,306478742820,4494039,40210,3278.0,3114.0
2020-09-09,3036.0,3356.0,3036.0,3256.0,1430692777990,20592304,121287,3196.0,3356.0
2020-09-12,3419.0,3419.0,3327.0,3415.0,489994263240,6723096,44385,3256.0,3419.0
2020-09-13,3456.0,3561.0,3245.0,3354.0,631627519660,8825971,58742,3415.0,3362.0
2020-09-14,3361.0,3444.0,3210.0,3359.0,460815131070,6429334,61720,3354.0,3391.0
2020-09-15,3379.0,3526.0,3191.0,3489.0,534937957530,7185414,56609,3359.0,3526.0
2020-09-16,3599.0,3663.0,3315.0,3423.0,563870386550,7718469,71339,3489.0,3384.0
2020-09-19,3252.0,3252.0,3252.0,3252.0,49930315800,719457,13839,3423.0,3252.0
2020-09-20,3090.0,3090.0,3090.0,3192.0,16606052820,251874,745,3252.0,3090.0
2020-09-21,3033.0,3033.0,3033.0,3160.0,8861721280,136924,384,3192.0,3033.0
2020-09-22,3003.0,3003.0,3003.0,3108.0,14559330870,227241,467,3160.0,3003.0
2020-09-23,2953.0,2953.0,2953.0,3032.0,21172872240,336024,915,3108.0,2953.0
2020-09-26,2881.0,2881.0,2881.0,3005.0,8466017220,137726,458,3032.0,2881.0
2020-09-27,2855.0,2855.0,2855.0,2941.0,20121876000,330300,269,3005.0,2855.0
2020-09-28,2794.0,2794.0,2794.0,2934.0,2063567440,34612,135,2941.0,2794.0
2020-09-29,2787.0,2787.0,2787.0,2917.0,5426717280,91236,226,2934.0,2787.0
2020-09-30,2771.0,2771.0,2771.0,2892.0,7780561920,131584,336,2917.0,2771.0
2020-10-03,2748.0,2999.0,2748.0,2799.0,716596018260,11997551,133138,2892.0,2876.0
2020-10-04,2789.0,2799.0,2660.0,2676.0,378557119540,6629706,44509,2799.0,2660.0
2020-10-05,2542.0,2542.0,2542.0,2595.0,26745738250,493009,5419,2676.0,2542.0
2020-10-06,2512.0,2724.0,2512.0,2672.0,362594614020,6359789,74470,2595.0,2724.0
