date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-02-16,8.0,8.0,8.0,8.0,2240550000,320000,248,8.0,8.0
2002-02-17,8.0,8.0,8.0,8.0,245729670,33735,30,8.0,8.0
2002-02-18,8.0,8.0,8.0,8.0,156506270,22000,162,8.0,8.0
2002-02-19,8.0,8.0,8.0,8.0,143563835,19757,21,8.0,8.0
2002-02-20,8.0,8.0,8.0,8.0,83045250,11510,15,8.0,8.0
2002-02-24,8.0,8.0,8.0,8.0,178238390,24760,196,8.0,8.0
2002-02-25,8.0,8.0,8.0,8.0,157932250,22000,189,8.0,8.0
2002-02-26,8.0,8.0,8.0,8.0,93016750,13050,103,8.0,8.0
2002-03-02,8.0,8.0,8.0,8.0,17731000,2500,2,8.0,8.0
2002-03-04,8.0,8.0,8.0,8.0,187196310,26500,232,8.0,8.0
2002-03-17,8.0,8.0,7.0,8.0,111922466,16000,20,8.0,8.0
2002-03-18,8.0,8.0,8.0,8.0,88019258,12488,21,8.0,8.0
2002-04-06,8.0,8.0,8.0,8.0,5250000,750,6,8.0,8.0
2002-04-07,8.0,8.0,8.0,8.0,129946078,18500,23,8.0,8.0
2002-04-09,8.0,8.0,8.0,8.0,12845000,1835,3,8.0,8.0
2002-04-10,8.0,8.0,8.0,8.0,32198850,4600,5,8.0,8.0
2002-04-13,8.0,8.0,8.0,8.0,699900,100,1,8.0,8.0
2002-04-21,7.0,8.0,7.0,8.0,230740620,33000,31,8.0,8.0
2002-04-22,8.0,8.0,8.0,8.0,132935896,18922,21,8.0,8.0
2002-04-23,8.0,8.0,8.0,8.0,128380835,18197,16,8.0,8.0
2002-04-24,8.0,8.0,8.0,8.0,8520000,1200,3,8.0,8.0
2002-04-27,8.0,8.0,8.0,8.0,7200000,1000,1,8.0,8.0
2002-04-29,8.0,8.0,8.0,8.0,15120000,2000,3,8.0,8.0
2002-04-30,9.0,9.0,9.0,9.0,37387980,4710,5,8.0,9.0
2002-05-01,9.0,9.0,9.0,9.0,131007763,16413,20,9.0,9.0
2002-05-04,9.0,9.0,9.0,9.0,94655125,11852,12,9.0,9.0
2002-05-05,9.0,9.0,9.0,9.0,142413400,17800,17,9.0,9.0
2002-05-20,10.0,10.0,10.0,10.0,54012000,6000,4,9.0,10.0
2002-05-21,10.0,10.0,10.0,10.0,23291300,2550,6,10.0,10.0
2002-05-22,10.0,10.0,10.0,10.0,16977500,1850,2,10.0,10.0
2002-05-25,10.0,10.0,10.0,10.0,182519000,20050,11,10.0,10.0
2002-05-26,10.0,10.0,10.0,10.0,151638000,16000,13,10.0,10.0
2002-05-27,11.0,11.0,11.0,11.0,10035000,1000,1,10.0,11.0
2002-05-28,11.0,11.0,11.0,11.0,118939162,11843,13,11.0,11.0
2002-05-29,11.0,11.0,11.0,11.0,94132500,9320,8,11.0,11.0
2002-06-01,11.0,11.0,11.0,11.0,33987000,3350,8,11.0,11.0
2002-06-25,11.0,11.0,10.0,10.0,5650800,600,4,11.0,10.0
2002-06-26,10.0,10.0,10.0,10.0,13231400,1400,2,10.0,10.0
2002-07-01,11.0,11.0,11.0,11.0,15876800,1600,6,10.0,11.0
2002-07-02,11.0,11.0,11.0,11.0,15628500,1500,3,11.0,11.0
2002-07-03,12.0,12.0,12.0,12.0,10939000,1000,1,11.0,12.0
2002-07-06,12.0,12.0,12.0,12.0,22970000,2000,6,12.0,12.0
2002-07-07,12.0,12.0,12.0,12.0,2297000,200,1,12.0,12.0
2002-07-08,12.0,12.0,12.0,12.0,264544755,23045,17,12.0,12.0
2002-07-09,12.0,12.0,12.0,12.0,9924145,865,1,12.0,12.0
2002-07-10,12.0,12.0,12.0,12.0,13631799,1207,3,12.0,12.0
2002-07-13,12.0,12.0,12.0,12.0,11200000,1000,1,12.0,12.0
2002-07-14,12.0,12.0,12.0,12.0,120136222,10739,13,12.0,12.0
2002-07-15,12.0,12.0,12.0,12.0,7280000,650,2,12.0,12.0
2002-07-16,12.0,12.0,12.0,12.0,20987500,1874,4,12.0,12.0
2002-07-17,12.0,12.0,12.0,12.0,38937950,3475,10,12.0,12.0
2002-07-21,12.0,12.0,12.0,12.0,1120100,100,1,12.0,12.0
2002-07-23,12.0,12.0,12.0,12.0,59407980,5290,29,12.0,12.0
2002-07-27,12.0,12.0,12.0,12.0,11300000,1000,1,12.0,12.0
2002-07-28,12.0,12.0,12.0,12.0,1130000,100,1,12.0,12.0
2002-07-29,12.0,12.0,12.0,12.0,4517600,400,4,12.0,12.0
2002-09-18,12.0,12.0,12.0,12.0,13320000,1200,2,12.0,12.0
2002-09-23,12.0,12.0,12.0,12.0,3319500,300,2,12.0,12.0
2002-10-20,11.0,11.0,11.0,11.0,5256000,500,4,12.0,11.0
2002-10-21,11.0,11.0,11.0,11.0,8988300,900,5,11.0,11.0
2002-10-29,11.0,11.0,11.0,11.0,993100,100,1,11.0,11.0
2002-10-30,11.0,11.0,11.0,11.0,9899000,1000,1,11.0,11.0
2002-11-03,10.0,10.0,10.0,10.0,47025000,5000,8,11.0,10.0
2002-11-06,10.0,10.0,10.0,10.0,13425000,1500,7,10.0,10.0
2002-11-10,9.0,9.0,9.0,9.0,23232300,2730,3,10.0,9.0
2002-11-11,9.0,9.0,9.0,9.0,29427580,3458,3,9.0,9.0
2002-11-12,9.0,9.0,9.0,9.0,1702000,200,2,9.0,9.0
2002-11-16,9.0,9.0,9.0,9.0,1702000,200,3,9.0,9.0
2002-11-18,9.0,9.0,9.0,9.0,15871150,1865,3,9.0,9.0
2002-11-19,9.0,9.0,9.0,9.0,851000,100,1,9.0,9.0
2002-11-23,9.0,9.0,9.0,9.0,8816360,1036,2,9.0,9.0
2002-11-24,9.0,9.0,9.0,9.0,851000,100,1,9.0,9.0
2002-11-26,9.0,9.0,9.0,9.0,11610368,1364,4,9.0,9.0
2002-11-30,9.0,9.0,9.0,9.0,8450000,1000,1,9.0,9.0
2002-12-09,9.0,9.0,9.0,9.0,1679200,200,1,9.0,9.0
2002-12-22,9.0,9.0,9.0,9.0,16000000,2000,1,9.0,9.0
2002-12-23,9.0,9.0,9.0,9.0,1600000,200,1,9.0,9.0
2003-01-04,8.0,8.0,8.0,8.0,15705000,2000,7,9.0,8.0
2003-01-05,8.0,8.0,8.0,8.0,7600000,1000,1,8.0,8.0
2003-01-11,8.0,8.0,8.0,8.0,7499500,1000,2,8.0,8.0
2003-01-13,8.0,8.0,8.0,8.0,44761500,6090,4,8.0,8.0
2003-02-05,8.0,8.0,8.0,8.0,22050000,3000,1,8.0,8.0
2003-02-10,8.0,8.0,8.0,8.0,25725000,3500,3,8.0,8.0
2003-02-17,8.0,8.0,8.0,8.0,8349600,1136,1,8.0,8.0
2003-02-18,8.0,8.0,8.0,8.0,78461250,10675,2,8.0,8.0
2003-02-22,8.0,8.0,8.0,8.0,1470000,200,1,8.0,8.0
2003-04-08,8.0,12.0,8.0,12.0,37158300,3500,6,8.0,12.0
2003-04-12,11.0,12.0,11.0,12.0,70950000,6700,6,12.0,12.0
2003-04-13,12.0,12.0,12.0,12.0,11000000,1000,1,12.0,12.0
2003-04-14,12.0,12.0,12.0,12.0,49225000,4475,3,12.0,12.0
2003-04-26,12.0,12.0,12.0,12.0,19769400,1800,8,12.0,12.0
2003-04-27,12.0,12.0,12.0,12.0,99216776,9035,10,12.0,12.0
2003-04-28,12.0,12.0,12.0,12.0,98779000,9000,8,12.0,12.0
2003-04-29,12.0,12.0,12.0,12.0,494620800,45300,32,12.0,12.0
2003-04-30,12.0,12.0,12.0,12.0,29640600,2700,4,12.0,12.0
2003-05-03,12.0,12.0,12.0,12.0,49949400,4520,6,12.0,12.0
2003-05-04,12.0,12.0,12.0,12.0,11200000,1000,1,12.0,12.0
2003-05-07,12.0,12.0,12.0,12.0,5625000,500,2,12.0,12.0
2003-05-11,13.0,13.0,13.0,13.0,14174400,1200,2,12.0,13.0
2003-05-12,13.0,13.0,13.0,13.0,92556126,7463,1,13.0,13.0
2003-05-18,13.0,27.0,13.0,13.0,70456075893,2818874,40,13.0,13.0
2003-05-20,13.0,13.0,13.0,13.0,2480400,200,2,13.0,13.0
2003-05-25,13.0,13.0,13.0,13.0,3720600,300,2,13.0,13.0
2003-05-27,13.0,13.0,13.0,13.0,105417000,8500,1,13.0,13.0
2003-05-28,13.0,13.0,13.0,13.0,12277980,990,1,13.0,13.0
2003-05-31,14.0,14.0,14.0,14.0,27188848,2088,3,13.0,14.0
2004-02-23,1.0,1.0,1.0,1.0,130000,100,1,14.0,1.0
2004-03-10,1.0,1.0,1.0,1.0,27300000,20000,8,1.0,1.0
2004-03-13,2.0,2.0,2.0,2.0,28660000,20000,6,1.0,2.0
2004-03-14,2.0,2.0,2.0,2.0,30080000,20000,5,2.0,2.0
2004-03-16,2.0,2.0,2.0,2.0,31895800,20200,4,2.0,2.0
2004-03-17,2.0,2.0,2.0,2.0,3313930,2000,2,2.0,2.0
2004-04-03,2.0,2.0,2.0,2.0,333200000,200000,53,2.0,2.0
2004-04-04,2.0,2.0,2.0,2.0,710407071,406179,60,2.0,2.0
2004-04-10,2.0,2.0,2.0,2.0,944680,515,2,2.0,2.0
2004-04-14,2.0,2.0,2.0,2.0,18387860,10010,3,2.0,2.0
2004-04-18,2.0,2.0,2.0,2.0,8643030,4610,3,2.0,2.0
2004-04-24,2.0,2.0,2.0,2.0,1299611,687,2,2.0,2.0
2004-04-26,2.0,2.0,2.0,2.0,4424005,2335,4,2.0,2.0
2004-04-27,2.0,2.0,2.0,2.0,19048500,10010,6,2.0,2.0
2004-05-10,2.0,3.0,2.0,3.0,52744270,22518,8,2.0,3.0
2004-05-11,3.0,3.0,2.0,3.0,136484403,57397,21,3.0,3.0
2004-05-12,3.0,3.0,3.0,3.0,3766340,1510,3,3.0,3.0
2004-05-15,3.0,3.0,3.0,3.0,24553720,9810,10,3.0,3.0
2004-05-16,3.0,3.0,3.0,3.0,76727478,30296,18,3.0,3.0
2004-05-17,3.0,3.0,3.0,3.0,23341756,8782,9,3.0,3.0
2004-05-18,3.0,3.0,3.0,3.0,1356290,510,2,3.0,3.0
2004-05-19,3.0,3.0,3.0,3.0,10854000,4010,5,3.0,3.0
2004-05-22,3.0,3.0,3.0,3.0,2223690,815,3,3.0,3.0
2004-05-23,3.0,3.0,3.0,3.0,12465980,4560,7,3.0,3.0
2004-05-24,3.0,3.0,3.0,3.0,61770544,22418,15,3.0,3.0
2004-05-25,3.0,3.0,3.0,3.0,6980332,2542,5,3.0,3.0
2004-05-26,3.0,3.0,3.0,3.0,2307953,801,4,3.0,3.0
2004-05-29,3.0,3.0,3.0,3.0,30718654,11164,10,3.0,3.0
2004-05-30,3.0,3.0,3.0,3.0,98728224,35970,12,3.0,3.0
2004-05-31,3.0,3.0,3.0,3.0,1914858,734,2,3.0,3.0
2004-06-01,3.0,3.0,3.0,3.0,26527010,10010,4,3.0,3.0
2004-06-08,3.0,3.0,3.0,3.0,106969375,41377,15,3.0,3.0
2004-06-12,3.0,3.0,3.0,3.0,3002452,1222,2,3.0,3.0
2004-06-14,3.0,3.0,3.0,3.0,24078130,9750,7,3.0,3.0
2004-06-15,3.0,3.0,3.0,3.0,30575907,11856,9,3.0,3.0
2004-06-16,3.0,3.0,3.0,3.0,73582740,28810,5,3.0,3.0
2004-06-19,3.0,3.0,3.0,3.0,18657380,7216,3,3.0,3.0
2004-06-20,3.0,3.0,3.0,3.0,4988050,2048,2,3.0,3.0
2004-06-22,3.0,3.0,3.0,3.0,20136200,7994,4,3.0,3.0
2004-06-23,3.0,3.0,3.0,3.0,20647830,8098,3,3.0,3.0
2004-06-27,3.0,3.0,3.0,3.0,13198170,5190,3,3.0,3.0
2004-07-04,3.0,3.0,3.0,3.0,14372500,5749,2,3.0,3.0
2004-07-06,3.0,3.0,3.0,3.0,17375000,6950,2,3.0,3.0
2004-07-07,3.0,3.0,3.0,3.0,16008891,6401,6,3.0,3.0
2004-07-10,3.0,3.0,3.0,3.0,2545000,1018,1,3.0,3.0
2004-07-11,3.0,3.0,3.0,3.0,2535000,1014,1,3.0,3.0
2004-07-12,3.0,3.0,3.0,3.0,12785000,5114,6,3.0,3.0
2004-07-13,3.0,3.0,3.0,3.0,10925000,4370,2,3.0,3.0
2004-07-14,3.0,3.0,3.0,3.0,250000,100,1,3.0,3.0
2004-07-18,3.0,3.0,3.0,3.0,6469665,2588,6,3.0,3.0
2004-07-20,3.0,3.0,3.0,3.0,12819369,5128,3,3.0,3.0
2004-07-25,3.0,3.0,3.0,3.0,30615980,12255,5,3.0,3.0
2004-07-26,3.0,3.0,3.0,3.0,1654980,662,2,3.0,3.0
2004-07-28,3.0,3.0,3.0,3.0,78062400,31200,5,3.0,3.0
2004-08-01,3.0,3.0,3.0,3.0,22455631,8967,6,3.0,3.0
2004-08-02,3.0,3.0,3.0,3.0,25369999,10140,6,3.0,3.0
2004-08-03,3.0,3.0,3.0,3.0,8237500,3295,3,3.0,3.0
2004-08-15,3.0,3.0,3.0,3.0,4958736,1985,3,3.0,3.0
2004-08-17,3.0,3.0,3.0,3.0,4237079,1704,4,3.0,3.0
2004-08-22,3.0,3.0,3.0,3.0,3992626,1606,2,3.0,3.0
2004-09-12,3.0,3.0,3.0,3.0,28681369,11536,9,3.0,3.0
2004-09-19,3.0,3.0,3.0,3.0,8470050,3260,3,3.0,3.0
2004-09-21,3.0,3.0,3.0,3.0,24400020,9760,3,3.0,3.0
2004-09-25,3.0,3.0,3.0,3.0,1825010,730,2,3.0,3.0
2004-10-10,3.0,3.0,3.0,3.0,19905000,7962,3,3.0,3.0
2004-11-03,3.0,3.0,3.0,3.0,40454278,16564,8,3.0,3.0
2004-11-06,3.0,3.0,3.0,3.0,49590,20,2,3.0,3.0
2004-11-15,3.0,3.0,3.0,3.0,2483990,1010,3,3.0,3.0
2004-11-24,3.0,3.0,3.0,3.0,36885,15,1,3.0,3.0
2004-11-27,3.0,3.0,3.0,3.0,24966800,10010,3,3.0,3.0
2004-11-30,3.0,3.0,3.0,3.0,4986328,2001,3,3.0,3.0
2004-12-06,3.0,3.0,3.0,3.0,5008031,2010,5,3.0,3.0
2004-12-07,3.0,3.0,3.0,3.0,35525840,14260,6,3.0,3.0
2004-12-13,3.0,3.0,3.0,3.0,441004,177,2,3.0,3.0
2005-09-13,3.0,3.0,3.0,3.0,5100000,2000,1,3.0,3.0
2005-09-17,3.0,3.0,3.0,3.0,2702550,1010,3,3.0,3.0
2005-09-18,3.0,3.0,3.0,3.0,34085900,13010,3,3.0,3.0
2005-09-19,3.0,3.0,3.0,3.0,29112130,11255,7,3.0,3.0
2005-09-21,3.0,3.0,3.0,3.0,2675900,1010,2,3.0,3.0
2005-09-24,3.0,3.0,3.0,3.0,4000930,1510,2,3.0,3.0
2005-09-25,3.0,3.0,3.0,3.0,1414830,544,5,3.0,3.0
2005-09-26,3.0,3.0,3.0,3.0,5268950,2010,4,3.0,3.0
2005-09-27,3.0,3.0,3.0,3.0,4649480,1755,4,3.0,3.0
2005-09-28,3.0,3.0,3.0,3.0,2624480,1010,3,3.0,3.0
2005-10-01,3.0,3.0,3.0,3.0,4026850,1550,3,3.0,3.0
2005-10-02,3.0,3.0,3.0,3.0,2467150,950,2,3.0,3.0
2005-10-03,3.0,3.0,3.0,3.0,1320460,510,2,3.0,3.0
2005-10-04,3.0,3.0,3.0,3.0,1320450,510,2,3.0,3.0
2005-10-05,3.0,3.0,3.0,3.0,1384115,535,2,3.0,3.0
2005-10-08,3.0,3.0,3.0,3.0,2075200,800,1,3.0,3.0
2005-10-09,3.0,3.0,3.0,3.0,3366920,1310,4,3.0,3.0
2005-10-10,3.0,3.0,3.0,3.0,1822810,710,2,3.0,3.0
2005-10-11,3.0,3.0,3.0,3.0,49655157,20010,10,3.0,3.0
2005-10-15,3.0,3.0,3.0,3.0,7547700,2910,2,3.0,3.0
2005-10-16,3.0,3.0,3.0,3.0,6668718,2793,4,3.0,3.0
2005-10-17,3.0,3.0,3.0,3.0,5873072,2401,4,3.0,3.0
2005-10-18,3.0,3.0,3.0,3.0,16312796,6510,4,3.0,3.0
2005-10-19,3.0,3.0,3.0,3.0,767473910,300760,5,3.0,3.0
2005-10-22,3.0,3.0,3.0,3.0,3925440,1510,2,3.0,3.0
2005-10-23,3.0,3.0,3.0,3.0,2927060,1126,2,3.0,3.0
2005-10-24,3.0,3.0,3.0,3.0,6524824,2526,4,3.0,3.0
2005-10-26,3.0,3.0,3.0,3.0,3144310,1210,2,3.0,3.0
2005-10-29,3.0,3.0,3.0,3.0,2104720,810,2,3.0,3.0
2005-10-30,3.0,3.0,3.0,3.0,1325020,510,2,3.0,3.0
