date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,31.0,31.0,31.0,31.0,3512400,1200,1,31.0,31.0
2001-03-27,31.0,31.0,31.0,31.0,10537100,3600,5,31.0,31.0
2001-03-31,31.0,31.0,31.0,31.0,2429410,830,3,31.0,31.0
2001-04-07,31.0,31.0,31.0,31.0,3491911,1193,4,31.0,31.0
2001-04-08,31.0,31.0,31.0,31.0,58031860,19802,23,31.0,31.0
2001-04-09,31.0,31.0,31.0,31.0,3712610,1255,3,31.0,31.0
2001-04-10,33.0,33.0,33.0,33.0,3122000,1000,2,31.0,33.0
2001-04-11,34.0,34.0,34.0,34.0,68044724,20758,24,33.0,34.0
2001-04-14,34.0,36.0,34.0,34.0,103039908,31121,32,34.0,34.0
2001-04-15,35.0,35.0,34.0,35.0,124080848,37360,31,34.0,35.0
2001-04-16,36.0,37.0,36.0,37.0,75626121,21852,20,35.0,37.0
2001-04-17,37.0,38.0,37.0,38.0,20232700,5715,6,37.0,38.0
2001-04-18,39.0,39.0,38.0,38.0,236399494,64162,55,38.0,38.0
2001-04-21,39.0,39.0,38.0,39.0,49361749,13359,13,38.0,39.0
2001-04-22,39.0,39.0,38.0,38.0,80378699,21827,14,39.0,38.0
2001-04-23,38.0,38.0,38.0,38.0,58331087,16000,19,38.0,38.0
2001-04-24,38.0,38.0,38.0,38.0,80933110,22429,14,38.0,38.0
2001-04-25,38.0,38.0,38.0,38.0,42556661,11816,13,38.0,38.0
2001-04-28,39.0,39.0,38.0,39.0,28316204,7686,14,38.0,39.0
2001-04-29,39.0,39.0,39.0,39.0,147309898,39334,41,39.0,39.0
2001-04-30,39.0,40.0,39.0,40.0,70636750,18647,21,39.0,40.0
2001-05-01,40.0,41.0,40.0,41.0,169517236,43518,29,40.0,41.0
2001-05-02,42.0,42.0,42.0,42.0,40167390,10061,7,41.0,42.0
2001-05-05,43.0,43.0,42.0,43.0,177573230,43501,30,42.0,43.0
2001-05-06,43.0,44.0,43.0,44.0,139248884,33606,40,43.0,44.0
2001-05-07,45.0,45.0,44.0,45.0,112026128,26442,21,44.0,45.0
2001-05-08,46.0,46.0,46.0,46.0,36191700,8300,15,45.0,46.0
2001-05-13,46.0,46.0,46.0,46.0,112109050,25623,22,46.0,46.0
2001-05-15,45.0,45.0,45.0,45.0,17833840,4120,4,46.0,45.0
2001-05-16,45.0,45.0,43.0,43.0,35888940,8578,15,45.0,43.0
2001-05-19,43.0,43.0,42.0,42.0,43603320,10872,19,43.0,42.0
2001-05-20,42.0,43.0,42.0,42.0,126792058,31096,28,42.0,42.0
2001-05-21,44.0,44.0,43.0,44.0,113140801,27241,30,42.0,44.0
2001-05-23,44.0,44.0,44.0,44.0,5818810,1393,5,44.0,44.0
2001-05-26,45.0,46.0,45.0,46.0,102331331,23693,17,44.0,46.0
2001-05-27,46.0,46.0,46.0,46.0,42907210,9723,10,46.0,46.0
2001-05-28,47.0,47.0,47.0,47.0,45551760,10242,8,46.0,47.0
2001-05-29,48.0,50.0,48.0,50.0,54938190,11697,10,47.0,50.0
2001-05-30,50.0,50.0,49.0,50.0,188033804,39754,34,50.0,50.0
2001-06-03,48.0,49.0,48.0,49.0,90664527,19469,19,50.0,49.0
2001-06-06,49.0,49.0,49.0,49.0,28609509,6103,7,49.0,49.0
2001-06-09,48.0,49.0,48.0,48.0,37281200,8071,9,49.0,48.0
2001-06-11,48.0,48.0,48.0,48.0,90233288,19776,20,48.0,48.0
2001-06-12,48.0,48.0,47.0,47.0,9022500,2000,4,48.0,47.0
2001-06-13,46.0,47.0,45.0,45.0,62484100,14328,24,47.0,45.0
2001-06-16,45.0,46.0,45.0,46.0,93518361,21554,27,45.0,46.0
2001-06-17,47.0,48.0,47.0,48.0,58503335,12911,19,46.0,48.0
2001-06-18,48.0,48.0,48.0,48.0,8395750,1845,3,48.0,48.0
2001-06-19,49.0,49.0,48.0,49.0,129074733,27608,34,48.0,49.0
2001-06-20,49.0,50.0,49.0,50.0,104410645,22238,25,49.0,50.0
2001-06-23,50.0,50.0,50.0,50.0,29496500,6200,2,50.0,50.0
2001-06-24,50.0,51.0,50.0,51.0,63561900,13164,19,50.0,51.0
2001-06-25,51.0,51.0,51.0,51.0,64994200,13385,19,51.0,51.0
2001-06-26,51.0,51.0,50.0,50.0,22650000,4680,9,51.0,50.0
2001-06-27,50.0,50.0,50.0,50.0,17558660,3690,6,50.0,50.0
2001-06-30,49.0,50.0,49.0,49.0,8098900,1717,4,50.0,49.0
2001-07-01,49.0,49.0,49.0,49.0,60816587,12959,6,49.0,49.0
2001-07-02,49.0,49.0,48.0,48.0,46551300,10108,16,49.0,48.0
2001-07-03,48.0,48.0,48.0,48.0,8524800,1853,4,48.0,48.0
2001-07-07,49.0,49.0,49.0,49.0,25360609,5415,9,48.0,49.0
2001-07-08,49.0,50.0,49.0,50.0,36348277,7627,10,49.0,50.0
2001-07-09,50.0,50.0,50.0,50.0,32376000,6745,11,50.0,50.0
2001-07-11,50.0,51.0,50.0,51.0,9714852,2018,5,50.0,51.0
2001-07-14,50.0,50.0,50.0,50.0,37681750,7933,6,51.0,50.0
2001-07-15,49.0,50.0,49.0,50.0,38322400,8132,8,50.0,50.0
2001-07-16,50.0,50.0,50.0,50.0,112057250,23591,29,50.0,50.0
2001-07-17,50.0,50.0,50.0,50.0,41206250,8675,16,50.0,50.0
2001-07-18,50.0,50.0,50.0,50.0,6044814,1272,6,50.0,50.0
2001-07-21,50.0,50.0,50.0,50.0,4753000,1000,1,50.0,50.0
2001-07-22,50.0,50.0,49.0,49.0,38950888,8224,21,50.0,49.0
2001-07-23,49.0,49.0,49.0,49.0,30550000,6500,15,49.0,49.0
2001-07-24,49.0,49.0,49.0,49.0,9345588,1988,5,49.0,49.0
2001-07-25,49.0,49.0,49.0,49.0,5109987,1087,1,49.0,49.0
2001-07-28,50.0,50.0,50.0,50.0,70874082,14872,25,49.0,50.0
2001-07-29,50.0,50.0,50.0,50.0,7129500,1500,3,50.0,50.0
2001-07-30,50.0,50.0,50.0,50.0,69329138,14586,23,50.0,50.0
2001-07-31,50.0,50.0,50.0,50.0,317282388,66723,27,50.0,50.0
2001-08-01,50.0,50.0,50.0,50.0,856155408,180056,48,50.0,50.0
2001-08-04,50.0,51.0,50.0,51.0,21865234,4532,13,50.0,51.0
2001-08-05,51.0,51.0,50.0,50.0,66736725,13805,17,51.0,50.0
2001-08-06,50.0,50.0,50.0,50.0,11846400,2468,3,50.0,50.0
2001-08-07,50.0,50.0,50.0,50.0,45351976,9444,11,50.0,50.0
2001-08-08,50.0,50.0,50.0,50.0,21617909,4503,7,50.0,50.0
2001-08-11,51.0,51.0,51.0,51.0,15948400,3265,2,50.0,51.0
