date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-07-12,4540.0,4540.0,3489.0,3750.0,1284471700000,28800000,169,84.0,3489.0
2023-07-15,3935.0,3935.0,3935.0,3935.0,18773071200,401134,53,3750.0,3935.0
2023-07-16,4128.0,4128.0,4128.0,4128.0,36268206000,738660,83,3935.0,4128.0
2023-07-17,4334.0,4334.0,4334.0,4334.0,67237696000,1304320,133,4128.0,4334.0
2023-07-18,4548.0,4548.0,4548.0,4548.0,119683698800,2212268,307,4334.0,4548.0
2023-07-25,4625.0,4625.0,4394.0,4471.0,545719386350,10451433,2272,4548.0,4493.0
2023-07-26,4694.0,4694.0,4660.0,4694.0,511327861650,9330860,1727,4471.0,4694.0
2023-07-29,4767.0,4925.0,4711.0,4904.0,395613734700,6913179,2383,4694.0,4925.0
2023-07-30,4942.0,5118.0,4685.0,4750.0,127776214100,2304040,1229,4904.0,4882.0
2023-07-31,4925.0,4985.0,4814.0,4981.0,294144911150,5058996,1505,4750.0,4985.0
2023-08-01,5054.0,5229.0,5054.0,5216.0,141144594150,2316711,865,4981.0,5229.0
2023-08-05,5473.0,5473.0,5439.0,5473.0,383104220800,5995702,1712,5216.0,5473.0
2023-08-06,5653.0,5653.0,5285.0,5422.0,205718733750,3249217,1747,5473.0,5422.0
2023-08-07,5482.0,5482.0,5152.0,5251.0,251350027450,4101616,1876,5422.0,5388.0
2023-08-08,5396.0,5512.0,5371.0,5508.0,191206265450,2974374,1354,5251.0,5512.0
2023-08-09,5653.0,5782.0,5568.0,5777.0,404863090150,6002549,2198,5508.0,5782.0
2023-08-13,5739.0,5820.0,5491.0,5559.0,224480897500,3458541,1601,5777.0,5568.0
2023-08-14,5739.0,5739.0,5311.0,5469.0,222837435150,3488888,1733,5559.0,5418.0
2023-08-15,5413.0,5482.0,5204.0,5336.0,120822769100,1939585,1056,5469.0,5375.0
2023-08-16,5516.0,5585.0,5371.0,5503.0,72398645950,1126713,903,5336.0,5503.0
2023-08-19,5589.0,5739.0,5371.0,5576.0,114122162450,1752405,1036,5503.0,5461.0
2023-08-20,5568.0,5585.0,5388.0,5491.0,151647049400,2364904,725,5576.0,5482.0
2023-08-21,5418.0,5760.0,5396.0,5572.0,136475529150,2097247,889,5491.0,5598.0
2023-08-22,5739.0,5850.0,5538.0,5803.0,194291275000,2867878,1024,5572.0,5850.0
2023-08-23,5996.0,6090.0,5867.0,6069.0,244460373600,3451497,1545,5803.0,6090.0
2023-08-26,6082.0,6082.0,5769.0,5846.0,167055321150,2447269,1710,6069.0,5855.0
2023-08-27,5957.0,6103.0,5730.0,5872.0,132829909200,1937480,887,5846.0,5910.0
2023-08-28,6039.0,6060.0,5825.0,5893.0,61309575900,891259,603,5872.0,5867.0
2023-08-29,5987.0,5987.0,5679.0,5799.0,81066722100,1197778,487,5893.0,5679.0
2023-09-03,5910.0,6017.0,5855.0,5919.0,52261164400,756515,387,5799.0,5885.0
2023-09-04,5885.0,5974.0,5713.0,5855.0,173880163400,2543167,849,5919.0,5829.0
2023-09-05,5872.0,6039.0,5722.0,5855.0,73447170800,1074502,641,5855.0,5859.0
2023-09-09,5855.0,5855.0,5568.0,5623.0,79214688800,1206667,501,5855.0,5598.0
2023-09-10,5820.0,5820.0,5550.0,5645.0,41691676150,632696,330,5623.0,5653.0
2023-09-11,5726.0,5923.0,5589.0,5760.0,86722621350,1289320,528,5645.0,5923.0
2023-09-12,6047.0,6047.0,5872.0,5957.0,54392282350,782162,442,5760.0,5872.0
2023-09-13,5996.0,5996.0,5782.0,5842.0,53861061000,789698,355,5957.0,5799.0
2023-09-17,5987.0,6133.0,5837.0,6039.0,136080040300,1929607,537,5842.0,6133.0
2023-09-18,6339.0,6339.0,6056.0,6283.0,128789575050,1756214,869,6039.0,6210.0
2023-09-19,6253.0,6317.0,6056.0,6201.0,74294935350,1026123,563,6283.0,6257.0
2023-09-20,6244.0,6476.0,6112.0,6313.0,37780286500,512589,349,6201.0,6296.0
2023-09-23,6386.0,6386.0,6167.0,6236.0,22225590800,305381,198,6313.0,6193.0
2023-09-25,6339.0,6339.0,6034.0,6137.0,55118164550,769085,316,6236.0,6073.0
2023-09-26,6214.0,6214.0,5927.0,6017.0,47042707800,669790,388,6137.0,5940.0
2023-09-27,6159.0,6159.0,5825.0,5923.0,55538588100,803302,408,6017.0,5944.0
2023-09-30,6030.0,6030.0,5782.0,5876.0,23863765700,347869,249,5923.0,5867.0
2023-10-01,6039.0,6039.0,5713.0,5765.0,29062926200,431783,234,5876.0,5735.0
2023-10-02,5478.0,5722.0,5478.0,5525.0,166573614800,2581584,861,5765.0,5606.0
2023-10-04,5606.0,5735.0,5533.0,5645.0,43052079200,653339,317,5525.0,5670.0
2023-10-07,5670.0,5670.0,5469.0,5546.0,32988966300,509494,231,5645.0,5568.0
2023-10-10,5336.0,5546.0,5336.0,5439.0,33744365350,531473,234,5546.0,5465.0
2023-10-11,5675.0,5675.0,5238.0,5366.0,49554691900,790949,345,5439.0,5311.0
2023-10-14,5473.0,5478.0,5135.0,5234.0,79096399550,1294328,559,5366.0,5366.0
2023-10-15,5439.0,5448.0,5311.0,5345.0,24380015200,390788,236,5234.0,5439.0
2023-10-16,5473.0,5589.0,5422.0,5508.0,29847187600,464144,190,5345.0,5576.0
2023-10-17,5512.0,5610.0,5499.0,5525.0,17787016850,275845,112,5508.0,5559.0
2023-10-18,5345.0,5666.0,5345.0,5435.0,7047982400,111079,108,5525.0,5396.0
2023-10-21,5336.0,5550.0,5336.0,5439.0,7158896600,112772,110,5435.0,5550.0
2023-10-22,5709.0,5709.0,5426.0,5482.0,59443429850,928659,249,5439.0,5486.0
2023-10-23,5469.0,5653.0,5336.0,5499.0,39180191150,610149,245,5482.0,5491.0
