date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-08-01,569.0,569.0,569.0,569.0,35092895000,14037158,349,227.0,569.0
2018-08-04,614.0,614.0,614.0,614.0,21176502300,7843149,394,569.0,614.0
2018-08-06,751.0,751.0,751.0,751.0,14610763200,4427504,405,614.0,751.0
2018-08-08,796.0,796.0,762.0,794.0,9999063150,2864541,289,751.0,762.0
2018-08-11,762.0,762.0,730.0,754.0,3534363690,1066213,126,794.0,730.0
2018-08-13,726.0,746.0,726.0,728.0,3729020850,1165365,123,754.0,746.0
2018-08-15,766.0,796.0,766.0,770.0,8801984646,2600741,231,728.0,796.0
2018-08-18,842.0,865.0,842.0,846.0,6240221096,1677975,185,770.0,865.0
2018-08-20,867.0,867.0,817.0,856.0,1831447619,486520,102,846.0,817.0
2018-08-25,842.0,910.0,842.0,885.0,2084171614,536109,65,856.0,910.0
2018-08-27,978.0,990.0,978.0,978.0,8954619600,2081772,229,885.0,990.0
2018-08-29,1076.0,1076.0,1076.0,1022.0,2102744991,444461,57,978.0,1076.0
2018-09-01,1042.0,1124.0,1042.0,1083.0,21153266532,4444364,468,1022.0,1124.0
2018-09-02,1191.0,1191.0,1083.0,1172.0,14725870588,2858647,422,1083.0,1160.0
2018-09-03,1172.0,1172.0,1055.0,1093.0,9332325285,1942386,367,1172.0,1097.0
2018-09-04,1202.0,1202.0,1115.0,1170.0,21311153596,4144068,1042,1093.0,1115.0
2018-09-05,1123.0,1176.0,1070.0,1127.0,17870310903,3608752,760,1170.0,1147.0
2018-09-08,1195.0,1195.0,1144.0,1159.0,13341157876,2619739,587,1127.0,1160.0
2018-09-09,1172.0,1251.0,1151.0,1204.0,10845465669,2048731,482,1159.0,1206.0
2018-09-10,1213.0,1325.0,1213.0,1312.0,10569876573,1833215,334,1204.0,1325.0
2018-09-11,1442.0,1443.0,1368.0,1424.0,11657498530,1862318,366,1312.0,1443.0
2018-09-12,1545.0,1545.0,1424.0,1486.0,17086626253,2615325,551,1424.0,1456.0
2018-09-15,1547.0,1547.0,1411.0,1501.0,13150825231,1993106,501,1486.0,1456.0
2018-09-16,1456.0,1524.0,1351.0,1451.0,8953284690,1403803,423,1501.0,1477.0
2018-09-17,1593.0,1593.0,1456.0,1497.0,13071844246,1985892,419,1451.0,1502.0
2018-09-18,1511.0,1511.0,1388.0,1434.0,6585553935,1044441,360,1497.0,1406.0
2018-09-22,1492.0,1578.0,1475.0,1548.0,9228284819,1356571,394,1434.0,1536.0
2018-09-23,1643.0,1647.0,1536.0,1599.0,7655083298,1089406,380,1548.0,1633.0
2018-09-24,1684.0,1758.0,1649.0,1730.0,4812882607,633062,147,1599.0,1758.0
2018-09-25,1903.0,1903.0,1903.0,1903.0,455131186,54422,6,1730.0,1903.0
2018-09-30,2093.0,2302.0,1884.0,2097.0,17884286217,1940467,461,1903.0,2182.0
2018-10-01,2305.0,2305.0,1903.0,2156.0,23790386252,2509969,606,2097.0,2252.0
2018-10-02,2250.0,2250.0,1941.0,1990.0,3485072951,398375,157,2156.0,1941.0
2018-10-03,1791.0,2047.0,1791.0,1840.0,13517662271,1671349,466,1990.0,1792.0
2018-10-06,1820.0,1934.0,1656.0,1761.0,4142095992,535052,220,1840.0,1656.0
2018-10-07,1585.0,1656.0,1585.0,1592.0,4357073711,622633,136,1761.0,1585.0
2018-10-08,1433.0,1433.0,1433.0,1433.0,1700963063,270037,131,1592.0,1433.0
2018-10-09,1290.0,1574.0,1290.0,1426.0,12742371485,2033718,517,1433.0,1479.0
2018-10-10,1433.0,1438.0,1283.0,1314.0,7547347954,1306589,335,1426.0,1283.0
2018-10-13,1233.0,1445.0,1233.0,1371.0,14907370365,2473873,626,1314.0,1445.0
2018-10-14,1508.0,1508.0,1508.0,1508.0,2805731820,423315,103,1371.0,1508.0
2018-10-15,1659.0,1659.0,1659.0,1659.0,2288957940,313986,61,1508.0,1659.0
2018-10-16,1824.0,1824.0,1824.0,1824.0,814433697,101563,40,1659.0,1824.0
2018-10-17,2006.0,2006.0,1824.0,2006.0,3438799841,389997,52,1824.0,1824.0
2018-10-28,2047.0,2047.0,1843.0,1891.0,2619998600,315204,55,2006.0,1843.0
2018-10-29,1702.0,1702.0,1702.0,1702.0,1145573011,153131,34,1891.0,1702.0
2018-10-31,1593.0,1846.0,1593.0,1744.0,14213984614,1854294,546,1702.0,1786.0
2018-11-03,1842.0,1853.0,1744.0,1804.0,11834688464,1492285,429,1744.0,1816.0
2018-11-04,1820.0,1835.0,1624.0,1696.0,4380578046,587700,246,1804.0,1668.0
2018-11-05,1820.0,1820.0,1691.0,1743.0,3098476696,404356,144,1696.0,1720.0
2018-11-06,1763.0,1852.0,1672.0,1813.0,6736507929,845086,423,1743.0,1797.0
2018-11-10,1729.0,1839.0,1651.0,1713.0,2569114738,341212,207,1813.0,1688.0
2018-11-11,1649.0,1702.0,1542.0,1614.0,6569562923,925839,305,1713.0,1695.0
2018-11-12,1683.0,1684.0,1567.0,1656.0,3386379095,465092,161,1614.0,1683.0
2018-11-13,1620.0,1737.0,1620.0,1680.0,3002507114,406624,175,1656.0,1638.0
2018-11-14,1726.0,1775.0,1661.0,1735.0,4644490469,608982,261,1680.0,1745.0
2018-11-17,1745.0,1745.0,1562.0,1615.0,4393018250,618619,236,1735.0,1593.0
2018-11-18,1661.0,1661.0,1454.0,1518.0,3209737869,481089,179,1615.0,1507.0
2018-11-19,1547.0,1631.0,1547.0,1581.0,1350573605,194378,110,1518.0,1570.0
2018-11-20,1581.0,1729.0,1536.0,1655.0,4713559608,647923,217,1581.0,1681.0
2018-11-21,1727.0,1727.0,1593.0,1640.0,1177893867,163379,85,1655.0,1595.0
2018-11-24,1690.0,1692.0,1559.0,1573.0,902047486,130456,82,1640.0,1593.0
2018-11-26,1527.0,1633.0,1416.0,1459.0,1959019970,305494,122,1573.0,1438.0
2018-11-27,1502.0,1605.0,1365.0,1560.0,3083364705,449574,243,1459.0,1605.0
2018-11-28,1627.0,1705.0,1606.0,1669.0,4522856751,616577,340,1560.0,1679.0
2018-12-01,1752.0,1752.0,1548.0,1620.0,1679293088,235825,150,1669.0,1655.0
2018-12-02,1666.0,1666.0,1593.0,1630.0,2745284391,383119,107,1620.0,1649.0
2018-12-03,1649.0,1749.0,1649.0,1699.0,4080424218,546425,232,1630.0,1711.0
2018-12-04,1654.0,1740.0,1595.0,1674.0,2680771932,364277,142,1699.0,1616.0
2018-12-05,1638.0,1683.0,1582.0,1601.0,3806026161,540795,168,1674.0,1615.0
2018-12-08,1618.0,1639.0,1598.0,1624.0,608664072,85265,39,1601.0,1633.0
2018-12-09,1638.0,1649.0,1606.0,1623.0,741382106,103902,70,1624.0,1632.0
2018-12-10,1615.0,1633.0,1524.0,1559.0,1802813928,263034,113,1623.0,1556.0
2018-12-12,1615.0,1615.0,1527.0,1577.0,1710155398,246689,105,1559.0,1602.0
2018-12-15,1524.0,1616.0,1504.0,1563.0,1741483043,253527,147,1577.0,1547.0
2018-12-16,1525.0,1602.0,1495.0,1543.0,1993459047,293908,162,1563.0,1536.0
2018-12-17,1490.0,1613.0,1490.0,1598.0,2989123960,425572,185,1543.0,1606.0
2018-12-18,1624.0,1624.0,1547.0,1568.0,992140349,143980,70,1598.0,1552.0
2018-12-19,1554.0,1592.0,1413.0,1562.0,2199066332,320301,118,1568.0,1538.0
2018-12-22,1538.0,1581.0,1499.0,1537.0,974145744,144151,106,1562.0,1570.0
2018-12-23,1577.0,1606.0,1544.0,1575.0,681929167,98510,101,1537.0,1544.0
2018-12-24,1577.0,1583.0,1467.0,1528.0,4443403787,661566,247,1575.0,1540.0
2018-12-25,1490.0,1560.0,1490.0,1500.0,1225100780,185764,58,1528.0,1502.0
2018-12-26,1490.0,1593.0,1480.0,1522.0,4976580212,743616,272,1500.0,1565.0
2018-12-29,1501.0,1593.0,1485.0,1536.0,1854600818,274647,163,1522.0,1540.0
2018-12-30,1570.0,1574.0,1529.0,1565.0,1233833300,179366,116,1536.0,1564.0
2018-12-31,1570.0,1721.0,1560.0,1670.0,10516508726,1432540,466,1565.0,1721.0
2019-01-01,1790.0,1837.0,1752.0,1813.0,25259506470,3169972,899,1670.0,1837.0
2019-01-02,1994.0,1994.0,1936.0,1990.0,13484562419,1541401,380,1813.0,1994.0
2019-01-05,2111.0,2184.0,2009.0,2122.0,28647654749,3070717,897,1990.0,2161.0
2019-01-06,2063.0,2275.0,2063.0,2191.0,28066748211,2914228,645,2122.0,2184.0
2019-01-07,2343.0,2410.0,2161.0,2362.0,15089850595,1453578,468,2191.0,2410.0
2019-01-08,2598.0,2598.0,2598.0,2598.0,841009350,73650,32,2362.0,2598.0
2019-01-12,2857.0,2934.0,2857.0,2901.0,5653435586,443342,103,2598.0,2934.0
2019-01-13,2958.0,2958.0,2611.0,2714.0,23009884187,1929295,851,2901.0,2728.0
2019-01-14,2775.0,2985.0,2732.0,2927.0,16658573420,1294892,559,2714.0,2985.0
2019-01-15,3208.0,3208.0,3026.0,3173.0,29258632445,2097763,1040,2927.0,3192.0
2019-01-16,3367.0,3367.0,3071.0,3182.0,15129304252,1081636,732,3173.0,3167.0
2019-01-19,3174.0,3174.0,2864.0,2926.0,20493757113,1593238,910,3182.0,2896.0
2019-01-20,2811.0,3003.0,2634.0,2754.0,14487578698,1196925,579,2926.0,2693.0
2019-01-21,2707.0,2707.0,2478.0,2517.0,11645637555,1052639,526,2754.0,2478.0
2019-01-22,2321.0,2768.0,2321.0,2707.0,16949054210,1424294,530,2517.0,2768.0
2019-01-23,2912.0,2978.0,2821.0,2966.0,9592416424,735755,532,2707.0,2978.0
2019-01-26,3026.0,3263.0,3026.0,3229.0,16472126403,1160658,668,2966.0,3262.0
2019-01-27,3299.0,3551.0,3185.0,3492.0,28055037921,1827617,884,3229.0,3551.0
2019-01-28,3640.0,3733.0,3143.0,3350.0,37655456983,2557079,1323,3492.0,3159.0
2019-01-29,3230.0,3230.0,3015.0,3020.0,9047579588,681536,299,3350.0,3015.0
2019-01-30,2721.0,3033.0,2721.0,2832.0,24421291356,1961778,969,3020.0,2798.0
2019-02-02,2902.0,2990.0,2617.0,2749.0,15638240863,1294339,687,2832.0,2629.0
2019-02-03,2639.0,2764.0,2482.0,2541.0,10025501054,897641,615,2749.0,2559.0
2019-02-04,2541.0,2795.0,2541.0,2757.0,6523489504,538221,205,2541.0,2795.0
2019-02-05,3033.0,3033.0,2866.0,2984.0,20653034368,1574410,859,2757.0,2957.0
2019-02-06,2935.0,3094.0,2782.0,2908.0,20772133438,1624791,647,2984.0,2826.0
2019-02-10,2826.0,2929.0,2639.0,2710.0,9862928793,828077,527,2908.0,2719.0
2019-02-12,2671.0,2841.0,2671.0,2774.0,4655360388,381763,314,2710.0,2775.0
2019-02-13,2765.0,2794.0,2616.0,2686.0,4515197718,382410,363,2774.0,2664.0
2019-02-16,2753.0,2753.0,2548.0,2603.0,5998254767,524226,470,2686.0,2587.0
2019-02-17,2685.0,2685.0,2548.0,2591.0,3560089101,312582,261,2603.0,2608.0
2019-02-18,2378.0,2680.0,2378.0,2612.0,5886271187,512641,289,2591.0,2616.0
