date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-05-26,1385.0,1385.0,1385.0,1385.0,5331078406050,177999279,2355996,46.0,1385.0
2021-05-29,1454.0,1454.0,1454.0,1454.0,49776971280,1583237,8310,1385.0,1454.0
2021-05-30,1526.0,1526.0,1526.0,1526.0,53074270240,1607824,8768,1454.0,1526.0
2021-05-31,1603.0,1603.0,1603.0,1603.0,62184407160,1794126,11307,1526.0,1603.0
2021-06-01,1683.0,1683.0,1683.0,1683.0,82204609710,2258989,17962,1603.0,1683.0
2021-06-02,1766.0,1766.0,1766.0,1766.0,671369927800,17575129,76432,1683.0,1766.0
2021-06-07,1855.0,1855.0,1767.0,1829.0,4567619136680,115450961,582759,1766.0,1786.0
2021-06-08,1792.0,1829.0,1738.0,1769.0,1839947142750,48084723,304051,1829.0,1743.0
2021-06-09,1725.0,1766.0,1695.0,1729.0,648764487990,17352274,109602,1769.0,1732.0
2021-06-12,1729.0,1812.0,1729.0,1772.0,836836285790,21838457,54253,1729.0,1762.0
2021-06-13,1784.0,1784.0,1720.0,1740.0,331620351630,8813266,41066,1772.0,1748.0
2021-06-14,1722.0,1780.0,1722.0,1754.0,481632281300,12697761,48700,1740.0,1765.0
2021-06-15,1757.0,1823.0,1746.0,1787.0,531814717460,13760539,40570,1754.0,1759.0
2021-06-16,1750.0,1776.0,1740.0,1753.0,323369896740,8530855,51223,1787.0,1750.0
2021-06-19,1740.0,1769.0,1688.0,1718.0,319027833200,8584717,22506,1753.0,1712.0
2021-06-20,1697.0,1766.0,1690.0,1725.0,384328985120,10304938,23463,1718.0,1716.0
2021-06-21,1712.0,1811.0,1712.0,1786.0,512212650750,13259200,25767,1725.0,1811.0
2021-06-22,1849.0,1875.0,1826.0,1868.0,908329476740,22490388,21901,1786.0,1875.0
2021-06-23,1919.0,1958.0,1867.0,1909.0,605752881370,14671480,25490,1868.0,1886.0
2021-06-26,1911.0,1911.0,1843.0,1868.0,571994707210,14159998,25227,1909.0,1847.0
2021-06-27,1888.0,1909.0,1831.0,1858.0,365487788670,9095598,13936,1868.0,1837.0
2021-06-28,1831.0,1850.0,1792.0,1808.0,330531500400,8451834,19654,1858.0,1808.0
2021-06-29,1809.0,1852.0,1808.0,1820.0,296401600640,7533080,16314,1808.0,1820.0
2021-06-30,1820.0,1896.0,1803.0,1856.0,582558183370,14513682,20967,1820.0,1886.0
2021-07-07,1922.0,1955.0,1889.0,1933.0,302183502620,7878214,7331,1856.0,1940.0
2021-07-10,1970.0,1970.0,1889.0,1919.0,211841800840,5562406,15208,1933.0,1915.0
2021-07-11,1899.0,1963.0,1899.0,1935.0,148042335130,3854028,13150,1919.0,1934.0
2021-07-12,1925.0,1957.0,1912.0,1930.0,204486323880,5338698,15741,1935.0,1918.0
2021-07-13,1917.0,1937.0,1889.0,1907.0,235470488260,6219092,15332,1930.0,1889.0
2021-07-14,1888.0,1952.0,1883.0,1920.0,233293477970,6123531,19088,1907.0,1909.0
2021-07-17,1935.0,1935.0,1879.0,1898.0,251783454940,6682978,13536,1920.0,1885.0
2021-07-18,1909.0,1940.0,1875.0,1914.0,186754520900,4917821,10072,1898.0,1905.0
2021-07-19,1891.0,2009.0,1891.0,1987.0,297065295960,7532839,12311,1914.0,2009.0
2021-07-26,2086.0,2086.0,2009.0,2085.0,831422125600,20092262,10331,1987.0,2086.0
2021-07-27,2106.0,2141.0,2001.0,2060.0,422796643580,10342580,12464,2085.0,2006.0
2021-07-28,2010.0,2130.0,2010.0,2074.0,363801103700,8837518,12134,2060.0,2063.0
2021-07-31,2051.0,2126.0,2041.0,2082.0,278465759860,6739627,9957,2074.0,2075.0
2021-08-01,2066.0,2076.0,2046.0,2057.0,204084180790,5000195,8845,2082.0,2056.0
2021-08-02,2046.0,2072.0,2030.0,2043.0,154290394330,3803925,7350,2057.0,2046.0
2021-08-03,2036.0,2106.0,2036.0,2073.0,143058331340,3477345,6600,2043.0,2074.0
2021-08-04,2075.0,2176.0,2075.0,2141.0,443446250010,10433385,10511,2073.0,2176.0
2021-08-07,2226.0,2226.0,2142.0,2181.0,322090774000,7440048,8922,2141.0,2192.0
2021-08-08,2192.0,2265.0,2166.0,2220.0,235574010570,5345935,7718,2181.0,2211.0
2021-08-09,2183.0,2238.0,2183.0,2218.0,200730820350,4558675,9008,2220.0,2224.0
2021-08-10,2242.0,2295.0,2217.0,2253.0,239815621310,5362434,8733,2218.0,2275.0
2021-08-11,2280.0,2340.0,2232.0,2273.0,301010512400,6671038,11042,2253.0,2247.0
2021-08-14,2267.0,2305.0,2197.0,2238.0,209337781130,4713150,9197,2273.0,2260.0
2021-08-15,2215.0,2264.0,2202.0,2239.0,140722381640,3166050,7205,2238.0,2239.0
2021-08-22,2287.0,2317.0,2219.0,2268.0,225008656910,4997675,9114,2239.0,2267.0
2021-08-23,2297.0,2382.0,2217.0,2345.0,410658188460,8821154,9681,2268.0,2382.0
2021-08-24,2413.0,2462.0,2405.0,2458.0,382646577640,7843878,8604,2345.0,2462.0
2021-08-25,2491.0,2519.0,2386.0,2455.0,231783932230,4756015,9907,2458.0,2489.0
2021-08-28,2520.0,2578.0,2469.0,2569.0,482723387540,9467007,7968,2455.0,2578.0
2021-08-29,2544.0,2564.0,2441.0,2476.0,532897976920,10845541,12079,2569.0,2441.0
2021-08-30,2353.0,2438.0,2352.0,2356.0,218142226940,4663786,3158,2476.0,2352.0
2021-08-31,2240.0,2371.0,2239.0,2277.0,423108022850,9362103,9401,2356.0,2278.0
2021-09-01,2243.0,2390.0,2243.0,2344.0,196198671820,4216533,7115,2277.0,2390.0
2021-09-04,2393.0,2461.0,2385.0,2422.0,334661194980,6962559,8027,2344.0,2415.0
2021-09-05,2454.0,2454.0,2343.0,2422.0,180785046140,3761145,6823,2422.0,2437.0
2021-09-06,2413.0,2469.0,2343.0,2394.0,229024661480,4819471,19913,2422.0,2343.0
2021-09-07,2343.0,2399.0,2292.0,2321.0,226341852400,4914402,22673,2394.0,2312.0
2021-09-08,2277.0,2360.0,2276.0,2297.0,180089598850,3950202,32782,2321.0,2298.0
