date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-02-24,183.0,183.0,183.0,183.0,1212905000,265000,4,40.0,183.0
2015-02-25,183.0,183.0,183.0,183.0,4165070000,910000,33,183.0,183.0
2015-02-28,200.0,200.0,200.0,200.0,250500000,50000,2,183.0,200.0
2015-03-01,208.0,208.0,204.0,206.0,201800000,39000,9,200.0,208.0
2015-03-02,208.0,208.0,208.0,208.0,5200000,1000,1,206.0,208.0
2015-03-03,214.0,216.0,214.0,215.0,107500000,20000,3,208.0,216.0
2015-03-04,220.0,239.0,220.0,224.0,174090000,31000,4,215.0,227.0
2015-03-08,228.0,228.0,228.0,228.0,68496000,12000,2,224.0,228.0
2015-03-09,228.0,239.0,228.0,231.0,271892000,47000,4,228.0,238.0
2015-03-10,228.0,228.0,228.0,228.0,74113000,13000,1,231.0,228.0
2015-03-14,227.0,227.0,227.0,227.0,228000000,40000,1,228.0,227.0
2015-03-18,227.0,227.0,227.0,227.0,655500000,115000,3,227.0,227.0
2015-04-06,239.0,239.0,239.0,239.0,14902160,2492,2,227.0,239.0
2015-04-11,238.0,238.0,238.0,238.0,11940000,2000,1,239.0,238.0
2015-04-12,238.0,238.0,238.0,238.0,17907000,3000,1,238.0,238.0
2015-04-15,237.0,237.0,237.0,237.0,11896000,2000,1,238.0,237.0
2015-04-22,237.0,237.0,237.0,237.0,17790000,3000,1,237.0,237.0
2015-04-26,223.0,223.0,220.0,221.0,2595519080,468508,23,237.0,221.0
2015-04-27,235.0,235.0,235.0,235.0,247790000,42000,3,221.0,235.0
2015-04-28,239.0,247.0,239.0,245.0,166000000,27000,2,235.0,247.0
2015-04-29,251.0,253.0,251.0,253.0,234600000,37000,2,245.0,253.0
2015-05-03,271.0,279.0,271.0,279.0,1434000000,205000,3,253.0,279.0
2015-05-04,291.0,299.0,291.0,299.0,3805810000,508508,9,279.0,299.0
2015-05-11,267.0,267.0,267.0,267.0,143996400,21492,2,299.0,267.0
2016-08-27,268.0,268.0,268.0,268.0,81300000,30000,1,267.0,268.0
2016-09-24,268.0,268.0,267.0,268.0,76693200,28345,5,268.0,267.0
2016-09-25,268.0,268.0,268.0,268.0,34908025,12905,3,268.0,268.0
2016-10-05,268.0,268.0,268.0,268.0,18942000,7000,1,268.0,268.0
2016-10-24,248.0,248.0,228.0,233.0,94010000,40000,2,268.0,228.0
2017-03-13,256.0,256.0,256.0,256.0,2090000,1000,1,233.0,256.0
2017-03-15,282.0,282.0,282.0,282.0,6273971,2729,3,256.0,282.0
2017-03-18,282.0,310.0,282.0,285.0,19081429,8211,4,282.0,310.0
2017-03-28,313.0,313.0,312.0,313.0,145194160,56810,13,285.0,312.0
2017-03-29,318.0,343.0,318.0,324.0,315026532,118990,20,313.0,331.0
2017-04-03,354.0,354.0,350.0,352.0,286890520,99894,16,324.0,354.0
2017-04-08,374.0,387.0,374.0,386.0,375844594,119193,23,352.0,387.0
2017-04-09,425.0,425.0,355.0,377.0,83159930,27056,10,386.0,380.0
2017-04-10,392.0,414.0,380.0,398.0,112565312,34649,16,377.0,414.0
2017-04-12,438.0,438.0,437.0,438.0,517996449,144976,43,398.0,438.0
2017-04-15,481.0,481.0,426.0,465.0,758148169,199794,36,438.0,481.0
2017-04-16,511.0,511.0,453.0,484.0,659492474,166970,49,465.0,490.0
2017-04-17,526.0,526.0,443.0,479.0,24661820,6306,5,484.0,489.0
2017-04-18,525.0,525.0,478.0,509.0,40987408,9871,6,479.0,478.0
2017-04-19,478.0,489.0,458.0,469.0,405298436,105837,25,509.0,459.0
2017-04-22,463.0,495.0,429.0,437.0,132202344,37061,13,469.0,429.0
2017-04-23,401.0,431.0,393.0,396.0,468974583,144951,16,437.0,431.0
2017-04-24,432.0,436.0,429.0,432.0,175014862,49592,20,396.0,436.0
2017-04-26,475.0,475.0,429.0,471.0,283372929,73693,13,432.0,429.0
2017-04-29,432.0,514.0,432.0,488.0,359411980,90285,24,471.0,441.0
2017-04-30,500.0,500.0,500.0,500.0,40800000,10000,1,488.0,500.0
2017-05-01,458.0,458.0,458.0,458.0,7480000,2000,1,500.0,458.0
2017-05-02,434.0,489.0,423.0,461.0,291334520,77434,18,458.0,453.0
2017-05-03,420.0,507.0,415.0,478.0,445033800,114126,33,461.0,490.0
2017-05-06,511.0,512.0,453.0,458.0,865613679,231729,23,478.0,489.0
2017-05-07,465.0,503.0,465.0,500.0,223479938,54770,34,458.0,503.0
2017-05-08,550.0,550.0,478.0,549.0,205607592,45900,19,500.0,550.0
