date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-01,1159.0,1159.0,1159.0,1159.0,83700000000,18000000,3613,249.0,1159.0
2021-09-04,1193.0,1193.0,1193.0,1193.0,24052752500,5022500,2024,1159.0,1193.0
2021-09-05,1229.0,1229.0,1229.0,1229.0,25604478000,5191500,2093,1193.0,1229.0
2021-09-06,1266.0,1266.0,1266.0,1266.0,16856434071,3318849,1335,1229.0,1266.0
2021-09-07,1329.0,1329.0,1329.0,1329.0,18951101040,3554220,1434,1266.0,1329.0
2021-09-08,1368.0,1368.0,1368.0,1368.0,11929746600,2172600,862,1329.0,1368.0
2021-09-11,1409.0,1409.0,1409.0,1409.0,11360125920,2008864,805,1368.0,1409.0
2021-09-12,1451.0,1451.0,1451.0,1451.0,11967242560,2054815,816,1409.0,1451.0
2021-09-13,1524.0,1524.0,1524.0,1524.0,15431685585,2523579,1013,1451.0,1524.0
2021-09-25,1478.0,1510.0,1478.0,1479.0,212016285813,35730502,13079,1524.0,1478.0
2021-09-26,1445.0,1478.0,1434.0,1438.0,15279793689,2647222,937,1479.0,1434.0
2021-09-28,1395.0,1395.0,1395.0,1434.0,870476530,155470,72,1438.0,1395.0
2021-09-29,1391.0,1413.0,1391.0,1392.0,113427457865,20298648,8118,1434.0,1391.0
2021-10-02,1383.0,1420.0,1351.0,1355.0,28314468883,5205985,2214,1392.0,1351.0
2021-10-03,1321.0,1353.0,1315.0,1318.0,13909392336,2629492,963,1355.0,1315.0
2021-10-04,1279.0,1307.0,1279.0,1282.0,58991780135,11468048,4653,1318.0,1307.0
2021-10-06,1320.0,1320.0,1307.0,1319.0,22607815824,4270240,1764,1282.0,1320.0
2021-10-09,1341.0,1343.0,1280.0,1301.0,20200337655,3868119,1605,1319.0,1280.0
2021-10-10,1263.0,1296.0,1262.0,1266.0,30585142513,6020152,2379,1301.0,1262.0
2021-10-11,1262.0,1288.0,1228.0,1243.0,19317934661,3872139,1466,1266.0,1228.0
2021-10-12,1206.0,1221.0,1206.0,1207.0,9899132026,2043676,772,1243.0,1206.0
2021-10-13,1171.0,1203.0,1171.0,1173.0,37341891827,7933178,3103,1207.0,1171.0
2021-10-16,1196.0,1231.0,1175.0,1218.0,69510636726,14220880,5456,1173.0,1221.0
2021-10-17,1221.0,1231.0,1182.0,1185.0,41399118973,8701924,3484,1218.0,1182.0
2021-10-18,1176.0,1195.0,1150.0,1167.0,8598815833,1841130,157,1185.0,1150.0
2021-10-19,1132.0,1189.0,1132.0,1135.0,130010043811,28536096,1257,1167.0,1132.0
2021-10-20,1135.0,1146.0,1101.0,1113.0,12534609229,2806552,297,1135.0,1101.0
2021-10-23,1086.0,1101.0,1080.0,1101.0,4049144894,931357,99,1113.0,1080.0
2021-10-25,1068.0,1068.0,1068.0,1099.0,427557300,99780,22,1101.0,1068.0
2021-10-26,1044.0,1044.0,1044.0,1065.0,5824928406,1389866,70,1099.0,1044.0
2021-10-27,1033.0,1033.0,1033.0,1048.0,4912997562,1184997,58,1065.0,1033.0
2021-10-30,1028.0,1047.0,1017.0,1023.0,26391915451,6426329,268,1048.0,1017.0
2021-10-31,993.0,993.0,993.0,1019.0,1383651168,347302,30,1023.0,993.0
2021-11-01,968.0,1019.0,968.0,972.0,96873084507,24839058,848,1019.0,968.0
2021-11-02,943.0,979.0,943.0,950.0,104816683498,27490184,1374,972.0,972.0
2021-11-03,976.0,978.0,954.0,974.0,95090639150,24317636,1008,950.0,976.0
2021-11-06,976.0,991.0,948.0,975.0,48272009022,12338213,1058,974.0,972.0
2021-11-07,963.0,977.0,946.0,956.0,18734059713,4884645,607,975.0,946.0
2021-11-08,930.0,964.0,927.0,933.0,26856877675,7173932,771,956.0,959.0
2021-11-09,961.0,961.0,961.0,961.0,90701610912,23522202,456,933.0,961.0
2021-11-10,989.0,989.0,989.0,989.0,12030398644,3029564,89,961.0,989.0
2021-11-13,1017.0,1019.0,963.0,1011.0,129270427904,31862123,1252,989.0,1019.0
2021-11-14,1022.0,1059.0,986.0,1028.0,44410503780,10761657,1108,1011.0,1019.0
2021-11-15,1028.0,1039.0,998.0,1002.0,25224050942,6269557,541,1028.0,998.0
2021-11-16,973.0,996.0,973.0,976.0,18916033354,4830158,579,1002.0,973.0
2021-11-17,959.0,1004.0,959.0,982.0,13290492045,3372792,403,976.0,1003.0
2021-11-20,1009.0,1011.0,987.0,999.0,16366861666,4081793,504,982.0,992.0
2021-11-21,997.0,1017.0,977.0,999.0,18485931292,4611322,460,999.0,1005.0
2021-11-22,1020.0,1020.0,969.0,978.0,24296633560,6187954,528,999.0,969.0
2021-11-23,966.0,976.0,949.0,955.0,19957392737,5209878,509,978.0,949.0
2021-11-24,937.0,949.0,926.0,928.0,24214814892,6500450,462,955.0,942.0
2021-11-27,946.0,946.0,900.0,902.0,15934611746,4402389,237,928.0,900.0
2021-11-28,876.0,912.0,875.0,880.0,21068063818,5966858,514,902.0,875.0
2021-11-29,872.0,880.0,854.0,860.0,18227864351,5279518,374,880.0,877.0
2021-11-30,877.0,884.0,847.0,864.0,5285328423,1519623,237,860.0,876.0
2021-12-01,873.0,882.0,838.0,856.0,7305629271,2132175,229,864.0,864.0
2021-12-04,872.0,881.0,830.0,849.0,9287091754,2726549,372,856.0,857.0
2021-12-05,864.0,864.0,824.0,841.0,6728185064,2000322,260,849.0,829.0
2021-12-06,835.0,867.0,824.0,862.0,17931658996,5183605,323,841.0,867.0
2021-12-07,879.0,882.0,849.0,868.0,5907063566,1686612,233,862.0,871.0
2021-12-08,868.0,882.0,842.0,850.0,15733226411,4612930,491,868.0,863.0
2021-12-11,861.0,861.0,833.0,850.0,5270850325,1545582,203,850.0,847.0
2021-12-12,858.0,858.0,824.0,833.0,6718307028,2027182,196,850.0,824.0
2021-12-13,809.0,837.0,808.0,825.0,3360467064,1032110,152,833.0,808.0
2021-12-14,801.0,834.0,801.0,814.0,5229653198,1619547,159,825.0,801.0
2021-12-15,790.0,812.0,790.0,801.0,5057748866,1594216,251,814.0,790.0
2021-12-18,790.0,801.0,777.0,786.0,10597688191,3357621,316,801.0,797.0
2021-12-19,772.0,796.0,763.0,779.0,6968942252,2238043,158,786.0,796.0
2021-12-20,779.0,795.0,779.0,783.0,5522538206,1750759,207,779.0,793.0
2021-12-21,772.0,806.0,769.0,801.0,9403280049,2921499,176,783.0,806.0
2021-12-22,824.0,825.0,801.0,811.0,4223542232,1276174,87,801.0,825.0
2021-12-25,835.0,835.0,790.0,813.0,7552594450,2310866,274,811.0,819.0
2021-12-26,815.0,834.0,797.0,810.0,3638648908,1128270,135,813.0,807.0
2021-12-27,819.0,819.0,790.0,809.0,11906017756,3665370,284,810.0,795.0
2021-12-28,808.0,819.0,785.0,792.0,9129086765,2877979,292,809.0,788.0
2021-12-29,773.0,815.0,768.0,783.0,15315479085,4875654,475,792.0,799.0
2022-01-01,797.0,806.0,797.0,806.0,25462639024,7875909,464,783.0,806.0
2022-01-02,829.0,829.0,829.0,829.0,10751794473,3229737,158,806.0,829.0
2022-01-03,854.0,854.0,854.0,848.0,8194034100,2390325,96,829.0,854.0
2022-01-04,890.0,890.0,806.0,860.0,71628900909,20749549,1094,848.0,847.0
2022-01-05,838.0,838.0,834.0,850.0,4349737143,1298666,70,860.0,834.0
2022-01-08,824.0,824.0,824.0,827.0,8671789680,2621460,65,850.0,824.0
2022-01-09,802.0,802.0,802.0,824.0,1234309720,383326,19,827.0,802.0
2022-01-10,783.0,822.0,783.0,785.0,15641306438,4965211,354,824.0,797.0
