date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-03-10,539.0,577.0,539.0,577.0,50634582,1164,2,539.0,577.0
2002-03-18,606.0,606.0,606.0,606.0,131972043,2793,20,577.0,606.0
2002-04-06,621.0,621.0,621.0,621.0,54970320,1135,4,606.0,621.0
2002-04-14,637.0,637.0,637.0,637.0,64633884,1302,8,621.0,637.0
2002-04-22,653.0,653.0,653.0,653.0,322445571,6337,26,637.0,653.0
2002-04-28,669.0,669.0,669.0,669.0,130543965,2503,10,653.0,669.0
2002-05-04,686.0,686.0,686.0,686.0,59766044,1118,7,669.0,686.0
2002-05-07,703.0,703.0,703.0,703.0,61314486,1119,3,686.0,703.0
2002-05-12,721.0,721.0,721.0,721.0,75258420,1340,11,703.0,721.0
2002-05-19,739.0,739.0,739.0,739.0,146680716,2548,17,721.0,739.0
2002-06-30,919.0,1925.0,919.0,1418.0,5621125210,53866,159,739.0,1418.0
2002-07-01,1424.0,1453.0,1418.0,1453.0,4454381164,39650,130,1418.0,1453.0
2002-07-02,1456.0,1456.0,1453.0,1453.0,1393551482,12297,43,1453.0,1453.0
2002-07-03,1431.0,1450.0,1431.0,1450.0,187474438,1661,14,1453.0,1450.0
2002-07-06,1414.0,1414.0,713.0,1414.0,1256700861,21921,490,1450.0,1414.0
2002-07-08,1378.0,1378.0,1378.0,1378.0,107421000,1000,4,1414.0,1378.0
2002-07-09,1344.0,1344.0,1344.0,1344.0,52368000,500,4,1378.0,1344.0
2002-07-10,1310.0,1310.0,1310.0,1310.0,51059000,500,2,1344.0,1310.0
2002-07-13,1278.0,1278.0,1278.0,1278.0,988590814,9929,30,1310.0,1278.0
2002-07-14,1283.0,1309.0,1246.0,1309.0,1807478181,17873,81,1278.0,1309.0
2002-07-15,1310.0,1310.0,1309.0,1309.0,517576374,5071,32,1309.0,1309.0
2002-08-11,1155.0,1155.0,1155.0,1155.0,91530000,1017,1,1309.0,1155.0
2002-08-14,1154.0,1154.0,1153.0,1153.0,39562904,440,7,1155.0,1153.0
2002-08-17,1136.0,1136.0,1136.0,1136.0,22125000,250,2,1153.0,1136.0
2002-08-18,1107.0,1107.0,1107.0,1107.0,224262512,2599,81,1136.0,1107.0
2002-08-20,1080.0,1080.0,1080.0,1080.0,149921442,1782,9,1107.0,1080.0
2002-08-21,1053.0,1065.0,1053.0,1053.0,49415700,600,4,1080.0,1053.0
2002-08-28,1053.0,1053.0,1053.0,1053.0,9597276,117,1,1053.0,1053.0
2002-09-02,1048.0,1048.0,1048.0,1048.0,47548236,582,1,1053.0,1048.0
2002-09-03,1014.0,1015.0,1014.0,1015.0,124441350,1574,5,1048.0,1015.0
2002-09-07,1014.0,1027.0,1014.0,1027.0,55563500,696,3,1015.0,1027.0
2002-09-08,1026.0,1027.0,1026.0,1027.0,183520097,2294,15,1027.0,1027.0
2002-09-11,1021.0,1021.0,1019.0,1019.0,278855800,3507,12,1027.0,1019.0
2002-09-14,1019.0,1019.0,1019.0,1019.0,30806812,388,2,1019.0,1019.0
2002-09-22,975.0,975.0,975.0,975.0,198360000,2610,9,1019.0,975.0
2002-09-23,950.0,950.0,950.0,950.0,85913839,1161,24,975.0,950.0
2002-09-24,930.0,948.0,930.0,930.0,261409844,3601,29,950.0,930.0
2002-09-28,911.0,911.0,911.0,911.0,36920000,520,6,930.0,911.0
2002-09-29,898.0,898.0,898.0,898.0,52500000,750,3,911.0,898.0
2002-10-01,911.0,911.0,898.0,898.0,210126850,2974,15,898.0,898.0
2002-10-06,905.0,905.0,905.0,905.0,57676233,818,7,898.0,905.0
2002-10-07,905.0,905.0,905.0,905.0,10578900,150,1,905.0,905.0
2002-10-08,905.0,905.0,905.0,905.0,69401384,984,5,905.0,905.0
2002-10-09,905.0,905.0,905.0,905.0,18759916,266,1,905.0,905.0
2002-10-12,905.0,924.0,905.0,924.0,82755780,1150,3,905.0,924.0
2002-10-13,925.0,926.0,925.0,926.0,144300000,2000,4,924.0,926.0
2002-10-14,926.0,926.0,924.0,924.0,251066113,3483,8,926.0,924.0
2002-10-15,924.0,925.0,924.0,925.0,333116985,4625,13,924.0,925.0
2002-10-19,928.0,930.0,924.0,924.0,125908168,1742,4,925.0,924.0
2002-10-20,925.0,925.0,925.0,925.0,62727130,870,4,924.0,925.0
2002-10-21,925.0,930.0,925.0,930.0,288875100,4000,7,925.0,930.0
