date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-11,106.0,106.0,106.0,106.0,188188090,42505,14,106.0,106.0
2001-04-14,106.0,108.0,106.0,108.0,4269480,953,2,106.0,108.0
2001-04-15,108.0,108.0,108.0,108.0,82009960,18214,11,108.0,108.0
2001-04-16,108.0,108.0,108.0,108.0,136234230,30230,21,108.0,108.0
2001-04-17,108.0,108.0,108.0,108.0,37457505,8285,8,108.0,108.0
2001-04-18,108.0,108.0,108.0,108.0,1495230,330,1,108.0,108.0
2001-04-21,110.0,110.0,110.0,110.0,23611196,5118,9,108.0,110.0
2001-04-22,111.0,112.0,110.0,112.0,16875500,3635,7,110.0,112.0
2001-04-23,114.0,115.0,114.0,115.0,49178909,10342,12,112.0,115.0
2001-04-24,115.0,115.0,115.0,115.0,25276425,5265,6,115.0,115.0
2001-04-25,115.0,116.0,115.0,116.0,18682875,3870,4,115.0,116.0
2001-04-28,116.0,116.0,116.0,116.0,3011850,621,2,116.0,116.0
2001-04-29,116.0,116.0,116.0,116.0,5474184,1128,2,116.0,116.0
2001-04-30,116.0,117.0,116.0,117.0,37021040,7570,7,116.0,117.0
2001-05-01,118.0,118.0,118.0,118.0,2475000,500,1,117.0,118.0
2001-05-02,119.0,121.0,119.0,121.0,15009735,2985,4,118.0,121.0
2001-05-05,121.0,121.0,119.0,121.0,123484720,24520,28,121.0,121.0
2001-05-06,121.0,121.0,121.0,121.0,5277250,1045,3,121.0,121.0
2001-05-07,121.0,121.0,121.0,121.0,46081354,9125,14,121.0,121.0
2001-05-09,121.0,121.0,121.0,121.0,10108500,2000,2,121.0,121.0
2001-05-12,121.0,122.0,121.0,122.0,20253153,3983,8,121.0,122.0
2001-05-13,122.0,122.0,122.0,122.0,40700424,8000,8,122.0,122.0
2001-05-15,122.0,122.0,122.0,122.0,44559120,8750,6,122.0,122.0
2001-05-16,122.0,122.0,121.0,121.0,101287700,20007,11,122.0,121.0
2001-05-19,121.0,121.0,121.0,121.0,10122000,2000,2,121.0,121.0
2001-05-20,122.0,122.0,121.0,122.0,29995260,5885,5,121.0,122.0
2001-05-21,124.0,124.0,123.0,124.0,82342000,15885,8,122.0,124.0
2001-05-23,124.0,124.0,124.0,124.0,61224800,11774,7,124.0,124.0
2001-05-26,124.0,124.0,124.0,124.0,200306760,38513,22,124.0,124.0
2001-05-27,124.0,124.0,74.0,124.0,127854668,36181,89,124.0,124.0
2001-05-28,124.0,124.0,124.0,124.0,10392000,2000,3,124.0,124.0
2001-05-29,124.0,124.0,122.0,122.0,58593390,11330,12,124.0,122.0
2001-05-30,124.0,124.0,124.0,124.0,3491712,672,2,122.0,124.0
2001-06-02,124.0,124.0,121.0,122.0,89856564,17507,16,124.0,122.0
2001-06-03,124.0,124.0,122.0,124.0,42105600,8189,7,122.0,124.0
2001-06-06,124.0,124.0,124.0,124.0,9308000,1790,3,124.0,124.0
2001-06-09,125.0,125.0,124.0,125.0,129871100,24748,24,124.0,125.0
2001-06-11,126.0,126.0,125.0,126.0,15152820,2885,5,125.0,126.0
2001-06-12,126.0,132.0,126.0,132.0,57864870,10680,5,126.0,132.0
2001-06-13,131.0,132.0,131.0,131.0,27807448,5052,6,132.0,131.0
2001-06-16,128.0,128.0,128.0,128.0,5350000,1000,2,131.0,128.0
2001-06-17,127.0,127.0,125.0,127.0,91701260,17330,15,128.0,127.0
2001-06-18,127.0,127.0,125.0,125.0,52586672,9983,17,127.0,125.0
2001-06-19,126.0,126.0,125.0,126.0,38659573,7360,14,125.0,126.0
2001-06-20,126.0,126.0,125.0,125.0,54453415,10381,18,126.0,125.0
2001-06-23,125.0,125.0,125.0,125.0,31498500,6000,5,125.0,125.0
2001-06-24,125.0,125.0,125.0,125.0,31500000,6000,5,125.0,125.0
2001-06-25,126.0,127.0,125.0,127.0,31986268,6068,6,125.0,127.0
2001-06-26,127.0,127.0,127.0,127.0,99210700,18719,32,127.0,127.0
2001-06-27,127.0,127.0,127.0,127.0,26447000,4990,9,127.0,127.0
2001-06-30,128.0,128.0,127.0,128.0,90299603,16995,17,127.0,128.0
2001-07-01,126.0,129.0,125.0,128.0,292220448,54412,44,128.0,128.0
2001-08-14,136.0,139.0,120.0,120.0,104796172,19150,27,128.0,120.0
2001-08-15,126.0,126.0,126.0,126.0,66867906,12686,8,120.0,126.0
2001-08-18,126.0,126.0,126.0,126.0,71351549,13537,16,126.0,126.0
2001-08-19,125.0,125.0,125.0,125.0,23753658,4551,7,126.0,125.0
2001-08-20,122.0,122.0,119.0,119.0,27521700,5482,10,125.0,119.0
2001-08-21,119.0,119.0,118.0,119.0,87553680,17552,29,119.0,119.0
2001-08-22,119.0,120.0,119.0,119.0,97057123,19410,34,119.0,119.0
2001-08-25,120.0,122.0,120.0,122.0,33236760,6530,7,119.0,122.0
2001-08-26,122.0,122.0,122.0,122.0,67179864,13164,12,122.0,122.0
2001-08-27,122.0,122.0,122.0,122.0,117876300,23113,18,122.0,122.0
2001-08-28,121.0,122.0,121.0,121.0,57683512,11412,11,122.0,121.0
2001-08-29,119.0,119.0,118.0,118.0,8820000,1768,4,121.0,118.0
2001-09-01,118.0,118.0,118.0,118.0,12375000,2500,4,118.0,118.0
2001-09-02,117.0,118.0,115.0,115.0,109120425,22413,23,118.0,115.0
2001-09-03,115.0,115.0,114.0,114.0,33266740,6940,30,115.0,114.0
2001-09-04,114.0,114.0,114.0,114.0,1981584,417,2,114.0,114.0
2001-09-05,113.0,116.0,113.0,116.0,97915610,20431,15,114.0,116.0
2001-09-08,116.0,116.0,116.0,116.0,37866776,7824,11,116.0,116.0
2001-09-09,116.0,117.0,116.0,117.0,48889224,9998,9,116.0,117.0
2001-09-10,118.0,119.0,118.0,119.0,21300578,4283,7,117.0,119.0
2001-09-11,119.0,119.0,119.0,119.0,72450000,14492,11,119.0,119.0
2001-09-12,116.0,116.0,116.0,116.0,123760576,25464,25,119.0,116.0
2001-09-15,116.0,116.0,115.0,116.0,67346200,13937,13,116.0,116.0
