date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-12-24,50.0,41.0,40.0,40.0,47995420000,5999405,449,5.0,40.0
2012-12-25,42.0,42.0,42.0,42.0,16917600,2014,7,40.0,42.0
2012-12-26,44.0,44.0,44.0,44.0,7523460,853,4,42.0,44.0
2012-12-29,46.0,46.0,46.0,46.0,79450119,8579,26,44.0,46.0
2012-12-30,48.0,48.0,48.0,48.0,15954166800,1640700,3447,46.0,48.0
2012-12-31,51.0,51.0,51.0,51.0,19666471370,1926197,2610,48.0,51.0
2013-01-01,53.0,53.0,53.0,53.0,2419643360,225713,272,51.0,53.0
2013-01-02,56.0,56.0,56.0,56.0,5051726568,448803,394,53.0,56.0
2013-01-06,59.0,59.0,53.0,57.0,54753701018,4793467,6338,56.0,56.0
2013-01-07,56.0,59.0,56.0,58.0,13329769049,1148055,2115,57.0,59.0
2013-01-08,60.0,60.0,58.0,59.0,7435399938,626968,1188,58.0,58.0
2013-01-09,59.0,59.0,57.0,58.0,4679565142,402559,991,59.0,58.0
2013-01-13,58.0,58.0,57.0,58.0,11651080741,1001171,1701,58.0,58.0
2013-01-14,58.0,59.0,58.0,59.0,5958880803,505231,820,58.0,58.0
2013-01-15,59.0,59.0,58.0,59.0,6585444545,558426,833,59.0,58.0
2013-01-16,59.0,59.0,57.0,57.0,1861468682,161526,272,59.0,57.0
2013-01-19,57.0,57.0,55.0,55.0,2343484170,211717,355,57.0,55.0
2013-01-20,55.0,55.0,52.0,53.0,1338732857,125501,220,55.0,52.0
2013-01-21,51.0,52.0,50.0,51.0,1086393404,106563,174,53.0,50.0
2013-01-22,48.0,51.0,48.0,49.0,2913888538,299031,372,51.0,48.0
2013-01-23,51.0,51.0,50.0,51.0,2235821850,218899,248,49.0,51.0
2013-01-26,53.0,53.0,49.0,51.0,1806520263,177129,262,51.0,50.0
2013-01-27,49.0,49.0,48.0,48.0,1141179752,117256,190,51.0,48.0
2013-01-28,47.0,50.0,47.0,49.0,951120356,96635,159,48.0,49.0
2013-01-30,50.0,50.0,47.0,48.0,606913235,62963,107,49.0,48.0
2013-02-02,50.0,50.0,48.0,49.0,1303384465,131347,200,48.0,48.0
2013-02-03,49.0,49.0,47.0,48.0,1013322329,106268,180,49.0,48.0
