date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-03-09,1412.0,1416.0,1412.0,1414.0,22625000,15000,2,938.0,1416.0
2014-03-17,1426.0,1426.0,1426.0,1426.0,7600000,5000,1,1414.0,1426.0
2014-04-06,1127.0,1127.0,1126.0,1126.0,18020000,15000,2,1426.0,1126.0
2014-04-19,1144.0,1144.0,1144.0,1144.0,1973960,1618,1,1126.0,1144.0
2014-04-27,948.0,948.0,948.0,948.0,15165000,15000,1,1144.0,948.0
2014-05-05,1032.0,1032.0,986.0,1029.0,17551000,16000,4,948.0,986.0
2014-05-10,1125.0,1125.0,1032.0,1034.0,12531260,11376,16,1029.0,1032.0
2014-06-08,960.0,960.0,960.0,960.0,15360000,15000,1,1034.0,960.0
2014-06-11,966.0,966.0,957.0,962.0,15396000,15000,2,960.0,957.0
2014-06-15,957.0,957.0,957.0,957.0,15300000,15000,1,962.0,957.0
2014-06-21,957.0,957.0,957.0,957.0,39702480,38924,4,957.0,957.0
2014-06-23,966.0,966.0,966.0,966.0,4120000,4000,1,957.0,966.0
2014-06-30,981.0,981.0,981.0,981.0,32634000,31500,3,966.0,981.0
2014-07-05,1137.0,1137.0,994.0,1058.0,50250000,45000,6,981.0,994.0
2014-07-06,999.0,999.0,999.0,999.0,8756500,8300,1,1058.0,999.0
2014-07-08,1137.0,1137.0,1137.0,1137.0,14400000,12000,1,999.0,1137.0
2014-07-13,1203.0,1203.0,1184.0,1201.0,46525000,36700,4,1137.0,1203.0
2014-07-21,1203.0,1203.0,1203.0,1203.0,19050000,15000,1,1201.0,1203.0
2014-08-02,1042.0,1043.0,1014.0,1039.0,16454100,15000,3,1203.0,1014.0
2014-08-05,1084.0,1084.0,1014.0,1026.0,32499000,30000,4,1039.0,1014.0
2014-08-11,1014.0,1014.0,1014.0,1014.0,10067400,9400,2,1026.0,1014.0
2014-08-16,966.0,966.0,966.0,966.0,15300000,15000,1,1014.0,966.0
2014-08-17,966.0,994.0,966.0,973.0,20550000,20000,2,966.0,994.0
2014-08-19,966.0,966.0,966.0,966.0,20400000,20000,1,973.0,966.0
2014-09-10,958.0,1025.0,958.0,965.0,9430000,9360,5,966.0,1025.0
2014-09-15,968.0,968.0,968.0,968.0,15150000,15000,1,965.0,968.0
2014-09-17,882.0,882.0,882.0,882.0,910800,990,1,968.0,882.0
2014-09-27,767.0,767.0,767.0,767.0,5600000,7000,1,882.0,767.0
2014-10-08,719.0,719.0,719.0,719.0,11250000,15000,1,767.0,719.0
2014-10-14,882.0,882.0,882.0,882.0,11040000,12000,1,719.0,882.0
2014-10-15,767.0,767.0,767.0,767.0,4000000,5000,1,882.0,767.0
2014-10-27,769.0,769.0,769.0,769.0,12030000,15000,1,767.0,769.0
2014-10-28,769.0,769.0,769.0,769.0,12030000,15000,1,769.0,769.0
2014-11-01,958.0,958.0,958.0,958.0,35000000,35000,3,769.0,958.0
2014-11-02,958.0,968.0,958.0,963.0,29150000,29000,2,958.0,968.0
2014-11-10,958.0,958.0,958.0,958.0,21000000,21000,3,963.0,958.0
2014-11-12,958.0,958.0,958.0,958.0,29000000,29000,2,958.0,958.0
2014-11-18,958.0,958.0,863.0,934.0,19427000,19927,2,958.0,863.0
2014-11-24,958.0,958.0,958.0,958.0,978000,978,1,934.0,958.0
2014-12-03,728.0,728.0,728.0,728.0,11400000,15000,1,958.0,728.0
2014-12-10,720.0,720.0,720.0,720.0,11265000,15000,1,728.0,720.0
2014-12-30,719.0,719.0,719.0,719.0,9000000,12000,1,720.0,719.0
2015-02-16,719.0,730.0,719.0,724.0,20394000,27000,2,719.0,730.0
2015-02-21,642.0,642.0,642.0,642.0,670000,1000,1,724.0,642.0
2015-03-03,677.0,677.0,677.0,677.0,3247600,4600,1,642.0,677.0
2015-03-08,679.0,679.0,679.0,679.0,2124000,3000,1,677.0,679.0
2015-03-10,679.0,679.0,679.0,679.0,10620000,15000,1,679.0,679.0
2015-03-14,681.0,681.0,681.0,681.0,24885000,35000,1,679.0,681.0
2015-04-04,958.0,958.0,958.0,958.0,4022000,4022,1,681.0,958.0
2015-04-06,1054.0,1054.0,1054.0,1054.0,4400000,4000,1,958.0,1054.0
2015-04-18,958.0,958.0,958.0,958.0,15000000,15000,1,1054.0,958.0
2015-05-11,691.0,691.0,691.0,691.0,10815000,15000,1,958.0,691.0
2015-05-31,691.0,691.0,682.0,683.0,10689090,15000,2,691.0,682.0
2015-06-13,682.0,682.0,682.0,682.0,10680000,15000,1,683.0,682.0
2015-07-14,723.0,723.0,723.0,723.0,750000,1000,1,682.0,723.0
2015-07-15,771.0,867.0,771.0,841.0,26200000,30000,4,723.0,867.0
2015-07-20,771.0,771.0,771.0,771.0,12000000,15000,2,841.0,771.0
2015-08-01,771.0,771.0,771.0,771.0,12000000,15000,1,771.0,771.0
2015-08-12,752.0,752.0,752.0,752.0,10920000,14000,2,771.0,752.0
2015-08-18,752.0,752.0,752.0,752.0,780000,1000,1,752.0,752.0
2015-08-19,752.0,771.0,752.0,762.0,15020000,19000,2,752.0,771.0
2015-09-06,771.0,771.0,771.0,771.0,960000,1200,1,762.0,771.0
2015-10-14,627.0,627.0,626.0,627.0,19194500,29500,6,771.0,627.0
2015-10-21,627.0,627.0,627.0,627.0,373023,573,1,627.0,627.0
2015-11-17,675.0,675.0,675.0,675.0,10500000,15000,1,627.0,675.0
2015-12-13,675.0,675.0,675.0,675.0,21000000,30000,2,675.0,675.0
2015-12-23,599.0,626.0,599.0,622.0,11613000,18000,2,675.0,626.0
2016-01-13,607.0,607.0,607.0,607.0,9450000,15000,1,622.0,607.0
2016-01-16,665.0,665.0,665.0,665.0,10350000,15000,1,607.0,665.0
2016-01-17,684.0,684.0,684.0,684.0,9230000,13000,1,665.0,684.0
2016-01-25,759.0,771.0,759.0,767.0,41408400,52000,4,684.0,771.0
2016-01-26,781.0,781.0,781.0,781.0,4050000,5000,1,767.0,781.0
2016-02-01,781.0,781.0,781.0,781.0,12150000,15000,1,781.0,781.0
2016-02-14,781.0,781.0,781.0,781.0,9720000,12000,1,781.0,781.0
2016-04-13,675.0,675.0,675.0,675.0,21000000,30000,2,781.0,675.0
2016-04-16,675.0,675.0,675.0,675.0,1400000,2000,1,675.0,675.0
2016-04-18,675.0,675.0,675.0,675.0,10500000,15000,1,675.0,675.0
2016-06-08,675.0,675.0,675.0,675.0,10500000,15000,1,675.0,675.0
2016-06-11,675.0,675.0,675.0,675.0,875000,1250,1,675.0,675.0
2016-06-15,676.0,676.0,676.0,676.0,10515000,15000,1,675.0,676.0
2016-08-07,613.0,613.0,613.0,613.0,1893000,3000,1,676.0,613.0
2016-08-17,623.0,623.0,623.0,623.0,448700,700,1,613.0,623.0
2016-08-21,622.0,622.0,622.0,622.0,9600000,15000,1,623.0,622.0
2016-09-06,652.0,652.0,626.0,628.0,10338000,16000,5,622.0,626.0
2016-09-10,628.0,628.0,628.0,628.0,1938000,3000,1,628.0,628.0
2016-10-01,628.0,628.0,628.0,628.0,7106000,11000,2,628.0,628.0
2016-10-08,583.0,584.0,583.0,583.0,2401000,4000,2,628.0,584.0
2016-10-17,587.0,587.0,584.0,585.0,9027000,15000,4,583.0,584.0
2016-11-14,584.0,584.0,583.0,583.0,8960000,14927,3,585.0,583.0
2016-12-27,605.0,605.0,604.0,605.0,1669070,2685,2,583.0,604.0
2017-01-02,632.0,632.0,632.0,632.0,1950000,3000,1,605.0,632.0
2017-01-04,595.0,632.0,583.0,591.0,9843000,16200,6,632.0,632.0
2017-01-14,585.0,585.0,585.0,585.0,3010000,5000,1,591.0,585.0
2017-01-28,556.0,556.0,556.0,556.0,4756180,8315,1,585.0,556.0
2017-01-29,557.0,557.0,519.0,532.0,8205000,15000,2,556.0,519.0
2017-02-05,520.0,520.0,519.0,519.0,8015000,15000,2,532.0,519.0
2017-02-22,547.0,547.0,518.0,535.0,32094242,58324,6,519.0,518.0
2017-02-26,536.0,536.0,536.0,536.0,8617089,15639,2,535.0,536.0
2017-03-07,535.0,535.0,535.0,535.0,8250000,15000,1,536.0,535.0
2017-03-13,588.0,588.0,588.0,588.0,3079450,5090,3,535.0,588.0
2017-03-14,589.0,589.0,589.0,589.0,115140,190,1,588.0,589.0
2017-03-18,588.0,588.0,588.0,588.0,302500,500,1,589.0,588.0
2017-03-28,646.0,646.0,646.0,646.0,2460500,3700,1,588.0,646.0
2017-03-29,711.0,711.0,711.0,711.0,3655000,5000,1,646.0,711.0
2017-04-03,710.0,711.0,710.0,710.0,29648800,40600,7,711.0,711.0
2017-04-04,780.0,781.0,780.0,781.0,25289300,31500,5,710.0,781.0
2017-04-05,858.0,858.0,858.0,858.0,17836600,20200,5,781.0,858.0
2017-04-08,944.0,944.0,875.0,940.0,72550469,75039,9,858.0,875.0
2017-04-09,1030.0,1030.0,847.0,876.0,83052225,92220,15,940.0,875.0
2017-04-10,800.0,901.0,800.0,814.0,26633638,31802,7,876.0,816.0
2017-04-12,893.0,894.0,826.0,886.0,107974600,118505,11,814.0,894.0
2017-04-15,974.0,974.0,890.0,967.0,145305954,146087,15,886.0,974.0
2017-04-16,1064.0,1064.0,1063.0,1064.0,68145106,62299,17,967.0,1064.0
2017-04-17,1169.0,1169.0,1166.0,1168.0,61356297,51031,11,1064.0,1169.0
2017-04-18,1060.0,1060.0,1060.0,1060.0,28340000,26000,6,1168.0,1060.0
2017-04-19,1118.0,1166.0,1118.0,1164.0,136275378,113822,17,1060.0,1166.0
2017-04-22,1279.0,1279.0,1279.0,1279.0,30662800,23300,8,1164.0,1279.0
2017-04-23,1407.0,1407.0,1407.0,1407.0,115760000,80000,10,1279.0,1407.0
2017-04-24,1547.0,1547.0,1363.0,1541.0,328292249,207169,29,1407.0,1365.0
2017-04-26,1604.0,1604.0,1387.0,1404.0,22791145,15784,5,1541.0,1387.0
2017-04-29,1268.0,1302.0,1264.0,1269.0,60433300,46321,9,1404.0,1264.0
2017-04-30,1167.0,1292.0,1148.0,1173.0,83029619,68796,17,1269.0,1152.0
2017-05-01,1089.0,1118.0,1057.0,1067.0,158059770,143987,34,1173.0,1079.0
2017-05-02,1104.0,1173.0,1104.0,1163.0,231643093,193750,28,1067.0,1173.0
2017-05-03,1277.0,1277.0,1225.0,1248.0,185368268,144387,19,1163.0,1264.0
