date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-04-04,42.0,42.0,42.0,42.0,9864550,197291,20,42.0,42.0
2005-10-29,831.0,831.0,582.0,689.0,33466790,40348,8,42.0,689.0
2005-10-30,756.0,757.0,756.0,756.0,3177380,3490,3,689.0,756.0
2005-10-31,756.0,756.0,756.0,756.0,710710,781,1,756.0,756.0
2005-11-01,681.0,831.0,681.0,803.0,157831038,163311,36,756.0,803.0
2005-12-11,500.0,1247.0,500.0,1121.0,364153480,270010,28,803.0,1121.0
2005-12-13,1010.0,1010.0,1010.0,1010.0,60750000,50000,5,1121.0,1010.0
2005-12-14,1111.0,1111.0,1111.0,1111.0,148668744,111279,12,1010.0,1111.0
2005-12-18,1000.0,1000.0,1000.0,1000.0,180450000,150000,15,1111.0,1000.0
2015-04-14,350.0,350.0,50.0,50.0,1152524400,22990488,8,1000.0,50.0
