date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-10-22,3494.0,3494.0,2367.0,2665.0,915172809940,60000000,175,175.0,2367.0
2022-10-23,2851.0,2851.0,2796.0,2851.0,249944036180,15318680,1417,2665.0,2851.0
2022-10-24,2900.0,2944.0,2727.0,2864.0,171694394600,10476709,2595,2851.0,2761.0
2022-10-25,2778.0,2778.0,2665.0,2673.0,34265330730,2239796,618,2864.0,2665.0
2022-10-26,2603.0,2656.0,2488.0,2584.0,90331348500,6106655,859,2673.0,2542.0
2022-10-29,2602.0,2755.0,2451.0,2542.0,12327697900,849698,263,2584.0,2486.0
2022-10-30,2485.0,2577.0,2409.0,2533.0,23079623340,1591661,292,2542.0,2551.0
2022-10-31,2549.0,2644.0,2499.0,2539.0,5685793840,389780,166,2533.0,2525.0
2022-11-01,2499.0,2547.0,2443.0,2474.0,18280197890,1291227,325,2539.0,2472.0
2022-11-02,2446.0,2647.0,2436.0,2563.0,16321612180,1112586,282,2474.0,2609.0
2022-11-05,2488.0,2708.0,2488.0,2637.0,28771994600,1907133,418,2563.0,2544.0
2022-11-06,2579.0,2663.0,2483.0,2558.0,23479751890,1603910,344,2637.0,2628.0
2022-11-07,2535.0,2679.0,2533.0,2596.0,9273849280,617826,216,2558.0,2626.0
2022-11-08,2628.0,2652.0,2535.0,2589.0,8216702790,555629,140,2596.0,2616.0
2022-11-09,2621.0,2637.0,2542.0,2584.0,3673914280,249834,86,2589.0,2586.0
2022-11-12,2572.0,2602.0,2540.0,2579.0,2698887950,184219,126,2584.0,2591.0
2022-11-13,2540.0,2701.0,2499.0,2617.0,12128217240,806554,170,2579.0,2619.0
2022-11-14,2605.0,2637.0,2542.0,2610.0,4834037670,325384,71,2617.0,2568.0
2022-11-15,2570.0,2637.0,2568.0,2609.0,2018997840,135650,46,2610.0,2621.0
2022-11-16,2600.0,2621.0,2533.0,2602.0,3794238450,256978,60,2609.0,2621.0
2022-11-19,2621.0,2630.0,2544.0,2600.0,1221804750,82669,40,2602.0,2560.0
2022-11-20,2551.0,2617.0,2537.0,2591.0,4113183510,279599,89,2600.0,2602.0
2022-11-21,2544.0,2595.0,2544.0,2589.0,433501740,29685,18,2591.0,2556.0
2022-11-22,2617.0,2617.0,2490.0,2572.0,3577096620,248449,65,2589.0,2581.0
2022-11-23,2495.0,2637.0,2495.0,2584.0,5984913900,401898,65,2572.0,2525.0
2022-11-26,2621.0,2621.0,2499.0,2579.0,1610253030,111189,60,2584.0,2500.0
2022-11-27,2567.0,2567.0,2457.0,2560.0,2890147790,203178,89,2579.0,2500.0
2022-11-28,2458.0,2532.0,2423.0,2537.0,5901129920,411903,83,2560.0,2478.0
2022-11-29,2464.0,2532.0,2458.0,2525.0,3811055590,267496,64,2537.0,2509.0
2022-11-30,2530.0,2530.0,2439.0,2500.0,5054487540,359679,90,2525.0,2448.0
2022-12-03,2434.0,2469.0,2434.0,2493.0,2216046520,158136,32,2500.0,2465.0
2022-12-04,2446.0,2586.0,2446.0,2533.0,11055985400,757858,93,2493.0,2539.0
2022-12-05,2483.0,2535.0,2457.0,2528.0,6155995330,426838,113,2533.0,2535.0
2022-12-06,2544.0,2546.0,2464.0,2525.0,2323607630,162147,26,2528.0,2516.0
2022-12-07,2507.0,2560.0,2467.0,2525.0,3554581040,245681,61,2525.0,2537.0
2022-12-10,2513.0,2520.0,2448.0,2518.0,1895862040,133988,26,2525.0,2516.0
2022-12-11,2450.0,2553.0,2348.0,2478.0,11580107120,820029,198,2518.0,2446.0
2022-12-12,2446.0,2588.0,2416.0,2486.0,16325111600,1147119,200,2478.0,2507.0
2022-12-13,2528.0,2584.0,2511.0,2521.0,11852007420,818137,157,2486.0,2532.0
2022-12-14,2528.0,2621.0,2528.0,2591.0,35855886120,2418332,431,2521.0,2602.0
2022-12-17,2619.0,2771.0,2568.0,2691.0,96653114970,6275341,1111,2591.0,2771.0
2022-12-18,2874.0,2878.0,2771.0,2871.0,45151178600,2748447,490,2691.0,2878.0
2022-12-19,3031.0,3031.0,2747.0,2897.0,66013552320,3981142,1202,2871.0,2794.0
2022-12-20,2883.0,2883.0,2694.0,2731.0,44811916550,2867771,802,2897.0,2761.0
2022-12-21,2761.0,2857.0,2731.0,2769.0,15307150820,964885,338,2731.0,2761.0
2022-12-24,2778.0,2858.0,2743.0,2810.0,19853808190,1234504,291,2769.0,2797.0
2022-12-25,2780.0,2851.0,2727.0,2775.0,17439670420,1098072,384,2810.0,2754.0
2022-12-26,2689.0,2818.0,2689.0,2782.0,27733482380,1741730,394,2775.0,2787.0
2022-12-28,2841.0,2900.0,2796.0,2825.0,25087505440,1551033,422,2782.0,2813.0
2022-12-31,2857.0,2857.0,2628.0,2654.0,34736279680,2286038,592,2825.0,2665.0
2023-01-01,2673.0,2731.0,2533.0,2621.0,15953838420,1063352,343,2654.0,2696.0
2023-01-02,2724.0,2724.0,2656.0,2691.0,16549261390,1074664,243,2621.0,2656.0
2023-01-03,2745.0,2864.0,2635.0,2775.0,65922019340,4151580,1140,2691.0,2748.0
2023-01-04,2837.0,2837.0,2640.0,2703.0,16727548760,1081092,442,2775.0,2684.0
2023-01-07,2754.0,2811.0,2708.0,2769.0,31561953120,1991871,515,2703.0,2778.0
2023-01-08,2829.0,2841.0,2771.0,2804.0,37270492590,2322654,556,2769.0,2815.0
2023-01-09,2831.0,2883.0,2797.0,2834.0,25090745990,1546714,326,2804.0,2844.0
2023-01-10,2895.0,3030.0,2797.0,2935.0,58523070170,3483610,867,2834.0,2893.0
2023-01-11,3005.0,3140.0,2963.0,3075.0,129110800770,7334169,1512,2935.0,3135.0
2023-01-14,3145.0,3194.0,3084.0,3122.0,41249083060,2307933,576,3075.0,3122.0
2023-01-16,3145.0,3341.0,3122.0,3332.0,123227181550,6463024,770,3122.0,3321.0
2023-01-17,3321.0,3512.0,3232.0,3395.0,87710650830,4513224,1094,3332.0,3355.0
2023-01-18,3402.0,3620.0,3297.0,3480.0,83025873590,4167356,1485,3395.0,3451.0
2023-01-21,3720.0,3723.0,3353.0,3498.0,101067453420,5048180,1641,3480.0,3384.0
2023-01-22,3494.0,3617.0,3253.0,3473.0,79393362770,3992818,1651,3498.0,3571.0
2023-01-23,3687.0,3687.0,3285.0,3465.0,69397497450,3499715,1143,3473.0,3404.0
2023-01-24,3494.0,3494.0,3224.0,3262.0,113325133010,6068552,1916,3465.0,3264.0
2023-01-25,3301.0,3344.0,3035.0,3070.0,97760612590,5563979,1273,3262.0,3035.0
2023-01-28,3040.0,3241.0,2955.0,3082.0,55457342730,3144590,911,3070.0,3051.0
2023-01-29,2986.0,3072.0,2867.0,2892.0,50084879290,3026211,718,3082.0,2932.0
2023-01-30,2913.0,3000.0,2691.0,2776.0,64161200290,4036752,701,2892.0,2848.0
2023-01-31,2759.0,2902.0,2757.0,2810.0,49763949170,3093965,541,2776.0,2881.0
2023-02-01,2900.0,3005.0,2855.0,2970.0,62186369360,3657008,775,2810.0,3005.0
2023-02-05,3075.0,3110.0,2775.0,2925.0,44345857950,2648800,697,2970.0,2839.0
2023-02-06,2731.0,2892.0,2731.0,2824.0,25572092840,1582026,377,2925.0,2848.0
2023-02-07,2879.0,2962.0,2825.0,2869.0,19584278390,1192415,411,2824.0,2839.0
2023-02-08,2782.0,2986.0,2782.0,2897.0,40979066340,2471096,477,2869.0,2934.0
2023-02-12,3005.0,3005.0,2822.0,2846.0,39979251470,2453602,374,2897.0,2836.0
2023-02-13,2846.0,2897.0,2797.0,2841.0,32748263260,2013903,367,2846.0,2822.0
2023-02-14,2865.0,2865.0,2708.0,2775.0,43424371580,2733994,513,2841.0,2769.0
2023-02-15,2796.0,2796.0,2581.0,2638.0,64777119070,4289584,635,2775.0,2645.0
2023-02-19,2661.0,2776.0,2598.0,2666.0,49178415970,3223696,611,2638.0,2638.0
2023-02-20,2726.0,2851.0,2673.0,2832.0,42449924760,2619006,254,2666.0,2851.0
2023-02-21,3028.0,3030.0,2890.0,2972.0,65762778560,3866568,605,2832.0,2909.0
2023-02-22,2865.0,3093.0,2865.0,3000.0,27156527510,1581545,376,2972.0,3093.0
2023-02-25,3142.0,3210.0,3140.0,3208.0,178201659570,9704527,683,3000.0,3210.0
2023-02-26,3294.0,3334.0,3042.0,3138.0,100972330340,5623440,1087,3208.0,3093.0
2023-02-27,3075.0,3183.0,3009.0,3114.0,80105214750,4495356,954,3138.0,3065.0
2023-02-28,3180.0,3330.0,3093.0,3267.0,194204862200,10385235,978,3114.0,3330.0
2023-03-01,3145.0,3494.0,3145.0,3460.0,122485186790,6186119,1211,3267.0,3355.0
2023-03-04,3458.0,3669.0,3232.0,3510.0,82449270170,4103358,930,3460.0,3528.0
2023-03-05,3643.0,3701.0,3320.0,3573.0,83736600750,4094778,575,3510.0,3425.0
2023-03-06,3390.0,3625.0,3323.0,3384.0,69275160950,3576407,659,3573.0,3370.0
2023-03-07,3323.0,3442.0,3238.0,3376.0,50587127060,2617777,399,3384.0,3423.0
2023-03-11,3234.0,3362.0,3140.0,3194.0,90047291760,4926926,732,3376.0,3142.0
2023-03-12,3040.0,3155.0,2972.0,3003.0,53877070180,3134494,498,3194.0,2972.0
2023-03-13,3040.0,3136.0,3021.0,3063.0,14524542470,828403,183,3003.0,3040.0
