date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-11-19,11.0,11.0,11.0,11.0,1950716500,713895,67,0.0,11.0
2001-11-20,12.0,12.0,12.0,12.0,1615295400,557240,306,11.0,12.0
2001-11-21,12.0,12.0,12.0,12.0,334825358,114747,126,12.0,12.0
2001-11-24,12.0,12.0,12.0,12.0,790362645,268020,284,12.0,12.0
2001-11-25,12.0,12.0,12.0,12.0,53466300,18000,13,12.0,12.0
2001-11-26,12.0,12.0,12.0,12.0,77808060,26198,9,12.0,12.0
2001-12-04,12.0,12.0,12.0,12.0,3294760,1100,2,12.0,12.0
2001-12-08,12.0,12.0,12.0,12.0,5991430,2000,4,12.0,12.0
2001-12-09,12.0,12.0,12.0,12.0,29935196,10000,6,12.0,12.0
2001-12-10,12.0,12.0,12.0,12.0,58564230,19554,7,12.0,12.0
2001-12-11,12.0,12.0,12.0,12.0,27353335,9133,3,12.0,12.0
2001-12-12,12.0,12.0,12.0,12.0,357626960,119408,18,12.0,12.0
2001-12-15,12.0,12.0,12.0,12.0,14975000,5000,2,12.0,12.0
2001-12-17,12.0,12.0,12.0,12.0,2995000,1000,1,12.0,12.0
2001-12-18,12.0,12.0,12.0,12.0,10278840,3432,3,12.0,12.0
2001-12-23,12.0,12.0,12.0,12.0,8494890,2895,4,12.0,12.0
2001-12-24,12.0,12.0,12.0,12.0,1958576,668,1,12.0,12.0
2001-12-25,12.0,12.0,12.0,12.0,3225300,1100,2,12.0,12.0
2001-12-30,12.0,12.0,12.0,12.0,1464500,500,1,12.0,12.0
2001-12-31,12.0,12.0,12.0,12.0,21777528,7434,4,12.0,12.0
2002-01-01,12.0,12.0,12.0,12.0,5869000,2000,2,12.0,12.0
2002-01-05,12.0,12.0,12.0,12.0,6163000,2100,2,12.0,12.0
2002-01-07,12.0,12.0,12.0,12.0,2849510,973,2,12.0,12.0
2002-01-26,12.0,12.0,12.0,12.0,2897000,1000,1,12.0,12.0
2002-01-27,12.0,12.0,12.0,12.0,42294130,14617,14,12.0,12.0
2002-01-28,12.0,12.0,12.0,12.0,46923530,16070,8,12.0,12.0
2002-01-30,12.0,12.0,12.0,12.0,14645000,5000,2,12.0,12.0
2002-02-06,12.0,12.0,12.0,12.0,75277586,25680,5,12.0,12.0
2002-02-10,12.0,12.0,12.0,12.0,4863800,1660,1,12.0,12.0
2002-02-16,12.0,12.0,12.0,12.0,9440470,3222,2,12.0,12.0
2002-02-18,12.0,12.0,12.0,12.0,11720000,4000,2,12.0,12.0
2002-02-19,12.0,12.0,12.0,12.0,3305040,1128,1,12.0,12.0
