date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-07-19,40250.0,40250.0,33500.0,35900.0,3949023633100,109999909,1262378,1000.0,33500.0
2023-11-19,6300.0,6615.0,6300.0,6416.0,215526128895,33590869,26191,4850.0,6615.0
2023-11-20,6736.0,6736.0,6736.0,6710.0,123964554704,18403289,25894,6416.0,6736.0
2023-11-21,7045.0,7045.0,7045.0,6748.0,15894379490,2256122,13600,6710.0,7045.0
2023-11-22,7085.0,7085.0,7085.0,7039.0,122485104495,17287947,20040,6748.0,7085.0
2023-11-25,7390.0,7390.0,6690.0,7140.0,628714391770,88095221,150830,7039.0,7120.0
2023-11-26,7180.0,7290.0,6950.0,7080.0,116047155510,16395395,31678,7140.0,6970.0
2023-11-27,6980.0,6990.0,6730.0,6770.0,222959801540,32952340,42995,7080.0,6750.0
2023-11-28,6700.0,6750.0,6490.0,6610.0,88552962990,13480770,27922,6770.0,6510.0
2023-11-29,6560.0,6700.0,6480.0,6590.0,69132040060,10517200,15360,6610.0,6530.0
2023-12-02,6600.0,6740.0,6480.0,6580.0,75662939990,11522159,14823,6590.0,6500.0
2023-12-03,6610.0,6610.0,6490.0,6560.0,48974489790,7492290,13455,6580.0,6580.0
2023-12-04,6600.0,6680.0,6480.0,6570.0,61922921890,9423504,10960,6560.0,6510.0
2023-12-05,6590.0,6590.0,6480.0,6550.0,38388021590,5894963,8522,6570.0,6490.0
2023-12-06,6470.0,6520.0,6400.0,6520.0,33679285520,5231607,7860,6550.0,6430.0
2023-12-09,6410.0,6840.0,6340.0,6740.0,191147762100,28343461,14837,6520.0,6840.0
2023-12-10,6900.0,6950.0,6590.0,6750.0,109844172700,16268262,11531,6740.0,6600.0
2023-12-11,6550.0,6650.0,6550.0,6670.0,66401250410,10067843,8602,6750.0,6620.0
2023-12-12,6600.0,6650.0,6550.0,6650.0,27168602220,4125467,5830,6670.0,6570.0
2023-12-13,6600.0,6600.0,6490.0,6620.0,26782692070,4108080,5065,6650.0,6530.0
2023-12-16,6500.0,6630.0,6490.0,6610.0,23959079640,3652540,5258,6620.0,6590.0
2023-12-18,6550.0,6690.0,6550.0,6610.0,32058613570,4846086,5893,6610.0,6590.0
2023-12-19,6600.0,6650.0,6510.0,6600.0,22337208170,3410391,4370,6610.0,6520.0
2023-12-20,6510.0,6560.0,6490.0,6580.0,22287419040,3426783,4915,6600.0,6510.0
2023-12-23,6580.0,6580.0,6470.0,6560.0,24945576530,3837849,7309,6580.0,6490.0
2023-12-24,6480.0,6500.0,6430.0,6530.0,29445681580,4561100,7452,6560.0,6460.0
2023-12-25,6450.0,6580.0,6410.0,6530.0,21264417710,3267848,6705,6530.0,6470.0
2023-12-26,6470.0,6490.0,6400.0,6510.0,26505709500,4128448,6997,6530.0,6420.0
2023-12-27,6400.0,6430.0,6370.0,6490.0,20232081640,3162822,22475,6510.0,6400.0
2023-12-30,6380.0,6590.0,6370.0,6490.0,32297319000,4966718,5960,6490.0,6500.0
2023-12-31,6490.0,6490.0,6400.0,6480.0,12598094010,1960903,4771,6490.0,6430.0
2024-01-01,6480.0,6480.0,6360.0,6470.0,17131255240,2679843,11936,6480.0,6370.0
2024-01-02,6360.0,6440.0,6360.0,6460.0,12020586800,1887117,3952,6470.0,6360.0
2024-01-03,6350.0,6400.0,6300.0,6450.0,12478412500,1967846,3641,6460.0,6350.0
2024-01-06,6310.0,6350.0,6280.0,6430.0,12774886490,2025368,4204,6450.0,6320.0
2024-01-07,6350.0,6360.0,6280.0,6410.0,15363481430,2434664,4186,6430.0,6290.0
2024-01-08,6250.0,6330.0,6250.0,6400.0,11998753340,1910702,4147,6410.0,6270.0
2024-01-09,6300.0,6300.0,6200.0,6380.0,14868561550,2384008,4890,6400.0,6260.0
2024-01-10,6270.0,6310.0,6240.0,6370.0,13822035700,2199948,4195,6380.0,6290.0
2024-01-13,6340.0,6340.0,6240.0,6360.0,15393941000,2457006,4766,6370.0,6250.0
2024-01-14,6240.0,6300.0,6210.0,6340.0,22829296680,3656640,4383,6360.0,6240.0
2024-01-15,6030.0,6030.0,6030.0,6030.0,126041845860,20902462,1671,6340.0,6030.0
