date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-02,2160.0,2160.0,2160.0,2160.0,40807200000,14574000,1,772.0,2160.0
2013-11-25,1543.0,1543.0,1543.0,1543.0,1654032000,827016,4,2160.0,1543.0
2013-12-11,1620.0,1620.0,1543.0,1544.0,203150000,101500,2,1543.0,1543.0
2013-12-22,1620.0,1620.0,1620.0,1620.0,7350000,3500,2,1544.0,1620.0
2013-12-25,1659.0,1659.0,1659.0,1659.0,10750000,5000,1,1620.0,1659.0
2014-01-01,1621.0,1621.0,1621.0,1621.0,8307354,3954,1,1659.0,1621.0
2014-01-04,1929.0,1929.0,1929.0,1929.0,5000000,2000,1,1621.0,1929.0
2014-01-05,2068.0,2068.0,2068.0,2068.0,35319720,13179,2,1929.0,2068.0
2014-01-07,3009.0,3009.0,2955.0,2960.0,55463820,14454,3,2068.0,2955.0
2014-01-13,2970.0,3009.0,2955.0,2983.0,31438430,8131,3,2960.0,3009.0
2014-01-21,3008.0,3008.0,3008.0,3008.0,2483663,637,1,2983.0,3008.0
2014-01-27,3007.0,3007.0,3007.0,3007.0,52802308,13546,4,3008.0,3007.0
2014-01-29,3007.0,3007.0,3007.0,3007.0,3703100,950,1,3007.0,3007.0
2014-02-10,2199.0,2199.0,2199.0,2199.0,41533050000,14573000,1,3007.0,2199.0
2014-02-17,2199.0,2199.0,2199.0,2199.0,150622500,52850,3,2199.0,2199.0
2014-02-18,2199.0,2199.0,2199.0,2199.0,57000000,20000,3,2199.0,2199.0
2014-02-19,2199.0,2199.0,2199.0,2199.0,142500000,50000,1,2199.0,2199.0
2014-02-23,2994.0,2994.0,2994.0,2994.0,1245480,321,1,2199.0,2994.0
2014-02-24,2245.0,2245.0,2237.0,2240.0,39190000,13500,2,2994.0,2237.0
2014-03-02,2240.0,2315.0,2240.0,2260.0,159041000,54307,3,2240.0,2315.0
2014-03-05,2315.0,2315.0,2315.0,2315.0,7500000,2500,1,2260.0,2315.0
2014-03-26,2315.0,2315.0,2276.0,2302.0,58175100,19497,3,2315.0,2276.0
2014-03-30,2280.0,2280.0,2280.0,2280.0,31154565,10543,3,2302.0,2280.0
2014-04-08,2276.0,2276.0,2276.0,2276.0,10861900,3682,1,2280.0,2276.0
2014-04-09,2245.0,2245.0,2245.0,2245.0,8459370,2907,1,2276.0,2245.0
2014-04-12,2240.0,2240.0,2240.0,2240.0,8439021,2907,1,2245.0,2240.0
2014-04-21,2271.0,2644.0,2271.0,2582.0,260980357,79073,2,2240.0,2644.0
2014-05-04,2582.0,2582.0,2582.0,2582.0,1989900,603,1,2582.0,2582.0
2014-05-05,2582.0,2582.0,2582.0,2582.0,330000,100,1,2582.0,2582.0
2014-05-07,2271.0,2271.0,2230.0,2252.0,127872842,44414,3,2582.0,2230.0
2014-05-10,2503.0,2503.0,2503.0,2503.0,3199170,1000,2,2252.0,2503.0
2014-05-17,2230.0,2230.0,2230.0,2230.0,156800000,55000,3,2503.0,2230.0
2014-05-18,2231.0,2231.0,2231.0,2231.0,37586508,13179,1,2230.0,2231.0
2014-05-21,2231.0,2347.0,2230.0,2303.0,712023959,241883,7,2231.0,2347.0
2014-05-31,2230.0,2347.0,2230.0,2230.0,425269096,149189,9,2303.0,2232.0
2014-06-02,2226.0,2226.0,2226.0,2226.0,27378520,9620,2,2230.0,2226.0
2014-06-03,2222.0,2222.0,2222.0,2222.0,36920000,13000,1,2226.0,2222.0
2014-06-11,2226.0,2230.0,2226.0,2227.0,399671480,140380,3,2222.0,2230.0
2014-06-14,2219.0,2230.0,2219.0,2223.0,389380000,137000,3,2227.0,2230.0
2014-06-21,2230.0,2230.0,2230.0,2230.0,5702000,2000,1,2223.0,2230.0
2014-06-23,2221.0,2347.0,2221.0,2226.0,464369839,163179,6,2230.0,2230.0
2014-06-28,2230.0,2230.0,2230.0,2230.0,187863794,65894,2,2226.0,2230.0
2014-06-29,2230.0,2230.0,2230.0,2230.0,285039106,100000,3,2230.0,2230.0
2014-07-02,2233.0,2233.0,2233.0,2233.0,4054100000,1420000,2,2230.0,2233.0
2014-07-13,2230.0,2230.0,2230.0,2230.0,28025330,9830,1,2233.0,2230.0
2014-07-15,2233.0,2233.0,2233.0,2233.0,432695235,151557,1,2230.0,2233.0
2014-07-16,2233.0,2233.0,2233.0,2233.0,301005505,105431,1,2233.0,2233.0
2014-07-26,2230.0,2231.0,2230.0,2230.0,220138561,77211,5,2233.0,2230.0
2014-08-02,2235.0,2347.0,2230.0,2237.0,90544000,31658,3,2230.0,2347.0
2014-08-03,2237.0,2347.0,2237.0,2296.0,252400000,86000,2,2237.0,2347.0
2014-08-05,2236.0,2236.0,2236.0,2236.0,42870000,15000,1,2296.0,2236.0
2014-08-06,2269.0,2269.0,2269.0,2269.0,10150000,3500,1,2236.0,2269.0
2014-08-10,2347.0,2347.0,2292.0,2323.0,122958000,41411,4,2269.0,2292.0
2014-08-11,2347.0,2347.0,2308.0,2345.0,284568956,94908,3,2323.0,2308.0
2014-08-16,2237.0,2238.0,2237.0,2237.0,158554800,55430,2,2345.0,2238.0
2014-08-17,2293.0,2293.0,2293.0,2293.0,146550000,50000,1,2237.0,2293.0
2014-08-18,2237.0,2237.0,2237.0,2237.0,51480000,18000,2,2293.0,2237.0
2014-08-20,2237.0,2237.0,2237.0,2237.0,75381020,26357,1,2237.0,2237.0
2014-08-27,2237.0,2238.0,2237.0,2238.0,71520000,25000,3,2237.0,2238.0
2014-08-30,2238.0,2238.0,2238.0,2238.0,2574900,900,1,2238.0,2238.0
2014-08-31,2237.0,2308.0,2237.0,2297.0,1341580,457,2,2238.0,2308.0
2014-09-01,2238.0,2238.0,2238.0,2238.0,1070014,374,1,2297.0,2238.0
2014-09-14,2238.0,2238.0,2238.0,2238.0,18851129,6589,1,2238.0,2238.0
2014-09-15,2339.0,2339.0,2339.0,2339.0,1979380,662,1,2238.0,2339.0
2014-09-21,2339.0,2347.0,2230.0,2298.0,52372045,17834,5,2339.0,2238.0
2014-09-30,2191.0,2242.0,2191.0,2192.0,84918778,30308,5,2298.0,2191.0
2014-10-01,2191.0,2237.0,2191.0,2222.0,85210000,30000,2,2192.0,2237.0
2014-10-04,2237.0,2237.0,2191.0,2221.0,85182683,30000,2,2222.0,2191.0
2014-10-06,2191.0,2191.0,2191.0,2191.0,280100,100,1,2221.0,2191.0
2014-10-07,2191.0,2191.0,2191.0,2191.0,339554026,121226,3,2191.0,2191.0
2014-10-11,2190.0,2190.0,2190.0,2190.0,280000,100,1,2191.0,2190.0
2014-10-18,2330.0,2613.0,2330.0,2385.0,18296000,6000,3,2190.0,2613.0
2014-10-21,2042.0,2613.0,2042.0,2092.0,197578340,73894,6,2385.0,2386.0
2014-10-22,2046.0,2347.0,2046.0,2344.0,1513075000,505000,2,2092.0,2347.0
2014-10-25,2339.0,2347.0,2339.0,2340.0,14638060,4894,3,2344.0,2347.0
2014-10-26,2190.0,2190.0,2190.0,2190.0,171432800,61226,1,2340.0,2190.0
2014-10-27,2052.0,2268.0,2052.0,2124.0,54788158,20179,3,2190.0,2268.0
2014-10-28,2230.0,2230.0,2230.0,2230.0,142550000,50000,1,2124.0,2230.0
2014-10-29,2190.0,2190.0,2190.0,2190.0,41367200,14774,3,2230.0,2190.0
2014-11-01,2112.0,2268.0,2112.0,2181.0,212842043,76342,5,2190.0,2268.0
2014-11-09,2050.0,2054.0,2050.0,2051.0,90736220,34606,4,2181.0,2053.0
2014-11-10,2230.0,2347.0,2230.0,2261.0,42825600,14816,3,2051.0,2347.0
2014-11-11,2347.0,2347.0,2347.0,2347.0,3000000,1000,1,2261.0,2347.0
2014-11-16,2230.0,2230.0,2190.0,2219.0,51360650,18109,4,2347.0,2230.0
2014-11-17,2323.0,2347.0,2323.0,2345.0,75258000,25106,3,2219.0,2347.0
2014-11-18,2269.0,2355.0,2269.0,2289.0,77123670,26357,5,2345.0,2355.0
2014-11-19,2356.0,2356.0,2270.0,2309.0,114361430,38743,4,2289.0,2270.0
2014-11-22,2347.0,2347.0,2347.0,2347.0,138771000,46257,1,2309.0,2347.0
2014-11-24,2347.0,2348.0,2347.0,2347.0,84547000,28179,3,2347.0,2348.0
2014-11-25,2269.0,2269.0,2230.0,2234.0,128500000,45000,2,2347.0,2230.0
2014-11-29,2269.0,2269.0,2198.0,2268.0,119214820,41126,3,2234.0,2198.0
2014-11-30,2269.0,2269.0,2112.0,2245.0,226821080,79027,4,2268.0,2190.0
2014-12-01,2347.0,2347.0,2347.0,2347.0,30000000,10000,1,2245.0,2347.0
2014-12-02,2347.0,2417.0,2347.0,2406.0,97403130,31677,3,2347.0,2417.0
2014-12-06,2112.0,2198.0,2073.0,2128.0,86166000,31677,7,2406.0,2073.0
2014-12-07,2394.0,2394.0,2394.0,2394.0,3060000,1000,1,2128.0,2394.0
2014-12-09,2394.0,2394.0,2394.0,2394.0,489600,160,1,2394.0,2394.0
2014-12-15,2136.0,2136.0,2112.0,2124.0,108610000,40000,4,2394.0,2112.0
2014-12-27,2190.0,2394.0,2190.0,2293.0,682263210,232813,18,2124.0,2308.0
2014-12-29,2112.0,2347.0,2112.0,2176.0,257020400,92400,9,2293.0,2347.0
2014-12-30,2377.0,2377.0,2377.0,2377.0,3038000,1000,1,2176.0,2377.0
2014-12-31,2377.0,2621.0,2377.0,2491.0,286489143,89976,20,2377.0,2598.0
2015-01-03,2433.0,2433.0,2347.0,2377.0,126707425,41701,5,2491.0,2348.0
2015-01-04,2519.0,2519.0,2308.0,2317.0,107920935,36435,3,2377.0,2308.0
2015-01-07,2230.0,2230.0,2230.0,2230.0,10482300,3678,2,2317.0,2230.0
2015-01-10,2308.0,2308.0,2308.0,2308.0,5900000,2000,1,2230.0,2308.0
2015-01-11,2307.0,2348.0,2307.0,2336.0,151494635,50735,4,2308.0,2348.0
2015-01-12,2330.0,2330.0,2327.0,2329.0,20840000,7000,2,2336.0,2327.0
2015-01-17,2237.0,2449.0,2237.0,2276.0,97440000,33500,3,2329.0,2449.0
2015-01-18,2230.0,2230.0,2230.0,2230.0,26860800,9422,3,2276.0,2230.0
2015-01-19,2347.0,2347.0,2347.0,2347.0,3000000,1000,1,2230.0,2347.0
2015-01-20,2151.0,2151.0,2075.0,2104.0,221104000,82236,12,2347.0,2113.0
2015-01-21,2073.0,2073.0,2034.0,2049.0,29804350,11379,3,2104.0,2034.0
2015-01-24,1964.0,1964.0,1964.0,1964.0,37655000,15000,2,2049.0,1964.0
2015-01-25,1698.0,1956.0,1698.0,1859.0,19010000,8000,2,1964.0,1956.0
2015-01-26,2260.0,2347.0,1964.0,1986.0,128816529,50765,4,1859.0,2260.0
2015-02-01,1702.0,1702.0,1701.0,1701.0,13046000,6000,2,1986.0,1701.0
2015-02-02,2237.0,2237.0,2034.0,2058.0,44731360,17000,3,1701.0,2112.0
2015-02-07,1901.0,1902.0,1838.0,1877.0,33585000,14000,4,2058.0,1838.0
2015-02-08,1987.0,1995.0,1721.0,1828.0,116853000,50000,9,1877.0,1870.0
2015-02-09,1878.0,1878.0,1749.0,1757.0,79340408,35328,4,1828.0,1749.0
2015-02-15,1878.0,1878.0,1878.0,1878.0,1906394,794,1,1757.0,1878.0
2015-02-16,1878.0,1878.0,1878.0,1878.0,33600000,14000,2,1878.0,1878.0
2015-02-18,1917.0,1917.0,1917.0,1917.0,49000000,20000,1,1878.0,1917.0
2015-02-21,1948.0,1948.0,1948.0,1948.0,12450000,5000,1,1917.0,1948.0
2015-02-23,1878.0,1878.0,1878.0,1878.0,72000000,30000,1,1948.0,1878.0
2015-03-04,1924.0,1924.0,1756.0,1903.0,110165135,45271,5,1878.0,1917.0
2015-03-08,1862.0,1862.0,1862.0,1862.0,119000000,50000,1,1903.0,1862.0
2015-03-09,1756.0,1838.0,1749.0,1757.0,187853135,83631,8,1862.0,1838.0
2015-03-11,1878.0,1878.0,1878.0,1878.0,24000000,10000,1,1757.0,1878.0
2015-03-15,1886.0,1886.0,1885.0,1885.0,24105000,10000,2,1878.0,1885.0
2015-03-18,1878.0,1878.0,1878.0,1878.0,40800000,17000,1,1885.0,1878.0
2015-03-31,1760.0,1878.0,1760.0,1871.0,68400000,28600,2,1878.0,1878.0
2015-04-04,1878.0,1878.0,1878.0,1878.0,177600000,74000,3,1871.0,1878.0
2015-04-05,1998.0,1999.0,1998.0,1998.0,153270000,60000,2,1878.0,1999.0
2015-04-06,2136.0,2217.0,1995.0,2190.0,180260800,64400,6,1998.0,2133.0
2015-04-08,1995.0,1995.0,1995.0,1995.0,255000,100,1,2190.0,1995.0
2015-04-15,2172.0,2172.0,2172.0,2172.0,10800000,4000,1,1995.0,2172.0
2015-04-20,1890.0,1891.0,1890.0,1891.0,141050000,60000,2,2172.0,1891.0
2015-04-26,1890.0,1890.0,1890.0,1890.0,12925000,5500,2,1891.0,1890.0
2015-04-27,1894.0,1894.0,1890.0,1894.0,130676000,55500,5,1890.0,1890.0
2015-05-04,1890.0,1890.0,1890.0,1890.0,11750000,5000,1,1894.0,1890.0
2015-05-06,1890.0,1890.0,1890.0,1890.0,11750000,5000,1,1890.0,1890.0
2015-05-11,1649.0,1649.0,1649.0,1649.0,27016950,13179,1,1890.0,1649.0
2015-05-12,1729.0,1730.0,1729.0,1729.0,260954700,121358,5,1649.0,1730.0
2015-05-13,1850.0,1850.0,1850.0,1850.0,198623400,86358,3,1729.0,1850.0
2015-05-17,1881.0,1890.0,1881.0,1884.0,70260000,30000,2,1850.0,1890.0
2015-05-18,1654.0,1654.0,1654.0,1654.0,5481296,2666,1,1884.0,1654.0
2015-05-26,1809.0,1886.0,1681.0,1845.0,115594006,50399,8,1654.0,1681.0
2015-05-27,1885.0,1885.0,1885.0,1885.0,23440000,10000,1,1845.0,1885.0
2015-05-30,1737.0,1885.0,1737.0,1882.0,97092000,41500,4,1885.0,1885.0
2015-05-31,1738.0,2413.0,1737.0,2380.0,311019160,105101,3,1882.0,2413.0
2015-06-01,2413.0,2413.0,1754.0,2410.0,903243840,301488,2,2380.0,1754.0
2015-06-02,1881.0,1886.0,1880.0,1882.0,152073250,65000,9,2410.0,1886.0
2015-06-06,1885.0,1886.0,1885.0,1885.0,105485002,45000,7,1882.0,1886.0
2015-06-07,1850.0,1850.0,1850.0,1850.0,4600000,2000,1,1885.0,1850.0
2015-06-08,1885.0,1885.0,1885.0,1885.0,11715000,5000,1,1850.0,1885.0
2015-06-09,1881.0,1881.0,1881.0,1881.0,37424000,16000,3,1885.0,1881.0
2015-06-10,2413.0,2413.0,2413.0,2413.0,600000000,200000,1,1881.0,2413.0
2015-06-14,1873.0,1873.0,1754.0,1850.0,106973831,46511,6,2413.0,1846.0
2015-06-16,1810.0,1810.0,1810.0,1810.0,7845750,3487,1,1850.0,1810.0
2015-06-17,1848.0,1848.0,1848.0,1848.0,187987838,81821,6,1810.0,1848.0
