date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-07-09,100.0,100.0,95.0,100.0,3137838900,2416253,291,77.0,95.0
2011-07-13,95.0,95.0,95.0,95.0,1235000,1000,2,100.0,95.0
2011-07-16,90.0,90.0,90.0,90.0,1174000,1000,1,95.0,90.0
2011-07-24,86.0,86.0,86.0,86.0,1116000,1000,1,90.0,86.0
2011-07-25,82.0,82.0,82.0,82.0,25739860,24260,3,86.0,82.0
2011-07-26,77.0,77.0,77.0,77.0,10080000,10000,1,82.0,77.0
2011-07-30,74.0,74.0,74.0,74.0,958000,1000,1,77.0,74.0
2011-07-31,70.0,70.0,70.0,70.0,27330000,30000,5,74.0,70.0
2011-08-01,67.0,71.0,67.0,67.0,639310500,730030,99,70.0,67.0
2011-08-02,64.0,71.0,64.0,70.0,177420201,196000,36,67.0,71.0
2011-08-03,73.0,73.0,66.0,67.0,467188660,538581,80,70.0,66.0
2011-08-06,69.0,69.0,63.0,64.0,261423360,315740,53,67.0,63.0
2011-08-07,61.0,66.0,61.0,62.0,48604000,60000,10,64.0,62.0
2011-08-08,65.0,65.0,65.0,65.0,34000000,40000,4,62.0,65.0
2011-08-09,69.0,69.0,69.0,69.0,38356,43,2,65.0,69.0
2011-08-10,72.0,72.0,72.0,72.0,936000,1000,1,69.0,72.0
2011-08-13,75.0,75.0,75.0,75.0,4910000,5000,1,72.0,75.0
2011-08-14,79.0,79.0,79.0,79.0,5155000,5000,2,75.0,79.0
2011-08-15,83.0,83.0,83.0,83.0,5410000,5000,1,79.0,83.0
2011-08-16,87.0,87.0,87.0,87.0,5680000,5000,1,83.0,87.0
2011-08-17,92.0,92.0,92.0,92.0,1192000,1000,1,87.0,92.0
2011-08-20,96.0,96.0,96.0,96.0,170136000,136000,15,92.0,96.0
2011-08-21,101.0,101.0,101.0,101.0,4332900,3300,1,96.0,101.0
2011-08-23,106.0,106.0,106.0,106.0,1102400000,800000,98,101.0,106.0
2011-08-24,111.0,111.0,111.0,111.0,12106611770,8372495,1189,106.0,111.0
2011-08-27,117.0,117.0,117.0,117.0,15180000,10000,2,111.0,117.0
2011-08-28,122.0,122.0,117.0,122.0,19452249893,12226161,2558,117.0,117.0
2011-08-29,116.0,120.0,116.0,116.0,8545515799,5640733,1251,122.0,116.0
2011-08-30,119.0,122.0,115.0,121.0,15964225574,10095198,2129,116.0,122.0
2011-09-03,126.0,128.0,124.0,127.0,2409786460,1462853,257,121.0,128.0
2011-09-04,133.0,133.0,132.0,133.0,22606525089,13075101,2596,127.0,133.0
2011-09-05,139.0,139.0,139.0,139.0,59895000,33000,7,133.0,139.0
2011-09-06,146.0,146.0,146.0,146.0,150948390,79238,25,139.0,146.0
2011-10-04,147.0,167.0,141.0,156.0,21579786244,10639808,2705,146.0,164.0
2011-10-05,164.0,164.0,161.0,163.0,12851911547,6038283,1512,156.0,164.0
2011-10-08,163.0,167.0,155.0,157.0,13407810423,6543535,1725,163.0,155.0
2011-10-09,154.0,164.0,150.0,157.0,9177766540,4489129,1292,157.0,157.0
2011-10-10,161.0,165.0,161.0,165.0,11313828378,5273818,713,157.0,163.0
2011-10-11,165.0,173.0,165.0,169.0,15888146416,7201319,1478,165.0,166.0
2011-10-12,169.0,169.0,164.0,166.0,4850891653,2248647,596,169.0,167.0
2011-10-15,171.0,172.0,160.0,165.0,5496252558,2564670,643,166.0,160.0
2011-10-16,160.0,164.0,156.0,157.0,2863599645,1404092,382,165.0,156.0
2011-10-17,156.0,160.0,152.0,155.0,4660091615,2310193,527,157.0,156.0
2011-10-18,160.0,161.0,154.0,157.0,4247123613,2075779,474,155.0,154.0
2011-10-19,159.0,159.0,152.0,153.0,2157894862,1080720,325,157.0,153.0
2011-10-22,155.0,155.0,146.0,148.0,3183359936,1650706,411,153.0,148.0
2011-10-23,146.0,150.0,142.0,146.0,2745988852,1445548,411,148.0,148.0
2011-10-24,149.0,149.0,139.0,140.0,4148897421,2273428,365,146.0,141.0
2011-10-25,139.0,145.0,139.0,142.0,3054973085,1652021,196,140.0,143.0
2011-10-26,144.0,148.0,139.0,143.0,1327256592,711931,102,142.0,141.0
2011-10-29,146.0,146.0,140.0,142.0,635988980,344389,83,143.0,143.0
2011-10-30,144.0,144.0,139.0,141.0,665569946,362289,67,142.0,142.0
2011-10-31,139.0,142.0,138.0,139.0,1109543805,613834,95,141.0,140.0
2011-11-01,142.0,142.0,137.0,138.0,1648975852,916674,131,139.0,139.0
2011-11-02,145.0,145.0,145.0,145.0,1466573856,776787,62,138.0,145.0
2011-11-05,152.0,152.0,143.0,151.0,8069332902,4114653,372,145.0,147.0
2011-11-06,149.0,149.0,143.0,144.0,1371562970,733310,67,151.0,143.0
2011-11-08,139.0,141.0,137.0,137.0,3028442144,1693006,235,144.0,137.0
2011-11-09,139.0,144.0,139.0,144.0,1204830128,643607,69,137.0,144.0
2011-11-12,148.0,150.0,146.0,149.0,3454202002,1786001,214,144.0,148.0
2011-11-13,143.0,147.0,141.0,143.0,840200687,450915,87,149.0,142.0
2011-11-14,145.0,150.0,139.0,147.0,1634286282,851440,112,143.0,147.0
2011-11-16,150.0,150.0,143.0,145.0,524821700,278350,57,147.0,143.0
2011-11-19,150.0,150.0,145.0,147.0,1483591824,775402,103,145.0,146.0
2011-11-20,146.0,146.0,141.0,145.0,1888305437,1002355,109,147.0,146.0
2011-11-21,147.0,147.0,142.0,142.0,347088590,187202,25,145.0,143.0
2011-11-22,140.0,144.0,135.0,136.0,2800403140,1584889,255,142.0,135.0
2011-11-23,130.0,138.0,129.0,131.0,2962480001,1740325,212,136.0,131.0
2011-11-26,134.0,134.0,125.0,129.0,795145898,473020,56,131.0,125.0
2011-11-27,133.0,133.0,123.0,125.0,2364450251,1454325,184,129.0,123.0
2011-11-28,119.0,121.0,119.0,119.0,1920415530,1239789,177,125.0,119.0
2011-11-29,125.0,125.0,125.0,125.0,603691000,371500,51,119.0,125.0
2011-11-30,125.0,125.0,119.0,119.0,1592687725,1026447,143,125.0,119.0
2011-12-03,121.0,125.0,121.0,123.0,1534691822,955451,137,119.0,125.0
2011-12-04,128.0,130.0,125.0,129.0,1414798426,841015,139,123.0,130.0
2011-12-07,134.0,136.0,134.0,135.0,1120962666,636501,64,129.0,136.0
2011-12-10,142.0,142.0,132.0,139.0,2261931753,1247241,143,135.0,133.0
2011-12-11,138.0,138.0,132.0,134.0,244016500,140000,18,139.0,132.0
2011-12-12,129.0,137.0,129.0,131.0,1968218910,1155325,126,134.0,134.0
2011-12-13,131.0,137.0,131.0,134.0,1769004876,1012720,142,131.0,131.0
2011-12-14,135.0,135.0,129.0,131.0,1745010038,1023893,118,134.0,129.0
2011-12-17,129.0,129.0,124.0,125.0,2631765266,1622326,160,131.0,125.0
2011-12-18,128.0,131.0,128.0,130.0,1628627194,965198,142,125.0,131.0
2011-12-19,133.0,134.0,125.0,129.0,1518769415,905850,117,130.0,127.0
2011-12-20,130.0,130.0,122.0,123.0,2433530463,1519251,185,129.0,123.0
2011-12-21,120.0,123.0,117.0,119.0,3061577617,1971133,194,123.0,121.0
2011-12-24,122.0,124.0,120.0,122.0,816825340,514624,107,119.0,122.0
2011-12-25,125.0,125.0,118.0,119.0,1248230971,805665,117,122.0,118.0
2011-12-26,117.0,117.0,113.0,114.0,1961117982,1325765,151,119.0,114.0
2011-12-27,113.0,119.0,113.0,117.0,1257409688,822357,103,114.0,116.0
2011-12-28,120.0,123.0,116.0,121.0,1557355360,990450,108,117.0,123.0
2011-12-31,126.0,127.0,126.0,127.0,4472265022,2710977,257,121.0,127.0
2012-01-01,133.0,133.0,122.0,132.0,7168128706,4164392,326,127.0,128.0
2012-01-02,127.0,131.0,126.0,128.0,1028979575,616455,92,132.0,130.0
2012-01-03,130.0,134.0,125.0,131.0,1093130110,642506,93,128.0,130.0
2012-01-04,130.0,131.0,126.0,128.0,2038041134,1227416,134,131.0,126.0
2012-01-07,126.0,128.0,121.0,125.0,504895400,309710,35,128.0,121.0
2012-01-08,119.0,121.0,119.0,119.0,2149217600,1386893,131,125.0,119.0
2012-01-09,116.0,122.0,116.0,119.0,302393605,195010,25,119.0,121.0
2012-01-10,116.0,121.0,115.0,117.0,521978227,343517,40,119.0,115.0
2012-01-11,117.0,119.0,113.0,116.0,612869708,405345,52,117.0,114.0
2012-01-15,118.0,119.0,116.0,118.0,690060000,450000,30,116.0,116.0
2012-01-16,117.0,120.0,113.0,116.0,1454594335,961527,69,118.0,113.0
2012-01-17,115.0,115.0,110.0,112.0,912825450,626817,57,116.0,110.0
2012-01-18,109.0,117.0,108.0,115.0,1613477141,1082463,115,112.0,117.0
2012-01-21,119.0,119.0,112.0,117.0,148520000,97500,11,115.0,116.0
2012-01-23,117.0,118.0,115.0,117.0,762524440,502768,46,117.0,115.0
2012-01-25,115.0,122.0,115.0,119.0,1339698762,863135,97,117.0,122.0
2012-01-28,125.0,125.0,125.0,125.0,214277031,131539,9,119.0,125.0
2012-01-29,131.0,131.0,129.0,131.0,5713677597,3349075,332,125.0,131.0
2012-01-30,138.0,138.0,138.0,138.0,837360558,467538,32,131.0,138.0
2012-01-31,144.0,144.0,144.0,144.0,4025651520,2141304,80,138.0,144.0
2012-02-01,142.0,144.0,137.0,141.0,2337011439,1273733,115,144.0,137.0
2012-02-04,138.0,138.0,134.0,135.0,169732704,96916,12,141.0,134.0
2012-02-05,131.0,134.0,128.0,129.0,1467200843,872020,66,135.0,128.0
2012-02-06,133.0,133.0,123.0,128.0,1045967727,629702,45,129.0,123.0
2012-02-07,131.0,131.0,129.0,130.0,1202865900,708507,77,128.0,129.0
2012-02-08,127.0,127.0,125.0,126.0,532446000,324000,20,130.0,126.0
2012-02-12,129.0,131.0,125.0,129.0,419752000,250500,18,126.0,125.0
2012-02-13,123.0,127.0,122.0,123.0,765611224,478723,60,129.0,122.0
2012-02-14,123.0,124.0,117.0,120.0,1973993600,1268000,92,123.0,119.0
2012-02-15,120.0,126.0,120.0,125.0,2257298856,1392018,120,120.0,126.0
2012-02-18,131.0,131.0,131.0,131.0,133600350,78450,5,125.0,131.0
2012-02-19,137.0,137.0,137.0,137.0,846618000,473500,37,131.0,137.0
2012-02-20,144.0,144.0,133.0,139.0,2080198400,1146120,84,137.0,134.0
2012-02-21,133.0,137.0,133.0,133.0,2217697878,1279727,99,139.0,133.0
2012-02-22,138.0,138.0,132.0,138.0,1453164858,812050,54,133.0,138.0
2012-02-25,138.0,144.0,137.0,140.0,1599705175,880825,77,138.0,143.0
2012-02-26,135.0,146.0,135.0,144.0,2840868290,1519253,129,140.0,141.0
2012-02-27,144.0,148.0,144.0,146.0,1159979200,610400,29,144.0,146.0
2012-02-28,139.0,147.0,139.0,146.0,2861945890,1507906,82,146.0,147.0
2012-02-29,151.0,153.0,147.0,152.0,2330359530,1174438,91,146.0,153.0
2012-03-03,160.0,160.0,160.0,160.0,78112500,37500,4,152.0,160.0
2012-03-04,160.0,161.0,152.0,156.0,3910532129,1928007,126,160.0,152.0
2012-03-05,148.0,148.0,148.0,148.0,3044488620,1579840,171,156.0,148.0
2012-03-06,141.0,142.0,141.0,141.0,1117493275,609610,48,148.0,141.0
2012-03-12,154.0,154.0,139.0,149.0,1690660000,870000,35,141.0,139.0
2012-03-13,150.0,151.0,142.0,145.0,533826315,282692,26,149.0,142.0
2012-03-14,147.0,147.0,139.0,142.0,156754500,85000,14,145.0,139.0
2012-03-17,135.0,135.0,135.0,135.0,1564536000,893000,25,142.0,135.0
2012-03-18,141.0,141.0,141.0,141.0,47141564,25649,2,135.0,141.0
2012-03-24,140.0,148.0,140.0,143.0,28507100,15279,11,141.0,146.0
2012-03-25,147.0,147.0,141.0,144.0,153826410,82000,13,143.0,141.0
2012-03-26,142.0,145.0,141.0,143.0,68747000,37000,3,144.0,145.0
2012-03-27,145.0,145.0,145.0,145.0,68078000,36000,3,143.0,145.0
2012-03-28,152.0,152.0,142.0,147.0,183214845,95679,24,145.0,146.0
2012-04-02,147.0,154.0,147.0,153.0,1445990263,728095,57,147.0,153.0
2012-04-03,154.0,154.0,146.0,147.0,442676000,230950,29,153.0,146.0
2012-04-04,153.0,153.0,153.0,153.0,1990000,1000,1,147.0,153.0
2012-04-07,150.0,150.0,149.0,150.0,563313800,288884,28,153.0,150.0
2012-04-08,147.0,147.0,144.0,145.0,266843864,141440,22,150.0,144.0
2012-04-09,139.0,150.0,139.0,148.0,945132576,489134,43,145.0,146.0
2012-04-10,146.0,146.0,143.0,145.0,702317008,372684,21,148.0,143.0
