date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-02-27,471.0,471.0,471.0,471.0,196000000000,49000000,1232,118.0,471.0
2019-03-02,495.0,555.0,495.0,519.0,29386334190,6664931,325,471.0,555.0
2019-03-04,607.0,695.0,607.0,620.0,52641661450,9999368,710,519.0,695.0
2019-03-06,718.0,783.0,718.0,742.0,75429934000,11974661,803,620.0,783.0
2019-03-09,825.0,844.0,825.0,831.0,82494797015,11688938,928,742.0,844.0
2019-03-11,836.0,836.0,766.0,831.0,79847231500,11322287,971,831.0,766.0
2019-03-13,707.0,707.0,707.0,707.0,34822086000,5803681,375,831.0,707.0
2019-03-16,707.0,707.0,614.0,684.0,22727864460,3913604,295,707.0,614.0
2019-03-18,660.0,689.0,660.0,661.0,105991077400,18887729,927,684.0,689.0
2019-03-25,689.0,704.0,689.0,690.0,23305151316,3977955,284,661.0,704.0
2019-03-27,689.0,689.0,652.0,682.0,13493678720,2328721,254,690.0,652.0
2019-03-30,683.0,683.0,654.0,668.0,6430369950,1133989,107,682.0,654.0
2019-04-06,668.0,668.0,618.0,625.0,6765897870,1274550,97,668.0,618.0
2019-04-08,648.0,648.0,632.0,648.0,44238897000,8046960,526,625.0,632.0
2019-04-10,703.0,703.0,674.0,694.0,5334971380,905454,88,648.0,674.0
2019-04-13,703.0,703.0,654.0,679.0,5643532650,978369,93,694.0,654.0
2019-04-15,636.0,663.0,636.0,639.0,51128146908,9425215,556,679.0,663.0
2019-04-17,658.0,658.0,642.0,654.0,10120925500,1822884,117,639.0,642.0
2019-04-20,636.0,654.0,636.0,639.0,31028040800,5720316,309,654.0,654.0
2019-04-22,667.0,684.0,667.0,673.0,23908975435,4187031,249,639.0,684.0
2019-04-24,707.0,707.0,677.0,691.0,6103054787,1040680,75,673.0,677.0
2019-04-27,665.0,671.0,665.0,666.0,14281187600,2524805,168,691.0,671.0
2019-05-08,671.0,703.0,671.0,675.0,23427546180,4086608,303,666.0,703.0
2019-05-11,695.0,695.0,689.0,695.0,18562960500,3147025,254,675.0,689.0
2019-05-13,707.0,753.0,707.0,717.0,7257365912,1192092,136,695.0,753.0
2019-05-15,796.0,796.0,796.0,796.0,44779693400,6624215,534,717.0,796.0
2019-05-18,836.0,836.0,789.0,831.0,2658282300,376625,75,796.0,789.0
2019-05-20,786.0,786.0,742.0,767.0,5417540100,832214,94,831.0,742.0
2019-05-22,742.0,742.0,714.0,736.0,20709236700,3313589,226,767.0,714.0
2019-05-25,707.0,707.0,695.0,705.0,4641591658,775318,104,736.0,695.0
2019-05-29,707.0,707.0,654.0,701.0,15631412754,2625690,207,705.0,654.0
2019-06-01,705.0,705.0,660.0,685.0,1999169428,343728,60,701.0,660.0
2019-06-03,648.0,648.0,647.0,648.0,19350823650,3518794,360,685.0,647.0
2019-06-08,705.0,705.0,671.0,701.0,4888860230,821884,82,648.0,671.0
2019-06-10,685.0,685.0,671.0,680.0,5734978740,993109,101,701.0,671.0
2019-06-12,660.0,671.0,660.0,661.0,15905174200,2831875,496,680.0,671.0
2019-06-26,783.0,806.0,783.0,784.0,28413777040,4466204,594,661.0,806.0
2019-07-01,803.0,888.0,803.0,838.0,11632500452,1712002,225,784.0,888.0
2019-07-03,925.0,1048.0,925.0,977.0,8479921227,1069710,164,838.0,1048.0
2019-07-06,1074.0,1074.0,1071.0,1074.0,36030314040,4136986,695,977.0,1071.0
2019-07-08,1039.0,1039.0,986.0,1029.0,19607621682,2347818,324,1074.0,986.0
2019-07-10,1035.0,1035.0,955.0,981.0,3737055300,469796,72,1029.0,955.0
2019-07-13,961.0,961.0,900.0,912.0,2752525700,371874,63,981.0,900.0
2019-07-15,888.0,925.0,888.0,892.0,9985922584,1379702,218,912.0,925.0
2019-07-17,931.0,931.0,924.0,930.0,8189470600,1085276,154,892.0,924.0
2019-07-20,949.0,949.0,863.0,867.0,2200050300,312713,56,930.0,863.0
2019-07-22,888.0,888.0,888.0,888.0,7352920800,1021239,166,867.0,888.0
2019-07-24,906.0,906.0,863.0,878.0,2212064400,310638,57,888.0,863.0
2019-07-27,888.0,888.0,863.0,882.0,5234392400,731782,152,878.0,863.0
2019-07-29,863.0,863.0,844.0,861.0,7503235600,1074220,208,882.0,844.0
2019-07-31,851.0,863.0,851.0,853.0,6196251100,895659,246,861.0,863.0
2019-08-03,863.0,881.0,863.0,864.0,6992793775,997343,193,853.0,881.0
2019-08-05,863.0,900.0,863.0,866.0,8478230783,1206421,227,864.0,900.0
2019-08-07,901.0,974.0,901.0,924.0,3800015577,507125,110,866.0,974.0
2019-08-10,1022.0,1103.0,1022.0,1024.0,180393197926,21708703,1101,924.0,1103.0
2019-08-14,1235.0,1235.0,1109.0,1190.0,19051331580,1972572,301,1024.0,1109.0
2019-08-17,986.0,1109.0,986.0,1003.0,47600415000,5853018,332,1190.0,1109.0
2019-08-19,1048.0,1109.0,1048.0,1084.0,10421583630,1184960,118,1003.0,1109.0
2019-08-21,1156.0,1233.0,1156.0,1161.0,108448592279,11516209,650,1084.0,1233.0
2019-08-24,1350.0,1394.0,1350.0,1351.0,65687313290,5991249,557,1161.0,1394.0
2019-08-26,1453.0,1453.0,1406.0,1448.0,22601833068,1924313,464,1351.0,1406.0
2019-08-28,1233.0,1294.0,1233.0,1239.0,88598292500,8815380,623,1448.0,1294.0
2019-08-31,1294.0,1294.0,1270.0,1294.0,86411478100,8232867,677,1239.0,1270.0
2019-09-02,1255.0,1255.0,1255.0,1255.0,57128513952,5610736,262,1294.0,1255.0
2019-09-04,1239.0,1270.0,1239.0,1240.0,22770078400,2262873,287,1255.0,1270.0
2019-09-16,1315.0,1315.0,1315.0,1315.0,1117798650,104810,12,1240.0,1315.0
2019-09-17,1354.0,1354.0,1275.0,1324.0,24965198526,2323828,371,1315.0,1275.0
