date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-23,27.0,31.0,26.0,31.0,7908850,1050,6,27.0,31.0
2001-04-30,32.0,32.0,32.0,32.0,8733086,1006,3,31.0,32.0
2001-05-01,33.0,33.0,33.0,33.0,4449000,500,6,32.0,33.0
2001-05-02,34.0,34.0,34.0,34.0,4560000,500,4,33.0,34.0
2001-05-07,35.0,35.0,35.0,35.0,9348000,1000,5,34.0,35.0
2001-05-08,35.0,35.0,35.0,35.0,9581000,1000,7,35.0,35.0
2001-05-09,36.0,36.0,36.0,36.0,4838000,500,5,35.0,36.0
2001-05-12,36.0,36.0,36.0,36.0,4886000,500,4,36.0,36.0
2001-05-15,37.0,37.0,37.0,37.0,5427950,550,6,36.0,37.0
2001-05-16,37.0,37.0,37.0,37.0,9967000,1000,3,37.0,37.0
2001-05-19,37.0,37.0,20.0,37.0,2574477036,257697,111,37.0,37.0
2001-05-28,38.0,38.0,38.0,38.0,10166000,1000,3,37.0,38.0
2001-05-29,38.0,38.0,38.0,38.0,10267000,1000,2,38.0,38.0
2001-05-30,38.0,38.0,38.0,38.0,10369000,1000,1,38.0,38.0
2001-06-06,39.0,39.0,39.0,39.0,10472000,1000,2,38.0,39.0
2001-06-09,39.0,39.0,39.0,39.0,57744960,5460,4,39.0,39.0
2001-06-11,40.0,40.0,40.0,40.0,13725085,1285,2,39.0,40.0
2001-06-12,40.0,40.0,40.0,40.0,11865700,1100,2,40.0,40.0
2001-06-13,40.0,40.0,40.0,40.0,27235000,2500,3,40.0,40.0
2001-06-16,40.0,40.0,40.0,40.0,10895000,1000,1,40.0,40.0
2001-06-18,40.0,41.0,40.0,41.0,2753126200,250218,69,40.0,41.0
2001-06-19,41.0,41.0,41.0,41.0,24760000,2250,3,41.0,41.0
2001-06-23,41.0,41.0,41.0,41.0,38591028,3507,2,41.0,41.0
2001-06-24,41.0,41.0,41.0,41.0,3345141,304,2,41.0,41.0
2001-06-27,41.0,41.0,41.0,41.0,36935195,3355,2,41.0,41.0
2001-07-02,41.0,41.0,41.0,41.0,22177500,2000,3,41.0,41.0
2001-07-03,41.0,41.0,41.0,41.0,58352000,5210,6,41.0,41.0
2001-07-04,41.0,41.0,41.0,41.0,14481600,1293,2,41.0,41.0
2001-07-07,41.0,41.0,41.0,41.0,17855394,1594,2,41.0,41.0
2001-07-08,42.0,42.0,42.0,42.0,31380100,2777,5,41.0,42.0
2001-07-09,42.0,42.0,42.0,42.0,11400000,1000,2,42.0,42.0
2001-07-14,42.0,43.0,42.0,43.0,1627805944,141461,52,42.0,43.0
2001-08-12,48.0,48.0,43.0,48.0,143505000,11135,9,43.0,48.0
2001-08-15,49.0,49.0,49.0,49.0,37270025,2797,4,48.0,49.0
