date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-10-28,75.0,75.0,75.0,75.0,9388519989,1500000,875,0.0,75.0
2003-10-29,79.0,79.0,79.0,79.0,9856500000,1500000,619,75.0,79.0
2003-11-02,83.0,83.0,83.0,83.0,6912749707,1001993,1105,79.0,83.0
2003-11-04,87.0,87.0,87.0,87.0,7228564701,998007,694,83.0,87.0
2003-11-05,91.0,91.0,91.0,91.0,7610019300,1000660,578,87.0,91.0
2003-11-08,96.0,96.0,96.0,96.0,8693229575,1088695,411,91.0,96.0
2003-11-09,96.0,96.0,91.0,93.0,6149965920,794964,464,96.0,93.0
2003-11-10,97.0,98.0,93.0,96.0,2747217686,342304,218,93.0,96.0
2003-11-11,94.0,97.0,94.0,96.0,3844569601,483413,307,96.0,96.0
2003-11-12,97.0,97.0,94.0,95.0,2378846067,300040,187,96.0,95.0
2003-11-15,94.0,94.0,91.0,91.0,986298307,129540,55,95.0,91.0
2003-11-17,87.0,90.0,87.0,88.0,1441616056,197299,145,91.0,88.0
2003-11-18,90.0,92.0,90.0,91.0,781839253,103243,77,88.0,91.0
2003-11-19,96.0,96.0,96.0,96.0,801169200,100776,75,91.0,96.0
2003-11-22,100.0,100.0,95.0,98.0,3623856183,445419,236,96.0,98.0
2003-11-23,98.0,101.0,98.0,100.0,2534229942,304141,153,98.0,100.0
2003-11-24,100.0,100.0,98.0,99.0,1920357825,232319,111,100.0,99.0
2003-11-25,99.0,99.0,96.0,96.0,1258646987,157193,81,99.0,96.0
2003-11-29,96.0,97.0,96.0,96.0,1183426772,147466,105,96.0,96.0
2003-11-30,97.0,97.0,95.0,96.0,2472917828,309377,111,96.0,96.0
2003-12-01,93.0,95.0,91.0,92.0,2175928637,285721,112,96.0,92.0
2003-12-02,92.0,94.0,91.0,92.0,813008228,106512,54,92.0,92.0
2003-12-03,91.0,93.0,90.0,91.0,698893392,92073,65,92.0,91.0
2003-12-06,92.0,96.0,92.0,93.0,529531783,68372,50,91.0,93.0
2003-12-07,95.0,95.0,93.0,93.0,648737403,83786,55,93.0,93.0
2003-12-22,108.0,108.0,97.0,102.0,1705544766,201153,113,93.0,102.0
2003-12-23,102.0,107.0,100.0,104.0,2685722328,309390,110,102.0,104.0
2003-12-24,110.0,110.0,106.0,108.0,2665610766,296287,116,104.0,108.0
2003-12-27,107.0,107.0,103.0,104.0,1055591436,122295,59,108.0,104.0
2003-12-28,104.0,105.0,103.0,104.0,822698386,95380,63,104.0,104.0
2003-12-29,104.0,105.0,101.0,103.0,271315115,31795,17,104.0,103.0
2003-12-30,100.0,102.0,100.0,101.0,830121550,98713,58,103.0,101.0
2003-12-31,101.0,101.0,99.0,100.0,1185076970,142572,70,101.0,100.0
2004-01-03,100.0,100.0,98.0,98.0,846000806,103387,61,100.0,98.0
2004-01-04,100.0,101.0,100.0,100.0,520831207,62428,46,98.0,100.0
2004-01-05,101.0,104.0,101.0,103.0,1562298123,182586,79,100.0,103.0
2004-01-06,104.0,105.0,103.0,104.0,1228735714,142423,78,103.0,104.0
2004-01-07,104.0,104.0,100.0,101.0,996609663,118476,56,104.0,101.0
2004-01-10,100.0,100.0,96.0,99.0,831192051,101295,48,101.0,99.0
2004-01-11,96.0,99.0,96.0,97.0,880841089,108819,76,99.0,97.0
2004-01-12,96.0,97.0,96.0,97.0,878295341,109252,54,97.0,97.0
2004-01-13,96.0,99.0,96.0,97.0,689729495,85331,57,97.0,97.0
2004-01-14,100.0,102.0,97.0,101.0,2107986424,250989,97,97.0,101.0
2004-01-17,102.0,102.0,98.0,98.0,505634784,61666,38,101.0,98.0
2004-01-18,97.0,97.0,96.0,97.0,568653113,70595,36,98.0,97.0
2004-01-19,97.0,99.0,96.0,98.0,765159413,94099,53,97.0,98.0
2004-01-20,98.0,101.0,98.0,98.0,89850050,10882,19,98.0,98.0
