date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-05-03,2675.0,2675.0,2675.0,2675.0,4555093470,369282,9,217.0,2675.0
2021-05-10,2702.0,2702.0,2702.0,2676.0,37374000,3000,1,2675.0,2702.0
2021-05-17,2649.0,2649.0,2649.0,2665.0,1021861710,83670,3,2676.0,2649.0
2021-06-21,2744.0,2744.0,2744.0,2744.0,10529687417,832189,20,2665.0,2744.0
2021-06-22,2827.0,2827.0,2827.0,2827.0,10881720000,835000,32,2744.0,2827.0
2021-06-23,2911.0,2911.0,2911.0,2911.0,12079800000,900000,29,2827.0,2911.0
2021-06-26,3057.0,3057.0,3057.0,3057.0,3525392136,250152,7,2911.0,3057.0
2021-06-27,3148.0,3148.0,3148.0,3148.0,3113264290,214486,4,3057.0,3148.0
2021-06-28,3243.0,3243.0,3243.0,3243.0,4662905000,311900,12,3148.0,3243.0
2021-06-29,3340.0,3340.0,3340.0,3340.0,5205601860,338070,10,3243.0,3340.0
2021-06-30,3507.0,3507.0,3507.0,3507.0,26853969012,1661036,48,3340.0,3507.0
2021-07-03,3612.0,3612.0,3612.0,3612.0,3192837828,191739,9,3507.0,3612.0
2021-07-04,3720.0,3720.0,3720.0,3720.0,3432103761,200111,11,3612.0,3720.0
2021-07-05,3832.0,3832.0,3832.0,3832.0,3534784165,200101,7,3720.0,3832.0
2021-07-06,4023.0,4023.0,4023.0,4023.0,3155014800,170100,19,3832.0,4023.0
2021-07-07,4144.0,4144.0,4144.0,4144.0,3056831040,160010,13,4023.0,4144.0
2021-07-10,4268.0,4268.0,4268.0,4176.0,2674360101,135913,11,4144.0,4268.0
2021-07-11,4301.0,4301.0,4301.0,4218.0,3472530450,175115,8,4176.0,4301.0
2021-07-12,4429.0,4429.0,4429.0,4429.0,10827114114,530273,23,4218.0,4429.0
2021-07-13,4561.0,4561.0,4561.0,4561.0,11455419540,544718,41,4429.0,4561.0
2021-07-14,4698.0,4698.0,4698.0,4698.0,12144978600,560710,31,4561.0,4698.0
2021-07-17,4839.0,4839.0,4839.0,4839.0,11550261660,517740,22,4698.0,4839.0
2021-07-18,4839.0,5081.0,4597.0,4854.0,241095789047,10773323,1656,4839.0,4611.0
2021-07-19,4941.0,5000.0,4752.0,4992.0,120653239158,5242232,386,4854.0,5000.0
2021-08-01,5142.0,5142.0,5142.0,5024.0,2174141060,91891,20,4992.0,5142.0
2021-08-02,5174.0,5174.0,5174.0,5028.0,289160305,12145,10,5024.0,5174.0
2021-08-03,5179.0,5179.0,5179.0,5122.0,6451368144,270736,19,5028.0,5179.0
2021-08-04,5275.0,5275.0,5275.0,5244.0,8398318520,345980,17,5122.0,5275.0
2021-08-07,5506.0,5506.0,5506.0,5506.0,13441433580,530548,35,5244.0,5506.0
2021-08-08,5671.0,5671.0,5671.0,5631.0,8194090950,314010,22,5506.0,5671.0
2021-08-09,5800.0,5800.0,5800.0,5800.0,11590625088,434301,52,5631.0,5800.0
2021-08-10,5974.0,5974.0,5974.0,5974.0,14292550528,519956,52,5800.0,5974.0
2021-08-11,6273.0,6273.0,6273.0,6273.0,18895922538,654699,86,5974.0,6273.0
2021-08-14,6460.0,6460.0,6460.0,6460.0,21097489716,709708,56,6273.0,6460.0
2021-08-15,6654.0,6654.0,6654.0,6654.0,13966829352,456164,65,6460.0,6654.0
2021-08-22,6854.0,6854.0,6854.0,6854.0,23814158112,755142,56,6654.0,6854.0
2021-08-23,7196.0,7196.0,6522.0,7074.0,171236425541,5261056,1146,6854.0,6996.0
2021-08-24,6861.0,7286.0,6861.0,7242.0,48239878627,1447707,417,7074.0,7286.0
2021-08-25,7459.0,7459.0,7025.0,7121.0,94256615962,2876857,1236,7242.0,7041.0
2021-08-28,7324.0,7324.0,6907.0,7053.0,35763466122,1101984,665,7121.0,6907.0
2021-08-29,6842.0,7204.0,6842.0,6922.0,43490069622,1365439,551,7053.0,6842.0
2021-08-30,6715.0,6833.0,6715.0,6716.0,12693368498,410740,102,6922.0,6715.0
2021-08-31,6381.0,7052.0,6381.0,6844.0,100406368645,3188242,760,6716.0,7052.0
2021-09-01,7049.0,7049.0,7049.0,7049.0,47167613016,1454130,125,6844.0,7049.0
