date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-28,46.0,46.0,46.0,46.0,3080000,880,3,46.0,46.0
2001-04-07,46.0,46.0,46.0,46.0,1375500,393,1,46.0,46.0
2001-04-14,46.0,46.0,46.0,46.0,111208717,31783,10,46.0,46.0
2001-04-21,46.0,46.0,46.0,46.0,19326814,5523,8,46.0,46.0
2001-04-22,47.0,48.0,47.0,48.0,56624793,15731,11,46.0,48.0
2001-04-23,48.0,48.0,48.0,48.0,1476490,409,1,48.0,48.0
2001-04-24,48.0,48.0,48.0,48.0,722600,200,1,48.0,48.0
2001-04-28,52.0,52.0,52.0,52.0,6545150,1657,2,48.0,52.0
2001-04-29,53.0,53.0,53.0,53.0,17844780,4439,5,52.0,53.0
2001-05-01,53.0,53.0,53.0,53.0,4019000,1000,1,53.0,53.0
2001-05-02,53.0,53.0,53.0,53.0,3159326,790,2,53.0,53.0
2001-05-05,53.0,53.0,53.0,53.0,6473520,1620,6,53.0,53.0
2001-05-06,53.0,53.0,52.0,52.0,8517477,2174,5,53.0,52.0
2001-05-07,52.0,53.0,52.0,53.0,19808430,5000,9,52.0,53.0
2001-05-08,53.0,53.0,53.0,53.0,16668533,4149,4,53.0,53.0
2001-05-09,53.0,53.0,53.0,53.0,3040112,757,1,53.0,53.0
2001-05-12,53.0,53.0,53.0,53.0,3232075,805,3,53.0,53.0
2001-05-13,53.0,53.0,53.0,53.0,68847028,17156,12,53.0,53.0
2001-05-15,53.0,53.0,53.0,53.0,16044000,4000,3,53.0,53.0
2001-05-20,53.0,53.0,53.0,53.0,8231760,2060,2,53.0,53.0
2001-05-23,53.0,53.0,53.0,53.0,2394000,600,1,53.0,53.0
2001-05-26,53.0,53.0,53.0,53.0,35390089,8850,8,53.0,53.0
2001-05-27,53.0,53.0,53.0,53.0,5950840,1484,2,53.0,53.0
2001-05-28,53.0,53.0,53.0,53.0,23729787,5919,8,53.0,53.0
2001-05-29,53.0,53.0,53.0,53.0,1743915,435,1,53.0,53.0
2001-05-30,53.0,53.0,53.0,53.0,38790300,9700,7,53.0,53.0
2001-06-02,53.0,53.0,53.0,53.0,22657320,5670,8,53.0,53.0
2001-06-03,53.0,53.0,53.0,53.0,8147060,2047,6,53.0,53.0
2001-06-06,53.0,53.0,53.0,53.0,34333541,8628,9,53.0,53.0
2001-06-19,53.0,53.0,53.0,53.0,12160746,3057,5,53.0,53.0
